Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:38:00-04:00,132.20,131.89,Buy,A1
2024-07-16 09:40:00-04:00,131.89,131.89,Sell - Stop Loss,A1
2024-07-16 09:54:00-04:00,133.30,133.17,Buy,A2
2024-07-16 09:56:00-04:00,133.76,133.17,Sell - Away from SMA,A2
2024-07-16 14:08:00-04:00,134.97,134.90,Buy,A3
2024-07-16 14:12:00-04:00,134.90,134.90,Sell - Stop Loss,A3
2024-07-16 15:46:00-04:00,135.64,135.47,Buy,A4
2024-07-16 15:48:00-04:00,135.80,135.47,Sell - Away from SMA,A4
2024-07-19 15:12:00-04:00,131.46,131.38,Buy,A5
2024-07-19 15:14:00-04:00,131.62,131.38,Sell - Away from SMA,A5
2024-07-19 15:18:00-04:00,131.52,131.45,Buy,A6
2024-07-19 15:20:00-04:00,131.65,131.45,Sell - Away from SMA,A6
2024-07-19 15:58:00-04:00,131.69,131.59,Buy,A7
2024-07-22 09:30:00-04:00,133.16,131.59,Sell - Away from SMA,A7
2024-07-22 09:36:00-04:00,133.75,133.29,Buy,A8
2024-07-22 09:38:00-04:00,133.86,133.29,Sell - Away from SMA,A8
2024-07-22 10:24:00-04:00,132.24,132.10,Buy,A9
2024-07-22 10:26:00-04:00,132.10,132.10,Sell - Stop Loss,A9
2024-07-22 10:40:00-04:00,132.58,132.44,Buy,A10
2024-07-22 10:42:00-04:00,132.79,132.44,Sell - Away from SMA,A10
2024-07-22 14:26:00-04:00,132.46,132.42,Buy,A11
2024-07-22 14:30:00-04:00,132.79,132.42,Sell - Away from SMA,A11
2024-07-22 15:06:00-04:00,132.64,132.52,Buy,A12
2024-07-22 15:08:00-04:00,132.71,132.52,Sell - Away from SMA,A12
2024-07-23 09:54:00-04:00,134.36,133.95,Buy,A13
2024-07-23 09:56:00-04:00,134.99,133.95,Sell - Away from SMA,A13
2024-07-24 10:00:00-04:00,132.09,131.83,Buy,A14
2024-07-24 10:02:00-04:00,132.39,131.83,Sell - Away from SMA,A14
2024-07-24 10:44:00-04:00,131.85,131.73,Buy,A15
2024-07-24 10:46:00-04:00,132.11,131.73,Sell - Away from SMA,A15
2024-07-24 15:58:00-04:00,134.11,133.97,Buy,A16
2024-07-25 09:30:00-04:00,133.97,133.97,Sell - Stop Loss,A16
2024-07-25 09:36:00-04:00,134.70,134.23,Buy,A17
2024-07-25 09:38:00-04:00,135.08,134.23,Sell - Away from SMA,A17
2024-07-25 10:36:00-04:00,135.78,135.58,Buy,A18
2024-07-25 10:38:00-04:00,135.58,135.58,Sell - Stop Loss,A18
2024-07-25 12:00:00-04:00,136.68,136.60,Buy,A19
2024-07-25 12:02:00-04:00,136.79,136.60,Sell - Away from SMA,A19
2024-07-25 12:06:00-04:00,136.75,136.67,Buy,A20
2024-07-25 12:08:00-04:00,136.93,136.67,Sell - Away from SMA,A20
2024-07-29 13:24:00-04:00,136.82,136.73,Buy,A21
2024-07-29 13:30:00-04:00,136.73,136.73,Sell - Stop Loss,A21
2024-07-29 15:38:00-04:00,137.47,137.37,Buy,A22
2024-07-29 15:40:00-04:00,137.51,137.37,Sell - Away from SMA,A22
2024-07-30 10:44:00-04:00,138.17,138.07,Buy,A23
2024-07-30 10:46:00-04:00,138.22,138.07,Sell - Away from SMA,A23
2024-07-30 15:14:00-04:00,138.28,138.20,Buy,A24
2024-07-30 15:16:00-04:00,138.39,138.20,Sell - Away from SMA,A24
2024-07-31 10:14:00-04:00,143.20,142.99,Buy,A25
2024-07-31 10:16:00-04:00,143.68,142.99,Sell - Away from SMA,A25
2024-07-31 10:28:00-04:00,143.46,143.20,Buy,A26
2024-07-31 10:30:00-04:00,143.94,143.20,Sell - Away from SMA,A26
2024-07-31 13:14:00-04:00,142.96,142.90,Buy,A27
2024-07-31 13:16:00-04:00,143.16,142.90,Sell - Away from SMA,A27
2024-07-31 13:54:00-04:00,142.96,142.93,Buy,A28
2024-07-31 13:56:00-04:00,143.07,142.93,Sell - Away from SMA,A28
2024-07-31 14:42:00-04:00,142.97,142.76,Buy,A29
2024-07-31 14:44:00-04:00,143.26,142.76,Sell - Away from SMA,A29
2024-07-31 14:48:00-04:00,143.45,143.21,Buy,A30
2024-07-31 14:50:00-04:00,143.74,143.21,Sell - Away from SMA,A30
2024-08-01 13:36:00-04:00,142.58,142.44,Buy,A31
2024-08-01 13:38:00-04:00,142.74,142.44,Sell - Away from SMA,A31
2024-08-01 15:24:00-04:00,143.21,143.12,Buy,A32
2024-08-01 15:26:00-04:00,143.50,143.12,Sell - Away from SMA,A32
2024-08-01 15:30:00-04:00,143.44,143.26,Buy,A33
2024-08-01 15:32:00-04:00,143.74,143.26,Sell - Away from SMA,A33
2024-08-06 09:52:00-04:00,138.05,137.68,Buy,A34
2024-08-06 09:54:00-04:00,138.21,137.68,Sell - Away from SMA,A34
2024-08-06 12:20:00-04:00,138.24,138.21,Buy,A35
2024-08-06 12:22:00-04:00,138.21,138.21,Sell - Stop Loss,A35
2024-08-06 13:00:00-04:00,138.34,138.25,Buy,A36
2024-08-06 13:02:00-04:00,138.45,138.25,Sell - Away from SMA,A36
2024-08-06 13:52:00-04:00,138.22,138.18,Buy,A37
2024-08-06 13:54:00-04:00,138.44,138.18,Sell - Away from SMA,A37
2024-08-06 14:22:00-04:00,138.56,138.45,Buy,A38
2024-08-06 14:24:00-04:00,138.77,138.45,Sell - Away from SMA,A38
2024-08-08 10:38:00-04:00,136.35,136.25,Buy,A39
2024-08-08 10:42:00-04:00,136.25,136.25,Sell - Stop Loss,A39
2024-08-08 11:34:00-04:00,136.03,135.94,Buy,A40
2024-08-08 11:36:00-04:00,136.20,135.94,Sell - Away from SMA,A40
2024-08-13 11:40:00-04:00,136.27,136.21,Buy,A41
2024-08-13 11:42:00-04:00,136.41,136.21,Sell - Away from SMA,A41
2024-08-13 11:52:00-04:00,136.64,136.51,Buy,A42
2024-08-13 11:54:00-04:00,136.51,136.51,Sell - Stop Loss,A42
2024-08-13 12:06:00-04:00,136.91,136.80,Buy,A43
2024-08-13 12:08:00-04:00,136.97,136.80,Sell - Away from SMA,A43
2024-08-14 14:24:00-04:00,137.23,137.17,Buy,A44
2024-08-14 14:46:00-04:00,137.39,137.17,Sell - Away from SMA,A44
2024-08-15 13:20:00-04:00,139.05,138.96,Buy,A45
2024-08-15 13:26:00-04:00,139.39,138.96,Sell - Away from SMA,A45
2024-08-15 14:28:00-04:00,139.39,139.34,Buy,A46
2024-08-15 14:30:00-04:00,139.48,139.34,Sell - Away from SMA,A46
2024-08-15 15:14:00-04:00,139.49,139.43,Buy,A47
2024-08-15 15:16:00-04:00,139.63,139.43,Sell - Away from SMA,A47
2024-08-16 15:02:00-04:00,140.46,140.21,Buy,A48
2024-08-16 15:04:00-04:00,140.42,140.21,Sell - Away from SMA,A48
2024-08-19 10:06:00-04:00,139.83,139.56,Buy,A49
2024-08-19 10:12:00-04:00,139.95,139.56,Sell - Away from SMA,A49
2024-08-20 09:42:00-04:00,140.71,140.64,Buy,A50
2024-08-20 09:44:00-04:00,141.54,140.64,Sell - Away from SMA,A50
2024-08-21 12:10:00-04:00,140.08,139.97,Buy,A51
2024-08-21 12:16:00-04:00,140.14,139.97,Sell - Away from SMA,A51
2024-08-23 09:56:00-04:00,140.72,140.56,Buy,A52
2024-08-23 09:58:00-04:00,140.56,140.56,Sell - Stop Loss,A52
2024-08-23 10:06:00-04:00,141.24,141.03,Buy,A53
2024-08-23 10:08:00-04:00,141.55,141.03,Sell - Away from SMA,A53
2024-08-23 11:32:00-04:00,141.82,141.74,Buy,A54
