Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:26:00-04:00,103.18,103.13,Buy,ABT1
2024-07-16 12:28:00-04:00,103.21,103.13,Sell - Away from SMA,ABT1
2024-07-17 09:54:00-04:00,104.70,104.49,Buy,ABT2
2024-07-17 09:56:00-04:00,105.11,104.49,Sell - Away from SMA,ABT2
2024-07-17 10:24:00-04:00,105.35,105.27,Buy,ABT3
2024-07-17 10:26:00-04:00,105.60,105.27,Sell - Away from SMA,ABT3
2024-07-17 10:58:00-04:00,105.19,105.10,Buy,ABT4
2024-07-17 11:00:00-04:00,105.33,105.10,Sell - Away from SMA,ABT4
2024-07-17 11:04:00-04:00,105.38,105.25,Buy,ABT5
2024-07-17 11:06:00-04:00,105.25,105.25,Sell - Stop Loss,ABT5
2024-07-17 12:26:00-04:00,105.26,105.15,Buy,ABT6
2024-07-17 12:28:00-04:00,105.34,105.15,Sell - Away from SMA,ABT6
2024-07-17 12:40:00-04:00,105.31,105.21,Buy,ABT7
2024-07-17 12:44:00-04:00,105.38,105.21,Sell - Away from SMA,ABT7
2024-07-19 10:36:00-04:00,101.37,101.20,Buy,ABT8
2024-07-19 10:38:00-04:00,101.50,101.20,Sell - Away from SMA,ABT8
2024-07-19 13:52:00-04:00,101.76,101.71,Buy,ABT9
2024-07-19 13:54:00-04:00,101.87,101.71,Sell - Away from SMA,ABT9
2024-07-22 10:32:00-04:00,103.10,103.01,Buy,ABT10
2024-07-22 10:34:00-04:00,103.37,103.01,Sell - Away from SMA,ABT10
2024-07-22 14:30:00-04:00,103.44,103.40,Buy,ABT11
2024-07-22 14:34:00-04:00,103.40,103.40,Sell - Stop Loss,ABT11
2024-07-23 10:06:00-04:00,104.11,104.00,Buy,ABT12
2024-07-23 10:08:00-04:00,104.20,104.00,Sell - Away from SMA,ABT12
2024-07-23 11:58:00-04:00,104.08,104.01,Buy,ABT13
2024-07-23 12:04:00-04:00,104.25,104.01,Sell - Away from SMA,ABT13
2024-07-24 09:30:00-04:00,104.02,103.90,Buy,ABT14
2024-07-24 09:32:00-04:00,103.90,103.90,Sell - Stop Loss,ABT14
2024-07-24 09:38:00-04:00,104.21,103.94,Buy,ABT15
2024-07-24 09:40:00-04:00,104.45,103.94,Sell - Away from SMA,ABT15
2024-07-24 10:00:00-04:00,105.14,104.93,Buy,ABT16
2024-07-24 10:02:00-04:00,105.20,104.93,Sell - Away from SMA,ABT16
2024-07-24 10:40:00-04:00,104.80,104.62,Buy,ABT17
2024-07-24 10:42:00-04:00,104.74,104.62,Sell - Away from SMA,ABT17
2024-07-24 11:36:00-04:00,105.54,105.44,Buy,ABT18
2024-07-24 11:38:00-04:00,105.80,105.44,Sell - Away from SMA,ABT18
2024-07-24 13:14:00-04:00,106.59,106.54,Buy,ABT19
2024-07-24 13:16:00-04:00,106.71,106.54,Sell - Away from SMA,ABT19
2024-07-24 14:06:00-04:00,106.91,106.84,Buy,ABT20
2024-07-24 14:08:00-04:00,106.96,106.84,Sell - Away from SMA,ABT20
2024-07-24 15:36:00-04:00,106.86,106.73,Buy,ABT21
2024-07-24 15:38:00-04:00,106.86,106.73,Sell - Away from SMA,ABT21
2024-07-25 09:56:00-04:00,107.33,107.15,Buy,ABT22
2024-07-25 09:58:00-04:00,107.71,107.15,Sell - Away from SMA,ABT22
2024-07-25 10:02:00-04:00,107.59,107.43,Buy,ABT23
2024-07-25 10:04:00-04:00,107.79,107.43,Sell - Away from SMA,ABT23
2024-07-25 10:58:00-04:00,107.23,107.08,Buy,ABT24
2024-07-25 11:00:00-04:00,107.42,107.08,Sell - Away from SMA,ABT24
2024-07-29 11:34:00-04:00,103.36,103.22,Buy,ABT25
2024-07-29 11:36:00-04:00,103.55,103.22,Sell - Away from SMA,ABT25
2024-07-29 13:02:00-04:00,104.75,104.62,Buy,ABT26
2024-07-29 13:04:00-04:00,105.04,104.62,Sell - Away from SMA,ABT26
2024-07-30 10:56:00-04:00,104.99,104.89,Buy,ABT27
2024-07-30 10:58:00-04:00,104.89,104.89,Sell - Stop Loss,ABT27
2024-07-30 12:26:00-04:00,104.84,104.76,Buy,ABT28
2024-07-30 12:46:00-04:00,104.99,104.76,Sell - Away from SMA,ABT28
2024-07-30 12:50:00-04:00,105.00,104.94,Buy,ABT29
2024-07-30 12:52:00-04:00,105.11,104.94,Sell - Away from SMA,ABT29
2024-07-30 13:56:00-04:00,105.48,105.42,Buy,ABT30
2024-07-30 13:58:00-04:00,105.54,105.42,Sell - Away from SMA,ABT30
2024-07-31 11:06:00-04:00,105.83,105.73,Buy,ABT31
2024-07-31 11:08:00-04:00,105.94,105.73,Sell - Away from SMA,ABT31
2024-07-31 11:30:00-04:00,106.27,106.19,Buy,ABT32
2024-07-31 11:32:00-04:00,106.40,106.19,Sell - Away from SMA,ABT32
2024-07-31 11:40:00-04:00,106.56,106.40,Buy,ABT33
2024-07-31 11:42:00-04:00,106.66,106.40,Sell - Away from SMA,ABT33
2024-08-01 11:06:00-04:00,108.60,108.39,Buy,ABT34
2024-08-01 11:08:00-04:00,108.82,108.39,Sell - Away from SMA,ABT34
2024-08-01 11:14:00-04:00,108.77,108.66,Buy,ABT35
2024-08-01 11:16:00-04:00,109.10,108.66,Sell - Away from SMA,ABT35
2024-08-01 11:34:00-04:00,109.24,109.16,Buy,ABT36
2024-08-01 11:36:00-04:00,109.42,109.16,Sell - Away from SMA,ABT36
2024-08-01 14:20:00-04:00,110.40,110.34,Buy,ABT37
2024-08-01 14:22:00-04:00,110.34,110.34,Sell - Stop Loss,ABT37
2024-08-01 14:58:00-04:00,110.48,110.42,Buy,ABT38
2024-08-01 15:00:00-04:00,110.42,110.42,Sell - Stop Loss,ABT38
2024-08-06 09:54:00-04:00,110.03,109.83,Buy,ABT39
2024-08-06 09:56:00-04:00,110.20,109.83,Sell - Away from SMA,ABT39
2024-08-07 09:46:00-04:00,111.19,110.91,Buy,ABT40
2024-08-07 09:48:00-04:00,111.48,110.91,Sell - Away from SMA,ABT40
2024-08-08 09:50:00-04:00,110.96,110.68,Buy,ABT41
2024-08-08 09:52:00-04:00,111.20,110.68,Sell - Away from SMA,ABT41
2024-08-08 13:54:00-04:00,109.81,109.71,Buy,ABT42
2024-08-08 14:18:00-04:00,109.98,109.71,Sell - Away from SMA,ABT42
2024-08-08 14:18:00-04:00,109.96,109.91,Buy,ABT43
2024-08-08 14:20:00-04:00,110.02,109.91,Sell - Away from SMA,ABT43
2024-08-09 13:36:00-04:00,108.63,108.56,Buy,ABT44
2024-08-09 13:38:00-04:00,108.72,108.56,Sell - Away from SMA,ABT44
2024-08-09 15:44:00-04:00,108.35,108.28,Buy,ABT45
2024-08-09 15:46:00-04:00,108.57,108.28,Sell - Away from SMA,ABT45
2024-08-13 10:48:00-04:00,108.11,107.99,Buy,ABT46
2024-08-13 10:50:00-04:00,108.27,107.99,Sell - Away from SMA,ABT46
2024-08-13 11:06:00-04:00,108.48,108.38,Buy,ABT47
2024-08-13 11:08:00-04:00,108.52,108.38,Sell - Away from SMA,ABT47
2024-08-13 12:50:00-04:00,108.30,108.21,Buy,ABT48
2024-08-13 12:52:00-04:00,108.40,108.21,Sell - Away from SMA,ABT48
2024-08-13 15:48:00-04:00,108.35,108.28,Buy,ABT49
2024-08-13 15:50:00-04:00,108.28,108.28,Sell - Stop Loss,ABT49
2024-08-14 15:06:00-04:00,110.08,110.02,Buy,ABT50
2024-08-14 15:12:00-04:00,110.02,110.02,Sell - Stop Loss,ABT50
2024-08-15 11:00:00-04:00,110.38,110.29,Buy,ABT51
2024-08-15 11:24:00-04:00,110.31,110.29,Sell - Away from SMA,ABT51
2024-08-15 12:54:00-04:00,110.50,110.44,Buy,ABT52
2024-08-15 12:56:00-04:00,110.58,110.44,Sell - Away from SMA,ABT52
2024-08-15 15:06:00-04:00,111.06,110.94,Buy,ABT53
2024-08-15 15:08:00-04:00,111.16,110.94,Sell - Away from SMA,ABT53
2024-08-16 09:44:00-04:00,111.11,110.99,Buy,ABT54
2024-08-16 09:50:00-04:00,110.99,110.99,Sell - Stop Loss,ABT54
2024-08-19 09:42:00-04:00,111.29,111.19,Buy,ABT55
2024-08-19 09:44:00-04:00,111.40,111.19,Sell - Away from SMA,ABT55
2024-08-19 10:28:00-04:00,112.00,111.88,Buy,ABT56
2024-08-19 10:30:00-04:00,112.13,111.88,Sell - Away from SMA,ABT56
2024-08-19 11:20:00-04:00,112.08,112.02,Buy,ABT57
2024-08-19 11:22:00-04:00,112.02,112.02,Sell - Stop Loss,ABT57
2024-08-21 11:10:00-04:00,110.94,110.82,Buy,ABT58
2024-08-21 11:12:00-04:00,111.25,110.82,Sell - Away from SMA,ABT58
2024-08-21 11:22:00-04:00,111.35,111.28,Buy,ABT59
2024-08-21 11:24:00-04:00,111.39,111.28,Sell - Away from SMA,ABT59
2024-08-22 10:32:00-04:00,111.39,111.28,Buy,ABT60
2024-08-22 10:38:00-04:00,111.50,111.28,Sell - Away from SMA,ABT60
2024-08-22 12:16:00-04:00,111.39,111.32,Buy,ABT61
2024-08-22 12:20:00-04:00,111.49,111.32,Sell - Away from SMA,ABT61
2024-08-22 13:36:00-04:00,111.54,111.47,Buy,ABT62
2024-08-22 13:38:00-04:00,111.65,111.47,Sell - Away from SMA,ABT62
2024-08-23 10:26:00-04:00,112.39,112.29,Buy,ABT63
2024-08-23 10:28:00-04:00,112.49,112.29,Sell - Away from SMA,ABT63
