Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:18:00-04:00,565.76,565.38,Buy,ADBE1
2024-07-16 10:20:00-04:00,565.38,565.38,Sell - Stop Loss,ADBE1
2024-07-16 11:50:00-04:00,566.77,566.56,Buy,ADBE2
2024-07-16 11:52:00-04:00,566.99,566.56,Sell - Away from SMA,ADBE2
2024-07-16 15:22:00-04:00,566.33,566.19,Buy,ADBE3
2024-07-16 15:24:00-04:00,566.78,566.19,Sell - Away from SMA,ADBE3
2024-07-17 13:30:00-04:00,562.97,562.24,Buy,ADBE4
2024-07-17 13:32:00-04:00,563.79,562.24,Sell - Away from SMA,ADBE4
2024-07-18 15:26:00-04:00,558.40,558.06,Buy,ADBE5
2024-07-18 15:28:00-04:00,558.81,558.06,Sell - Away from SMA,ADBE5
2024-07-22 10:38:00-04:00,556.76,556.22,Buy,ADBE6
2024-07-22 10:40:00-04:00,558.86,556.22,Sell - Away from SMA,ADBE6
2024-07-22 10:46:00-04:00,559.28,558.87,Buy,ADBE7
2024-07-22 10:48:00-04:00,559.71,558.87,Sell - Away from SMA,ADBE7
2024-07-22 12:22:00-04:00,556.78,556.66,Buy,ADBE8
2024-07-22 12:24:00-04:00,556.66,556.66,Sell - Stop Loss,ADBE8
2024-07-22 14:24:00-04:00,556.27,555.81,Buy,ADBE9
2024-07-22 14:26:00-04:00,557.02,555.81,Sell - Away from SMA,ADBE9
2024-07-26 10:26:00-04:00,540.43,539.73,Buy,ADBE10
2024-07-26 10:28:00-04:00,539.73,539.73,Sell - Stop Loss,ADBE10
2024-07-26 11:08:00-04:00,541.18,540.73,Buy,ADBE11
2024-07-26 11:10:00-04:00,541.91,540.73,Sell - Away from SMA,ADBE11
2024-07-26 11:50:00-04:00,540.63,540.26,Buy,ADBE12
2024-07-26 11:52:00-04:00,541.03,540.26,Sell - Away from SMA,ADBE12
2024-07-26 12:08:00-04:00,542.77,542.34,Buy,ADBE13
2024-07-26 12:10:00-04:00,544.00,542.34,Sell - Away from SMA,ADBE13
2024-07-26 12:44:00-04:00,544.81,544.23,Buy,ADBE14
2024-07-26 12:46:00-04:00,545.23,544.23,Sell - Away from SMA,ADBE14
