Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:42:00-04:00,242.27,242.21,Buy,ADP1
2024-07-15 14:44:00-04:00,242.21,242.21,Sell - Stop Loss,ADP1
2024-07-15 15:52:00-04:00,242.39,242.17,Buy,ADP2
2024-07-15 15:54:00-04:00,242.53,242.17,Sell - Away from SMA,ADP2
2024-07-16 09:50:00-04:00,244.98,244.72,Buy,ADP3
2024-07-16 09:52:00-04:00,245.24,244.72,Sell - Away from SMA,ADP3
2024-07-16 11:22:00-04:00,244.72,244.56,Buy,ADP4
2024-07-16 11:24:00-04:00,244.82,244.56,Sell - Away from SMA,ADP4
2024-07-17 10:46:00-04:00,247.96,247.80,Buy,ADP5
2024-07-17 10:48:00-04:00,248.34,247.80,Sell - Away from SMA,ADP5
2024-07-17 12:54:00-04:00,249.60,249.38,Buy,ADP6
2024-07-17 12:56:00-04:00,249.61,249.38,Sell - Away from SMA,ADP6
2024-07-18 10:42:00-04:00,251.11,250.88,Buy,ADP7
2024-07-18 10:44:00-04:00,251.43,250.88,Sell - Away from SMA,ADP7
2024-07-18 11:08:00-04:00,251.01,250.85,Buy,ADP8
2024-07-18 11:10:00-04:00,251.15,250.85,Sell - Away from SMA,ADP8
2024-07-18 11:34:00-04:00,251.66,251.36,Buy,ADP9
2024-07-18 11:36:00-04:00,251.72,251.36,Sell - Away from SMA,ADP9
2024-07-18 12:02:00-04:00,250.51,250.29,Buy,ADP10
2024-07-18 12:04:00-04:00,250.29,250.29,Sell - Stop Loss,ADP10
2024-07-22 10:38:00-04:00,247.52,247.37,Buy,ADP11
2024-07-22 10:40:00-04:00,247.78,247.37,Sell - Away from SMA,ADP11
2024-07-22 11:50:00-04:00,247.30,247.17,Buy,ADP12
2024-07-22 11:52:00-04:00,247.41,247.17,Sell - Away from SMA,ADP12
2024-07-22 14:56:00-04:00,247.88,247.80,Buy,ADP13
2024-07-22 14:58:00-04:00,247.80,247.80,Sell - Stop Loss,ADP13
2024-07-23 13:42:00-04:00,247.48,247.42,Buy,ADP14
2024-07-23 13:44:00-04:00,247.54,247.42,Sell - Away from SMA,ADP14
2024-07-23 14:00:00-04:00,248.12,248.08,Buy,ADP15
2024-07-23 14:02:00-04:00,248.19,248.08,Sell - Away from SMA,ADP15
2024-07-23 15:28:00-04:00,248.25,248.20,Buy,ADP16
2024-07-23 15:30:00-04:00,248.43,248.20,Sell - Away from SMA,ADP16
2024-07-23 15:48:00-04:00,248.49,248.41,Buy,ADP17
2024-07-23 15:50:00-04:00,248.85,248.41,Sell - Away from SMA,ADP17
2024-07-24 13:04:00-04:00,247.62,247.38,Buy,ADP18
2024-07-24 13:08:00-04:00,247.75,247.38,Sell - Away from SMA,ADP18
2024-07-24 13:20:00-04:00,247.49,247.46,Buy,ADP19
2024-07-24 13:24:00-04:00,247.80,247.46,Sell - Away from SMA,ADP19
2024-07-25 10:02:00-04:00,252.13,251.61,Buy,ADP20
