Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:46:00-04:00,255.01,254.82,Buy,ADSK1
2024-07-16 10:48:00-04:00,255.27,254.82,Sell - Away from SMA,ADSK1
2024-07-16 11:28:00-04:00,255.04,254.98,Buy,ADSK2
2024-07-16 11:30:00-04:00,254.98,254.98,Sell - Stop Loss,ADSK2
2024-07-16 15:22:00-04:00,254.24,254.16,Buy,ADSK3
2024-07-16 15:24:00-04:00,254.16,254.16,Sell - Stop Loss,ADSK3
2024-07-19 14:48:00-04:00,241.76,241.67,Buy,ADSK4
2024-07-19 14:50:00-04:00,242.23,241.67,Sell - Away from SMA,ADSK4
2024-07-19 15:22:00-04:00,243.33,243.06,Buy,ADSK5
2024-07-19 15:24:00-04:00,243.53,243.06,Sell - Away from SMA,ADSK5
2024-07-22 11:04:00-04:00,245.65,245.57,Buy,ADSK6
2024-07-22 11:06:00-04:00,245.57,245.57,Sell - Stop Loss,ADSK6
2024-07-22 13:48:00-04:00,244.47,244.45,Buy,ADSK7
2024-07-22 13:52:00-04:00,244.61,244.45,Sell - Away from SMA,ADSK7
2024-07-22 15:04:00-04:00,245.10,245.00,Buy,ADSK8
2024-07-22 15:06:00-04:00,245.00,245.00,Sell - Away from SMA,ADSK8
2024-07-22 15:58:00-04:00,245.16,244.96,Buy,ADSK9
2024-07-23 09:30:00-04:00,244.96,244.96,Sell - Stop Loss,ADSK9
2024-07-23 09:38:00-04:00,245.14,245.12,Buy,ADSK10
2024-07-23 09:40:00-04:00,246.29,245.12,Sell - Away from SMA,ADSK10
2024-07-23 10:12:00-04:00,246.63,246.56,Buy,ADSK11
2024-07-23 10:14:00-04:00,246.56,246.56,Sell - Stop Loss,ADSK11
2024-07-23 11:22:00-04:00,246.90,246.84,Buy,ADSK12
2024-07-23 11:24:00-04:00,247.16,246.84,Sell - Away from SMA,ADSK12
2024-07-24 09:38:00-04:00,244.82,244.73,Buy,ADSK13
2024-07-24 09:40:00-04:00,244.73,244.73,Sell - Stop Loss,ADSK13
2024-07-25 12:04:00-04:00,242.78,242.62,Buy,ADSK14
2024-07-25 12:06:00-04:00,242.62,242.62,Sell - Stop Loss,ADSK14
2024-07-25 12:26:00-04:00,244.33,244.18,Buy,ADSK15
2024-07-25 12:28:00-04:00,244.70,244.18,Sell - Away from SMA,ADSK15
2024-07-25 12:32:00-04:00,244.64,244.48,Buy,ADSK16
2024-07-25 12:34:00-04:00,244.88,244.48,Sell - Away from SMA,ADSK16
2024-07-26 10:14:00-04:00,244.73,244.62,Buy,ADSK17
2024-07-26 10:16:00-04:00,244.98,244.62,Sell - Away from SMA,ADSK17
2024-07-30 11:10:00-04:00,242.79,242.60,Buy,ADSK18
2024-07-30 11:12:00-04:00,242.60,242.60,Sell - Stop Loss,ADSK18
2024-07-30 14:08:00-04:00,242.39,242.25,Buy,ADSK19
2024-07-30 14:10:00-04:00,242.55,242.25,Sell - Away from SMA,ADSK19
2024-07-31 09:50:00-04:00,245.07,244.68,Buy,ADSK20
2024-07-31 09:52:00-04:00,245.91,244.68,Sell - Away from SMA,ADSK20
2024-07-31 10:00:00-04:00,245.46,245.38,Buy,ADSK21
2024-07-31 10:02:00-04:00,245.38,245.38,Sell - Stop Loss,ADSK21
2024-07-31 10:08:00-04:00,246.23,245.84,Buy,ADSK22
2024-07-31 10:10:00-04:00,246.95,245.84,Sell - Away from SMA,ADSK22
2024-07-31 11:28:00-04:00,248.49,248.30,Buy,ADSK23
2024-07-31 11:30:00-04:00,249.54,248.30,Sell - Away from SMA,ADSK23
2024-07-31 11:46:00-04:00,250.41,250.24,Buy,ADSK24
2024-07-31 11:48:00-04:00,250.54,250.24,Sell - Away from SMA,ADSK24
2024-08-05 12:26:00-04:00,227.77,227.62,Buy,ADSK25
2024-08-05 12:28:00-04:00,228.25,227.62,Sell - Away from SMA,ADSK25
2024-08-06 09:46:00-04:00,232.82,232.30,Buy,ADSK26
2024-08-06 09:48:00-04:00,233.14,232.30,Sell - Away from SMA,ADSK26
2024-08-07 10:36:00-04:00,237.65,237.45,Buy,ADSK27
2024-08-07 10:38:00-04:00,237.68,237.45,Sell - Away from SMA,ADSK27
2024-08-07 10:56:00-04:00,238.90,238.82,Buy,ADSK28
2024-08-07 10:58:00-04:00,238.82,238.82,Sell - Stop Loss,ADSK28
2024-08-08 11:24:00-04:00,237.25,236.83,Buy,ADSK29
2024-08-08 11:26:00-04:00,237.49,236.83,Sell - Away from SMA,ADSK29
2024-08-08 11:38:00-04:00,237.05,237.01,Buy,ADSK30
2024-08-08 11:40:00-04:00,237.01,237.01,Sell - Stop Loss,ADSK30
2024-08-08 13:26:00-04:00,237.82,237.69,Buy,ADSK31
2024-08-08 13:28:00-04:00,238.04,237.69,Sell - Away from SMA,ADSK31
2024-08-08 15:08:00-04:00,238.10,237.95,Buy,ADSK32
2024-08-08 15:10:00-04:00,238.92,237.95,Sell - Away from SMA,ADSK32
2024-08-08 15:40:00-04:00,238.30,238.14,Buy,ADSK33
2024-08-08 15:42:00-04:00,238.68,238.14,Sell - Away from SMA,ADSK33
2024-08-09 10:48:00-04:00,239.82,239.76,Buy,ADSK34
2024-08-09 10:50:00-04:00,240.14,239.76,Sell - Away from SMA,ADSK34
2024-08-09 11:04:00-04:00,240.42,240.24,Buy,ADSK35
2024-08-09 11:06:00-04:00,240.89,240.24,Sell - Away from SMA,ADSK35
2024-08-09 14:58:00-04:00,240.17,240.13,Buy,ADSK36
2024-08-09 15:00:00-04:00,240.62,240.13,Sell - Away from SMA,ADSK36
2024-08-13 09:56:00-04:00,243.99,243.52,Buy,ADSK37
2024-08-13 09:58:00-04:00,244.58,243.52,Sell - Away from SMA,ADSK37
2024-08-14 12:10:00-04:00,246.65,246.53,Buy,ADSK38
2024-08-14 12:12:00-04:00,246.88,246.53,Sell - Away from SMA,ADSK38
2024-08-15 11:16:00-04:00,249.58,249.55,Buy,ADSK39
2024-08-15 11:20:00-04:00,249.77,249.55,Sell - Away from SMA,ADSK39
2024-08-19 10:10:00-04:00,249.24,248.95,Buy,ADSK40
2024-08-19 10:12:00-04:00,249.36,248.95,Sell - Away from SMA,ADSK40
2024-08-19 10:26:00-04:00,249.26,249.19,Buy,ADSK41
2024-08-19 10:28:00-04:00,249.58,249.19,Sell - Away from SMA,ADSK41
2024-08-19 11:48:00-04:00,249.52,249.45,Buy,ADSK42
2024-08-19 11:50:00-04:00,249.72,249.45,Sell - Away from SMA,ADSK42
2024-08-19 13:40:00-04:00,250.36,250.22,Buy,ADSK43
2024-08-19 13:42:00-04:00,250.52,250.22,Sell - Away from SMA,ADSK43
2024-08-20 10:02:00-04:00,251.68,251.21,Buy,ADSK44
2024-08-20 10:04:00-04:00,251.75,251.21,Sell - Away from SMA,ADSK44
2024-08-20 10:46:00-04:00,251.41,251.38,Buy,ADSK45
2024-08-20 10:48:00-04:00,251.85,251.38,Sell - Away from SMA,ADSK45
2024-08-21 10:40:00-04:00,252.38,252.03,Buy,ADSK46
