Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,18.250,18.320,17.960,17.980,17.980,387813.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,17.995,18.057,17.910,17.925,17.925,83966.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,17.920,17.930,17.625,17.625,17.625,171488.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,17.640,17.720,17.490,17.574,17.574,167456.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,17.580,17.600,17.370,17.430,17.430,145011.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,17.250,17.310,17.200,17.240,17.240,249964.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,17.245,17.420,17.240,17.270,17.270,185012.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,17.280,17.440,17.270,17.335,17.335,88967.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,17.333,17.350,17.260,17.290,17.290,46128.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,17.280,17.310,17.210,17.250,17.250,84732.000,17.492,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,17.250,17.280,17.215,17.250,17.250,126778.000,17.419,nan,False,Noise Bar,-0.073,Empty
2024-07-15 09:52:00-04:00,17.250,17.258,17.140,17.209,17.209,58374.000,17.347,nan,False,Noise Bar,-0.072,Empty
2024-07-15 09:54:00-04:00,17.210,17.260,17.140,17.140,17.140,57754.000,17.299,nan,False,Noise Bar,-0.049,Empty
2024-07-15 09:56:00-04:00,17.145,17.145,17.090,17.110,17.110,68422.000,17.252,nan,False,Noise Bar,-0.046,Empty
2024-07-15 09:58:00-04:00,17.110,17.250,17.080,17.200,17.200,250732.000,17.229,nan,False,Noise Bar,-0.023,Empty
2024-07-15 10:00:00-04:00,17.205,17.330,17.190,17.326,17.326,91027.000,17.238,nan,False,Noise Bar,0.009,Empty
