Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 13:28:00-04:00,17.59,17.54,Buy,AES1
2024-07-16 13:30:00-04:00,17.65,17.54,Sell - Away from SMA,AES1
2024-07-16 13:34:00-04:00,17.66,17.59,Buy,AES2
2024-07-16 13:38:00-04:00,17.59,17.59,Sell - Stop Loss,AES2
2024-07-16 14:16:00-04:00,17.45,17.41,Buy,AES3
2024-07-17 09:30:00-04:00,17.41,17.41,Sell - Stop Loss,AES3
2024-07-18 15:10:00-04:00,17.03,17.00,Buy,AES4
2024-07-18 15:20:00-04:00,17.00,17.00,Sell - Stop Loss,AES4
2024-07-23 09:38:00-04:00,17.46,17.40,Buy,AES5
2024-07-23 10:06:00-04:00,17.63,17.40,Sell - Away from SMA,AES5
2024-07-23 10:56:00-04:00,17.67,17.63,Buy,AES6
2024-07-23 11:08:00-04:00,17.72,17.68,Buy,AES7
2024-07-23 15:00:00-04:00,17.68,17.68,Sell - Stop Loss,AES7
2024-07-23 15:54:00-04:00,17.63,17.63,Sell - Stop Loss,AES6
2024-07-26 09:54:00-04:00,17.62,17.56,Buy,AES8
2024-07-26 10:10:00-04:00,17.56,17.56,Sell - Stop Loss,AES8
2024-07-26 13:44:00-04:00,17.55,17.51,Buy,AES9
2024-07-26 14:04:00-04:00,17.51,17.51,Sell - Stop Loss,AES9
2024-08-01 13:58:00-04:00,17.80,17.75,Buy,AES10
2024-08-01 14:02:00-04:00,17.75,17.75,Sell - Stop Loss,AES10
2024-08-07 10:44:00-04:00,16.92,16.89,Buy,AES11
2024-08-07 10:54:00-04:00,16.89,16.89,Sell - Stop Loss,AES11
2024-08-08 10:00:00-04:00,16.65,16.59,Buy,AES12
2024-08-08 10:02:00-04:00,16.69,16.59,Sell - Away from SMA,AES12
2024-08-08 11:46:00-04:00,16.74,16.71,Buy,AES13
2024-08-08 13:08:00-04:00,16.71,16.71,Sell - Stop Loss,AES13
2024-08-14 12:00:00-04:00,16.94,16.89,Buy,AES14
2024-08-15 09:32:00-04:00,16.90,16.89,Sell - Away from SMA,AES14
2024-08-15 11:30:00-04:00,17.36,17.32,Buy,AES15
2024-08-15 11:44:00-04:00,17.32,17.32,Sell - Stop Loss,AES15
2024-08-21 10:28:00-04:00,17.44,17.41,Buy,AES16
2024-08-23 09:30:00-04:00,17.93,17.41,Sell - Away from SMA,AES16
2024-08-23 12:06:00-04:00,18.06,18.04,Buy,AES17
2024-08-23 12:14:00-04:00,18.04,18.04,Sell - Stop Loss,AES17
2024-08-23 12:30:00-04:00,18.09,18.07,Buy,AES18
2024-08-23 12:42:00-04:00,18.07,18.07,Sell - Stop Loss,AES18
