Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:06:00-04:00,77.65,77.61,Buy,AIG1
2024-07-15 13:26:00-04:00,77.61,77.61,Sell - Stop Loss,AIG1
2024-07-15 14:22:00-04:00,77.77,77.73,Buy,AIG2
2024-07-15 14:32:00-04:00,77.82,77.76,Buy,AIG3
2024-07-15 15:00:00-04:00,77.73,77.73,Sell - Stop Loss,AIG2
2024-07-15 15:00:00-04:00,77.76,77.76,Sell - Stop Loss,AIG3
2024-07-16 10:10:00-04:00,78.33,78.25,Buy,AIG4
2024-07-16 10:12:00-04:00,78.38,78.25,Sell - Away from SMA,AIG4
2024-07-17 10:00:00-04:00,79.01,78.88,Buy,AIG5
2024-07-17 10:02:00-04:00,79.39,78.88,Sell - Away from SMA,AIG5
2024-07-17 11:04:00-04:00,79.27,79.17,Buy,AIG6
2024-07-17 11:06:00-04:00,79.48,79.17,Sell - Away from SMA,AIG6
2024-07-17 11:28:00-04:00,79.26,79.19,Buy,AIG7
2024-07-17 11:38:00-04:00,79.36,79.19,Sell - Away from SMA,AIG7
2024-07-18 11:04:00-04:00,79.60,79.54,Buy,AIG8
2024-07-18 11:10:00-04:00,79.54,79.54,Sell - Stop Loss,AIG8
2024-07-22 09:48:00-04:00,74.93,74.80,Buy,AIG9
2024-07-22 09:50:00-04:00,75.30,74.80,Sell - Away from SMA,AIG9
2024-07-22 10:36:00-04:00,75.37,75.22,Buy,AIG10
2024-07-22 10:38:00-04:00,75.54,75.22,Sell - Away from SMA,AIG10
2024-07-22 13:18:00-04:00,76.37,76.28,Buy,AIG11
2024-07-22 13:20:00-04:00,76.44,76.28,Sell - Away from SMA,AIG11
2024-07-22 15:10:00-04:00,76.10,76.05,Buy,AIG12
2024-07-22 15:26:00-04:00,76.05,76.05,Sell - Stop Loss,AIG12
2024-07-23 12:34:00-04:00,76.53,76.48,Buy,AIG13
2024-07-23 12:40:00-04:00,76.65,76.48,Sell - Away from SMA,AIG13
2024-07-23 14:46:00-04:00,76.78,76.72,Buy,AIG14
2024-07-23 14:50:00-04:00,76.72,76.72,Sell - Stop Loss,AIG14
2024-07-25 10:14:00-04:00,76.47,76.38,Buy,AIG15
2024-07-25 10:16:00-04:00,76.38,76.38,Sell - Stop Loss,AIG15
2024-07-25 11:50:00-04:00,76.21,76.14,Buy,AIG16
2024-07-25 11:52:00-04:00,76.23,76.14,Sell - Away from SMA,AIG16
2024-07-26 09:52:00-04:00,76.63,76.40,Buy,AIG17
2024-07-26 09:54:00-04:00,76.77,76.40,Sell - Away from SMA,AIG17
2024-07-26 10:02:00-04:00,76.81,76.67,Buy,AIG18
2024-07-26 10:04:00-04:00,77.00,76.67,Sell - Away from SMA,AIG18
