Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 13:34:00-04:00,243.38,243.12,Buy,ALGN1
2024-07-16 13:36:00-04:00,243.74,243.12,Sell - Away from SMA,ALGN1
2024-07-17 10:24:00-04:00,251.51,251.35,Buy,ALGN2
2024-07-17 10:26:00-04:00,251.35,251.35,Sell - Stop Loss,ALGN2
2024-07-17 10:34:00-04:00,252.64,251.99,Buy,ALGN3
2024-07-17 10:36:00-04:00,253.44,251.99,Sell - Away from SMA,ALGN3
2024-07-17 12:06:00-04:00,250.92,250.69,Buy,ALGN4
2024-07-17 12:08:00-04:00,251.48,250.69,Sell - Away from SMA,ALGN4
2024-07-18 09:52:00-04:00,260.90,259.24,Buy,ALGN5
2024-07-18 09:54:00-04:00,260.26,259.24,Sell - Away from SMA,ALGN5
2024-07-19 12:14:00-04:00,254.07,253.88,Buy,ALGN6
2024-07-19 12:16:00-04:00,255.65,253.88,Sell - Away from SMA,ALGN6
2024-07-23 11:38:00-04:00,250.37,250.22,Buy,ALGN7
2024-07-23 11:40:00-04:00,250.84,250.22,Sell - Away from SMA,ALGN7
2024-07-23 12:44:00-04:00,250.31,250.23,Buy,ALGN8
2024-07-23 12:46:00-04:00,250.74,250.23,Sell - Away from SMA,ALGN8
2024-07-23 14:14:00-04:00,251.84,251.81,Buy,ALGN9
2024-07-23 14:18:00-04:00,252.43,251.81,Sell - Away from SMA,ALGN9
2024-07-26 14:38:00-04:00,222.16,222.08,Buy,ALGN10
2024-07-26 14:40:00-04:00,222.08,222.08,Sell - Stop Loss,ALGN10
2024-07-29 11:34:00-04:00,223.36,223.11,Buy,ALGN11
2024-07-29 11:36:00-04:00,223.68,223.11,Sell - Away from SMA,ALGN11
2024-07-30 15:28:00-04:00,231.52,231.43,Buy,ALGN12
2024-07-30 15:30:00-04:00,232.25,231.43,Sell - Away from SMA,ALGN12
2024-07-31 11:30:00-04:00,231.50,231.24,Buy,ALGN13
2024-07-31 11:32:00-04:00,232.42,231.24,Sell - Away from SMA,ALGN13
2024-07-31 14:00:00-04:00,233.76,233.71,Buy,ALGN14
2024-07-31 14:02:00-04:00,233.90,233.71,Sell - Away from SMA,ALGN14
