Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:26:00-04:00,127.10,127.08,Buy,ALLE1
2024-07-16 12:28:00-04:00,127.12,127.08,Sell - Away from SMA,ALLE1
2024-07-16 13:00:00-04:00,127.22,127.18,Buy,ALLE2
2024-07-16 13:02:00-04:00,127.18,127.18,Sell - Stop Loss,ALLE2
2024-07-16 14:20:00-04:00,127.63,127.52,Buy,ALLE3
2024-07-16 14:26:00-04:00,127.75,127.52,Sell - Away from SMA,ALLE3
2024-07-17 10:58:00-04:00,128.37,128.27,Buy,ALLE4
2024-07-17 11:00:00-04:00,128.27,128.27,Sell - Stop Loss,ALLE4
2024-07-22 12:18:00-04:00,124.48,124.45,Buy,ALLE5
2024-07-22 12:26:00-04:00,124.45,124.45,Sell - Stop Loss,ALLE5
2024-07-22 12:46:00-04:00,124.41,124.34,Buy,ALLE6
2024-07-22 12:48:00-04:00,124.53,124.34,Sell - Away from SMA,ALLE6
2024-07-22 13:06:00-04:00,125.12,125.00,Buy,ALLE7
2024-07-22 13:08:00-04:00,125.13,125.00,Sell - Away from SMA,ALLE7
2024-07-22 15:36:00-04:00,125.74,125.62,Buy,ALLE8
2024-07-22 15:38:00-04:00,125.78,125.62,Sell - Away from SMA,ALLE8
2024-07-23 09:50:00-04:00,126.58,126.46,Buy,ALLE9
2024-07-23 09:52:00-04:00,126.46,126.46,Sell - Stop Loss,ALLE9
2024-07-23 09:58:00-04:00,126.49,126.36,Buy,ALLE10
2024-07-23 10:00:00-04:00,126.36,126.36,Sell - Stop Loss,ALLE10
2024-07-23 10:32:00-04:00,126.72,126.59,Buy,ALLE11
2024-07-23 10:34:00-04:00,126.59,126.59,Sell - Stop Loss,ALLE11
2024-07-23 13:22:00-04:00,127.17,127.09,Buy,ALLE12
2024-07-23 13:32:00-04:00,127.09,127.09,Sell - Stop Loss,ALLE12
2024-07-23 15:20:00-04:00,127.31,127.24,Buy,ALLE13
2024-07-23 15:22:00-04:00,127.53,127.24,Sell - Away from SMA,ALLE13
2024-07-24 13:52:00-04:00,129.75,129.65,Buy,ALLE14
2024-07-24 13:54:00-04:00,130.66,129.65,Sell - Away from SMA,ALLE14
2024-07-25 09:48:00-04:00,130.51,130.34,Buy,ALLE15
2024-07-25 09:50:00-04:00,130.88,130.34,Sell - Away from SMA,ALLE15
2024-07-25 09:58:00-04:00,131.43,131.29,Buy,ALLE16
2024-07-25 10:00:00-04:00,131.29,131.29,Sell - Stop Loss,ALLE16
2024-07-25 10:10:00-04:00,130.88,130.76,Buy,ALLE17
2024-07-25 10:12:00-04:00,131.41,130.76,Sell - Away from SMA,ALLE17
2024-07-25 11:00:00-04:00,132.42,132.24,Buy,ALLE18
2024-07-25 11:02:00-04:00,132.35,132.24,Sell - Away from SMA,ALLE18
2024-07-25 12:26:00-04:00,133.63,133.51,Buy,ALLE19
2024-07-25 12:28:00-04:00,133.79,133.51,Sell - Away from SMA,ALLE19
2024-07-25 12:52:00-04:00,133.63,133.40,Buy,ALLE20
2024-07-25 12:54:00-04:00,133.75,133.40,Sell - Away from SMA,ALLE20
2024-07-26 09:42:00-04:00,136.08,135.80,Buy,ALLE21
2024-07-26 09:44:00-04:00,136.52,135.80,Sell - Away from SMA,ALLE21
2024-07-26 10:00:00-04:00,135.16,135.05,Buy,ALLE22
2024-07-26 10:02:00-04:00,135.16,135.05,Sell - Away from SMA,ALLE22
2024-07-29 12:30:00-04:00,137.87,137.75,Buy,ALLE23
2024-07-29 12:32:00-04:00,138.04,137.75,Sell - Away from SMA,ALLE23
2024-07-29 15:26:00-04:00,137.94,137.92,Buy,ALLE24
2024-07-29 15:28:00-04:00,137.92,137.92,Sell - Stop Loss,ALLE24
2024-07-30 10:06:00-04:00,139.63,139.32,Buy,ALLE25
2024-07-30 10:08:00-04:00,139.80,139.32,Sell - Away from SMA,ALLE25
2024-07-30 10:26:00-04:00,139.77,139.65,Buy,ALLE26
2024-07-30 10:28:00-04:00,139.93,139.65,Sell - Away from SMA,ALLE26
2024-07-31 15:02:00-04:00,139.40,139.22,Buy,ALLE27
2024-07-31 15:04:00-04:00,139.22,139.22,Sell - Stop Loss,ALLE27
2024-08-02 15:44:00-04:00,129.51,129.44,Buy,ALLE28
2024-08-02 15:48:00-04:00,129.77,129.44,Sell - Away from SMA,ALLE28
2024-08-02 15:56:00-04:00,129.54,129.33,Buy,ALLE29
2024-08-02 15:58:00-04:00,129.43,129.33,Sell - Away from SMA,ALLE29
2024-08-05 12:06:00-04:00,129.71,129.66,Buy,ALLE30
2024-08-05 12:08:00-04:00,129.93,129.66,Sell - Away from SMA,ALLE30
2024-08-08 10:02:00-04:00,129.54,129.49,Buy,ALLE31
2024-08-08 10:04:00-04:00,129.49,129.49,Sell - Stop Loss,ALLE31
2024-08-08 15:56:00-04:00,129.54,129.32,Buy,ALLE32
2024-08-08 15:58:00-04:00,129.72,129.32,Sell - Away from SMA,ALLE32
2024-08-09 10:22:00-04:00,129.48,129.33,Buy,ALLE33
2024-08-09 10:24:00-04:00,129.66,129.33,Sell - Away from SMA,ALLE33
2024-08-14 15:42:00-04:00,131.08,131.00,Buy,ALLE34
2024-08-14 15:44:00-04:00,131.13,131.00,Sell - Away from SMA,ALLE34
2024-08-15 11:28:00-04:00,132.53,132.49,Buy,ALLE35
