Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 15:12:00-04:00,246.33,246.13,Buy,AMAT1
2024-07-15 15:14:00-04:00,246.49,246.13,Sell - Away from SMA,AMAT1
2024-07-15 15:58:00-04:00,245.44,245.17,Buy,AMAT2
2024-07-16 09:30:00-04:00,245.17,245.17,Sell - Stop Loss,AMAT2
2024-07-16 12:58:00-04:00,245.26,245.03,Buy,AMAT3
2024-07-16 13:00:00-04:00,245.03,245.03,Sell - Stop Loss,AMAT3
2024-07-18 13:20:00-04:00,217.65,217.14,Buy,AMAT4
2024-07-18 13:22:00-04:00,218.13,217.14,Sell - Away from SMA,AMAT4
2024-07-22 10:32:00-04:00,219.01,218.49,Buy,AMAT5
2024-07-22 10:34:00-04:00,219.94,218.49,Sell - Away from SMA,AMAT5
2024-07-22 10:56:00-04:00,219.60,219.37,Buy,AMAT6
2024-07-22 10:58:00-04:00,219.40,219.37,Sell - Away from SMA,AMAT6
2024-07-22 11:04:00-04:00,219.95,219.64,Buy,AMAT7
2024-07-22 11:06:00-04:00,220.59,219.64,Sell - Away from SMA,AMAT7
2024-07-22 11:56:00-04:00,218.33,217.87,Buy,AMAT8
2024-07-22 11:58:00-04:00,218.50,217.87,Sell - Away from SMA,AMAT8
2024-07-22 14:08:00-04:00,221.05,220.44,Buy,AMAT9
2024-07-22 14:10:00-04:00,221.48,220.44,Sell - Away from SMA,AMAT9
2024-07-22 14:48:00-04:00,222.27,221.88,Buy,AMAT10
2024-07-22 14:50:00-04:00,222.47,221.88,Sell - Away from SMA,AMAT10
2024-07-22 15:58:00-04:00,223.54,223.27,Buy,AMAT11
2024-07-23 09:30:00-04:00,223.27,223.27,Sell - Stop Loss,AMAT11
2024-07-23 14:04:00-04:00,220.28,220.18,Buy,AMAT12
2024-07-23 14:08:00-04:00,220.53,220.18,Sell - Away from SMA,AMAT12
2024-07-23 14:36:00-04:00,220.21,220.02,Buy,AMAT13
2024-07-23 14:38:00-04:00,220.42,220.02,Sell - Away from SMA,AMAT13
2024-07-25 12:18:00-04:00,206.58,206.10,Buy,AMAT14
2024-07-25 12:20:00-04:00,206.97,206.10,Sell - Away from SMA,AMAT14
2024-07-25 12:32:00-04:00,207.82,207.02,Buy,AMAT15
2024-07-25 12:34:00-04:00,208.24,207.02,Sell - Away from SMA,AMAT15
2024-07-26 12:30:00-04:00,207.57,207.18,Buy,AMAT16
2024-07-26 12:32:00-04:00,207.93,207.18,Sell - Away from SMA,AMAT16
2024-07-26 12:46:00-04:00,208.21,207.87,Buy,AMAT17
2024-07-26 12:48:00-04:00,207.87,207.87,Sell - Stop Loss,AMAT17
2024-07-29 10:20:00-04:00,207.95,207.63,Buy,AMAT18
2024-07-29 10:22:00-04:00,208.78,207.63,Sell - Away from SMA,AMAT18
2024-07-29 10:34:00-04:00,208.85,208.52,Buy,AMAT19
2024-07-29 10:36:00-04:00,209.16,208.52,Sell - Away from SMA,AMAT19
2024-07-31 11:32:00-04:00,208.32,207.91,Buy,AMAT20
2024-07-31 11:34:00-04:00,208.79,207.91,Sell - Away from SMA,AMAT20
2024-07-31 12:12:00-04:00,209.05,208.82,Buy,AMAT21
2024-07-31 12:14:00-04:00,209.96,208.82,Sell - Away from SMA,AMAT21
2024-07-31 14:30:00-04:00,209.79,209.42,Buy,AMAT22
2024-07-31 14:32:00-04:00,210.41,209.42,Sell - Away from SMA,AMAT22
2024-08-05 11:36:00-04:00,182.63,181.99,Buy,AMAT23
2024-08-05 11:38:00-04:00,184.08,181.99,Sell - Away from SMA,AMAT23
2024-08-05 12:10:00-04:00,183.23,182.68,Buy,AMAT24
2024-08-05 12:12:00-04:00,183.70,182.68,Sell - Away from SMA,AMAT24
2024-08-05 12:22:00-04:00,184.21,183.60,Buy,AMAT25
2024-08-05 12:24:00-04:00,185.58,183.60,Sell - Away from SMA,AMAT25
2024-08-06 10:06:00-04:00,184.48,183.89,Buy,AMAT26
2024-08-06 10:08:00-04:00,185.48,183.89,Sell - Away from SMA,AMAT26
2024-08-06 11:04:00-04:00,185.44,184.92,Buy,AMAT27
2024-08-06 11:06:00-04:00,185.41,184.92,Sell - Away from SMA,AMAT27
2024-08-06 11:40:00-04:00,184.54,184.15,Buy,AMAT28
2024-08-06 11:42:00-04:00,184.15,184.15,Sell - Stop Loss,AMAT28
2024-08-06 11:52:00-04:00,185.26,184.83,Buy,AMAT29
2024-08-06 11:54:00-04:00,185.57,184.83,Sell - Away from SMA,AMAT29
2024-08-06 12:00:00-04:00,185.51,185.12,Buy,AMAT30
2024-08-06 12:02:00-04:00,185.97,185.12,Sell - Away from SMA,AMAT30
2024-08-06 13:28:00-04:00,187.61,187.02,Buy,AMAT31
2024-08-06 13:30:00-04:00,188.08,187.02,Sell - Away from SMA,AMAT31
2024-08-08 09:58:00-04:00,183.68,183.13,Buy,AMAT32
2024-08-08 10:00:00-04:00,184.30,183.13,Sell - Away from SMA,AMAT32
2024-08-08 10:24:00-04:00,186.61,186.07,Buy,AMAT33
2024-08-08 10:26:00-04:00,187.48,186.07,Sell - Away from SMA,AMAT33
2024-08-08 12:24:00-04:00,188.34,188.14,Buy,AMAT34
2024-08-08 12:26:00-04:00,188.14,188.14,Sell - Stop Loss,AMAT34
2024-08-08 12:46:00-04:00,187.46,187.17,Buy,AMAT35
2024-08-08 12:48:00-04:00,187.67,187.17,Sell - Away from SMA,AMAT35
2024-08-08 14:10:00-04:00,189.64,189.39,Buy,AMAT36
2024-08-08 14:12:00-04:00,190.04,189.39,Sell - Away from SMA,AMAT36
2024-08-08 15:48:00-04:00,190.05,189.60,Buy,AMAT37
2024-08-08 15:50:00-04:00,190.66,189.60,Sell - Away from SMA,AMAT37
2024-08-09 13:18:00-04:00,192.01,191.75,Buy,AMAT38
2024-08-09 13:20:00-04:00,191.75,191.75,Sell - Stop Loss,AMAT38
2024-08-09 15:18:00-04:00,193.16,192.89,Buy,AMAT39
2024-08-09 15:20:00-04:00,192.89,192.89,Sell - Stop Loss,AMAT39
2024-08-12 10:40:00-04:00,195.43,194.89,Buy,AMAT40
2024-08-12 10:42:00-04:00,195.70,194.89,Sell - Away from SMA,AMAT40
2024-08-12 11:10:00-04:00,195.67,195.39,Buy,AMAT41
2024-08-12 11:12:00-04:00,196.28,195.39,Sell - Away from SMA,AMAT41
2024-08-13 10:46:00-04:00,196.82,196.40,Buy,AMAT42
2024-08-13 10:48:00-04:00,197.10,196.40,Sell - Away from SMA,AMAT42
2024-08-13 12:02:00-04:00,198.82,198.43,Buy,AMAT43
2024-08-13 12:04:00-04:00,198.95,198.43,Sell - Away from SMA,AMAT43
2024-08-13 13:08:00-04:00,200.53,200.25,Buy,AMAT44
2024-08-13 13:10:00-04:00,200.67,200.25,Sell - Away from SMA,AMAT44
2024-08-13 13:52:00-04:00,199.93,199.60,Buy,AMAT45
2024-08-13 13:54:00-04:00,200.55,199.60,Sell - Away from SMA,AMAT45
2024-08-14 11:46:00-04:00,202.91,202.62,Buy,AMAT46
2024-08-14 11:48:00-04:00,203.07,202.62,Sell - Away from SMA,AMAT46
2024-08-14 15:52:00-04:00,201.67,200.87,Buy,AMAT47
2024-08-14 15:54:00-04:00,202.45,200.87,Sell - Away from SMA,AMAT47
2024-08-15 09:52:00-04:00,206.77,206.32,Buy,AMAT48
2024-08-15 09:54:00-04:00,207.01,206.32,Sell - Away from SMA,AMAT48
2024-08-15 11:36:00-04:00,209.78,209.48,Buy,AMAT49
2024-08-15 11:38:00-04:00,210.00,209.48,Sell - Away from SMA,AMAT49
2024-08-15 12:16:00-04:00,211.14,210.90,Buy,AMAT50
2024-08-15 12:18:00-04:00,211.54,210.90,Sell - Away from SMA,AMAT50
2024-08-16 14:10:00-04:00,207.71,207.51,Buy,AMAT51
