Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:54:00-04:00,208.62,208.43,Buy,AMT1
2024-07-15 14:56:00-04:00,208.89,208.43,Sell - Away from SMA,AMT1
2024-07-16 15:58:00-04:00,210.13,209.92,Buy,AMT2
2024-07-17 09:30:00-04:00,209.92,209.92,Sell - Stop Loss,AMT2
2024-07-17 09:50:00-04:00,211.04,210.62,Buy,AMT3
2024-07-17 09:52:00-04:00,211.24,210.62,Sell - Away from SMA,AMT3
2024-07-17 11:08:00-04:00,210.66,210.59,Buy,AMT4
2024-07-17 11:10:00-04:00,210.97,210.59,Sell - Away from SMA,AMT4
2024-07-17 11:18:00-04:00,211.10,210.81,Buy,AMT5
2024-07-17 11:20:00-04:00,211.50,210.81,Sell - Away from SMA,AMT5
2024-07-17 11:52:00-04:00,212.11,211.92,Buy,AMT6
2024-07-17 11:54:00-04:00,212.40,211.92,Sell - Away from SMA,AMT6
2024-07-17 12:20:00-04:00,211.96,211.82,Buy,AMT7
2024-07-17 12:22:00-04:00,211.89,211.82,Sell - Away from SMA,AMT7
2024-07-17 13:46:00-04:00,211.83,211.80,Buy,AMT8
2024-07-17 13:48:00-04:00,212.04,211.80,Sell - Away from SMA,AMT8
2024-07-17 14:06:00-04:00,212.35,212.14,Buy,AMT9
2024-07-17 14:08:00-04:00,212.64,212.14,Sell - Away from SMA,AMT9
2024-07-18 11:32:00-04:00,213.96,213.85,Buy,AMT10
2024-07-18 11:34:00-04:00,213.85,213.85,Sell - Stop Loss,AMT10
2024-07-19 13:24:00-04:00,210.55,210.49,Buy,AMT11
2024-07-19 13:26:00-04:00,210.98,210.49,Sell - Away from SMA,AMT11
2024-07-24 11:20:00-04:00,210.06,209.86,Buy,AMT12
2024-07-24 11:22:00-04:00,210.58,209.86,Sell - Away from SMA,AMT12
2024-07-24 11:26:00-04:00,210.54,210.38,Buy,AMT13
2024-07-24 11:28:00-04:00,210.71,210.38,Sell - Away from SMA,AMT13
2024-07-26 10:04:00-04:00,212.16,211.85,Buy,AMT14
2024-07-26 10:06:00-04:00,212.94,211.85,Sell - Away from SMA,AMT14
2024-07-26 10:52:00-04:00,211.82,211.65,Buy,AMT15
2024-07-26 10:54:00-04:00,211.65,211.65,Sell - Stop Loss,AMT15
2024-07-29 11:46:00-04:00,213.21,213.11,Buy,AMT16
2024-07-29 11:50:00-04:00,213.45,213.11,Sell - Away from SMA,AMT16
2024-07-29 14:44:00-04:00,214.10,214.06,Buy,AMT17
2024-07-29 14:46:00-04:00,214.39,214.06,Sell - Away from SMA,AMT17
2024-07-30 11:44:00-04:00,218.86,218.47,Buy,AMT18
2024-07-30 11:46:00-04:00,219.34,218.47,Sell - Away from SMA,AMT18
2024-07-30 12:44:00-04:00,220.90,220.62,Buy,AMT19
2024-07-30 12:46:00-04:00,221.17,220.62,Sell - Away from SMA,AMT19
2024-07-30 14:16:00-04:00,221.03,220.74,Buy,AMT20
2024-07-30 14:18:00-04:00,221.22,220.74,Sell - Away from SMA,AMT20
2024-07-30 15:14:00-04:00,221.01,220.87,Buy,AMT21
2024-07-30 15:16:00-04:00,221.32,220.87,Sell - Away from SMA,AMT21
2024-07-30 15:36:00-04:00,222.00,221.75,Buy,AMT22
2024-07-30 15:38:00-04:00,222.54,221.75,Sell - Away from SMA,AMT22
2024-07-31 13:44:00-04:00,221.07,220.92,Buy,AMT23
2024-07-31 13:46:00-04:00,221.30,220.92,Sell - Away from SMA,AMT23
2024-08-01 09:56:00-04:00,224.29,223.82,Buy,AMT24
2024-08-01 09:58:00-04:00,223.82,223.82,Sell - Stop Loss,AMT24
2024-08-01 11:50:00-04:00,226.57,226.12,Buy,AMT25
2024-08-01 11:52:00-04:00,227.17,226.12,Sell - Away from SMA,AMT25
2024-08-01 11:56:00-04:00,227.34,227.05,Buy,AMT26
2024-08-01 11:58:00-04:00,227.82,227.05,Sell - Away from SMA,AMT26
2024-08-01 12:46:00-04:00,228.19,227.98,Buy,AMT27
2024-08-01 12:48:00-04:00,228.26,227.98,Sell - Away from SMA,AMT27
2024-08-01 13:00:00-04:00,228.16,227.97,Buy,AMT28
2024-08-01 13:02:00-04:00,228.50,227.97,Sell - Away from SMA,AMT28
2024-08-01 13:24:00-04:00,228.64,228.47,Buy,AMT29
2024-08-01 13:26:00-04:00,228.47,228.47,Sell - Stop Loss,AMT29
2024-08-02 15:08:00-04:00,233.84,233.64,Buy,AMT30
2024-08-02 15:10:00-04:00,234.14,233.64,Sell - Away from SMA,AMT30
2024-08-05 10:00:00-04:00,234.27,233.39,Buy,AMT31
2024-08-05 10:02:00-04:00,234.91,233.39,Sell - Away from SMA,AMT31
2024-08-06 11:30:00-04:00,229.52,229.08,Buy,AMT32
2024-08-06 11:32:00-04:00,229.89,229.08,Sell - Away from SMA,AMT32
2024-08-06 12:02:00-04:00,230.08,229.90,Buy,AMT33
2024-08-06 12:04:00-04:00,230.51,229.90,Sell - Away from SMA,AMT33
2024-08-07 11:28:00-04:00,229.33,229.20,Buy,AMT34
2024-08-07 11:30:00-04:00,229.46,229.20,Sell - Away from SMA,AMT34
2024-08-09 09:52:00-04:00,223.06,222.70,Buy,AMT35
2024-08-09 09:54:00-04:00,223.85,222.70,Sell - Away from SMA,AMT35
2024-08-09 11:08:00-04:00,223.10,222.96,Buy,AMT36
2024-08-09 11:12:00-04:00,223.43,222.96,Sell - Away from SMA,AMT36
2024-08-09 13:20:00-04:00,224.90,224.73,Buy,AMT37
2024-08-09 13:22:00-04:00,225.01,224.73,Sell - Away from SMA,AMT37
2024-08-12 14:24:00-04:00,224.09,224.04,Buy,AMT38
2024-08-12 14:26:00-04:00,224.28,224.04,Sell - Away from SMA,AMT38
2024-08-12 15:58:00-04:00,225.53,225.31,Buy,AMT39
2024-08-13 09:30:00-04:00,225.31,225.31,Sell - Stop Loss,AMT39
2024-08-13 10:44:00-04:00,224.72,224.54,Buy,AMT40
2024-08-13 10:46:00-04:00,224.54,224.54,Sell - Stop Loss,AMT40
2024-08-14 11:36:00-04:00,224.68,224.51,Buy,AMT41
2024-08-14 11:38:00-04:00,224.75,224.51,Sell - Away from SMA,AMT41
2024-08-14 12:40:00-04:00,224.26,224.20,Buy,AMT42
2024-08-14 12:42:00-04:00,224.20,224.20,Sell - Stop Loss,AMT42
2024-08-16 10:14:00-04:00,219.10,218.81,Buy,AMT43
2024-08-16 10:16:00-04:00,219.58,218.81,Sell - Away from SMA,AMT43
2024-08-16 10:20:00-04:00,219.59,219.42,Buy,AMT44
2024-08-16 10:22:00-04:00,219.94,219.42,Sell - Away from SMA,AMT44
2024-08-16 10:26:00-04:00,219.87,219.61,Buy,AMT45
2024-08-16 10:28:00-04:00,219.93,219.61,Sell - Away from SMA,AMT45
2024-08-19 09:54:00-04:00,220.54,220.25,Buy,AMT46
2024-08-19 09:56:00-04:00,220.68,220.25,Sell - Away from SMA,AMT46
2024-08-19 11:32:00-04:00,220.02,219.85,Buy,AMT47
2024-08-19 11:34:00-04:00,220.20,219.85,Sell - Away from SMA,AMT47
2024-08-20 12:32:00-04:00,219.22,219.14,Buy,AMT48
2024-08-20 12:34:00-04:00,219.31,219.14,Sell - Away from SMA,AMT48
2024-08-20 13:28:00-04:00,219.26,219.16,Buy,AMT49
2024-08-20 13:30:00-04:00,219.35,219.16,Sell - Away from SMA,AMT49
2024-08-20 15:10:00-04:00,219.59,219.51,Buy,AMT50
2024-08-20 15:12:00-04:00,220.00,219.51,Sell - Away from SMA,AMT50
2024-08-20 15:22:00-04:00,220.07,219.94,Buy,AMT51
2024-08-20 15:24:00-04:00,220.37,219.94,Sell - Away from SMA,AMT51
2024-08-20 15:40:00-04:00,220.56,220.40,Buy,AMT52
2024-08-20 15:42:00-04:00,220.72,220.40,Sell - Away from SMA,AMT52
2024-08-21 12:34:00-04:00,219.01,218.95,Buy,AMT53
2024-08-21 12:36:00-04:00,219.10,218.95,Sell - Away from SMA,AMT53
2024-08-22 15:54:00-04:00,219.52,219.31,Buy,AMT54
2024-08-22 15:56:00-04:00,219.97,219.31,Sell - Away from SMA,AMT54
2024-08-23 10:36:00-04:00,224.17,223.72,Buy,AMT55
2024-08-23 10:38:00-04:00,223.99,223.72,Sell - Away from SMA,AMT55
