Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,329.360,329.360,329.140,329.140,329.140,2958.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,328.140,328.140,328.140,328.140,328.140,647.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,328.140,329.275,327.500,329.275,329.275,699.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,329.460,329.460,328.300,328.300,328.300,2576.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,328.760,330.380,328.760,329.730,329.730,2960.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,328.610,330.160,328.610,330.160,330.160,402.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,329.000,330.100,329.000,330.100,330.100,1725.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,330.000,330.000,330.000,330.000,330.000,106.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,328.880,328.880,328.790,328.790,328.790,961.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,329.500,330.000,329.500,330.000,330.000,3702.000,329.364,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,329.590,329.590,329.375,329.390,329.390,1297.000,329.389,nan,False,Noise Bar,0.025,Empty
2024-07-15 09:52:00-04:00,329.685,330.340,329.685,329.920,329.920,5676.000,329.567,nan,False,Noise Bar,0.178,Empty
2024-07-15 09:54:00-04:00,330.080,330.080,330.080,330.080,330.080,1622.000,329.647,nan,False,Noise Bar,0.080,Empty
2024-07-15 09:56:00-04:00,330.255,330.260,329.935,329.935,329.935,530.000,329.811,nan,False,Noise Bar,0.164,Empty
2024-07-15 09:58:00-04:00,329.930,329.930,329.930,329.930,329.930,1788.000,329.831,nan,False,Noise Bar,0.020,Empty
2024-07-15 10:00:00-04:00,330.020,330.020,329.945,329.945,329.945,367.000,329.809,nan,False,Noise Bar,-0.021,Empty
