Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-22 15:36:00-04:00,319.53,319.34,Buy,ANSS1
2024-07-22 15:38:00-04:00,319.83,319.34,Sell - Away from SMA,ANSS1
2024-07-23 10:50:00-04:00,319.87,319.78,Buy,ANSS2
2024-07-23 10:52:00-04:00,319.90,319.78,Sell - Away from SMA,ANSS2
2024-07-26 10:10:00-04:00,314.83,314.25,Buy,ANSS3
2024-07-26 10:12:00-04:00,314.25,314.25,Sell - Stop Loss,ANSS3
2024-07-26 12:02:00-04:00,314.48,313.70,Buy,ANSS4
2024-07-26 12:04:00-04:00,315.26,313.70,Sell - Away from SMA,ANSS4
2024-07-29 12:44:00-04:00,312.77,312.40,Buy,ANSS5
2024-07-29 12:46:00-04:00,312.40,312.40,Sell - Stop Loss,ANSS5
2024-08-05 13:52:00-04:00,296.79,296.69,Buy,ANSS6
2024-08-05 13:54:00-04:00,296.97,296.69,Sell - Away from SMA,ANSS6
2024-08-08 10:30:00-04:00,305.79,305.64,Buy,ANSS7
2024-08-08 10:32:00-04:00,307.00,305.64,Sell - Away from SMA,ANSS7
2024-08-08 15:26:00-04:00,308.82,308.80,Buy,ANSS8
2024-08-08 15:28:00-04:00,308.80,308.80,Sell - Stop Loss,ANSS8
2024-08-09 09:48:00-04:00,308.88,306.93,Buy,ANSS9
2024-08-09 09:50:00-04:00,308.95,306.93,Sell - Away from SMA,ANSS9
2024-08-09 11:32:00-04:00,310.41,310.30,Buy,ANSS10
2024-08-09 11:34:00-04:00,310.62,310.30,Sell - Away from SMA,ANSS10
2024-08-12 13:20:00-04:00,312.47,312.15,Buy,ANSS11
2024-08-12 13:22:00-04:00,312.95,312.15,Sell - Away from SMA,ANSS11
2024-08-12 14:58:00-04:00,312.95,312.87,Buy,ANSS12
2024-08-12 15:02:00-04:00,312.87,312.87,Sell - Stop Loss,ANSS12
2024-08-12 15:58:00-04:00,313.28,313.04,Buy,ANSS13
2024-08-13 09:30:00-04:00,315.60,313.04,Sell - Away from SMA,ANSS13
2024-08-13 09:56:00-04:00,317.01,316.26,Buy,ANSS14
2024-08-13 09:58:00-04:00,317.59,316.26,Sell - Away from SMA,ANSS14
2024-08-16 15:58:00-04:00,325.44,325.22,Buy,ANSS15
2024-08-19 09:30:00-04:00,326.25,325.22,Sell - Away from SMA,ANSS15
2024-08-21 10:42:00-04:00,330.50,330.46,Buy,ANSS16
2024-08-21 10:44:00-04:00,330.46,330.46,Sell - Stop Loss,ANSS16
2024-08-22 09:30:00-04:00,331.14,330.68,Buy,ANSS17
2024-08-22 09:34:00-04:00,334.00,330.68,Sell - Away from SMA,ANSS17
