Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:54:00-04:00,90.08,89.94,Buy,AOS1
2024-07-16 09:56:00-04:00,90.25,89.94,Sell - Away from SMA,AOS1
2024-07-16 13:14:00-04:00,90.84,90.77,Buy,AOS2
2024-07-16 13:18:00-04:00,90.77,90.77,Sell - Stop Loss,AOS2
2024-07-17 09:38:00-04:00,91.41,91.33,Buy,AOS3
2024-07-17 09:42:00-04:00,91.33,91.33,Sell - Stop Loss,AOS3
2024-07-18 09:56:00-04:00,91.87,91.72,Buy,AOS4
2024-07-18 09:58:00-04:00,92.09,91.72,Sell - Away from SMA,AOS4
2024-07-18 10:52:00-04:00,91.14,91.06,Buy,AOS5
2024-07-18 10:54:00-04:00,91.06,91.06,Sell - Stop Loss,AOS5
2024-07-22 12:24:00-04:00,88.25,88.21,Buy,AOS6
2024-07-22 12:26:00-04:00,88.21,88.21,Sell - Stop Loss,AOS6
2024-07-22 14:50:00-04:00,88.57,88.52,Buy,AOS7
2024-07-22 14:52:00-04:00,88.67,88.52,Sell - Away from SMA,AOS7
2024-07-23 14:30:00-04:00,81.12,81.04,Buy,AOS8
2024-07-23 14:34:00-04:00,81.28,81.04,Sell - Away from SMA,AOS8
2024-07-24 10:28:00-04:00,82.01,81.94,Buy,AOS9
2024-07-24 10:30:00-04:00,82.07,81.94,Sell - Away from SMA,AOS9
2024-07-25 12:12:00-04:00,82.94,82.85,Buy,AOS10
2024-07-25 12:14:00-04:00,83.00,82.85,Sell - Away from SMA,AOS10
2024-07-26 12:24:00-04:00,84.50,84.45,Buy,AOS11
2024-07-26 12:40:00-04:00,84.66,84.45,Sell - Away from SMA,AOS11
2024-07-26 12:58:00-04:00,84.86,84.79,Buy,AOS12
2024-07-26 13:00:00-04:00,84.91,84.79,Sell - Away from SMA,AOS12
2024-07-29 12:08:00-04:00,84.92,84.88,Buy,AOS13
2024-07-29 12:10:00-04:00,84.88,84.88,Sell - Stop Loss,AOS13
2024-07-30 10:26:00-04:00,85.48,85.36,Buy,AOS14
2024-07-30 10:28:00-04:00,85.56,85.36,Sell - Away from SMA,AOS14
2024-08-01 14:04:00-04:00,82.06,81.98,Buy,AOS15
2024-08-01 14:10:00-04:00,81.98,81.98,Sell - Stop Loss,AOS15
2024-08-01 14:28:00-04:00,81.97,81.90,Buy,AOS16
2024-08-01 14:38:00-04:00,82.02,81.98,Buy,AOS17
2024-08-01 14:40:00-04:00,81.98,81.98,Sell - Stop Loss,AOS17
2024-08-01 14:46:00-04:00,81.90,81.90,Sell - Stop Loss,AOS16
2024-08-02 12:04:00-04:00,81.63,81.52,Buy,AOS18
2024-08-02 12:06:00-04:00,81.78,81.52,Sell - Away from SMA,AOS18
2024-08-02 12:18:00-04:00,81.70,81.59,Buy,AOS19
2024-08-02 12:20:00-04:00,81.94,81.59,Sell - Away from SMA,AOS19
2024-08-02 12:26:00-04:00,81.92,81.84,Buy,AOS20
2024-08-02 12:28:00-04:00,82.02,81.84,Sell - Away from SMA,AOS20
2024-08-02 15:00:00-04:00,81.89,81.85,Buy,AOS21
2024-08-02 15:02:00-04:00,82.01,81.85,Sell - Away from SMA,AOS21
2024-08-02 15:30:00-04:00,82.24,82.18,Buy,AOS22
2024-08-02 15:32:00-04:00,82.31,82.18,Sell - Away from SMA,AOS22
2024-08-05 12:02:00-04:00,81.97,81.85,Buy,AOS23
2024-08-05 12:06:00-04:00,82.02,81.85,Sell - Away from SMA,AOS23
2024-08-05 12:26:00-04:00,82.38,82.29,Buy,AOS24
2024-08-05 12:28:00-04:00,82.54,82.29,Sell - Away from SMA,AOS24
2024-08-05 13:20:00-04:00,82.06,81.98,Buy,AOS25
2024-08-05 13:22:00-04:00,82.09,81.98,Sell - Away from SMA,AOS25
2024-08-06 10:20:00-04:00,82.81,82.74,Buy,AOS26
2024-08-06 10:22:00-04:00,82.95,82.74,Sell - Away from SMA,AOS26
2024-08-09 12:32:00-04:00,80.93,80.90,Buy,AOS27
2024-08-09 12:46:00-04:00,80.90,80.90,Sell - Stop Loss,AOS27
2024-08-13 09:50:00-04:00,79.61,79.49,Buy,AOS28
2024-08-13 09:52:00-04:00,79.66,79.49,Sell - Away from SMA,AOS28
2024-08-13 15:26:00-04:00,79.47,79.42,Buy,AOS29
2024-08-13 15:28:00-04:00,79.53,79.42,Sell - Away from SMA,AOS29
2024-08-15 10:58:00-04:00,80.40,80.33,Buy,AOS30
2024-08-15 11:00:00-04:00,80.44,80.33,Sell - Away from SMA,AOS30
2024-08-19 10:06:00-04:00,79.94,79.83,Buy,AOS31
2024-08-19 10:08:00-04:00,79.98,79.83,Sell - Away from SMA,AOS31
2024-08-19 14:18:00-04:00,80.39,80.37,Buy,AOS32
2024-08-19 14:24:00-04:00,80.37,80.37,Sell - Stop Loss,AOS32
2024-08-19 15:16:00-04:00,80.38,80.34,Buy,AOS33
2024-08-19 15:48:00-04:00,80.56,80.34,Sell - Away from SMA,AOS33
2024-08-20 09:56:00-04:00,80.86,80.82,Buy,AOS34
2024-08-20 09:58:00-04:00,80.82,80.82,Sell - Stop Loss,AOS34
2024-08-20 15:10:00-04:00,80.95,80.90,Buy,AOS35
2024-08-20 15:12:00-04:00,81.02,80.90,Sell - Away from SMA,AOS35
2024-08-21 10:40:00-04:00,81.74,81.71,Buy,AOS36
2024-08-21 10:44:00-04:00,81.94,81.71,Sell - Away from SMA,AOS36
