Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:46:00-04:00,121.37,121.34,Buy,ATO1
2024-07-16 10:52:00-04:00,121.60,121.34,Sell - Away from SMA,ATO1
2024-07-16 11:02:00-04:00,121.56,121.49,Buy,ATO2
2024-07-16 11:10:00-04:00,121.65,121.49,Sell - Away from SMA,ATO2
2024-07-16 12:08:00-04:00,121.85,121.79,Buy,ATO3
2024-07-16 12:10:00-04:00,121.95,121.79,Sell - Away from SMA,ATO3
2024-07-16 12:22:00-04:00,121.97,121.93,Buy,ATO4
2024-07-16 12:28:00-04:00,121.93,121.93,Sell - Stop Loss,ATO4
2024-07-17 10:28:00-04:00,124.80,124.69,Buy,ATO5
2024-07-17 10:32:00-04:00,124.69,124.69,Sell - Stop Loss,ATO5
2024-07-17 11:24:00-04:00,125.09,125.02,Buy,ATO6
2024-07-17 11:30:00-04:00,125.02,125.02,Sell - Stop Loss,ATO6
2024-07-18 11:30:00-04:00,124.76,124.73,Buy,ATO7
2024-07-18 11:32:00-04:00,124.73,124.73,Sell - Stop Loss,ATO7
2024-07-22 09:34:00-04:00,123.18,122.82,Buy,ATO8
2024-07-22 09:36:00-04:00,123.53,122.82,Sell - Away from SMA,ATO8
2024-07-22 11:18:00-04:00,123.72,123.62,Buy,ATO9
2024-07-22 11:20:00-04:00,123.69,123.62,Sell - Away from SMA,ATO9
2024-07-22 13:18:00-04:00,123.57,123.51,Buy,ATO10
2024-07-22 13:20:00-04:00,123.59,123.51,Sell - Away from SMA,ATO10
2024-07-22 15:36:00-04:00,123.61,123.51,Buy,ATO11
2024-07-22 15:38:00-04:00,123.65,123.51,Sell - Away from SMA,ATO11
2024-07-23 10:16:00-04:00,124.06,123.92,Buy,ATO12
2024-07-23 10:18:00-04:00,124.14,123.92,Sell - Away from SMA,ATO12
2024-07-23 14:18:00-04:00,124.87,124.76,Buy,ATO13
2024-07-23 14:20:00-04:00,124.91,124.76,Sell - Away from SMA,ATO13
2024-07-23 15:10:00-04:00,125.09,125.06,Buy,ATO14
2024-07-23 15:16:00-04:00,125.06,125.06,Sell - Stop Loss,ATO14
2024-07-24 11:32:00-04:00,125.49,125.45,Buy,ATO15
2024-07-24 11:40:00-04:00,125.62,125.45,Sell - Away from SMA,ATO15
2024-07-25 12:58:00-04:00,126.58,126.54,Buy,ATO16
2024-07-25 13:00:00-04:00,126.54,126.54,Sell - Stop Loss,ATO16
2024-07-29 11:16:00-04:00,126.69,126.65,Buy,ATO17
2024-07-29 11:18:00-04:00,126.71,126.65,Sell - Away from SMA,ATO17
2024-07-30 09:48:00-04:00,127.08,127.05,Buy,ATO18
2024-07-30 09:50:00-04:00,127.50,127.05,Sell - Away from SMA,ATO18
2024-07-30 10:56:00-04:00,127.83,127.76,Buy,ATO19
2024-07-30 11:00:00-04:00,127.86,127.76,Sell - Away from SMA,ATO19
2024-07-30 14:02:00-04:00,128.24,128.21,Buy,ATO20
2024-07-30 14:04:00-04:00,128.36,128.21,Sell - Away from SMA,ATO20
2024-07-31 14:44:00-04:00,128.29,128.23,Buy,ATO21
2024-07-31 14:46:00-04:00,128.44,128.23,Sell - Away from SMA,ATO21
2024-08-01 14:28:00-04:00,129.60,129.58,Buy,ATO22
2024-08-01 14:30:00-04:00,129.58,129.58,Sell - Stop Loss,ATO22
2024-08-01 15:50:00-04:00,130.17,130.06,Buy,ATO23
2024-08-01 15:52:00-04:00,130.28,130.06,Sell - Away from SMA,ATO23
2024-08-02 14:52:00-04:00,128.80,128.71,Buy,ATO24
2024-08-02 14:54:00-04:00,129.02,128.71,Sell - Away from SMA,ATO24
2024-08-05 09:30:00-04:00,130.11,129.94,Buy,ATO25
2024-08-05 09:32:00-04:00,131.36,129.94,Sell - Away from SMA,ATO25
2024-08-06 12:50:00-04:00,128.49,128.43,Buy,ATO26
2024-08-06 12:52:00-04:00,128.68,128.43,Sell - Away from SMA,ATO26
2024-08-06 13:14:00-04:00,128.90,128.80,Buy,ATO27
2024-08-06 13:16:00-04:00,128.80,128.80,Sell - Stop Loss,ATO27
2024-08-07 12:32:00-04:00,129.01,128.95,Buy,ATO28
2024-08-07 12:36:00-04:00,128.95,128.95,Sell - Stop Loss,ATO28
2024-08-09 10:40:00-04:00,127.62,127.52,Buy,ATO29
2024-08-09 10:42:00-04:00,127.52,127.52,Sell - Stop Loss,ATO29
2024-08-09 11:12:00-04:00,127.56,127.43,Buy,ATO30
2024-08-09 11:14:00-04:00,127.79,127.43,Sell - Away from SMA,ATO30
2024-08-09 15:26:00-04:00,127.70,127.64,Buy,ATO31
2024-08-09 15:30:00-04:00,127.64,127.64,Sell - Stop Loss,ATO31
2024-08-13 09:50:00-04:00,129.14,129.06,Buy,ATO32
2024-08-13 09:52:00-04:00,129.21,129.06,Sell - Away from SMA,ATO32
2024-08-13 10:58:00-04:00,128.86,128.74,Buy,ATO33
