Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,60.710,60.755,60.710,60.755,60.755,13880.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,60.735,60.850,60.710,60.740,60.740,1153.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,60.850,61.110,60.850,60.930,60.930,4682.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,61.120,61.120,60.960,60.960,60.960,4526.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,60.940,60.960,60.800,60.960,60.960,3417.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,60.950,60.970,60.910,60.910,60.910,4863.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,60.930,61.020,60.915,60.950,60.950,5231.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,60.930,61.020,60.870,60.900,60.900,4574.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,60.930,60.970,60.930,60.970,60.970,1861.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,60.930,60.990,60.900,60.990,60.990,3349.000,60.907,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,60.970,61.130,60.960,61.071,61.071,13098.000,60.938,nan,False,Noise Bar,0.032,Empty
2024-07-15 09:52:00-04:00,61.140,61.160,61.085,61.085,61.085,3989.000,60.973,nan,False,Noise Bar,0.034,Empty
2024-07-15 09:54:00-04:00,61.130,61.160,61.120,61.150,61.150,2106.000,60.995,nan,False,Noise Bar,0.022,Empty
2024-07-15 09:56:00-04:00,61.130,61.155,61.070,61.095,61.095,2608.000,61.008,nan,False,Noise Bar,0.014,Empty
2024-07-15 09:58:00-04:00,61.130,61.160,61.130,61.140,61.140,3015.000,61.026,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:00:00-04:00,61.130,61.150,61.090,61.135,61.135,8647.000,61.049,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:02:00-04:00,61.170,61.265,61.150,61.240,61.240,3622.000,61.078,nan,False,Noise Bar,0.029,Empty
2024-07-15 10:04:00-04:00,61.240,61.240,61.180,61.180,61.180,2891.000,61.106,nan,False,Noise Bar,0.028,Empty
2024-07-15 10:06:00-04:00,61.140,61.190,61.100,61.100,61.100,6333.000,61.119,nan,False,Noise Bar,0.013,Empty
2024-07-15 10:08:00-04:00,61.130,61.225,61.100,61.225,61.225,4373.000,61.142,nan,False,Noise Bar,0.023,Empty
2024-07-15 10:10:00-04:00,61.240,61.270,61.180,61.270,61.270,4721.000,61.162,nan,False,Noise Bar,0.020,Empty
2024-07-15 10:12:00-04:00,61.260,61.260,61.220,61.220,61.220,2556.000,61.176,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:14:00-04:00,61.200,61.230,61.190,61.225,61.225,4206.000,61.183,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:16:00-04:00,61.225,61.265,61.220,61.220,61.220,4466.000,61.195,nan,False,Noise Bar,0.012,Empty
2024-07-15 10:18:00-04:00,61.230,61.240,61.170,61.215,61.215,5720.000,61.203,nan,False,Noise Bar,0.008,Empty
2024-07-15 10:20:00-04:00,61.230,61.270,61.230,61.260,61.260,4325.000,61.215,nan,False,Noise Bar,0.013,Empty
2024-07-15 10:22:00-04:00,61.260,61.260,61.210,61.250,61.250,4329.000,61.216,nan,False,Noise Bar,0.001,Empty
2024-07-15 10:24:00-04:00,61.260,61.260,61.230,61.234,61.234,1657.000,61.222,nan,False,Noise Bar,0.005,Empty
2024-07-15 10:26:00-04:00,61.210,61.230,61.150,61.155,61.155,6534.000,61.227,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:28:00-04:00,61.155,61.170,61.110,61.150,61.150,6130.000,61.220,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:30:00-04:00,61.160,61.260,61.150,61.235,61.235,9629.000,61.216,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:32:00-04:00,61.260,61.300,61.250,61.290,61.290,6007.000,61.223,nan,False,Noise Bar,0.007,Empty
2024-07-15 10:34:00-04:00,61.350,61.350,61.300,61.330,61.330,5939.000,61.234,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:36:00-04:00,61.330,61.410,61.330,61.400,61.400,9396.000,61.252,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:38:00-04:00,61.415,61.420,61.360,61.370,61.370,6959.000,61.267,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:40:00-04:00,61.385,61.385,61.330,61.360,61.360,6845.000,61.277,nan,False,Noise Bar,0.010,Empty
2024-07-15 10:42:00-04:00,61.390,61.425,61.380,61.400,61.400,5447.000,61.292,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:44:00-04:00,61.390,61.430,61.380,61.425,61.425,6397.000,61.312,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:46:00-04:00,61.425,61.430,61.370,61.420,61.420,10942.000,61.338,nan,False,Noise Bar,0.026,Empty
2024-07-15 10:48:00-04:00,61.400,61.405,61.350,61.370,61.370,6582.000,61.360,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:50:00-04:00,61.350,61.350,61.210,61.255,61.255,6803.000,61.362,nan,False,Noise Bar,0.002,Empty
2024-07-15 10:52:00-04:00,61.280,61.430,61.275,61.375,61.375,7229.000,61.371,nan,False,Noise Bar,0.008,Empty
2024-07-15 10:54:00-04:00,61.400,61.405,61.320,61.355,61.355,5980.000,61.373,nan,False,Noise Bar,0.002,Empty
2024-07-15 10:56:00-04:00,61.335,61.335,61.190,61.190,61.190,4362.000,61.352,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:58:00-04:00,61.220,61.300,61.210,61.280,61.280,6507.000,61.343,nan,False,Noise Bar,-0.009,Empty
2024-07-15 11:00:00-04:00,61.280,61.360,61.280,61.345,61.345,5628.000,61.341,nan,False,Noise Bar,-0.001,Empty
2024-07-15 11:02:00-04:00,61.340,61.400,61.330,61.380,61.380,3449.000,61.339,nan,False,Noise Bar,-0.002,Empty
2024-07-15 11:04:00-04:00,61.370,61.410,61.350,61.385,61.385,12379.000,61.335,nan,False,Noise Bar,-0.004,Empty
2024-07-15 11:06:00-04:00,61.360,61.390,61.290,61.290,61.290,6610.000,61.322,nan,False,Noise Bar,-0.013,Empty
2024-07-15 11:08:00-04:00,61.290,61.330,61.190,61.190,61.190,15931.000,61.304,nan,False,Noise Bar,-0.018,Empty
2024-07-15 11:10:00-04:00,61.210,61.230,61.180,61.210,61.210,8400.000,61.300,nan,False,Noise Bar,-0.005,Empty
2024-07-15 11:12:00-04:00,61.220,61.290,61.205,61.250,61.250,5831.000,61.287,nan,False,Noise Bar,-0.013,Empty
2024-07-15 11:14:00-04:00,61.165,61.170,61.165,61.170,61.170,2896.000,61.269,nan,False,Noise Bar,-0.019,Empty
2024-07-15 11:16:00-04:00,61.190,61.200,61.160,61.175,61.175,9478.000,61.267,nan,False,Noise Bar,-0.001,Empty
2024-07-15 11:18:00-04:00,61.175,61.280,61.175,61.280,61.280,6285.000,61.267,nan,False,Noise Bar,0.000,Empty
2024-07-15 11:20:00-04:00,61.270,61.350,61.270,61.350,61.350,6520.000,61.268,nan,False,Noise Bar,0.000,Empty
2024-07-15 11:22:00-04:00,61.320,61.360,61.300,61.345,61.345,4309.000,61.264,nan,False,Noise Bar,-0.003,Empty
2024-07-15 11:24:00-04:00,61.350,61.360,61.320,61.330,61.330,3847.000,61.259,nan,False,Noise Bar,-0.005,Empty
2024-07-15 11:26:00-04:00,61.320,61.340,61.280,61.340,61.340,4935.000,61.264,nan,False,Noise Bar,0.005,Empty
2024-07-15 11:28:00-04:00,61.320,61.380,61.305,61.380,61.380,5343.000,61.283,nan,False,Noise Bar,0.019,Empty
2024-07-15 11:30:00-04:00,61.380,61.500,61.360,61.490,61.490,5339.000,61.311,nan,False,Noise Bar,0.028,Empty
2024-07-15 11:32:00-04:00,61.470,61.570,61.470,61.570,61.570,5174.000,61.343,nan,False,Noise Bar,0.032,Empty
2024-07-15 11:34:00-04:00,61.590,61.640,61.580,61.600,61.600,12665.000,61.386,nan,False,Noise Bar,0.043,Empty
2024-07-15 11:36:00-04:00,61.605,61.605,61.530,61.530,61.530,7970.000,61.422,nan,False,Noise Bar,0.035,Empty
2024-07-15 11:38:00-04:00,61.531,61.610,61.520,61.605,61.605,15171.000,61.454,nan,False,Noise Bar,0.033,Empty
2024-07-15 11:40:00-04:00,61.600,61.660,61.590,61.640,61.640,7827.000,61.483,nan,False,Noise Bar,0.029,Empty
2024-07-15 11:42:00-04:00,61.650,61.690,61.650,61.680,61.680,5075.000,61.517,nan,False,Noise Bar,0.033,Empty
2024-07-15 11:44:00-04:00,61.670,61.670,61.620,61.640,61.640,9089.000,61.547,nan,False,Noise Bar,0.031,Empty
2024-07-15 11:46:00-04:00,61.625,61.710,61.600,61.710,61.710,6140.000,61.584,nan,False,Noise Bar,0.037,Empty
2024-07-15 11:48:00-04:00,61.680,61.680,61.635,61.635,61.635,1523.000,61.610,nan,False,Noise Bar,0.025,Empty
2024-07-15 11:50:00-04:00,61.620,61.680,61.620,61.650,61.650,3006.000,61.626,nan,False,Noise Bar,0.016,Empty
2024-07-15 11:52:00-04:00,61.669,61.720,61.655,61.680,61.680,4382.000,61.637,nan,False,Noise Bar,0.011,Empty
2024-07-15 11:54:00-04:00,61.650,61.670,61.650,61.660,61.660,4143.000,61.643,nan,False,Noise Bar,0.006,Empty
2024-07-15 11:56:00-04:00,61.660,61.675,61.660,61.660,61.660,4249.000,61.656,nan,False,Noise Bar,0.013,Empty
2024-07-15 11:58:00-04:00,61.664,61.664,61.630,61.630,61.630,2102.000,61.658,nan,False,Noise Bar,0.003,Empty
2024-07-15 12:00:00-04:00,61.630,61.630,61.570,61.580,61.580,7554.000,61.653,nan,False,Noise Bar,-0.006,Empty
2024-07-15 12:02:00-04:00,61.570,61.580,61.490,61.490,61.490,6076.000,61.634,nan,False,Noise Bar,-0.019,Empty
2024-07-15 12:04:00-04:00,61.480,61.500,61.420,61.450,61.450,4762.000,61.615,nan,False,Noise Bar,-0.019,Empty
2024-07-15 12:06:00-04:00,61.425,61.440,61.425,61.440,61.440,2952.000,61.588,nan,False,Noise Bar,-0.027,Empty
2024-07-15 12:08:00-04:00,61.430,61.485,61.410,61.485,61.485,5587.000,61.573,nan,False,Noise Bar,-0.015,Empty
2024-07-15 12:10:00-04:00,61.500,61.520,61.460,61.470,61.470,5075.000,61.555,nan,False,Noise Bar,-0.018,Empty
2024-07-15 12:12:00-04:00,61.500,61.510,61.490,61.510,61.510,2109.000,61.538,nan,False,Noise Bar,-0.017,Empty
2024-07-15 12:14:00-04:00,61.510,61.515,61.450,61.450,61.450,5762.000,61.517,nan,False,Noise Bar,-0.021,Empty
2024-07-15 12:16:00-04:00,61.450,61.450,61.440,61.450,61.450,2210.000,61.496,nan,False,Noise Bar,-0.021,Empty
2024-07-15 12:18:00-04:00,61.455,61.470,61.440,61.470,61.470,2295.000,61.480,nan,False,Noise Bar,-0.016,Empty
2024-07-15 12:20:00-04:00,61.490,61.500,61.470,61.485,61.485,3141.000,61.470,nan,False,Noise Bar,-0.010,Empty
2024-07-15 12:22:00-04:00,61.480,61.530,61.460,61.530,61.530,9121.000,61.474,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:24:00-04:00,61.530,61.570,61.520,61.530,61.530,12182.000,61.482,nan,False,Noise Bar,0.008,Empty
2024-07-15 12:26:00-04:00,61.530,61.540,61.470,61.480,61.480,4952.000,61.486,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:28:00-04:00,61.480,61.480,61.470,61.480,61.480,1983.000,61.485,nan,False,Noise Bar,-0.001,Empty
2024-07-15 12:30:00-04:00,61.460,61.475,61.450,61.450,61.450,3457.000,61.483,nan,False,Noise Bar,-0.002,Empty
2024-07-15 12:32:00-04:00,61.450,61.480,61.450,61.469,61.469,4861.000,61.479,nan,False,Noise Bar,-0.004,Empty
2024-07-15 12:34:00-04:00,61.470,61.485,61.470,61.480,61.480,2674.000,61.482,nan,False,Noise Bar,0.003,Empty
2024-07-15 12:36:00-04:00,61.490,61.550,61.490,61.540,61.540,5638.000,61.491,nan,False,Noise Bar,0.009,Empty
2024-07-15 12:38:00-04:00,61.542,61.550,61.530,61.530,61.530,3740.000,61.497,nan,False,Noise Bar,0.006,Empty
2024-07-15 12:40:00-04:00,61.530,61.540,61.480,61.540,61.540,6946.000,61.503,nan,False,Noise Bar,0.006,Empty
2024-07-15 12:42:00-04:00,61.540,61.540,61.500,61.505,61.505,3301.000,61.500,nan,False,Noise Bar,-0.002,Empty
2024-07-15 12:44:00-04:00,61.505,61.505,61.490,61.500,61.500,3431.000,61.497,nan,False,Noise Bar,-0.003,Empty
2024-07-15 12:46:00-04:00,61.500,61.500,61.455,61.470,61.470,4134.000,61.496,nan,False,Noise Bar,-0.001,Empty
2024-07-15 12:48:00-04:00,61.465,61.470,61.465,61.465,61.465,1374.000,61.495,61.338,True,Noise Bar,-0.001,Empty
2024-07-15 12:50:00-04:00,61.475,61.480,61.460,61.470,61.470,3618.000,61.497,61.345,True,Noise Bar,0.002,Empty
2024-07-15 12:52:00-04:00,61.460,61.460,61.430,61.440,61.440,3988.000,61.494,61.352,True,Noise Bar,-0.003,Empty
2024-07-15 12:54:00-04:00,61.445,61.460,61.430,61.430,61.430,6147.000,61.489,61.357,True,Noise Bar,-0.005,Empty
2024-07-15 12:56:00-04:00,61.430,61.460,61.420,61.420,61.420,2579.000,61.477,61.362,True,Noise Bar,-0.012,Empty
2024-07-15 12:58:00-04:00,61.420,61.420,61.390,61.395,61.395,2669.000,61.464,61.366,True,Noise Bar,-0.013,Empty
2024-07-15 13:00:00-04:00,61.395,61.395,61.360,61.360,61.360,4092.000,61.446,61.370,True,Noise Bar,-0.018,Empty
2024-07-15 13:02:00-04:00,61.370,61.390,61.370,61.370,61.370,3938.000,61.432,61.375,True,Noise Bar,-0.014,Empty
2024-07-15 13:04:00-04:00,61.370,61.370,61.360,61.370,61.370,1371.000,61.419,61.379,True,Noise Bar,-0.013,Empty
2024-07-15 13:06:00-04:00,61.370,61.405,61.370,61.400,61.400,4438.000,61.412,61.384,True,Noise Bar,-0.007,Empty
2024-07-15 13:08:00-04:00,61.400,61.400,61.380,61.400,61.400,3160.000,61.406,61.388,True,Noise Bar,-0.006,Empty
2024-07-15 13:10:00-04:00,61.390,61.395,61.360,61.360,61.360,2667.000,61.394,61.391,True,Noise Bar,-0.011,Empty
2024-07-15 13:12:00-04:00,61.360,61.370,61.330,61.345,61.345,2496.000,61.385,61.393,False,Noise Bar,-0.009,Empty
2024-07-15 13:14:00-04:00,61.345,61.380,61.330,61.350,61.350,3617.000,61.377,61.395,False,Noise Bar,-0.008,Empty
2024-07-15 13:16:00-04:00,61.362,61.380,61.345,61.380,61.380,5701.000,61.373,61.398,False,Noise Bar,-0.004,Empty
2024-07-15 13:18:00-04:00,61.380,61.445,61.380,61.440,61.440,4908.000,61.378,61.401,False,Noise Bar,0.004,Empty
2024-07-15 13:20:00-04:00,61.430,61.430,61.370,61.385,61.385,4858.000,61.380,61.404,False,Noise Bar,0.002,Empty
2024-07-15 13:22:00-04:00,61.385,61.400,61.385,61.390,61.390,1470.000,61.382,61.405,False,Noise Bar,0.002,Empty
2024-07-15 13:24:00-04:00,61.395,61.420,61.395,61.410,61.410,3928.000,61.386,61.407,False,Noise Bar,0.004,Empty
2024-07-15 13:26:00-04:00,61.400,61.400,61.330,61.350,61.350,10778.000,61.381,61.410,False,Noise Bar,-0.005,Empty
2024-07-15 13:28:00-04:00,61.335,61.340,61.305,61.305,61.305,3142.000,61.371,61.411,False,Noise Bar,-0.010,Empty
2024-07-15 13:30:00-04:00,61.300,61.310,61.260,61.290,61.290,2650.000,61.364,61.411,False,Noise Bar,-0.007,Empty
2024-07-15 13:32:00-04:00,61.275,61.300,61.260,61.280,61.280,5596.000,61.358,61.412,False,Noise Bar,-0.007,Empty
2024-07-15 13:34:00-04:00,61.275,61.280,61.260,61.270,61.270,1260.000,61.350,61.412,False,Noise Bar,-0.008,Empty
2024-07-15 13:36:00-04:00,61.270,61.306,61.265,61.290,61.290,6828.000,61.341,61.413,False,Noise Bar,-0.009,Empty
2024-07-15 13:38:00-04:00,61.270,61.275,61.250,61.260,61.260,2135.000,61.323,61.413,False,Noise Bar,-0.018,Empty
2024-07-15 13:40:00-04:00,61.280,61.300,61.275,61.290,61.290,6065.000,61.313,61.413,False,Noise Bar,-0.009,Empty
2024-07-15 13:42:00-04:00,61.290,61.325,61.290,61.290,61.290,8869.000,61.303,61.414,False,Noise Bar,-0.010,Empty
2024-07-15 13:44:00-04:00,61.290,61.300,61.240,61.270,61.270,6486.000,61.290,61.414,False,Noise Bar,-0.014,Empty
2024-07-15 13:46:00-04:00,61.270,61.280,61.200,61.210,61.210,4422.000,61.276,61.415,False,Noise Bar,-0.014,Empty
2024-07-15 13:48:00-04:00,61.205,61.220,61.190,61.190,61.190,2917.000,61.264,61.415,False,Noise Bar,-0.012,Empty
2024-07-15 13:50:00-04:00,61.200,61.240,61.180,61.240,61.240,5967.000,61.259,61.415,False,Noise Bar,-0.005,Empty
2024-07-15 13:52:00-04:00,61.255,61.290,61.250,61.290,61.290,3382.000,61.260,61.415,False,Noise Bar,0.001,Empty
2024-07-15 13:54:00-04:00,61.290,61.320,61.285,61.320,61.320,7421.000,61.265,61.415,False,Noise Bar,0.005,Empty
2024-07-15 13:56:00-04:00,61.320,61.320,61.280,61.280,61.280,4134.000,61.264,61.414,False,Noise Bar,-0.001,Empty
2024-07-15 13:58:00-04:00,61.275,61.275,61.230,61.230,61.230,2777.000,61.261,61.412,False,Noise Bar,-0.003,Empty
2024-07-15 14:00:00-04:00,61.230,61.230,61.200,61.200,61.200,1167.000,61.252,61.411,False,Noise Bar,-0.009,Empty
2024-07-15 14:02:00-04:00,61.210,61.250,61.210,61.230,61.230,9637.000,61.246,61.409,False,Noise Bar,-0.006,Empty
2024-07-15 14:04:00-04:00,61.220,61.280,61.200,61.210,61.210,5335.000,61.240,61.407,False,Noise Bar,-0.006,Empty
2024-07-15 14:06:00-04:00,61.220,61.220,61.210,61.210,61.210,1155.000,61.240,61.405,False,Noise Bar,0.000,Empty
2024-07-15 14:08:00-04:00,61.230,61.230,61.210,61.230,61.230,3491.000,61.244,61.404,False,Noise Bar,0.004,Empty
2024-07-15 14:10:00-04:00,61.230,61.260,61.230,61.250,61.250,3730.000,61.245,61.403,False,Noise Bar,0.001,Empty
2024-07-15 14:12:00-04:00,61.245,61.245,61.200,61.205,61.205,2603.000,61.236,61.402,False,Noise Bar,-0.008,Empty
2024-07-15 14:14:00-04:00,61.220,61.220,61.190,61.190,61.190,1574.000,61.223,61.400,False,Noise Bar,-0.013,Empty
2024-07-15 14:16:00-04:00,61.200,61.220,61.200,61.210,61.210,4225.000,61.216,61.400,False,Noise Bar,-0.007,Empty
2024-07-15 14:18:00-04:00,61.230,61.270,61.230,61.270,61.270,5590.000,61.220,61.400,False,Noise Bar,0.004,Empty
2024-07-15 14:20:00-04:00,61.270,61.270,61.255,61.255,61.255,3632.000,61.226,61.399,False,Noise Bar,0.006,Empty
2024-07-15 14:22:00-04:00,61.260,61.280,61.260,61.280,61.280,1911.000,61.231,61.398,False,Noise Bar,0.005,Empty
2024-07-15 14:24:00-04:00,61.280,61.280,61.250,61.250,61.250,2132.000,61.235,61.397,False,Noise Bar,0.004,Empty
2024-07-15 14:26:00-04:00,61.280,61.280,61.250,61.250,61.250,4214.000,61.239,61.397,False,Noise Bar,0.004,Empty
2024-07-15 14:28:00-04:00,61.250,61.306,61.250,61.290,61.290,3151.000,61.245,61.398,False,Noise Bar,0.006,Empty
2024-07-15 14:30:00-04:00,61.290,61.300,61.270,61.280,61.280,2292.000,61.248,61.398,False,Noise Bar,0.003,Empty
2024-07-15 14:32:00-04:00,61.280,61.310,61.280,61.290,61.290,4246.000,61.256,61.399,False,Noise Bar,0.008,Empty
2024-07-15 14:34:00-04:00,61.290,61.290,61.280,61.290,61.290,2983.000,61.267,61.400,False,Noise Bar,0.010,Empty
2024-07-15 14:36:00-04:00,61.285,61.290,61.280,61.290,61.290,4742.000,61.275,61.401,False,Noise Bar,0.008,Empty
2024-07-15 14:38:00-04:00,61.300,61.310,61.270,61.270,61.270,3886.000,61.275,61.401,False,Noise Bar,0.000,Empty
2024-07-15 14:40:00-04:00,61.270,61.310,61.270,61.300,61.300,6226.000,61.279,61.400,False,Noise Bar,0.004,Empty
2024-07-15 14:42:00-04:00,61.300,61.310,61.270,61.280,61.280,6679.000,61.279,61.400,False,Noise Bar,0.000,Empty
2024-07-15 14:44:00-04:00,61.280,61.280,61.250,61.250,61.250,3317.000,61.279,61.399,False,Noise Bar,0.000,Empty
2024-07-15 14:46:00-04:00,61.250,61.250,61.200,61.220,61.220,3301.000,61.276,61.398,False,Noise Bar,-0.003,Empty
2024-07-15 14:48:00-04:00,61.210,61.230,61.210,61.210,61.210,8819.000,61.268,61.396,False,Noise Bar,-0.008,Empty
