Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:06:00-04:00,61.68,61.63,Buy,BALL1
2024-07-16 13:06:00-04:00,61.63,61.63,Sell - Stop Loss,BALL1
2024-07-17 09:56:00-04:00,62.26,62.11,Buy,BALL2
2024-07-17 09:58:00-04:00,62.47,62.11,Sell - Away from SMA,BALL2
2024-07-17 10:18:00-04:00,62.59,62.53,Buy,BALL3
2024-07-17 10:20:00-04:00,62.53,62.53,Sell - Stop Loss,BALL3
2024-07-18 10:20:00-04:00,62.51,62.44,Buy,BALL4
2024-07-18 10:24:00-04:00,62.44,62.44,Sell - Stop Loss,BALL4
2024-07-22 15:58:00-04:00,61.25,61.18,Buy,BALL5
2024-07-23 09:30:00-04:00,63.70,61.18,Sell - Away from SMA,BALL5
2024-07-23 11:08:00-04:00,63.02,62.95,Buy,BALL6
2024-07-23 11:10:00-04:00,63.06,62.95,Sell - Away from SMA,BALL6
2024-07-23 11:20:00-04:00,63.08,63.02,Buy,BALL7
2024-07-23 11:24:00-04:00,63.17,63.02,Sell - Away from SMA,BALL7
2024-07-23 11:42:00-04:00,63.18,63.14,Buy,BALL8
2024-07-23 11:44:00-04:00,63.27,63.14,Sell - Away from SMA,BALL8
2024-07-25 12:26:00-04:00,62.75,62.72,Buy,BALL9
2024-07-25 12:42:00-04:00,62.94,62.72,Sell - Away from SMA,BALL9
2024-07-26 10:22:00-04:00,62.84,62.79,Buy,BALL10
2024-07-26 10:26:00-04:00,62.95,62.79,Sell - Away from SMA,BALL10
2024-07-26 11:10:00-04:00,62.89,62.82,Buy,BALL11
2024-07-26 11:12:00-04:00,62.82,62.82,Sell - Stop Loss,BALL11
2024-07-26 11:44:00-04:00,62.81,62.78,Buy,BALL12
2024-07-26 11:46:00-04:00,62.78,62.78,Sell - Stop Loss,BALL12
2024-07-26 12:12:00-04:00,63.27,63.19,Buy,BALL13
2024-07-26 12:16:00-04:00,63.19,63.19,Sell - Stop Loss,BALL13
2024-07-29 15:26:00-04:00,63.26,63.23,Buy,BALL14
2024-07-29 15:30:00-04:00,63.23,63.23,Sell - Stop Loss,BALL14
2024-07-29 15:36:00-04:00,63.27,63.22,Buy,BALL15
2024-07-29 15:48:00-04:00,63.44,63.22,Sell - Away from SMA,BALL15
2024-07-31 11:58:00-04:00,64.02,63.96,Buy,BALL16
2024-07-31 12:00:00-04:00,64.11,63.96,Sell - Away from SMA,BALL16
2024-07-31 12:04:00-04:00,64.13,64.08,Buy,BALL17
2024-07-31 12:06:00-04:00,64.08,64.08,Sell - Stop Loss,BALL17
2024-07-31 12:12:00-04:00,64.17,64.10,Buy,BALL18
2024-07-31 12:20:00-04:00,64.27,64.10,Sell - Away from SMA,BALL18
2024-07-31 14:44:00-04:00,64.21,64.14,Buy,BALL19
2024-07-31 14:46:00-04:00,64.28,64.14,Sell - Away from SMA,BALL19
2024-08-02 12:46:00-04:00,63.97,63.91,Buy,BALL20
2024-08-02 12:48:00-04:00,64.04,63.91,Sell - Away from SMA,BALL20
2024-08-02 13:46:00-04:00,63.97,63.87,Buy,BALL21
2024-08-02 13:50:00-04:00,63.87,63.87,Sell - Stop Loss,BALL21
2024-08-02 14:26:00-04:00,64.43,64.34,Buy,BALL22
2024-08-02 14:28:00-04:00,64.46,64.34,Sell - Away from SMA,BALL22
2024-08-05 13:22:00-04:00,63.27,63.23,Buy,BALL23
2024-08-05 13:30:00-04:00,63.23,63.23,Sell - Stop Loss,BALL23
2024-08-05 14:06:00-04:00,63.17,63.14,Buy,BALL24
2024-08-05 14:08:00-04:00,63.26,63.14,Sell - Away from SMA,BALL24
2024-08-06 11:36:00-04:00,63.69,63.61,Buy,BALL25
2024-08-06 11:38:00-04:00,63.75,63.61,Sell - Away from SMA,BALL25
2024-08-06 11:48:00-04:00,63.76,63.72,Buy,BALL26
2024-08-06 11:50:00-04:00,63.86,63.72,Sell - Away from SMA,BALL26
2024-08-06 15:24:00-04:00,64.22,64.10,Buy,BALL27
2024-08-06 15:26:00-04:00,64.28,64.10,Sell - Away from SMA,BALL27
2024-08-07 11:52:00-04:00,64.08,64.02,Buy,BALL28
2024-08-07 11:56:00-04:00,64.02,64.02,Sell - Stop Loss,BALL28
2024-08-08 14:06:00-04:00,63.37,63.33,Buy,BALL29
2024-08-08 14:38:00-04:00,63.33,63.33,Sell - Stop Loss,BALL29
2024-08-08 15:00:00-04:00,63.37,63.33,Buy,BALL30
2024-08-08 15:02:00-04:00,63.33,63.33,Sell - Stop Loss,BALL30
2024-08-13 12:06:00-04:00,62.75,62.70,Buy,BALL31
2024-08-13 12:10:00-04:00,62.84,62.70,Sell - Away from SMA,BALL31
2024-08-19 09:54:00-04:00,63.43,63.38,Buy,BALL32
2024-08-19 09:56:00-04:00,63.38,63.38,Sell - Stop Loss,BALL32
2024-08-19 11:18:00-04:00,63.49,63.46,Buy,BALL33
2024-08-19 11:28:00-04:00,63.46,63.46,Sell - Stop Loss,BALL33
2024-08-20 10:30:00-04:00,63.52,63.44,Buy,BALL34
2024-08-20 10:46:00-04:00,63.54,63.51,Buy,BALL35
2024-08-20 10:52:00-04:00,63.51,63.51,Sell - Stop Loss,BALL35
2024-08-20 11:00:00-04:00,63.44,63.44,Sell - Stop Loss,BALL34
2024-08-21 15:40:00-04:00,63.96,63.92,Buy,BALL36
2024-08-21 15:44:00-04:00,63.92,63.92,Sell - Stop Loss,BALL36
