Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-17 10:46:00-04:00,39.36,39.24,Buy,BBWI1
2024-07-17 10:48:00-04:00,39.40,39.24,Sell - Away from SMA,BBWI1
2024-07-17 12:44:00-04:00,39.27,39.22,Buy,BBWI2
2024-07-17 12:46:00-04:00,39.39,39.22,Sell - Away from SMA,BBWI2
2024-07-18 09:56:00-04:00,40.29,40.18,Buy,BBWI3
2024-07-18 09:58:00-04:00,40.54,40.18,Sell - Away from SMA,BBWI3
2024-07-22 13:40:00-04:00,37.29,37.25,Buy,BBWI4
2024-07-22 13:44:00-04:00,37.25,37.25,Sell - Stop Loss,BBWI4
2024-07-22 15:50:00-04:00,37.31,37.26,Buy,BBWI5
2024-07-22 15:56:00-04:00,37.42,37.26,Sell - Away from SMA,BBWI5
2024-07-22 15:56:00-04:00,37.37,37.33,Buy,BBWI6
2024-07-22 15:58:00-04:00,37.51,37.33,Sell - Away from SMA,BBWI6
2024-07-23 14:36:00-04:00,37.42,37.36,Buy,BBWI7
2024-07-23 14:42:00-04:00,37.36,37.36,Sell - Stop Loss,BBWI7
2024-07-26 15:38:00-04:00,34.14,34.09,Buy,BBWI8
2024-07-26 15:54:00-04:00,34.09,34.09,Sell - Stop Loss,BBWI8
2024-07-29 14:12:00-04:00,35.07,35.02,Buy,BBWI9
2024-07-29 14:36:00-04:00,35.02,35.02,Sell - Stop Loss,BBWI9
2024-07-30 12:26:00-04:00,36.16,36.13,Buy,BBWI10
2024-07-30 12:28:00-04:00,36.27,36.13,Sell - Away from SMA,BBWI10
2024-07-30 15:14:00-04:00,36.32,36.26,Buy,BBWI11
2024-07-30 15:16:00-04:00,36.37,36.26,Sell - Away from SMA,BBWI11
2024-07-31 10:10:00-04:00,36.90,36.84,Buy,BBWI12
2024-07-31 10:12:00-04:00,37.08,36.84,Sell - Away from SMA,BBWI12
2024-07-31 14:48:00-04:00,37.24,37.19,Buy,BBWI13
2024-07-31 14:50:00-04:00,37.39,37.19,Sell - Away from SMA,BBWI13
2024-07-31 14:56:00-04:00,37.47,37.41,Buy,BBWI14
2024-07-31 14:58:00-04:00,37.57,37.41,Sell - Away from SMA,BBWI14
2024-08-06 10:28:00-04:00,31.68,31.63,Buy,BBWI15
2024-08-06 10:30:00-04:00,31.63,31.63,Sell - Stop Loss,BBWI15
2024-08-06 10:46:00-04:00,31.74,31.64,Buy,BBWI16
2024-08-06 10:48:00-04:00,31.78,31.64,Sell - Away from SMA,BBWI16
2024-08-08 10:16:00-04:00,31.52,31.41,Buy,BBWI17
2024-08-08 10:18:00-04:00,31.62,31.41,Sell - Away from SMA,BBWI17
2024-08-13 09:50:00-04:00,31.99,31.88,Buy,BBWI18
2024-08-13 09:52:00-04:00,32.07,31.88,Sell - Away from SMA,BBWI18
2024-08-13 10:54:00-04:00,31.83,31.77,Buy,BBWI19
2024-08-13 11:02:00-04:00,31.77,31.77,Sell - Stop Loss,BBWI19
2024-08-16 09:36:00-04:00,33.46,33.15,Buy,BBWI20
2024-08-16 09:38:00-04:00,33.58,33.15,Sell - Away from SMA,BBWI20
2024-08-16 11:30:00-04:00,33.60,33.57,Buy,BBWI21
2024-08-16 11:34:00-04:00,33.57,33.57,Sell - Stop Loss,BBWI21
2024-08-16 13:46:00-04:00,34.11,34.06,Buy,BBWI22
2024-08-16 13:54:00-04:00,34.22,34.06,Sell - Away from SMA,BBWI22
2024-08-19 11:12:00-04:00,34.43,34.38,Buy,BBWI23
2024-08-19 11:16:00-04:00,34.38,34.38,Sell - Stop Loss,BBWI23
2024-08-21 09:30:00-04:00,33.28,33.17,Buy,BBWI24
2024-08-21 09:32:00-04:00,33.99,33.17,Sell - Away from SMA,BBWI24
2024-08-21 09:38:00-04:00,33.98,33.86,Buy,BBWI25
2024-08-21 09:40:00-04:00,34.06,33.86,Sell - Away from SMA,BBWI25
2024-08-21 10:40:00-04:00,34.22,34.13,Buy,BBWI26
2024-08-21 10:42:00-04:00,34.30,34.13,Sell - Away from SMA,BBWI26
2024-08-21 12:46:00-04:00,34.21,34.16,Buy,BBWI27
2024-08-21 12:48:00-04:00,34.25,34.16,Sell - Away from SMA,BBWI27
2024-08-21 14:36:00-04:00,34.33,34.26,Buy,BBWI28
2024-08-21 14:38:00-04:00,34.38,34.26,Sell - Away from SMA,BBWI28
2024-08-21 15:38:00-04:00,34.56,34.52,Buy,BBWI29
2024-08-21 15:44:00-04:00,34.71,34.52,Sell - Away from SMA,BBWI29
2024-08-23 10:00:00-04:00,34.34,34.25,Buy,BBWI30
2024-08-23 10:02:00-04:00,34.58,34.25,Sell - Away from SMA,BBWI30
2024-08-23 11:00:00-04:00,34.86,34.77,Buy,BBWI31
2024-08-23 11:02:00-04:00,34.98,34.77,Sell - Away from SMA,BBWI31
