Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:34:00-04:00,65.61,65.55,Buy,BK1
2024-07-16 13:16:00-04:00,65.55,65.55,Sell - Stop Loss,BK1
2024-07-17 10:46:00-04:00,65.47,65.38,Buy,BK2
2024-07-17 10:48:00-04:00,65.38,65.38,Sell - Stop Loss,BK2
2024-07-22 11:30:00-04:00,63.00,62.96,Buy,BK3
2024-07-22 11:32:00-04:00,62.96,62.96,Sell - Stop Loss,BK3
2024-07-23 09:44:00-04:00,64.15,64.01,Buy,BK4
2024-07-23 09:46:00-04:00,64.35,64.01,Sell - Away from SMA,BK4
2024-07-25 10:36:00-04:00,64.79,64.71,Buy,BK5
2024-07-25 10:38:00-04:00,64.71,64.71,Sell - Stop Loss,BK5
2024-07-29 13:10:00-04:00,64.98,64.93,Buy,BK6
2024-07-29 13:12:00-04:00,65.08,64.93,Sell - Away from SMA,BK6
2024-07-30 09:56:00-04:00,65.46,65.39,Buy,BK7
2024-07-30 09:58:00-04:00,65.63,65.39,Sell - Away from SMA,BK7
2024-08-05 12:06:00-04:00,61.95,61.86,Buy,BK8
2024-08-05 12:08:00-04:00,61.99,61.86,Sell - Away from SMA,BK8
2024-08-05 12:40:00-04:00,62.11,62.02,Buy,BK9
2024-08-05 12:44:00-04:00,62.02,62.02,Sell - Stop Loss,BK9
2024-08-06 10:24:00-04:00,62.12,62.06,Buy,BK10
2024-08-06 10:26:00-04:00,62.30,62.06,Sell - Away from SMA,BK10
2024-08-06 11:02:00-04:00,61.99,61.91,Buy,BK11
2024-08-06 11:22:00-04:00,61.91,61.91,Sell - Stop Loss,BK11
2024-08-06 11:52:00-04:00,62.05,62.00,Buy,BK12
2024-08-06 11:54:00-04:00,62.09,62.00,Sell - Away from SMA,BK12
2024-08-07 09:42:00-04:00,63.22,63.14,Buy,BK13
2024-08-07 09:44:00-04:00,63.14,63.14,Sell - Stop Loss,BK13
2024-08-08 10:30:00-04:00,62.88,62.83,Buy,BK14
2024-08-08 10:32:00-04:00,62.96,62.83,Sell - Away from SMA,BK14
2024-08-08 11:04:00-04:00,63.25,63.18,Buy,BK15
2024-08-08 11:06:00-04:00,63.31,63.18,Sell - Away from SMA,BK15
2024-08-08 11:32:00-04:00,63.16,63.10,Buy,BK16
2024-08-08 11:34:00-04:00,63.10,63.10,Sell - Stop Loss,BK16
2024-08-08 14:02:00-04:00,63.36,63.31,Buy,BK17
2024-08-08 14:06:00-04:00,63.47,63.31,Sell - Away from SMA,BK17
2024-08-09 15:30:00-04:00,63.76,63.73,Buy,BK18
2024-08-09 15:32:00-04:00,63.73,63.73,Sell - Stop Loss,BK18
2024-08-12 10:02:00-04:00,63.67,63.62,Buy,BK19
2024-08-12 10:04:00-04:00,63.76,63.62,Sell - Away from SMA,BK19
2024-08-12 10:30:00-04:00,63.80,63.74,Buy,BK20
2024-08-12 10:36:00-04:00,63.90,63.74,Sell - Away from SMA,BK20
2024-08-13 12:16:00-04:00,63.26,63.22,Buy,BK21
2024-08-13 12:18:00-04:00,63.35,63.22,Sell - Away from SMA,BK21
2024-08-13 12:46:00-04:00,63.37,63.31,Buy,BK22
2024-08-13 12:48:00-04:00,63.45,63.31,Sell - Away from SMA,BK22
2024-08-14 09:36:00-04:00,63.84,63.71,Buy,BK23
2024-08-14 09:38:00-04:00,63.88,63.71,Sell - Away from SMA,BK23
2024-08-14 10:08:00-04:00,63.94,63.87,Buy,BK24
2024-08-14 10:16:00-04:00,64.08,63.87,Sell - Away from SMA,BK24
2024-08-14 12:10:00-04:00,64.05,64.02,Buy,BK25
2024-08-14 12:18:00-04:00,64.02,64.02,Sell - Stop Loss,BK25
2024-08-15 11:50:00-04:00,64.89,64.84,Buy,BK26
2024-08-15 11:58:00-04:00,64.95,64.90,Buy,BK27
2024-08-15 12:02:00-04:00,65.03,64.90,Sell - Away from SMA,BK27
2024-08-15 12:02:00-04:00,65.03,64.84,Sell - Away from SMA,BK26
2024-08-16 09:34:00-04:00,65.28,65.06,Buy,BK28
2024-08-16 09:36:00-04:00,65.38,65.06,Sell - Away from SMA,BK28
2024-08-20 10:40:00-04:00,65.70,65.64,Buy,BK29
2024-08-20 10:42:00-04:00,65.73,65.64,Sell - Away from SMA,BK29
2024-08-22 10:42:00-04:00,65.62,65.57,Buy,BK30
2024-08-22 10:44:00-04:00,65.65,65.57,Sell - Away from SMA,BK30
2024-08-22 11:50:00-04:00,65.79,65.70,Buy,BK31
2024-08-22 12:52:00-04:00,65.77,65.70,Sell - Away from SMA,BK31
2024-08-22 13:10:00-04:00,65.81,65.76,Buy,BK32
2024-08-22 13:22:00-04:00,65.76,65.76,Sell - Stop Loss,BK32
2024-08-23 10:00:00-04:00,65.96,65.90,Buy,BK33
2024-08-23 10:02:00-04:00,66.11,65.90,Sell - Away from SMA,BK33
2024-08-23 10:28:00-04:00,66.37,66.32,Buy,BK34
2024-08-23 10:32:00-04:00,66.32,66.32,Sell - Stop Loss,BK34
2024-08-23 11:18:00-04:00,66.42,66.35,Buy,BK35
2024-08-23 11:22:00-04:00,66.47,66.35,Sell - Away from SMA,BK35
