Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:44:00-04:00,66.04,65.90,Buy,C1
2024-07-16 10:46:00-04:00,66.29,65.90,Sell - Away from SMA,C1
2024-07-16 11:48:00-04:00,66.43,66.34,Buy,C2
2024-07-16 11:50:00-04:00,66.51,66.34,Sell - Away from SMA,C2
2024-07-16 12:56:00-04:00,66.83,66.77,Buy,C3
2024-07-16 13:02:00-04:00,66.77,66.77,Sell - Stop Loss,C3
2024-07-16 13:30:00-04:00,66.79,66.74,Buy,C4
2024-07-16 13:32:00-04:00,66.86,66.74,Sell - Away from SMA,C4
2024-07-17 11:00:00-04:00,67.55,67.47,Buy,C5
2024-07-17 11:02:00-04:00,67.72,67.47,Sell - Away from SMA,C5
2024-07-19 10:22:00-04:00,65.68,65.58,Buy,C6
2024-07-19 10:28:00-04:00,65.58,65.58,Sell - Stop Loss,C6
2024-07-19 10:36:00-04:00,65.73,65.64,Buy,C7
2024-07-19 10:38:00-04:00,65.88,65.64,Sell - Away from SMA,C7
2024-07-19 12:04:00-04:00,65.79,65.73,Buy,C8
2024-07-19 12:06:00-04:00,65.81,65.73,Sell - Away from SMA,C8
2024-07-19 12:14:00-04:00,65.82,65.77,Buy,C9
2024-07-19 12:16:00-04:00,65.93,65.77,Sell - Away from SMA,C9
2024-07-23 10:56:00-04:00,64.68,64.63,Buy,C10
2024-07-23 10:58:00-04:00,64.78,64.63,Sell - Away from SMA,C10
2024-07-23 12:40:00-04:00,64.79,64.73,Buy,C11
2024-07-23 12:42:00-04:00,64.87,64.73,Sell - Away from SMA,C11
2024-07-25 11:22:00-04:00,64.18,64.11,Buy,C12
2024-07-25 11:24:00-04:00,64.20,64.11,Sell - Away from SMA,C12
2024-07-26 10:46:00-04:00,65.48,65.42,Buy,C13
2024-07-26 10:48:00-04:00,65.65,65.42,Sell - Away from SMA,C13
2024-07-30 11:18:00-04:00,66.04,65.88,Buy,C14
2024-07-30 11:20:00-04:00,66.09,65.88,Sell - Away from SMA,C14
2024-07-30 15:48:00-04:00,65.76,65.68,Buy,C15
2024-07-30 15:50:00-04:00,65.97,65.68,Sell - Away from SMA,C15
2024-07-31 09:54:00-04:00,65.71,65.58,Buy,C16
2024-07-31 09:56:00-04:00,65.80,65.58,Sell - Away from SMA,C16
2024-07-31 13:06:00-04:00,65.80,65.74,Buy,C17
2024-07-31 13:08:00-04:00,65.74,65.74,Sell - Stop Loss,C17
2024-08-06 09:50:00-04:00,56.79,56.66,Buy,C18
2024-08-06 09:52:00-04:00,57.05,56.66,Sell - Away from SMA,C18
2024-08-06 11:52:00-04:00,56.98,56.88,Buy,C19
2024-08-06 11:54:00-04:00,57.07,56.88,Sell - Away from SMA,C19
2024-08-06 12:14:00-04:00,57.03,56.98,Buy,C20
2024-08-06 12:20:00-04:00,56.98,56.98,Sell - Stop Loss,C20
2024-08-07 11:04:00-04:00,57.52,57.48,Buy,C21
2024-08-07 11:06:00-04:00,57.48,57.48,Sell - Stop Loss,C21
2024-08-08 12:06:00-04:00,57.91,57.87,Buy,C22
2024-08-08 12:08:00-04:00,57.87,57.87,Sell - Stop Loss,C22
2024-08-08 12:44:00-04:00,57.69,57.62,Buy,C23
2024-08-08 12:46:00-04:00,57.80,57.62,Sell - Away from SMA,C23
2024-08-09 10:44:00-04:00,58.27,58.18,Buy,C24
2024-08-09 10:46:00-04:00,58.33,58.18,Sell - Away from SMA,C24
2024-08-14 12:06:00-04:00,58.89,58.84,Buy,C25
2024-08-14 12:08:00-04:00,58.93,58.84,Sell - Away from SMA,C25
2024-08-14 13:56:00-04:00,59.06,59.02,Buy,C26
2024-08-14 13:58:00-04:00,59.12,59.02,Sell - Away from SMA,C26
2024-08-14 14:32:00-04:00,59.03,59.00,Buy,C27
2024-08-14 14:36:00-04:00,59.12,59.00,Sell - Away from SMA,C27
2024-08-15 11:58:00-04:00,60.66,60.60,Buy,C28
2024-08-15 12:06:00-04:00,60.81,60.60,Sell - Away from SMA,C28
2024-08-15 12:58:00-04:00,60.80,60.76,Buy,C29
2024-08-15 13:00:00-04:00,60.76,60.76,Sell - Stop Loss,C29
2024-08-16 10:00:00-04:00,60.95,60.86,Buy,C30
2024-08-16 10:02:00-04:00,61.02,60.86,Sell - Away from SMA,C30
2024-08-16 10:26:00-04:00,61.03,60.95,Buy,C31
2024-08-16 10:28:00-04:00,61.10,60.95,Sell - Away from SMA,C31
2024-08-16 11:40:00-04:00,60.96,60.91,Buy,C32
2024-08-16 13:44:00-04:00,61.28,60.91,Sell - Away from SMA,C32
2024-08-16 15:40:00-04:00,61.37,61.30,Buy,C33
2024-08-16 15:48:00-04:00,61.50,61.30,Sell - Away from SMA,C33
2024-08-21 14:18:00-04:00,60.36,60.30,Buy,C34
2024-08-21 14:20:00-04:00,60.42,60.30,Sell - Away from SMA,C34
2024-08-22 13:36:00-04:00,60.40,60.30,Buy,C35
2024-08-22 13:52:00-04:00,60.30,60.30,Sell - Stop Loss,C35
2024-08-22 14:32:00-04:00,60.46,60.40,Buy,C36
2024-08-22 14:58:00-04:00,60.40,60.40,Sell - Stop Loss,C36
2024-08-23 10:00:00-04:00,60.93,60.83,Buy,C37
2024-08-23 10:02:00-04:00,61.21,60.83,Sell - Away from SMA,C37
2024-08-23 12:54:00-04:00,61.87,61.78,Buy,C38
2024-08-23 12:56:00-04:00,62.01,61.78,Sell - Away from SMA,C38
2024-08-23 15:12:00-04:00,62.01,61.95,Buy,C39
2024-08-23 15:14:00-04:00,62.10,61.95,Sell - Away from SMA,C39
