Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:12:00-04:00,28.47,28.44,Buy,CAG1
2024-07-15 13:24:00-04:00,28.44,28.44,Sell - Stop Loss,CAG1
2024-07-17 09:44:00-04:00,29.47,29.42,Buy,CAG2
2024-07-17 09:46:00-04:00,29.60,29.42,Sell - Away from SMA,CAG2
2024-07-17 10:52:00-04:00,29.90,29.84,Buy,CAG3
2024-07-17 11:10:00-04:00,29.84,29.84,Sell - Stop Loss,CAG3
2024-07-17 11:38:00-04:00,29.83,29.77,Buy,CAG4
2024-07-17 12:14:00-04:00,29.94,29.90,Buy,CAG5
2024-07-17 13:42:00-04:00,30.01,29.98,Buy,CAG6
2024-07-17 14:06:00-04:00,30.08,30.05,Buy,CAG7
2024-07-17 14:36:00-04:00,30.05,30.05,Sell - Stop Loss,CAG7
2024-07-18 09:30:00-04:00,29.98,29.98,Sell - Stop Loss,CAG6
2024-07-18 09:30:00-04:00,29.90,29.90,Sell - Stop Loss,CAG5
2024-07-18 09:30:00-04:00,29.83,29.77,Sell - Away from SMA,CAG4
2024-07-18 11:16:00-04:00,30.57,30.52,Buy,CAG8
2024-07-18 11:18:00-04:00,30.63,30.52,Sell - Away from SMA,CAG8
2024-07-24 14:46:00-04:00,29.81,29.77,Buy,CAG9
2024-07-24 15:06:00-04:00,29.77,29.77,Sell - Stop Loss,CAG9
2024-07-25 09:30:00-04:00,29.92,29.84,Buy,CAG10
2024-07-25 09:32:00-04:00,30.06,29.84,Sell - Away from SMA,CAG10
2024-07-26 09:36:00-04:00,29.58,29.50,Buy,CAG11
2024-07-26 09:40:00-04:00,29.67,29.50,Sell - Away from SMA,CAG11
2024-07-26 11:10:00-04:00,29.70,29.66,Buy,CAG12
2024-07-26 15:56:00-04:00,29.98,29.66,Sell - Away from SMA,CAG12
2024-07-29 12:10:00-04:00,30.08,30.04,Buy,CAG13
2024-07-29 15:58:00-04:00,30.14,30.04,Sell - Away from SMA,CAG13
2024-07-30 11:42:00-04:00,30.40,30.38,Buy,CAG14
2024-07-30 11:54:00-04:00,30.38,30.38,Sell - Stop Loss,CAG14
2024-07-31 12:30:00-04:00,30.50,30.46,Buy,CAG15
2024-07-31 14:50:00-04:00,30.46,30.46,Sell - Stop Loss,CAG15
2024-08-01 13:06:00-04:00,30.10,30.07,Buy,CAG16
2024-08-01 13:20:00-04:00,30.07,30.07,Sell - Stop Loss,CAG16
2024-08-02 13:36:00-04:00,30.70,30.67,Buy,CAG17
2024-08-02 13:42:00-04:00,30.67,30.67,Sell - Stop Loss,CAG17
2024-08-05 14:40:00-04:00,30.24,30.20,Buy,CAG18
2024-08-05 14:50:00-04:00,30.20,30.20,Sell - Stop Loss,CAG18
2024-08-07 10:56:00-04:00,30.31,30.27,Buy,CAG19
2024-08-07 11:04:00-04:00,30.27,30.27,Sell - Stop Loss,CAG19
2024-08-07 12:18:00-04:00,30.34,30.32,Buy,CAG20
2024-08-07 12:22:00-04:00,30.32,30.32,Sell - Stop Loss,CAG20
2024-08-08 12:14:00-04:00,30.31,30.28,Buy,CAG21
2024-08-08 12:34:00-04:00,30.28,30.28,Sell - Stop Loss,CAG21
2024-08-08 15:08:00-04:00,30.40,30.36,Buy,CAG22
2024-08-08 15:18:00-04:00,30.36,30.36,Sell - Stop Loss,CAG22
2024-08-13 10:24:00-04:00,30.10,30.06,Buy,CAG23
2024-08-13 10:34:00-04:00,30.06,30.06,Sell - Stop Loss,CAG23
2024-08-13 14:26:00-04:00,30.36,30.31,Buy,CAG24
2024-08-13 14:44:00-04:00,30.31,30.31,Sell - Stop Loss,CAG24
2024-08-14 09:36:00-04:00,30.74,30.66,Buy,CAG25
2024-08-14 09:38:00-04:00,30.84,30.66,Sell - Away from SMA,CAG25
2024-08-19 09:54:00-04:00,30.62,30.56,Buy,CAG26
2024-08-20 09:30:00-04:00,30.97,30.56,Sell - Away from SMA,CAG26
