Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:56:00-04:00,261.30,261.05,Buy,CB1
2024-07-16 09:58:00-04:00,261.80,261.05,Sell - Away from SMA,CB1
2024-07-16 11:02:00-04:00,262.48,262.31,Buy,CB2
2024-07-16 11:04:00-04:00,262.47,262.31,Sell - Away from SMA,CB2
2024-07-17 10:26:00-04:00,264.82,264.49,Buy,CB3
2024-07-17 10:28:00-04:00,265.15,264.49,Sell - Away from SMA,CB3
2024-07-17 11:12:00-04:00,264.41,264.23,Buy,CB4
2024-07-17 11:14:00-04:00,264.64,264.23,Sell - Away from SMA,CB4
2024-07-17 12:40:00-04:00,265.46,265.27,Buy,CB5
2024-07-17 12:42:00-04:00,265.50,265.27,Sell - Away from SMA,CB5
2024-07-17 12:50:00-04:00,265.82,265.52,Buy,CB6
2024-07-17 12:52:00-04:00,265.76,265.52,Sell - Away from SMA,CB6
2024-07-17 13:28:00-04:00,265.27,265.18,Buy,CB7
2024-07-17 13:30:00-04:00,265.52,265.18,Sell - Away from SMA,CB7
2024-07-17 14:12:00-04:00,266.40,266.18,Buy,CB8
2024-07-17 14:14:00-04:00,266.60,266.18,Sell - Away from SMA,CB8
2024-07-17 14:24:00-04:00,266.68,266.34,Buy,CB9
2024-07-17 14:26:00-04:00,266.96,266.34,Sell - Away from SMA,CB9
2024-07-18 09:34:00-04:00,266.82,266.52,Buy,CB10
2024-07-18 09:36:00-04:00,267.64,266.52,Sell - Away from SMA,CB10
2024-07-18 10:28:00-04:00,269.67,269.58,Buy,CB11
2024-07-18 10:30:00-04:00,270.14,269.58,Sell - Away from SMA,CB11
2024-07-22 12:00:00-04:00,261.04,260.94,Buy,CB12
2024-07-22 12:02:00-04:00,261.16,260.94,Sell - Away from SMA,CB12
2024-07-22 13:04:00-04:00,261.33,261.25,Buy,CB13
2024-07-22 13:06:00-04:00,261.64,261.25,Sell - Away from SMA,CB13
2024-07-22 13:12:00-04:00,261.62,261.49,Buy,CB14
2024-07-22 13:14:00-04:00,261.75,261.49,Sell - Away from SMA,CB14
2024-07-22 13:56:00-04:00,261.71,261.64,Buy,CB15
2024-07-22 13:58:00-04:00,261.91,261.64,Sell - Away from SMA,CB15
2024-07-24 12:06:00-04:00,261.40,261.19,Buy,CB16
2024-07-24 12:08:00-04:00,261.85,261.19,Sell - Away from SMA,CB16
2024-07-24 12:40:00-04:00,261.59,261.42,Buy,CB17
2024-07-24 12:42:00-04:00,261.76,261.42,Sell - Away from SMA,CB17
2024-07-25 11:16:00-04:00,263.02,262.79,Buy,CB18
2024-07-25 11:20:00-04:00,262.90,262.79,Sell - Away from SMA,CB18
2024-07-25 12:34:00-04:00,264.58,264.33,Buy,CB19
2024-07-25 12:38:00-04:00,264.63,264.33,Sell - Away from SMA,CB19
2024-07-26 10:16:00-04:00,267.81,266.89,Buy,CB20
2024-07-26 10:18:00-04:00,268.16,266.89,Sell - Away from SMA,CB20
2024-07-29 11:36:00-04:00,270.55,270.31,Buy,CB21
2024-07-29 11:38:00-04:00,270.63,270.31,Sell - Away from SMA,CB21
2024-07-29 11:52:00-04:00,271.02,270.84,Buy,CB22
2024-07-29 11:56:00-04:00,271.34,270.84,Sell - Away from SMA,CB22
2024-07-29 14:48:00-04:00,271.80,271.70,Buy,CB23
2024-07-29 14:50:00-04:00,272.10,271.70,Sell - Away from SMA,CB23
2024-07-30 09:40:00-04:00,274.42,273.99,Buy,CB24
2024-07-30 09:42:00-04:00,275.95,273.99,Sell - Away from SMA,CB24
2024-07-30 10:00:00-04:00,276.50,276.15,Buy,CB25
2024-07-30 10:02:00-04:00,277.44,276.15,Sell - Away from SMA,CB25
2024-07-30 11:14:00-04:00,277.08,276.85,Buy,CB26
2024-07-30 11:16:00-04:00,276.85,276.85,Sell - Stop Loss,CB26
2024-07-30 11:34:00-04:00,276.58,276.37,Buy,CB27
2024-07-30 11:36:00-04:00,277.10,276.37,Sell - Away from SMA,CB27
2024-07-31 12:56:00-04:00,275.96,275.82,Buy,CB28
2024-07-31 12:58:00-04:00,276.00,275.82,Sell - Away from SMA,CB28
2024-08-01 14:18:00-04:00,271.29,271.09,Buy,CB29
2024-08-01 14:20:00-04:00,271.40,271.09,Sell - Away from SMA,CB29
2024-08-06 10:24:00-04:00,269.83,269.68,Buy,CB30
2024-08-06 10:26:00-04:00,269.73,269.68,Sell - Away from SMA,CB30
2024-08-06 14:28:00-04:00,267.79,267.67,Buy,CB31
2024-08-06 14:30:00-04:00,267.89,267.67,Sell - Away from SMA,CB31
2024-08-08 09:58:00-04:00,267.63,267.49,Buy,CB32
2024-08-08 10:00:00-04:00,268.35,267.49,Sell - Away from SMA,CB32
2024-08-08 10:24:00-04:00,268.17,267.81,Buy,CB33
2024-08-08 10:26:00-04:00,268.29,267.81,Sell - Away from SMA,CB33
2024-08-08 14:14:00-04:00,269.42,269.29,Buy,CB34
2024-08-08 14:16:00-04:00,269.59,269.29,Sell - Away from SMA,CB34
2024-08-08 14:48:00-04:00,269.24,269.22,Buy,CB35
2024-08-08 14:50:00-04:00,269.46,269.22,Sell - Away from SMA,CB35
2024-08-09 09:42:00-04:00,269.50,269.25,Buy,CB36
2024-08-09 09:44:00-04:00,269.25,269.25,Sell - Stop Loss,CB36
2024-08-09 13:32:00-04:00,269.96,269.82,Buy,CB37
2024-08-09 13:34:00-04:00,270.00,269.82,Sell - Away from SMA,CB37
2024-08-09 14:18:00-04:00,268.87,268.82,Buy,CB38
2024-08-09 14:22:00-04:00,268.82,268.82,Sell - Stop Loss,CB38
2024-08-09 15:34:00-04:00,269.65,269.52,Buy,CB39
2024-08-09 15:36:00-04:00,269.79,269.52,Sell - Away from SMA,CB39
2024-08-12 10:32:00-04:00,269.86,269.82,Buy,CB40
2024-08-12 10:34:00-04:00,269.82,269.82,Sell - Stop Loss,CB40
2024-08-13 11:46:00-04:00,268.60,268.56,Buy,CB41
2024-08-13 11:48:00-04:00,268.56,268.56,Sell - Stop Loss,CB41
2024-08-13 15:22:00-04:00,267.32,267.25,Buy,CB42
2024-08-13 15:32:00-04:00,267.25,267.25,Sell - Stop Loss,CB42
2024-08-14 11:30:00-04:00,270.85,270.70,Buy,CB43
2024-08-14 11:32:00-04:00,271.25,270.70,Sell - Away from SMA,CB43
2024-08-14 13:38:00-04:00,272.02,271.93,Buy,CB44
2024-08-14 13:42:00-04:00,272.06,271.93,Sell - Away from SMA,CB44
2024-08-15 10:18:00-04:00,273.41,273.21,Buy,CB45
2024-08-15 10:20:00-04:00,273.21,273.21,Sell - Stop Loss,CB45
2024-08-15 11:30:00-04:00,274.01,273.87,Buy,CB46
2024-08-15 11:32:00-04:00,274.02,273.87,Sell - Away from SMA,CB46
2024-08-16 10:42:00-04:00,273.04,272.98,Buy,CB47
2024-08-16 10:44:00-04:00,273.42,272.98,Sell - Away from SMA,CB47
2024-08-16 12:14:00-04:00,273.33,273.23,Buy,CB48
2024-08-16 12:16:00-04:00,273.53,273.23,Sell - Away from SMA,CB48
2024-08-16 12:40:00-04:00,273.68,273.64,Buy,CB49
2024-08-16 12:42:00-04:00,273.64,273.64,Sell - Stop Loss,CB49
2024-08-16 12:56:00-04:00,273.96,273.92,Buy,CB50
2024-08-16 12:58:00-04:00,274.06,273.92,Sell - Away from SMA,CB50
2024-08-16 15:00:00-04:00,273.92,273.80,Buy,CB51
2024-08-16 15:02:00-04:00,274.10,273.80,Sell - Away from SMA,CB51
