Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:50:00-04:00,72.04,71.99,Buy,CF1
2024-07-16 10:52:00-04:00,72.09,71.99,Sell - Away from SMA,CF1
2024-07-16 11:04:00-04:00,72.19,72.15,Buy,CF2
2024-07-16 11:06:00-04:00,72.32,72.15,Sell - Away from SMA,CF2
2024-07-16 11:24:00-04:00,72.44,72.39,Buy,CF3
2024-07-16 11:26:00-04:00,72.54,72.39,Sell - Away from SMA,CF3
2024-07-16 12:22:00-04:00,72.47,72.43,Buy,CF4
2024-07-16 12:36:00-04:00,72.64,72.43,Sell - Away from SMA,CF4
2024-07-16 14:24:00-04:00,72.77,72.72,Buy,CF5
2024-07-16 14:28:00-04:00,72.72,72.72,Sell - Stop Loss,CF5
2024-07-17 09:50:00-04:00,73.16,73.05,Buy,CF6
2024-07-17 09:56:00-04:00,73.40,73.05,Sell - Away from SMA,CF6
2024-07-24 12:16:00-04:00,71.53,71.48,Buy,CF7
2024-07-24 12:18:00-04:00,71.58,71.48,Sell - Away from SMA,CF7
2024-07-24 14:32:00-04:00,71.36,71.27,Buy,CF8
2024-07-24 14:34:00-04:00,71.40,71.27,Sell - Away from SMA,CF8
2024-07-29 09:40:00-04:00,74.72,74.56,Buy,CF9
2024-07-29 09:42:00-04:00,75.12,74.56,Sell - Away from SMA,CF9
2024-07-30 11:08:00-04:00,76.21,76.16,Buy,CF10
2024-07-30 11:12:00-04:00,76.16,76.16,Sell - Stop Loss,CF10
2024-07-30 15:44:00-04:00,76.70,76.61,Buy,CF11
2024-07-30 15:50:00-04:00,76.61,76.61,Sell - Stop Loss,CF11
2024-07-31 14:48:00-04:00,77.38,77.33,Buy,CF12
2024-07-31 14:50:00-04:00,77.48,77.33,Sell - Away from SMA,CF12
2024-08-02 14:54:00-04:00,72.66,72.63,Buy,CF13
2024-08-02 15:00:00-04:00,72.80,72.63,Sell - Away from SMA,CF13
2024-08-02 15:00:00-04:00,72.78,72.71,Buy,CF14
2024-08-02 15:02:00-04:00,72.87,72.71,Sell - Away from SMA,CF14
2024-08-05 11:58:00-04:00,72.60,72.53,Buy,CF15
2024-08-05 12:00:00-04:00,72.80,72.53,Sell - Away from SMA,CF15
2024-08-05 12:56:00-04:00,72.70,72.60,Buy,CF16
2024-08-05 12:58:00-04:00,72.83,72.60,Sell - Away from SMA,CF16
2024-08-08 10:00:00-04:00,77.75,77.33,Buy,CF17
2024-08-08 10:02:00-04:00,78.30,77.33,Sell - Away from SMA,CF17
2024-08-08 11:24:00-04:00,78.10,77.98,Buy,CF18
2024-08-08 11:26:00-04:00,78.26,77.98,Sell - Away from SMA,CF18
2024-08-09 12:36:00-04:00,79.51,79.44,Buy,CF19
2024-08-09 12:38:00-04:00,79.59,79.44,Sell - Away from SMA,CF19
2024-08-09 15:48:00-04:00,79.70,79.63,Buy,CF20
2024-08-09 15:50:00-04:00,79.78,79.63,Sell - Away from SMA,CF20
2024-08-12 09:38:00-04:00,80.68,80.65,Buy,CF21
2024-08-12 09:40:00-04:00,81.18,80.65,Sell - Away from SMA,CF21
2024-08-12 09:58:00-04:00,80.76,80.62,Buy,CF22
2024-08-12 10:00:00-04:00,80.99,80.62,Sell - Away from SMA,CF22
2024-08-12 10:06:00-04:00,81.02,80.96,Buy,CF23
2024-08-12 10:08:00-04:00,81.19,80.96,Sell - Away from SMA,CF23
2024-08-12 11:54:00-04:00,81.37,81.28,Buy,CF24
2024-08-12 11:56:00-04:00,81.39,81.28,Sell - Away from SMA,CF24
2024-08-16 11:40:00-04:00,80.53,80.46,Buy,CF25
2024-08-16 11:48:00-04:00,80.64,80.46,Sell - Away from SMA,CF25
2024-08-19 09:38:00-04:00,81.60,81.46,Buy,CF26
2024-08-19 09:40:00-04:00,81.63,81.46,Sell - Away from SMA,CF26
2024-08-19 10:04:00-04:00,81.22,81.18,Buy,CF27
2024-08-19 10:14:00-04:00,81.34,81.18,Sell - Away from SMA,CF27
2024-08-21 14:48:00-04:00,80.58,80.51,Buy,CF28
2024-08-21 14:50:00-04:00,80.68,80.51,Sell - Away from SMA,CF28
2024-08-23 11:18:00-04:00,80.21,80.16,Buy,CF29
2024-08-23 11:20:00-04:00,80.16,80.16,Sell - Stop Loss,CF29
2024-08-23 11:30:00-04:00,80.21,80.18,Buy,CF30
2024-08-23 11:34:00-04:00,80.18,80.18,Sell - Stop Loss,CF30
2024-08-23 12:34:00-04:00,80.21,80.15,Buy,CF31
2024-08-23 12:36:00-04:00,80.28,80.15,Sell - Away from SMA,CF31
