Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 15:30:00-04:00,61.07,61.02,Buy,CMS1
2024-07-17 09:30:00-04:00,61.47,61.02,Sell - Away from SMA,CMS1
2024-07-17 09:50:00-04:00,62.21,62.16,Buy,CMS2
2024-07-17 09:52:00-04:00,62.42,62.16,Sell - Away from SMA,CMS2
2024-07-19 14:34:00-04:00,61.08,61.05,Buy,CMS3
2024-07-19 14:44:00-04:00,61.05,61.05,Sell - Stop Loss,CMS3
2024-07-22 09:34:00-04:00,61.38,61.27,Buy,CMS4
2024-07-22 09:36:00-04:00,61.50,61.27,Sell - Away from SMA,CMS4
2024-07-22 10:22:00-04:00,61.46,61.40,Buy,CMS5
2024-07-22 10:28:00-04:00,61.40,61.40,Sell - Stop Loss,CMS5
2024-07-23 14:20:00-04:00,61.69,61.66,Buy,CMS6
2024-07-23 15:00:00-04:00,61.66,61.66,Sell - Stop Loss,CMS6
2024-07-25 11:18:00-04:00,63.51,63.44,Buy,CMS7
2024-07-25 11:20:00-04:00,63.62,63.44,Sell - Away from SMA,CMS7
2024-07-25 15:54:00-04:00,63.39,63.31,Buy,CMS8
2024-07-25 15:56:00-04:00,63.41,63.31,Sell - Away from SMA,CMS8
2024-07-29 10:10:00-04:00,63.02,62.98,Buy,CMS9
2024-07-29 10:20:00-04:00,63.16,62.98,Sell - Away from SMA,CMS9
2024-07-29 15:16:00-04:00,63.74,63.70,Buy,CMS10
2024-07-29 15:20:00-04:00,63.70,63.70,Sell - Stop Loss,CMS10
2024-07-30 10:52:00-04:00,63.99,63.95,Buy,CMS11
2024-07-30 10:56:00-04:00,63.95,63.95,Sell - Stop Loss,CMS11
2024-07-30 12:50:00-04:00,64.65,64.58,Buy,CMS12
2024-07-30 12:52:00-04:00,64.69,64.58,Sell - Away from SMA,CMS12
2024-07-30 14:02:00-04:00,64.54,64.49,Buy,CMS13
2024-07-30 14:48:00-04:00,64.72,64.68,Buy,CMS14
2024-07-30 14:52:00-04:00,64.68,64.68,Sell - Stop Loss,CMS14
2024-07-30 15:32:00-04:00,64.94,64.49,Sell - Away from SMA,CMS13
2024-07-30 15:32:00-04:00,64.92,64.87,Buy,CMS15
2024-07-30 15:36:00-04:00,64.87,64.87,Sell - Stop Loss,CMS15
2024-07-31 09:46:00-04:00,65.02,64.93,Buy,CMS16
2024-07-31 09:48:00-04:00,65.17,64.93,Sell - Away from SMA,CMS16
2024-07-31 12:54:00-04:00,64.81,64.76,Buy,CMS17
2024-07-31 12:58:00-04:00,64.76,64.76,Sell - Stop Loss,CMS17
2024-08-01 11:56:00-04:00,65.07,65.01,Buy,CMS18
2024-08-01 11:58:00-04:00,65.20,65.01,Sell - Away from SMA,CMS18
2024-08-06 12:42:00-04:00,65.17,65.13,Buy,CMS19
2024-08-06 12:52:00-04:00,65.30,65.13,Sell - Away from SMA,CMS19
2024-08-07 09:58:00-04:00,65.76,65.70,Buy,CMS20
2024-08-07 10:00:00-04:00,65.89,65.70,Sell - Away from SMA,CMS20
2024-08-07 10:52:00-04:00,65.58,65.53,Buy,CMS21
2024-08-07 11:24:00-04:00,65.62,65.59,Buy,CMS22
2024-08-07 11:28:00-04:00,65.76,65.53,Sell - Away from SMA,CMS21
2024-08-07 11:28:00-04:00,65.76,65.59,Sell - Away from SMA,CMS22
2024-08-07 15:28:00-04:00,65.50,65.45,Buy,CMS23
2024-08-07 15:32:00-04:00,65.45,65.45,Sell - Stop Loss,CMS23
2024-08-09 12:32:00-04:00,65.17,65.14,Buy,CMS24
2024-08-09 13:42:00-04:00,65.21,65.14,Sell - Away from SMA,CMS24
2024-08-09 15:48:00-04:00,65.35,65.29,Buy,CMS25
2024-08-09 15:50:00-04:00,65.45,65.29,Sell - Away from SMA,CMS25
2024-08-09 15:56:00-04:00,65.39,65.30,Buy,CMS26
2024-08-09 15:58:00-04:00,65.49,65.30,Sell - Away from SMA,CMS26
2024-08-12 10:56:00-04:00,65.56,65.51,Buy,CMS27
2024-08-12 10:58:00-04:00,65.59,65.51,Sell - Away from SMA,CMS27
2024-08-12 11:38:00-04:00,65.48,65.44,Buy,CMS28
2024-08-12 11:40:00-04:00,65.44,65.44,Sell - Stop Loss,CMS28
2024-08-12 15:08:00-04:00,65.75,65.71,Buy,CMS29
2024-08-12 15:24:00-04:00,65.88,65.71,Sell - Away from SMA,CMS29
2024-08-13 10:12:00-04:00,65.84,65.78,Buy,CMS30
2024-08-13 10:14:00-04:00,65.78,65.78,Sell - Stop Loss,CMS30
2024-08-14 11:04:00-04:00,66.31,66.27,Buy,CMS31
2024-08-14 11:06:00-04:00,66.40,66.27,Sell - Away from SMA,CMS31
2024-08-14 11:22:00-04:00,66.22,66.16,Buy,CMS32
2024-08-14 11:28:00-04:00,66.34,66.16,Sell - Away from SMA,CMS32
2024-08-14 12:34:00-04:00,66.35,66.28,Buy,CMS33
2024-08-14 12:36:00-04:00,66.38,66.28,Sell - Away from SMA,CMS33
2024-08-15 15:58:00-04:00,65.95,65.87,Buy,CMS34
2024-08-16 09:30:00-04:00,66.31,65.87,Sell - Away from SMA,CMS34
2024-08-16 10:16:00-04:00,66.33,66.24,Buy,CMS35
2024-08-16 10:22:00-04:00,66.46,66.24,Sell - Away from SMA,CMS35
2024-08-16 10:40:00-04:00,66.50,66.45,Buy,CMS36
2024-08-16 10:42:00-04:00,66.56,66.45,Sell - Away from SMA,CMS36
2024-08-16 11:20:00-04:00,66.82,66.77,Buy,CMS37
2024-08-16 11:22:00-04:00,66.77,66.77,Sell - Stop Loss,CMS37
2024-08-20 09:46:00-04:00,66.95,66.88,Buy,CMS38
2024-08-20 09:50:00-04:00,67.01,66.88,Sell - Away from SMA,CMS38
2024-08-21 13:18:00-04:00,67.16,67.12,Buy,CMS39
2024-08-21 13:24:00-04:00,67.12,67.12,Sell - Stop Loss,CMS39
2024-08-23 11:30:00-04:00,67.24,67.20,Buy,CMS40
2024-08-23 11:58:00-04:00,67.20,67.20,Sell - Stop Loss,CMS40
