Entry_Time,Entry_Price,Stop_Loss,Trade_Type
2024-07-08 13:30:00-04:00,387.88,387.65,Buy
2024-07-08 13:54:00-04:00,387.64,387.65,Sell - Stop Loss
2024-07-08 15:40:00-04:00,388.92,388.63,Buy
2024-07-08 15:54:00-04:00,390.91,388.63,Sell - Away from SMA
2024-07-10 14:12:00-04:00,372.88,372.64,Buy
2024-07-10 14:18:00-04:00,372.21,372.64,Sell - Stop Loss
2024-07-10 15:30:00-04:00,373.05,372.81,Buy
2024-07-10 15:34:00-04:00,373.70,372.81,Sell - Away from SMA
2024-07-12 10:54:00-04:00,372.63,372.31,Buy
2024-07-12 10:58:00-04:00,372.13,372.31,Sell - Stop Loss
2024-07-12 11:26:00-04:00,370.13,369.30,Buy
2024-07-12 11:58:00-04:00,368.55,369.30,Sell - Away from SMA
2024-07-12 15:28:00-04:00,372.47,372.18,Buy
2024-07-12 15:30:00-04:00,371.60,372.18,Sell - Stop Loss
2024-07-15 09:56:00-04:00,375.83,374.94,Buy
2024-07-15 09:58:00-04:00,378.02,374.94,Sell - Away from SMA
2024-07-15 10:12:00-04:00,378.79,378.12,Buy
2024-07-15 10:24:00-04:00,380.27,378.12,Sell - Away from SMA
2024-07-15 10:52:00-04:00,381.61,381.07,Buy
2024-07-15 10:54:00-04:00,382.82,381.07,Sell - Away from SMA
2024-07-15 11:06:00-04:00,382.71,382.39,Buy
2024-07-15 11:16:00-04:00,382.20,382.39,Sell - Stop Loss
2024-07-15 15:18:00-04:00,378.83,378.55,Buy
2024-07-15 15:32:00-04:00,379.05,378.67,Buy
2024-07-15 15:36:00-04:00,378.56,378.67,Sell - Stop Loss
2024-07-15 15:38:00-04:00,378.20,378.55,Sell - Stop Loss
2024-07-17 14:20:00-04:00,356.78,356.52,Buy
2024-07-17 14:22:00-04:00,356.99,356.52,Sell - Away from SMA
2024-07-17 15:30:00-04:00,357.89,357.31,Buy
2024-07-17 15:36:00-04:00,357.09,357.31,Sell - Stop Loss
2024-07-23 11:00:00-04:00,270.39,269.56,Buy
2024-07-23 11:02:00-04:00,271.00,269.56,Sell - Away from SMA
2024-07-23 11:10:00-04:00,272.14,271.59,Buy
2024-07-23 11:12:00-04:00,273.15,271.59,Sell - Away from SMA
2024-07-24 13:42:00-04:00,264.24,263.72,Buy
2024-07-24 13:46:00-04:00,263.19,263.72,Sell - Stop Loss
2024-07-25 13:02:00-04:00,259.17,258.52,Buy
2024-07-25 13:04:00-04:00,260.02,258.52,Sell - Away from SMA
2024-07-26 12:58:00-04:00,256.33,255.97,Buy
