Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:50:00-04:00,47.57,47.54,Buy,CSCO1
2024-07-16 12:00:00-04:00,47.54,47.54,Sell - Stop Loss,CSCO1
2024-07-17 09:54:00-04:00,47.52,47.42,Buy,CSCO2
2024-07-17 09:56:00-04:00,47.64,47.42,Sell - Away from SMA,CSCO2
2024-07-17 11:44:00-04:00,48.04,47.98,Buy,CSCO3
2024-07-17 11:46:00-04:00,48.16,47.98,Sell - Away from SMA,CSCO3
2024-07-17 15:16:00-04:00,48.41,48.36,Buy,CSCO4
2024-07-17 15:42:00-04:00,48.36,48.36,Sell - Stop Loss,CSCO4
2024-07-18 12:06:00-04:00,48.55,48.49,Buy,CSCO5
2024-07-18 12:14:00-04:00,48.49,48.49,Sell - Stop Loss,CSCO5
2024-07-18 12:30:00-04:00,48.56,48.53,Buy,CSCO6
2024-07-18 12:40:00-04:00,48.53,48.53,Sell - Stop Loss,CSCO6
2024-07-24 11:24:00-04:00,46.57,46.53,Buy,CSCO7
2024-07-24 12:00:00-04:00,46.84,46.53,Sell - Away from SMA,CSCO7
2024-07-24 12:14:00-04:00,46.84,46.78,Buy,CSCO8
2024-07-24 13:10:00-04:00,46.97,46.78,Sell - Away from SMA,CSCO8
2024-07-24 15:44:00-04:00,47.00,46.96,Buy,CSCO9
2024-07-24 15:52:00-04:00,46.96,46.96,Sell - Stop Loss,CSCO9
2024-07-25 09:52:00-04:00,47.48,47.40,Buy,CSCO10
2024-07-25 09:54:00-04:00,47.68,47.40,Sell - Away from SMA,CSCO10
2024-07-25 10:30:00-04:00,47.87,47.78,Buy,CSCO11
2024-07-25 10:50:00-04:00,47.78,47.78,Sell - Stop Loss,CSCO11
2024-07-26 12:02:00-04:00,47.92,47.84,Buy,CSCO12
2024-07-26 13:08:00-04:00,47.84,47.84,Sell - Stop Loss,CSCO12
2024-07-29 10:50:00-04:00,47.84,47.79,Buy,CSCO13
2024-07-29 10:56:00-04:00,47.94,47.79,Sell - Away from SMA,CSCO13
2024-07-29 11:20:00-04:00,47.96,47.92,Buy,CSCO14
2024-07-29 11:26:00-04:00,47.92,47.92,Sell - Stop Loss,CSCO14
2024-07-29 13:10:00-04:00,48.17,48.14,Buy,CSCO15
2024-07-29 13:18:00-04:00,48.14,48.14,Sell - Stop Loss,CSCO15
2024-07-30 09:52:00-04:00,48.48,48.38,Buy,CSCO16
2024-07-30 10:02:00-04:00,48.38,48.38,Sell - Stop Loss,CSCO16
2024-08-02 14:46:00-04:00,46.58,46.50,Buy,CSCO17
2024-08-02 14:52:00-04:00,46.68,46.50,Sell - Away from SMA,CSCO17
2024-08-06 10:52:00-04:00,45.46,45.37,Buy,CSCO18
2024-08-06 10:54:00-04:00,45.50,45.37,Sell - Away from SMA,CSCO18
2024-08-06 11:02:00-04:00,45.53,45.42,Buy,CSCO19
2024-08-06 11:04:00-04:00,45.60,45.42,Sell - Away from SMA,CSCO19
2024-08-06 11:36:00-04:00,45.40,45.34,Buy,CSCO20
2024-08-06 11:38:00-04:00,45.50,45.34,Sell - Away from SMA,CSCO20
2024-08-07 10:50:00-04:00,45.92,45.85,Buy,CSCO21
2024-08-07 10:56:00-04:00,45.99,45.85,Sell - Away from SMA,CSCO21
2024-08-08 10:16:00-04:00,46.08,46.00,Buy,CSCO22
2024-08-08 10:24:00-04:00,46.17,46.00,Sell - Away from SMA,CSCO22
2024-08-08 10:30:00-04:00,46.12,46.07,Buy,CSCO23
2024-08-08 10:38:00-04:00,46.07,46.07,Sell - Stop Loss,CSCO23
2024-08-09 10:44:00-04:00,45.94,45.86,Buy,CSCO24
2024-08-09 10:54:00-04:00,45.86,45.86,Sell - Stop Loss,CSCO24
2024-08-09 14:40:00-04:00,45.67,45.63,Buy,CSCO25
2024-08-09 14:50:00-04:00,45.63,45.63,Sell - Stop Loss,CSCO25
2024-08-09 15:10:00-04:00,45.67,45.62,Buy,CSCO26
2024-08-09 15:14:00-04:00,45.62,45.62,Sell - Stop Loss,CSCO26
2024-08-13 12:50:00-04:00,45.24,45.20,Buy,CSCO27
2024-08-13 13:14:00-04:00,45.20,45.20,Sell - Stop Loss,CSCO27
2024-08-13 15:28:00-04:00,45.32,45.28,Buy,CSCO28
2024-08-13 15:34:00-04:00,45.28,45.28,Sell - Stop Loss,CSCO28
2024-08-14 11:40:00-04:00,45.51,45.45,Buy,CSCO29
2024-08-14 11:50:00-04:00,45.53,45.48,Buy,CSCO30
2024-08-14 11:58:00-04:00,45.58,45.54,Buy,CSCO31
2024-08-14 12:02:00-04:00,45.54,45.54,Sell - Stop Loss,CSCO31
2024-08-14 12:22:00-04:00,45.48,45.48,Sell - Stop Loss,CSCO30
2024-08-14 12:24:00-04:00,45.45,45.45,Sell - Away from SMA,CSCO29
2024-08-15 12:04:00-04:00,48.65,48.58,Buy,CSCO32
2024-08-15 12:06:00-04:00,48.73,48.58,Sell - Away from SMA,CSCO32
2024-08-16 10:16:00-04:00,49.40,49.32,Buy,CSCO33
2024-08-16 10:18:00-04:00,49.32,49.32,Sell - Stop Loss,CSCO33
2024-08-19 15:32:00-04:00,49.81,49.78,Buy,CSCO34
2024-08-19 15:50:00-04:00,49.78,49.78,Sell - Stop Loss,CSCO34
2024-08-20 11:28:00-04:00,50.12,50.06,Buy,CSCO35
2024-08-20 11:32:00-04:00,50.06,50.06,Sell - Stop Loss,CSCO35
2024-08-22 09:48:00-04:00,50.80,50.71,Buy,CSCO36
2024-08-22 09:50:00-04:00,50.90,50.71,Sell - Away from SMA,CSCO36
