Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:34:00-04:00,35.38,35.35,Buy,CSX1
2024-07-16 12:36:00-04:00,35.47,35.35,Sell - Away from SMA,CSX1
2024-07-16 14:32:00-04:00,35.58,35.55,Buy,CSX2
2024-07-16 15:00:00-04:00,35.55,35.55,Sell - Stop Loss,CSX2
2024-07-17 12:40:00-04:00,35.48,35.44,Buy,CSX3
2024-07-17 12:50:00-04:00,35.44,35.44,Sell - Stop Loss,CSX3
2024-07-17 14:26:00-04:00,35.42,35.39,Buy,CSX4
2024-07-17 14:38:00-04:00,35.39,35.39,Sell - Stop Loss,CSX4
2024-07-19 13:16:00-04:00,34.64,34.59,Buy,CSX5
2024-07-19 14:46:00-04:00,34.59,34.59,Sell - Stop Loss,CSX5
2024-07-22 13:04:00-04:00,34.44,34.40,Buy,CSX6
2024-07-22 13:14:00-04:00,34.40,34.40,Sell - Stop Loss,CSX6
2024-07-22 15:40:00-04:00,34.49,34.46,Buy,CSX7
2024-07-22 15:48:00-04:00,34.46,34.46,Sell - Stop Loss,CSX7
2024-07-25 09:48:00-04:00,33.52,33.44,Buy,CSX8
2024-07-25 09:50:00-04:00,33.59,33.44,Sell - Away from SMA,CSX8
2024-07-25 11:48:00-04:00,33.78,33.72,Buy,CSX9
2024-07-25 11:52:00-04:00,33.72,33.72,Sell - Stop Loss,CSX9
2024-07-26 10:36:00-04:00,34.28,34.22,Buy,CSX10
2024-07-26 10:46:00-04:00,34.38,34.31,Buy,CSX11
2024-07-26 10:50:00-04:00,34.31,34.31,Sell - Stop Loss,CSX11
2024-07-26 10:58:00-04:00,34.22,34.22,Sell - Stop Loss,CSX10
2024-07-26 12:06:00-04:00,34.60,34.55,Buy,CSX12
2024-07-26 12:32:00-04:00,34.55,34.55,Sell - Stop Loss,CSX12
2024-07-31 15:14:00-04:00,35.37,35.32,Buy,CSX13
2024-07-31 15:26:00-04:00,35.32,35.32,Sell - Stop Loss,CSX13
2024-08-01 15:50:00-04:00,34.73,34.70,Buy,CSX14
2024-08-01 15:52:00-04:00,34.70,34.70,Sell - Stop Loss,CSX14
2024-08-06 10:04:00-04:00,34.29,34.22,Buy,CSX15
2024-08-06 10:08:00-04:00,34.42,34.22,Sell - Away from SMA,CSX15
2024-08-06 11:02:00-04:00,34.27,34.19,Buy,CSX16
2024-08-06 11:06:00-04:00,34.19,34.19,Sell - Stop Loss,CSX16
2024-08-06 11:36:00-04:00,34.06,33.97,Buy,CSX17
2024-08-06 11:52:00-04:00,34.20,33.97,Sell - Away from SMA,CSX17
2024-08-06 12:00:00-04:00,34.24,34.19,Buy,CSX18
2024-08-06 12:02:00-04:00,34.30,34.19,Sell - Away from SMA,CSX18
2024-08-07 15:36:00-04:00,34.06,34.01,Buy,CSX19
2024-08-07 15:38:00-04:00,34.01,34.01,Sell - Stop Loss,CSX19
2024-08-09 13:28:00-04:00,34.25,34.22,Buy,CSX20
2024-08-09 13:50:00-04:00,34.22,34.22,Sell - Stop Loss,CSX20
2024-08-14 09:52:00-04:00,33.39,33.32,Buy,CSX21
2024-08-14 09:54:00-04:00,33.48,33.32,Sell - Away from SMA,CSX21
2024-08-15 11:30:00-04:00,33.56,33.53,Buy,CSX22
2024-08-15 13:22:00-04:00,33.70,33.67,Buy,CSX23
2024-08-15 13:40:00-04:00,33.67,33.67,Sell - Stop Loss,CSX23
2024-08-15 14:10:00-04:00,33.53,33.53,Sell - Stop Loss,CSX22
2024-08-19 10:06:00-04:00,33.57,33.53,Buy,CSX24
2024-08-19 10:12:00-04:00,33.53,33.53,Sell - Stop Loss,CSX24
2024-08-19 11:36:00-04:00,33.61,33.58,Buy,CSX25
2024-08-19 11:56:00-04:00,33.58,33.58,Sell - Stop Loss,CSX25
2024-08-20 14:50:00-04:00,33.63,33.60,Buy,CSX26
2024-08-20 15:16:00-04:00,33.60,33.60,Sell - Stop Loss,CSX26
2024-08-22 15:58:00-04:00,33.18,33.12,Buy,CSX27
2024-08-23 09:30:00-04:00,33.59,33.12,Sell - Away from SMA,CSX27
2024-08-23 09:46:00-04:00,33.75,33.70,Buy,CSX28
2024-08-23 09:48:00-04:00,33.79,33.70,Sell - Away from SMA,CSX28
