Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,721.410,721.410,721.410,721.410,721.410,8954.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,723.630,723.630,722.010,722.385,722.385,3468.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,720.250,720.250,720.250,720.250,720.250,2597.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,720.730,720.730,720.710,720.710,720.710,826.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,720.080,720.080,720.080,720.080,720.080,621.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,721.280,721.280,721.280,721.280,721.280,337.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,721.125,722.390,721.125,722.390,722.390,2545.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,721.865,721.865,721.865,721.865,721.865,2556.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:56:00-04:00,721.110,721.110,721.110,721.110,721.110,1077.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 10:00:00-04:00,722.470,722.470,719.790,719.790,719.790,8084.000,721.127,nan,False,Noise Bar,nan,Empty
2024-07-15 10:02:00-04:00,720.230,720.230,719.150,719.595,719.595,3162.000,720.945,nan,False,Noise Bar,-0.182,Empty
2024-07-15 10:04:00-04:00,718.790,718.790,717.940,717.940,717.940,2741.000,720.501,nan,False,Noise Bar,-0.445,Empty
2024-07-15 10:08:00-04:00,717.200,717.200,717.200,717.200,717.200,1862.000,720.196,nan,False,Noise Bar,-0.305,Empty
2024-07-15 10:10:00-04:00,717.580,717.590,717.160,717.160,717.160,2565.000,719.841,nan,False,Noise Bar,-0.355,Empty
2024-07-15 10:12:00-04:00,716.730,717.190,716.390,717.190,717.190,3359.000,719.552,nan,False,Noise Bar,-0.289,Empty
2024-07-15 10:14:00-04:00,715.910,716.530,715.910,716.530,716.530,3417.000,719.077,nan,False,Noise Bar,-0.475,Empty
2024-07-15 10:20:00-04:00,718.555,719.130,718.555,719.130,719.130,3578.000,718.751,nan,False,Noise Bar,-0.326,Empty
2024-07-15 10:22:00-04:00,719.130,719.130,718.625,718.625,718.625,1856.000,718.427,nan,False,Noise Bar,-0.324,Empty
2024-07-15 10:26:00-04:00,718.700,718.725,718.700,718.725,718.725,1261.000,718.188,nan,False,Noise Bar,-0.239,Empty
2024-07-15 10:28:00-04:00,718.420,718.420,717.990,718.345,718.345,3265.000,718.044,nan,False,Noise Bar,-0.145,Empty
2024-07-15 10:32:00-04:00,718.725,719.400,718.725,719.400,719.400,1187.000,718.024,nan,False,Noise Bar,-0.019,Empty
2024-07-15 10:34:00-04:00,720.010,720.010,719.515,720.005,720.005,1761.000,718.231,nan,False,Noise Bar,0.207,Empty
2024-07-15 10:36:00-04:00,720.660,720.660,720.000,720.000,720.000,1577.000,718.511,nan,False,Noise Bar,0.280,Empty
2024-07-15 10:38:00-04:00,719.830,719.960,719.830,719.960,719.960,538.000,718.791,nan,False,Noise Bar,0.280,Empty
2024-07-15 10:40:00-04:00,719.590,719.940,719.590,719.940,719.940,644.000,719.066,nan,False,Noise Bar,0.275,Empty
2024-07-15 10:42:00-04:00,719.940,721.230,719.940,720.210,720.210,3006.000,719.434,nan,False,Noise Bar,0.368,Empty
2024-07-15 10:48:00-04:00,720.330,720.330,720.000,720.000,720.000,2008.000,719.521,nan,False,Noise Bar,0.087,Empty
2024-07-15 10:50:00-04:00,719.900,719.900,719.780,719.780,719.780,975.000,719.637,nan,False,Noise Bar,0.116,Empty
2024-07-15 10:52:00-04:00,719.815,720.700,719.815,720.360,720.360,1227.000,719.800,nan,False,Noise Bar,0.164,Empty
2024-07-15 10:54:00-04:00,720.620,720.620,720.620,720.620,720.620,1395.000,720.028,nan,False,Noise Bar,0.228,Empty
2024-07-15 10:58:00-04:00,720.770,721.000,720.690,720.690,720.690,2250.000,720.157,nan,False,Noise Bar,0.129,Empty
2024-07-15 11:00:00-04:00,721.340,721.440,721.265,721.265,721.265,982.000,720.283,nan,False,Noise Bar,0.126,Empty
2024-07-15 11:02:00-04:00,721.800,721.810,721.800,721.810,721.810,1142.000,720.464,nan,False,Noise Bar,0.181,Empty
2024-07-15 11:04:00-04:00,721.330,721.360,721.330,721.360,721.360,929.000,720.604,nan,False,Noise Bar,0.140,Empty
2024-07-15 11:06:00-04:00,721.300,721.300,721.300,721.300,721.300,373.000,720.740,nan,False,Noise Bar,0.136,Empty
2024-07-15 11:08:00-04:00,720.810,720.810,720.810,720.810,720.810,337.000,720.799,nan,False,Noise Bar,0.060,Empty
2024-07-15 11:10:00-04:00,721.490,721.490,721.490,721.490,721.490,725.000,720.948,nan,False,Noise Bar,0.149,Empty
2024-07-15 11:12:00-04:00,722.000,722.590,722.000,722.040,722.040,1090.000,721.174,nan,False,Noise Bar,0.226,Empty
2024-07-15 11:16:00-04:00,722.840,722.840,722.840,722.840,722.840,713.000,721.422,nan,False,Noise Bar,0.248,Empty
2024-07-15 11:18:00-04:00,722.400,722.575,722.400,722.570,722.570,1079.000,721.617,nan,False,Noise Bar,0.195,Empty
2024-07-15 11:20:00-04:00,723.000,723.000,722.445,722.445,722.445,814.000,721.793,nan,False,Noise Bar,0.176,Empty
2024-07-15 11:24:00-04:00,722.510,723.100,722.510,723.100,723.100,1338.000,721.976,nan,False,Noise Bar,0.183,Empty
2024-07-15 11:26:00-04:00,722.210,722.210,722.210,722.210,722.210,1019.000,722.016,nan,False,Noise Bar,0.040,Empty
