Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,156.950,157.120,156.680,156.750,156.750,184712.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,156.800,156.915,156.510,156.750,156.750,20447.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,156.740,156.910,156.465,156.620,156.620,27731.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,156.611,156.780,156.600,156.690,156.690,19998.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,156.725,156.980,156.690,156.795,156.795,28744.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,156.695,156.760,156.523,156.675,156.675,38887.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,156.670,156.910,156.650,156.845,156.845,35290.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,156.830,156.950,156.640,156.654,156.654,20029.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,156.700,156.720,156.370,156.480,156.480,19837.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,156.480,156.825,156.380,156.825,156.825,16083.000,156.708,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,156.810,156.820,156.710,156.711,156.711,13016.000,156.704,nan,False,Noise Bar,-0.004,Empty
2024-07-15 09:52:00-04:00,156.720,156.860,156.600,156.849,156.849,10840.000,156.714,nan,False,Noise Bar,0.010,Empty
2024-07-15 09:54:00-04:00,156.890,157.010,156.880,157.010,157.010,26353.000,156.753,nan,False,Noise Bar,0.039,Empty
2024-07-15 09:56:00-04:00,156.995,157.210,156.950,157.110,157.110,23675.000,156.795,nan,False,Noise Bar,0.042,Empty
2024-07-15 09:58:00-04:00,157.076,157.206,157.020,157.020,157.020,16088.000,156.818,nan,False,Noise Bar,0.023,Empty
2024-07-15 10:00:00-04:00,157.010,157.171,156.940,157.171,157.171,14379.000,156.867,nan,False,Noise Bar,0.050,Empty
2024-07-15 10:02:00-04:00,157.190,157.290,157.190,157.260,157.260,20302.000,156.909,nan,False,Noise Bar,0.041,Empty
2024-07-15 10:04:00-04:00,157.270,157.296,157.030,157.055,157.055,19422.000,156.949,nan,False,Noise Bar,0.040,Empty
2024-07-15 10:06:00-04:00,157.080,157.150,156.980,157.140,157.140,18885.000,157.015,nan,False,Noise Bar,0.066,Empty
2024-07-15 10:08:00-04:00,157.150,157.150,156.980,157.010,157.010,12636.000,157.034,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:10:00-04:00,157.010,157.170,156.970,157.030,157.030,19598.000,157.066,nan,False,Noise Bar,0.032,Empty
2024-07-15 10:12:00-04:00,157.035,157.060,156.941,156.990,156.990,24407.000,157.080,nan,False,Noise Bar,0.014,Empty
2024-07-15 10:14:00-04:00,156.960,157.300,156.960,157.300,157.300,21462.000,157.109,nan,False,Noise Bar,0.029,Empty
2024-07-15 10:16:00-04:00,157.280,157.430,157.270,157.410,157.410,22370.000,157.139,nan,False,Noise Bar,0.030,Empty
2024-07-15 10:18:00-04:00,157.410,157.550,157.380,157.400,157.400,30548.000,157.177,nan,False,Noise Bar,0.038,Empty
2024-07-15 10:20:00-04:00,157.380,157.495,157.380,157.470,157.470,17156.000,157.206,nan,False,Noise Bar,0.030,Empty
2024-07-15 10:22:00-04:00,157.435,157.560,157.430,157.500,157.500,25862.000,157.230,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:24:00-04:00,157.510,157.510,157.280,157.300,157.300,10452.000,157.255,nan,False,Noise Bar,0.025,Empty
2024-07-15 10:26:00-04:00,157.305,157.390,157.225,157.390,157.390,13858.000,157.280,nan,False,Noise Bar,0.025,Empty
2024-07-15 10:28:00-04:00,157.390,157.390,157.160,157.190,157.190,13742.000,157.298,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:30:00-04:00,157.195,157.255,157.100,157.140,157.140,18007.000,157.309,nan,False,Noise Bar,0.011,Empty
2024-07-15 10:32:00-04:00,157.130,157.270,157.130,157.160,157.160,13429.000,157.326,nan,False,Noise Bar,0.017,Empty
2024-07-15 10:34:00-04:00,157.220,157.290,157.140,157.155,157.155,11650.000,157.312,nan,False,Noise Bar,-0.015,Empty
2024-07-15 10:36:00-04:00,157.130,157.200,157.040,157.070,157.070,16463.000,157.278,nan,False,Noise Bar,-0.034,Empty
2024-07-15 10:38:00-04:00,157.080,157.110,156.970,157.090,157.090,14465.000,157.247,nan,False,Noise Bar,-0.031,Empty
2024-07-15 10:40:00-04:00,157.120,157.140,157.020,157.040,157.040,15119.000,157.204,nan,False,Noise Bar,-0.043,Empty
2024-07-15 10:42:00-04:00,157.040,157.102,156.980,157.050,157.050,14031.000,157.159,nan,False,Noise Bar,-0.045,Empty
2024-07-15 10:44:00-04:00,157.070,157.155,157.010,157.140,157.140,11711.000,157.143,nan,False,Noise Bar,-0.016,Empty
2024-07-15 10:46:00-04:00,157.130,157.300,157.100,157.270,157.270,17891.000,157.131,nan,False,Noise Bar,-0.012,Empty
2024-07-15 10:48:00-04:00,157.290,157.550,157.210,157.550,157.550,16538.000,157.167,nan,False,Noise Bar,0.036,Empty
2024-07-15 10:50:00-04:00,157.550,157.680,157.450,157.660,157.660,21595.000,157.219,nan,False,Noise Bar,0.052,Empty
2024-07-15 10:52:00-04:00,157.680,157.820,157.590,157.810,157.810,20683.000,157.284,nan,False,Noise Bar,0.065,Empty
2024-07-15 10:54:00-04:00,157.810,157.850,157.660,157.845,157.845,19226.000,157.353,nan,False,Noise Bar,0.069,Empty
2024-07-15 10:56:00-04:00,157.837,158.040,157.837,157.980,157.980,29418.000,157.443,nan,False,Noise Bar,0.091,Empty
2024-07-15 10:58:00-04:00,158.020,158.150,158.020,158.100,158.100,27671.000,157.545,nan,False,Noise Bar,0.101,Empty
2024-07-15 11:00:00-04:00,158.110,158.220,158.095,158.210,158.210,21514.000,157.662,nan,False,Noise Bar,0.117,Empty
2024-07-15 11:02:00-04:00,158.220,158.400,158.217,158.388,158.388,21741.000,157.795,nan,False,Noise Bar,0.134,Empty
2024-07-15 11:04:00-04:00,158.390,158.500,158.350,158.370,158.370,41597.000,157.918,nan,False,Noise Bar,0.123,Empty
2024-07-15 11:06:00-04:00,158.380,158.430,158.300,158.300,158.300,37078.000,158.021,nan,False,Noise Bar,0.103,Empty
2024-07-15 11:08:00-04:00,158.360,158.590,158.360,158.580,158.580,38399.000,158.124,nan,False,Noise Bar,0.103,Empty
2024-07-15 11:10:00-04:00,158.565,158.840,158.565,158.750,158.750,43058.000,158.233,nan,False,Noise Bar,0.109,Empty
2024-07-15 11:12:00-04:00,158.770,158.830,158.650,158.650,158.650,16034.000,158.317,nan,False,Noise Bar,0.084,Empty
2024-07-15 11:14:00-04:00,158.640,158.690,158.640,158.666,158.666,29247.000,158.399,nan,False,Noise Bar,0.082,Empty
2024-07-15 11:16:00-04:00,158.660,158.720,158.615,158.620,158.620,26165.000,158.463,nan,False,Noise Bar,0.064,Empty
2024-07-15 11:18:00-04:00,158.590,158.590,158.240,158.270,158.270,39317.000,158.480,nan,False,Noise Bar,0.017,Empty
2024-07-15 11:20:00-04:00,158.280,158.500,158.280,158.310,158.310,19643.000,158.490,nan,False,Noise Bar,0.010,Empty
2024-07-15 11:22:00-04:00,158.270,158.310,158.190,158.270,158.270,12825.000,158.479,nan,False,Noise Bar,-0.012,Empty
2024-07-15 11:24:00-04:00,158.230,158.280,158.140,158.280,158.280,9545.000,158.470,nan,False,Noise Bar,-0.009,Empty
2024-07-15 11:26:00-04:00,158.270,158.305,158.130,158.140,158.140,19429.000,158.454,nan,False,Noise Bar,-0.016,Empty
2024-07-15 11:28:00-04:00,158.145,158.260,158.145,158.190,158.190,17729.000,158.415,nan,False,Noise Bar,-0.039,Empty
2024-07-15 11:30:00-04:00,158.170,158.220,158.010,158.130,158.130,26847.000,158.353,nan,False,Noise Bar,-0.062,Empty
2024-07-15 11:32:00-04:00,158.110,158.210,158.065,158.150,158.150,18395.000,158.303,nan,False,Noise Bar,-0.050,Empty
2024-07-15 11:34:00-04:00,158.170,158.260,158.075,158.250,158.250,18121.000,158.261,nan,False,Noise Bar,-0.042,Empty
2024-07-15 11:36:00-04:00,158.248,158.460,158.230,158.410,158.410,13388.000,158.240,nan,False,Noise Bar,-0.021,Empty
2024-07-15 11:38:00-04:00,158.440,158.510,158.380,158.475,158.475,37743.000,158.261,nan,False,Noise Bar,0.021,Empty
2024-07-15 11:40:00-04:00,158.470,158.730,158.436,158.693,158.693,51726.000,158.299,nan,False,Noise Bar,0.038,Empty
2024-07-15 11:42:00-04:00,158.730,158.830,158.720,158.790,158.790,16466.000,158.351,nan,False,Noise Bar,0.052,Empty
2024-07-15 11:44:00-04:00,158.820,159.025,158.800,158.978,158.978,39433.000,158.421,nan,False,Noise Bar,0.070,Empty
2024-07-15 11:46:00-04:00,158.980,159.020,158.910,159.020,159.020,12553.000,158.509,nan,False,Noise Bar,0.088,Empty
2024-07-15 11:48:00-04:00,159.000,159.000,158.883,158.890,158.890,8914.000,158.579,nan,False,Noise Bar,0.070,Empty
2024-07-15 11:50:00-04:00,158.880,159.020,158.870,159.010,159.010,9890.000,158.667,nan,False,Noise Bar,0.088,Empty
2024-07-15 11:52:00-04:00,159.040,159.110,159.010,159.050,159.050,13940.000,158.757,nan,False,Noise Bar,0.090,Empty
2024-07-15 11:54:00-04:00,159.050,159.060,158.960,158.960,158.960,14405.000,158.828,nan,False,Noise Bar,0.071,Empty
2024-07-15 11:56:00-04:00,158.990,159.030,158.890,158.930,158.930,19965.000,158.880,nan,False,Noise Bar,0.052,Empty
2024-07-15 11:58:00-04:00,158.930,159.000,158.820,158.840,158.840,11790.000,158.916,nan,False,Noise Bar,0.036,Empty
2024-07-15 12:00:00-04:00,158.805,158.805,158.670,158.740,158.740,45212.000,158.921,nan,False,Noise Bar,0.005,Empty
2024-07-15 12:02:00-04:00,158.760,158.815,158.610,158.610,158.610,10718.000,158.903,nan,False,Noise Bar,-0.018,Empty
2024-07-15 12:04:00-04:00,158.630,158.825,158.580,158.825,158.825,13387.000,158.888,nan,False,Noise Bar,-0.015,Empty
2024-07-15 12:06:00-04:00,158.840,159.010,158.840,158.991,158.991,12661.000,158.885,nan,False,Noise Bar,-0.003,Empty
2024-07-15 12:08:00-04:00,158.995,159.072,158.840,159.030,159.030,12410.000,158.899,nan,False,Noise Bar,0.014,Empty
2024-07-15 12:10:00-04:00,159.040,159.150,159.040,159.100,159.100,15155.000,158.908,nan,False,Noise Bar,0.009,Empty
2024-07-15 12:12:00-04:00,159.100,159.170,159.070,159.130,159.130,12151.000,158.916,nan,False,Noise Bar,0.008,Empty
2024-07-15 12:14:00-04:00,159.120,159.160,159.080,159.105,159.105,12974.000,158.930,nan,False,Noise Bar,0.014,Empty
2024-07-15 12:16:00-04:00,159.090,159.120,158.910,158.990,158.990,20217.000,158.936,nan,False,Noise Bar,0.006,Empty
2024-07-15 12:18:00-04:00,158.970,159.142,158.940,159.130,159.130,15933.000,158.965,nan,False,Noise Bar,0.029,Empty
2024-07-15 12:20:00-04:00,159.140,159.210,159.140,159.155,159.155,14887.000,159.007,nan,False,Noise Bar,0.041,Empty
2024-07-15 12:22:00-04:00,159.155,159.180,159.080,159.170,159.170,20816.000,159.063,nan,False,Noise Bar,0.056,Empty
2024-07-15 12:24:00-04:00,159.150,159.190,159.010,159.030,159.030,10717.000,159.083,nan,False,Noise Bar,0.021,Empty
2024-07-15 12:26:00-04:00,159.010,159.120,159.010,159.110,159.110,8216.000,159.095,nan,False,Noise Bar,0.012,Empty
2024-07-15 12:28:00-04:00,159.105,159.180,159.050,159.160,159.160,14265.000,159.108,nan,False,Noise Bar,0.013,Empty
2024-07-15 12:30:00-04:00,159.140,159.170,159.090,159.141,159.141,7246.000,159.112,nan,False,Noise Bar,0.004,Empty
2024-07-15 12:32:00-04:00,159.161,159.230,159.130,159.185,159.185,18651.000,159.118,nan,False,Noise Bar,0.005,Empty
2024-07-15 12:34:00-04:00,159.185,159.221,159.080,159.160,159.160,38445.000,159.123,nan,False,Noise Bar,0.005,Empty
2024-07-15 12:36:00-04:00,159.135,159.210,159.120,159.180,159.180,13854.000,159.142,nan,False,Noise Bar,0.019,Empty
2024-07-15 12:38:00-04:00,159.190,159.240,159.070,159.210,159.210,14652.000,159.150,nan,False,Noise Bar,0.008,Empty
2024-07-15 12:40:00-04:00,159.185,159.230,159.140,159.220,159.220,12879.000,159.157,nan,False,Noise Bar,0.007,Empty
