Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:56:00-04:00,81.26,81.12,Buy,DD1
2024-07-16 09:58:00-04:00,81.46,81.12,Sell - Away from SMA,DD1
2024-07-16 10:06:00-04:00,81.78,81.65,Buy,DD2
2024-07-16 10:08:00-04:00,81.83,81.65,Sell - Away from SMA,DD2
2024-07-17 10:02:00-04:00,82.34,82.23,Buy,DD3
2024-07-17 10:04:00-04:00,82.23,82.23,Sell - Stop Loss,DD3
2024-07-17 12:20:00-04:00,82.23,82.17,Buy,DD4
2024-07-17 12:22:00-04:00,82.36,82.17,Sell - Away from SMA,DD4
2024-07-22 15:16:00-04:00,80.32,80.27,Buy,DD5
2024-07-23 09:32:00-04:00,80.27,80.27,Sell - Stop Loss,DD5
2024-07-24 12:14:00-04:00,80.56,80.48,Buy,DD6
2024-07-24 12:44:00-04:00,80.48,80.48,Sell - Stop Loss,DD6
2024-07-24 13:10:00-04:00,80.52,80.48,Buy,DD7
2024-07-24 13:20:00-04:00,80.48,80.48,Sell - Stop Loss,DD7
2024-07-25 12:16:00-04:00,80.36,80.31,Buy,DD8
2024-07-25 12:18:00-04:00,80.45,80.31,Sell - Away from SMA,DD8
2024-07-25 12:38:00-04:00,80.50,80.45,Buy,DD9
2024-07-25 12:40:00-04:00,80.57,80.45,Sell - Away from SMA,DD9
2024-07-25 13:40:00-04:00,80.42,80.37,Buy,DD10
2024-07-25 13:46:00-04:00,80.37,80.37,Sell - Stop Loss,DD10
2024-07-29 10:42:00-04:00,80.32,80.25,Buy,DD11
2024-07-29 10:44:00-04:00,80.43,80.25,Sell - Away from SMA,DD11
2024-07-29 10:54:00-04:00,80.47,80.42,Buy,DD12
2024-07-29 10:56:00-04:00,80.59,80.42,Sell - Away from SMA,DD12
2024-07-29 11:24:00-04:00,80.69,80.63,Buy,DD13
2024-07-29 11:26:00-04:00,80.73,80.63,Sell - Away from SMA,DD13
2024-07-29 11:42:00-04:00,80.64,80.58,Buy,DD14
2024-07-29 11:44:00-04:00,80.74,80.58,Sell - Away from SMA,DD14
2024-07-29 11:54:00-04:00,80.85,80.80,Buy,DD15
2024-07-29 11:56:00-04:00,80.89,80.80,Sell - Away from SMA,DD15
2024-07-29 12:06:00-04:00,80.91,80.87,Buy,DD16
2024-07-29 12:24:00-04:00,80.87,80.87,Sell - Stop Loss,DD16
2024-07-29 13:10:00-04:00,80.89,80.85,Buy,DD17
2024-07-29 13:28:00-04:00,80.85,80.85,Sell - Stop Loss,DD17
2024-07-30 10:50:00-04:00,81.25,81.21,Buy,DD18
2024-07-30 10:52:00-04:00,81.34,81.21,Sell - Away from SMA,DD18
2024-07-31 10:00:00-04:00,84.07,83.92,Buy,DD19
2024-07-31 10:02:00-04:00,84.29,83.92,Sell - Away from SMA,DD19
2024-07-31 11:12:00-04:00,84.42,84.28,Buy,DD20
2024-07-31 11:16:00-04:00,84.70,84.28,Sell - Away from SMA,DD20
2024-07-31 11:48:00-04:00,84.84,84.73,Buy,DD21
2024-07-31 11:50:00-04:00,84.98,84.73,Sell - Away from SMA,DD21
2024-07-31 12:04:00-04:00,84.71,84.54,Buy,DD22
2024-07-31 12:08:00-04:00,84.88,84.54,Sell - Away from SMA,DD22
2024-07-31 12:20:00-04:00,84.79,84.71,Buy,DD23
2024-07-31 12:26:00-04:00,84.98,84.71,Sell - Away from SMA,DD23
2024-07-31 12:30:00-04:00,84.98,84.92,Buy,DD24
2024-07-31 12:32:00-04:00,85.09,84.92,Sell - Away from SMA,DD24
2024-08-05 11:46:00-04:00,78.17,77.98,Buy,DD25
2024-08-05 11:48:00-04:00,78.10,77.98,Sell - Away from SMA,DD25
2024-08-06 09:50:00-04:00,78.95,78.74,Buy,DD26
2024-08-06 09:52:00-04:00,79.34,78.74,Sell - Away from SMA,DD26
2024-08-08 12:24:00-04:00,78.24,78.20,Buy,DD27
2024-08-08 12:26:00-04:00,78.20,78.20,Sell - Stop Loss,DD27
2024-08-08 13:12:00-04:00,78.26,78.20,Buy,DD28
2024-08-08 13:14:00-04:00,78.34,78.20,Sell - Away from SMA,DD28
2024-08-08 14:02:00-04:00,78.47,78.40,Buy,DD29
2024-08-08 14:06:00-04:00,78.59,78.40,Sell - Away from SMA,DD29
2024-08-08 14:48:00-04:00,78.43,78.37,Buy,DD30
2024-08-08 14:56:00-04:00,78.50,78.37,Sell - Away from SMA,DD30
2024-08-08 15:58:00-04:00,78.49,78.39,Buy,DD31
2024-08-09 09:30:00-04:00,78.39,78.39,Sell - Stop Loss,DD31
2024-08-09 11:22:00-04:00,78.39,78.33,Buy,DD32
2024-08-09 11:28:00-04:00,78.33,78.33,Sell - Stop Loss,DD32
2024-08-09 13:28:00-04:00,78.59,78.55,Buy,DD33
2024-08-09 13:30:00-04:00,78.68,78.55,Sell - Away from SMA,DD33
2024-08-09 14:18:00-04:00,78.31,78.27,Buy,DD34
2024-08-09 14:42:00-04:00,78.40,78.38,Buy,DD35
2024-08-09 14:48:00-04:00,78.38,78.38,Sell - Stop Loss,DD35
2024-08-09 14:58:00-04:00,78.38,78.30,Buy,DD36
2024-08-09 15:26:00-04:00,78.60,78.27,Sell - Away from SMA,DD34
2024-08-09 15:26:00-04:00,78.60,78.30,Sell - Away from SMA,DD36
2024-08-13 11:46:00-04:00,78.49,78.44,Buy,DD37
2024-08-13 11:52:00-04:00,78.60,78.44,Sell - Away from SMA,DD37
2024-08-13 12:42:00-04:00,78.57,78.53,Buy,DD38
2024-08-13 12:46:00-04:00,78.67,78.53,Sell - Away from SMA,DD38
2024-08-13 15:22:00-04:00,78.69,78.65,Buy,DD39
2024-08-13 15:48:00-04:00,78.86,78.65,Sell - Away from SMA,DD39
2024-08-14 13:34:00-04:00,78.90,78.86,Buy,DD40
2024-08-14 13:36:00-04:00,78.86,78.86,Sell - Stop Loss,DD40
2024-08-15 09:34:00-04:00,80.10,79.99,Buy,DD41
2024-08-15 09:36:00-04:00,80.33,79.99,Sell - Away from SMA,DD41
2024-08-15 10:36:00-04:00,79.86,79.82,Buy,DD42
2024-08-15 10:38:00-04:00,79.82,79.82,Sell - Stop Loss,DD42
2024-08-15 11:42:00-04:00,80.30,80.26,Buy,DD43
2024-08-15 11:46:00-04:00,80.26,80.26,Sell - Stop Loss,DD43
2024-08-15 15:42:00-04:00,80.40,80.34,Buy,DD44
2024-08-15 15:44:00-04:00,80.46,80.34,Sell - Away from SMA,DD44
2024-08-19 10:26:00-04:00,80.03,79.99,Buy,DD45
2024-08-19 10:28:00-04:00,80.11,79.99,Sell - Away from SMA,DD45
2024-08-19 10:36:00-04:00,80.16,80.13,Buy,DD46
2024-08-19 10:38:00-04:00,80.24,80.13,Sell - Away from SMA,DD46
2024-08-19 12:38:00-04:00,80.26,80.24,Buy,DD47
2024-08-19 12:40:00-04:00,80.24,80.24,Sell - Stop Loss,DD47
2024-08-21 10:36:00-04:00,80.17,80.12,Buy,DD48
2024-08-21 10:38:00-04:00,80.20,80.12,Sell - Away from SMA,DD48
2024-08-22 12:20:00-04:00,80.28,80.23,Buy,DD49
2024-08-22 12:24:00-04:00,80.36,80.23,Sell - Away from SMA,DD49
2024-08-23 15:24:00-04:00,80.99,80.94,Buy,DD50
2024-08-23 15:36:00-04:00,80.94,80.94,Sell - Stop Loss,DD50
