Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,153.970,154.270,153.621,153.800,153.800,63089.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,153.730,154.175,153.590,154.000,154.000,15496.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,154.025,154.220,153.790,153.830,153.830,15734.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,153.730,154.165,153.510,154.050,154.050,20453.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,153.970,154.330,153.772,154.045,154.045,21550.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,153.890,153.890,153.566,153.785,153.785,15845.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,153.790,154.160,153.640,154.035,154.035,19509.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,154.089,154.600,153.995,154.115,154.115,19091.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,154.135,154.230,153.860,154.200,154.200,10863.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,154.205,154.690,154.160,154.580,154.580,9632.000,154.044,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,154.470,154.585,154.167,154.440,154.440,14672.000,154.108,nan,False,Noise Bar,0.064,Empty
2024-07-15 09:52:00-04:00,154.530,154.560,153.985,154.005,154.005,11863.000,154.109,nan,False,Noise Bar,0.001,Empty
2024-07-15 09:54:00-04:00,153.930,154.080,153.610,153.610,153.610,17847.000,154.087,nan,False,Noise Bar,-0.022,Empty
2024-07-15 09:56:00-04:00,153.720,153.720,153.250,153.360,153.360,29276.000,154.018,nan,False,Noise Bar,-0.069,Empty
2024-07-15 09:58:00-04:00,153.370,153.410,153.190,153.240,153.240,19076.000,153.937,nan,False,Noise Bar,-0.080,Empty
2024-07-15 10:00:00-04:00,153.220,153.500,153.090,153.175,153.175,29955.000,153.876,nan,False,Noise Bar,-0.061,Empty
2024-07-15 10:02:00-04:00,153.175,153.385,153.175,153.275,153.275,27219.000,153.800,nan,False,Noise Bar,-0.076,Empty
2024-07-15 10:04:00-04:00,153.275,153.285,152.490,152.490,152.490,30566.000,153.638,nan,False,Noise Bar,-0.162,Empty
2024-07-15 10:06:00-04:00,152.510,152.830,152.430,152.730,152.730,47050.000,153.491,nan,False,Noise Bar,-0.147,Empty
2024-07-15 10:08:00-04:00,152.680,152.740,152.385,152.550,152.550,36029.000,153.288,nan,False,Noise Bar,-0.203,Empty
2024-07-15 10:10:00-04:00,152.570,152.745,152.400,152.625,152.625,45271.000,153.106,nan,False,Noise Bar,-0.182,Empty
2024-07-15 10:12:00-04:00,152.625,152.745,152.300,152.380,152.380,40711.000,152.944,nan,False,Noise Bar,-0.162,Empty
2024-07-15 10:14:00-04:00,152.330,152.885,152.330,152.885,152.885,23315.000,152.871,nan,False,Noise Bar,-0.073,Empty
2024-07-15 10:16:00-04:00,152.830,153.100,152.820,152.890,152.890,15100.000,152.824,nan,False,Noise Bar,-0.047,Empty
2024-07-15 10:18:00-04:00,153.025,153.400,152.870,153.010,153.010,15871.000,152.801,nan,False,Noise Bar,-0.023,Empty
2024-07-15 10:20:00-04:00,153.140,153.300,152.985,153.065,153.065,13137.000,152.790,nan,False,Noise Bar,-0.011,Empty
2024-07-15 10:22:00-04:00,153.050,153.490,153.005,153.490,153.490,12704.000,152.812,nan,False,Noise Bar,0.022,Empty
2024-07-15 10:24:00-04:00,153.500,153.600,153.260,153.340,153.340,11741.000,152.897,nan,False,Noise Bar,0.085,Empty
2024-07-15 10:26:00-04:00,153.325,153.380,153.150,153.150,153.150,14598.000,152.939,nan,False,Noise Bar,0.042,Empty
2024-07-15 10:28:00-04:00,153.140,153.145,152.930,152.950,152.950,11355.000,152.979,nan,False,Noise Bar,0.040,Empty
2024-07-15 10:30:00-04:00,153.002,153.400,152.950,153.309,153.309,13488.000,153.047,nan,False,Noise Bar,0.068,Empty
2024-07-15 10:32:00-04:00,153.372,153.470,153.200,153.310,153.310,11832.000,153.140,nan,False,Noise Bar,0.093,Empty
2024-07-15 10:34:00-04:00,153.280,153.420,153.210,153.210,153.210,7930.000,153.172,nan,False,Noise Bar,0.033,Empty
2024-07-15 10:36:00-04:00,153.305,153.370,153.050,153.050,153.050,9327.000,153.188,nan,False,Noise Bar,0.016,Empty
2024-07-15 10:38:00-04:00,153.100,153.550,153.055,153.475,153.475,11330.000,153.235,nan,False,Noise Bar,0.047,Empty
2024-07-15 10:40:00-04:00,153.540,153.770,153.380,153.380,153.380,13111.000,153.266,nan,False,Noise Bar,0.031,Empty
2024-07-15 10:42:00-04:00,153.380,153.570,153.380,153.550,153.550,5682.000,153.272,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:44:00-04:00,153.570,153.830,153.520,153.660,153.660,9350.000,153.304,nan,False,Noise Bar,0.032,Empty
2024-07-15 10:46:00-04:00,153.710,153.720,153.540,153.610,153.610,8533.000,153.350,nan,False,Noise Bar,0.046,Empty
2024-07-15 10:48:00-04:00,153.605,153.720,153.560,153.600,153.600,12305.000,153.415,nan,False,Noise Bar,0.065,Empty
2024-07-15 10:50:00-04:00,153.700,153.870,153.652,153.824,153.824,16675.000,153.467,nan,False,Noise Bar,0.052,Empty
2024-07-15 10:52:00-04:00,153.870,154.070,153.860,154.025,154.025,11759.000,153.538,nan,False,Noise Bar,0.071,Empty
2024-07-15 10:54:00-04:00,154.070,154.140,153.770,153.770,153.770,12234.000,153.594,nan,False,Noise Bar,0.056,Empty
2024-07-15 10:56:00-04:00,153.840,153.920,153.750,153.750,153.750,11476.000,153.664,nan,False,Noise Bar,0.070,Empty
2024-07-15 10:58:00-04:00,153.740,153.810,153.710,153.755,153.755,7618.000,153.692,nan,False,Noise Bar,0.028,Empty
2024-07-15 11:00:00-04:00,153.760,153.860,153.750,153.782,153.782,11850.000,153.733,nan,False,Noise Bar,0.040,Empty
2024-07-15 11:02:00-04:00,153.860,153.870,153.780,153.790,153.790,6698.000,153.757,nan,False,Noise Bar,0.024,Empty
2024-07-15 11:04:00-04:00,153.820,153.980,153.815,153.970,153.970,15309.000,153.788,nan,False,Noise Bar,0.031,Empty
2024-07-15 11:06:00-04:00,153.965,153.970,153.800,153.800,153.800,9851.000,153.807,nan,False,Noise Bar,0.019,Empty
2024-07-15 11:08:00-04:00,153.820,154.070,153.820,153.965,153.965,12688.000,153.843,nan,False,Noise Bar,0.036,Empty
2024-07-15 11:10:00-04:00,153.930,154.070,153.870,154.070,154.070,12775.000,153.868,nan,False,Noise Bar,0.025,Empty
2024-07-15 11:12:00-04:00,154.125,154.150,154.056,154.150,154.150,4064.000,153.880,nan,False,Noise Bar,0.013,Empty
2024-07-15 11:14:00-04:00,154.125,154.125,154.125,154.125,154.125,7553.000,153.916,nan,False,Noise Bar,0.035,Empty
2024-07-15 11:16:00-04:00,154.150,154.440,154.140,154.440,154.440,14379.000,153.985,nan,False,Noise Bar,0.069,Empty
2024-07-15 11:18:00-04:00,154.430,154.570,154.380,154.500,154.500,14218.000,154.059,nan,False,Noise Bar,0.074,Empty
2024-07-15 11:20:00-04:00,154.490,154.580,154.430,154.580,154.580,11521.000,154.139,nan,False,Noise Bar,0.080,Empty
2024-07-15 11:22:00-04:00,154.510,154.580,154.410,154.540,154.540,10200.000,154.214,nan,False,Noise Bar,0.075,Empty
2024-07-15 11:24:00-04:00,154.530,154.710,154.530,154.700,154.700,7284.000,154.287,nan,False,Noise Bar,0.073,Empty
2024-07-15 11:26:00-04:00,154.710,154.730,154.460,154.460,154.460,8649.000,154.353,nan,False,Noise Bar,0.066,Empty
2024-07-15 11:28:00-04:00,154.515,154.550,154.290,154.310,154.310,6637.000,154.387,nan,False,Noise Bar,0.035,Empty
2024-07-15 11:30:00-04:00,154.270,154.270,153.930,153.930,153.930,3935.000,154.373,nan,False,Noise Bar,-0.014,Empty
2024-07-15 11:32:00-04:00,153.985,154.334,153.890,154.257,154.257,15890.000,154.384,nan,False,Noise Bar,0.011,Empty
2024-07-15 11:34:00-04:00,154.160,154.160,153.890,153.910,153.910,3968.000,154.363,nan,False,Noise Bar,-0.021,Empty
2024-07-15 11:36:00-04:00,153.900,153.920,153.750,153.825,153.825,5693.000,154.301,nan,False,Noise Bar,-0.061,Empty
2024-07-15 11:38:00-04:00,153.790,153.890,153.710,153.850,153.850,15984.000,154.236,nan,False,Noise Bar,-0.065,Empty
2024-07-15 11:40:00-04:00,153.845,153.886,153.770,153.818,153.818,8024.000,154.160,nan,False,Noise Bar,-0.076,Empty
2024-07-15 11:42:00-04:00,153.780,153.935,153.740,153.865,153.865,9949.000,154.093,nan,False,Noise Bar,-0.067,Empty
2024-07-15 11:44:00-04:00,153.840,153.970,153.670,153.800,153.800,5797.000,154.003,nan,False,Noise Bar,-0.090,Empty
2024-07-15 11:46:00-04:00,153.800,153.940,153.750,153.925,153.925,8684.000,153.949,nan,False,Noise Bar,-0.054,Empty
2024-07-15 11:48:00-04:00,153.925,154.030,153.850,154.030,154.030,6827.000,153.921,nan,False,Noise Bar,-0.028,Empty
2024-07-15 11:50:00-04:00,154.030,154.060,153.970,154.035,154.035,4065.000,153.932,nan,False,Noise Bar,0.011,Empty
2024-07-15 11:52:00-04:00,154.080,154.250,153.990,154.250,154.250,19251.000,153.931,nan,False,Noise Bar,-0.001,Empty
2024-07-15 11:54:00-04:00,154.280,154.620,154.280,154.530,154.530,11690.000,153.993,nan,False,Noise Bar,0.062,Empty
2024-07-15 11:56:00-04:00,154.520,154.775,154.520,154.710,154.710,6353.000,154.081,nan,False,Noise Bar,0.089,Empty
2024-07-15 11:58:00-04:00,154.705,154.720,154.600,154.600,154.600,16059.000,154.156,nan,False,Noise Bar,0.075,Empty
2024-07-15 12:00:00-04:00,154.590,154.710,154.510,154.630,154.630,4945.000,154.238,nan,False,Noise Bar,0.081,Empty
2024-07-15 12:02:00-04:00,154.635,154.730,154.635,154.695,154.695,3460.000,154.321,nan,False,Noise Bar,0.083,Empty
2024-07-15 12:04:00-04:00,154.695,154.695,154.540,154.540,154.540,7094.000,154.395,nan,False,Noise Bar,0.074,Empty
2024-07-15 12:06:00-04:00,154.540,154.680,154.540,154.680,154.680,6811.000,154.470,nan,False,Noise Bar,0.075,Empty
2024-07-15 12:08:00-04:00,154.660,154.695,154.480,154.480,154.480,6345.000,154.515,nan,False,Noise Bar,0.045,Empty
2024-07-15 12:10:00-04:00,154.490,154.580,154.400,154.500,154.500,8405.000,154.562,nan,False,Noise Bar,0.046,Empty
2024-07-15 12:12:00-04:00,154.485,154.500,154.365,154.440,154.440,3544.000,154.581,nan,False,Noise Bar,0.019,Empty
2024-07-15 12:14:00-04:00,154.370,154.440,154.190,154.230,154.230,5967.000,154.551,nan,False,Noise Bar,-0.030,Empty
2024-07-15 12:16:00-04:00,154.220,154.470,154.210,154.460,154.460,5870.000,154.526,nan,False,Noise Bar,-0.025,Empty
2024-07-15 12:18:00-04:00,154.420,154.420,154.301,154.345,154.345,2481.000,154.500,nan,False,Noise Bar,-0.026,Empty
2024-07-15 12:20:00-04:00,154.300,154.420,154.290,154.420,154.420,4473.000,154.479,nan,False,Noise Bar,-0.021,Empty
2024-07-15 12:22:00-04:00,154.410,154.480,154.400,154.400,154.400,4840.000,154.450,nan,False,Noise Bar,-0.030,Empty
2024-07-15 12:24:00-04:00,154.480,154.510,154.360,154.380,154.380,4223.000,154.433,nan,False,Noise Bar,-0.016,Empty
2024-07-15 12:26:00-04:00,154.350,154.450,154.350,154.440,154.440,4835.000,154.410,nan,False,Noise Bar,-0.024,Empty
2024-07-15 12:28:00-04:00,154.410,154.410,154.210,154.280,154.280,5731.000,154.390,nan,False,Noise Bar,-0.020,Empty
2024-07-15 12:30:00-04:00,154.310,154.310,154.170,154.230,154.230,3074.000,154.362,nan,False,Noise Bar,-0.027,Empty
2024-07-15 12:32:00-04:00,154.160,154.190,154.080,154.190,154.190,2583.000,154.338,nan,False,Noise Bar,-0.025,Empty
2024-07-15 12:34:00-04:00,154.170,154.170,154.125,154.125,154.125,1004.000,154.327,nan,False,Noise Bar,-0.010,Empty
2024-07-15 12:36:00-04:00,154.080,154.250,154.070,154.194,154.194,5740.000,154.300,nan,False,Noise Bar,-0.027,Empty
2024-07-15 12:38:00-04:00,154.205,154.290,154.150,154.230,154.230,16760.000,154.289,nan,False,Noise Bar,-0.012,Empty
2024-07-15 12:40:00-04:00,154.270,154.300,154.120,154.240,154.240,6022.000,154.271,nan,False,Noise Bar,-0.018,Empty
2024-07-15 12:42:00-04:00,154.280,154.330,153.870,154.110,154.110,7465.000,154.242,nan,False,Noise Bar,-0.029,Empty
2024-07-15 12:44:00-04:00,154.075,154.180,153.960,154.070,154.070,3560.000,154.211,nan,False,Noise Bar,-0.031,Empty
2024-07-15 12:46:00-04:00,153.975,154.050,153.975,154.050,154.050,3670.000,154.172,nan,False,Noise Bar,-0.039,Empty
2024-07-15 12:48:00-04:00,154.050,154.050,154.020,154.020,154.020,1467.000,154.146,153.893,True,Noise Bar,-0.026,Empty
2024-07-15 12:50:00-04:00,154.015,154.110,154.015,154.110,154.110,2986.000,154.134,153.896,True,Noise Bar,-0.012,Empty
2024-07-15 12:52:00-04:00,154.035,154.110,154.035,154.065,154.065,862.000,154.121,153.897,True,Noise Bar,-0.012,Empty
2024-07-15 12:54:00-04:00,154.065,154.074,154.010,154.010,154.010,5833.000,154.110,153.898,True,Noise Bar,-0.012,Empty
2024-07-15 12:56:00-04:00,153.970,154.095,153.930,154.055,154.055,4588.000,154.096,153.898,True,Control Bar,-0.014,Empty
2024-07-15 12:58:00-04:00,153.890,153.890,153.810,153.850,153.850,4162.000,154.058,153.896,True,Ignored Bar A,-0.038,Empty
2024-07-15 13:00:00-04:00,153.850,153.850,153.660,153.695,153.695,3085.000,154.003,153.896,True,Noise Bar,-0.054,Empty
2024-07-15 13:02:00-04:00,153.640,153.660,153.570,153.600,153.600,1623.000,153.952,153.891,True,Noise Bar,-0.051,Empty
2024-07-15 13:04:00-04:00,153.610,153.695,153.550,153.550,153.550,5229.000,153.901,153.886,True,Noise Bar,-0.052,Empty
2024-07-15 13:06:00-04:00,153.650,153.870,153.607,153.870,153.870,6508.000,153.883,153.882,True,Control Bar,-0.018,Empty
2024-07-15 13:08:00-04:00,153.740,153.740,153.660,153.660,153.660,2430.000,153.847,153.873,False,Ignored Bar A,-0.036,Empty
2024-07-15 13:10:00-04:00,153.670,153.670,153.370,153.470,153.470,6813.000,153.783,153.863,False,Noise Bar,-0.064,Empty
2024-07-15 13:12:00-04:00,153.380,153.500,153.330,153.330,153.330,1651.000,153.709,153.857,False,Noise Bar,-0.074,Empty
2024-07-15 13:14:00-04:00,153.375,153.440,153.375,153.400,153.400,3587.000,153.648,153.854,False,Noise Bar,-0.061,Empty
2024-07-15 13:16:00-04:00,153.350,153.470,153.230,153.245,153.245,6730.000,153.567,153.853,False,Noise Bar,-0.081,Empty
2024-07-15 13:18:00-04:00,153.310,153.400,153.310,153.345,153.345,2415.000,153.517,153.854,False,Noise Bar,-0.051,Empty
2024-07-15 13:20:00-04:00,153.290,153.460,153.290,153.440,153.440,6141.000,153.491,153.857,False,Noise Bar,-0.026,Empty
2024-07-15 13:22:00-04:00,153.400,153.470,153.400,153.445,153.445,2268.000,153.476,153.859,False,Noise Bar,-0.015,Empty
2024-07-15 13:24:00-04:00,153.445,153.490,153.410,153.455,153.455,4391.000,153.466,153.868,False,Noise Bar,-0.010,Empty
2024-07-15 13:26:00-04:00,153.400,153.510,153.300,153.360,153.360,4739.000,153.415,153.875,False,Noise Bar,-0.051,Empty
2024-07-15 13:28:00-04:00,153.360,153.360,153.290,153.350,153.350,2893.000,153.384,153.883,False,Noise Bar,-0.031,Empty
2024-07-15 13:30:00-04:00,153.290,153.330,153.230,153.260,153.260,4197.000,153.363,153.889,False,Noise Bar,-0.021,Empty
2024-07-15 13:32:00-04:00,153.170,153.260,153.030,153.030,153.030,7095.000,153.333,153.896,False,Noise Bar,-0.030,Empty
2024-07-15 13:34:00-04:00,153.180,153.280,153.060,153.280,153.280,3826.000,153.321,153.899,False,Noise Bar,-0.012,Empty
