Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:32:00-04:00,246.24,246.13,Buy,DHR1
2024-07-15 14:34:00-04:00,246.30,246.13,Sell - Away from SMA,DHR1
2024-07-15 14:46:00-04:00,246.38,246.32,Buy,DHR2
2024-07-15 14:48:00-04:00,246.56,246.32,Sell - Away from SMA,DHR2
2024-07-16 10:30:00-04:00,249.20,248.85,Buy,DHR3
2024-07-16 10:32:00-04:00,249.22,248.85,Sell - Away from SMA,DHR3
2024-07-16 12:10:00-04:00,249.02,248.81,Buy,DHR4
2024-07-16 12:12:00-04:00,249.24,248.81,Sell - Away from SMA,DHR4
2024-07-16 12:50:00-04:00,250.60,250.49,Buy,DHR5
2024-07-16 12:52:00-04:00,250.51,250.49,Sell - Away from SMA,DHR5
2024-07-17 10:06:00-04:00,253.31,253.00,Buy,DHR6
2024-07-17 10:08:00-04:00,253.80,253.00,Sell - Away from SMA,DHR6
2024-07-17 14:06:00-04:00,251.93,251.78,Buy,DHR7
2024-07-17 14:08:00-04:00,252.03,251.78,Sell - Away from SMA,DHR7
2024-07-17 15:00:00-04:00,252.22,252.13,Buy,DHR8
2024-07-17 15:02:00-04:00,252.13,252.13,Sell - Stop Loss,DHR8
2024-07-18 10:00:00-04:00,253.27,252.88,Buy,DHR9
2024-07-18 10:02:00-04:00,254.45,252.88,Sell - Away from SMA,DHR9
2024-07-19 12:38:00-04:00,243.08,242.98,Buy,DHR10
2024-07-19 12:40:00-04:00,243.32,242.98,Sell - Away from SMA,DHR10
2024-07-19 13:36:00-04:00,242.70,242.55,Buy,DHR11
2024-07-19 13:38:00-04:00,243.11,242.55,Sell - Away from SMA,DHR11
2024-07-19 13:48:00-04:00,243.05,242.86,Buy,DHR12
2024-07-19 13:50:00-04:00,243.03,242.86,Sell - Away from SMA,DHR12
2024-07-19 14:30:00-04:00,243.25,243.15,Buy,DHR13
2024-07-19 14:34:00-04:00,243.37,243.15,Sell - Away from SMA,DHR13
2024-07-19 15:22:00-04:00,243.80,243.67,Buy,DHR14
2024-07-19 15:24:00-04:00,243.95,243.67,Sell - Away from SMA,DHR14
2024-07-22 12:14:00-04:00,248.00,247.75,Buy,DHR15
2024-07-22 12:16:00-04:00,248.05,247.75,Sell - Away from SMA,DHR15
2024-07-22 12:36:00-04:00,248.29,248.08,Buy,DHR16
2024-07-22 12:38:00-04:00,248.73,248.08,Sell - Away from SMA,DHR16
2024-07-23 12:22:00-04:00,268.28,268.03,Buy,DHR17
2024-07-23 12:24:00-04:00,268.04,268.03,Sell - Away from SMA,DHR17
2024-07-24 10:18:00-04:00,266.71,266.20,Buy,DHR18
2024-07-24 10:20:00-04:00,267.92,266.20,Sell - Away from SMA,DHR18
2024-07-24 10:28:00-04:00,267.86,267.35,Buy,DHR19
2024-07-24 10:30:00-04:00,267.35,267.35,Sell - Stop Loss,DHR19
2024-07-24 11:54:00-04:00,267.10,266.91,Buy,DHR20
2024-07-24 11:56:00-04:00,266.91,266.91,Sell - Stop Loss,DHR20
2024-07-24 12:14:00-04:00,266.45,266.23,Buy,DHR21
2024-07-24 12:16:00-04:00,266.63,266.23,Sell - Away from SMA,DHR21
2024-07-24 12:40:00-04:00,266.90,266.72,Buy,DHR22
2024-07-24 12:42:00-04:00,266.72,266.72,Sell - Stop Loss,DHR22
2024-07-25 10:02:00-04:00,271.02,270.25,Buy,DHR23
2024-07-25 10:04:00-04:00,271.62,270.25,Sell - Away from SMA,DHR23
2024-07-25 10:14:00-04:00,272.54,271.72,Buy,DHR24
2024-07-25 10:16:00-04:00,272.66,271.72,Sell - Away from SMA,DHR24
2024-07-25 11:38:00-04:00,273.21,273.10,Buy,DHR25
2024-07-25 11:40:00-04:00,273.99,273.10,Sell - Away from SMA,DHR25
2024-07-26 11:24:00-04:00,274.09,273.84,Buy,DHR26
2024-07-26 11:26:00-04:00,274.27,273.84,Sell - Away from SMA,DHR26
2024-07-26 12:08:00-04:00,275.46,275.11,Buy,DHR27
2024-07-26 12:10:00-04:00,275.57,275.11,Sell - Away from SMA,DHR27
2024-07-26 12:28:00-04:00,275.04,274.86,Buy,DHR28
2024-07-26 12:32:00-04:00,274.86,274.86,Sell - Stop Loss,DHR28
2024-07-26 12:42:00-04:00,274.70,274.52,Buy,DHR29
2024-07-26 12:44:00-04:00,274.98,274.52,Sell - Away from SMA,DHR29
2024-07-29 13:12:00-04:00,271.27,271.17,Buy,DHR30
2024-07-29 13:14:00-04:00,271.50,271.17,Sell - Away from SMA,DHR30
2024-07-29 13:26:00-04:00,271.45,271.24,Buy,DHR31
2024-07-29 13:28:00-04:00,271.56,271.24,Sell - Away from SMA,DHR31
2024-07-29 14:40:00-04:00,272.16,271.89,Buy,DHR32
2024-07-29 14:42:00-04:00,272.21,271.89,Sell - Away from SMA,DHR32
2024-07-30 09:52:00-04:00,274.54,274.33,Buy,DHR33
2024-07-30 09:54:00-04:00,274.33,274.33,Sell - Stop Loss,DHR33
2024-07-30 10:24:00-04:00,274.32,273.99,Buy,DHR34
2024-07-30 10:26:00-04:00,274.98,273.99,Sell - Away from SMA,DHR34
2024-07-30 11:34:00-04:00,273.08,272.78,Buy,DHR35
2024-07-30 11:36:00-04:00,273.02,272.78,Sell - Away from SMA,DHR35
2024-07-30 13:44:00-04:00,273.57,273.46,Buy,DHR36
2024-07-30 13:46:00-04:00,273.90,273.46,Sell - Away from SMA,DHR36
2024-07-30 15:32:00-04:00,275.28,275.11,Buy,DHR37
2024-07-30 15:34:00-04:00,275.52,275.11,Sell - Away from SMA,DHR37
2024-07-30 15:42:00-04:00,275.46,275.23,Buy,DHR38
2024-07-30 15:44:00-04:00,275.59,275.23,Sell - Away from SMA,DHR38
2024-07-31 10:38:00-04:00,279.16,278.87,Buy,DHR39
2024-07-31 10:40:00-04:00,279.62,278.87,Sell - Away from SMA,DHR39
2024-07-31 11:42:00-04:00,278.97,278.82,Buy,DHR40
2024-07-31 11:44:00-04:00,279.25,278.82,Sell - Away from SMA,DHR40
2024-07-31 14:44:00-04:00,279.49,279.11,Buy,DHR41
2024-07-31 14:46:00-04:00,279.79,279.11,Sell - Away from SMA,DHR41
2024-08-01 12:28:00-04:00,279.76,279.50,Buy,DHR42
2024-08-01 12:30:00-04:00,279.90,279.50,Sell - Away from SMA,DHR42
2024-08-01 13:12:00-04:00,280.27,280.15,Buy,DHR43
2024-08-01 13:14:00-04:00,280.52,280.15,Sell - Away from SMA,DHR43
2024-08-01 14:04:00-04:00,280.56,280.33,Buy,DHR44
2024-08-01 14:06:00-04:00,280.77,280.33,Sell - Away from SMA,DHR44
2024-08-05 12:20:00-04:00,272.59,272.41,Buy,DHR45
2024-08-05 12:22:00-04:00,272.95,272.41,Sell - Away from SMA,DHR45
2024-08-06 09:52:00-04:00,271.48,271.01,Buy,DHR46
2024-08-06 09:54:00-04:00,272.26,271.01,Sell - Away from SMA,DHR46
2024-08-06 10:00:00-04:00,272.44,272.06,Buy,DHR47
2024-08-06 10:02:00-04:00,272.67,272.06,Sell - Away from SMA,DHR47
2024-08-06 11:40:00-04:00,271.99,271.79,Buy,DHR48
2024-08-06 11:42:00-04:00,271.79,271.79,Sell - Stop Loss,DHR48
2024-08-06 14:20:00-04:00,272.96,272.77,Buy,DHR49
2024-08-06 14:22:00-04:00,273.20,272.77,Sell - Away from SMA,DHR49
2024-08-08 09:50:00-04:00,265.74,265.30,Buy,DHR50
2024-08-08 09:52:00-04:00,267.14,265.30,Sell - Away from SMA,DHR50
2024-08-08 10:20:00-04:00,267.29,267.02,Buy,DHR51
2024-08-08 10:22:00-04:00,267.82,267.02,Sell - Away from SMA,DHR51
2024-08-08 13:28:00-04:00,268.46,268.33,Buy,DHR52
2024-08-08 13:30:00-04:00,268.96,268.33,Sell - Away from SMA,DHR52
2024-08-09 11:14:00-04:00,269.41,269.25,Buy,DHR53
2024-08-09 11:16:00-04:00,269.60,269.25,Sell - Away from SMA,DHR53
2024-08-13 09:38:00-04:00,269.30,268.98,Buy,DHR54
2024-08-13 09:40:00-04:00,270.00,268.98,Sell - Away from SMA,DHR54
2024-08-13 15:48:00-04:00,268.62,268.45,Buy,DHR55
2024-08-13 15:50:00-04:00,268.45,268.45,Sell - Stop Loss,DHR55
2024-08-14 09:40:00-04:00,268.59,268.08,Buy,DHR56
2024-08-14 09:42:00-04:00,269.00,268.08,Sell - Away from SMA,DHR56
2024-08-14 13:52:00-04:00,267.58,267.30,Buy,DHR57
2024-08-14 13:54:00-04:00,267.53,267.30,Sell - Away from SMA,DHR57
2024-08-14 14:44:00-04:00,267.63,267.60,Buy,DHR58
