Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 14:36:00-04:00,103.97,103.90,Buy,DLTR1
2024-07-16 14:44:00-04:00,103.90,103.90,Sell - Stop Loss,DLTR1
2024-07-17 12:50:00-04:00,103.92,103.74,Buy,DLTR2
2024-07-17 12:52:00-04:00,104.03,103.74,Sell - Away from SMA,DLTR2
2024-07-17 13:16:00-04:00,104.01,103.92,Buy,DLTR3
2024-07-17 13:18:00-04:00,104.10,103.92,Sell - Away from SMA,DLTR3
2024-07-17 14:06:00-04:00,104.36,104.25,Buy,DLTR4
2024-07-17 14:08:00-04:00,104.51,104.25,Sell - Away from SMA,DLTR4
2024-07-17 14:26:00-04:00,104.66,104.61,Buy,DLTR5
2024-07-17 14:30:00-04:00,104.61,104.61,Sell - Stop Loss,DLTR5
2024-07-17 15:22:00-04:00,105.24,105.18,Buy,DLTR6
2024-07-17 15:24:00-04:00,105.18,105.18,Sell - Stop Loss,DLTR6
2024-07-18 13:12:00-04:00,107.07,106.96,Buy,DLTR7
2024-07-18 13:14:00-04:00,107.32,106.96,Sell - Away from SMA,DLTR7
2024-07-18 13:22:00-04:00,107.59,107.45,Buy,DLTR8
2024-07-18 13:24:00-04:00,107.68,107.45,Sell - Away from SMA,DLTR8
2024-07-18 13:48:00-04:00,108.25,108.06,Buy,DLTR9
2024-07-18 13:50:00-04:00,108.31,108.06,Sell - Away from SMA,DLTR9
2024-07-19 12:48:00-04:00,106.20,106.14,Buy,DLTR10
2024-07-19 12:50:00-04:00,106.14,106.14,Sell - Stop Loss,DLTR10
2024-07-19 13:18:00-04:00,106.49,106.43,Buy,DLTR11
2024-07-19 13:20:00-04:00,106.62,106.43,Sell - Away from SMA,DLTR11
2024-07-22 09:46:00-04:00,108.15,107.99,Buy,DLTR12
2024-07-22 09:48:00-04:00,108.41,107.99,Sell - Away from SMA,DLTR12
2024-07-22 13:38:00-04:00,107.30,107.17,Buy,DLTR13
2024-07-22 13:40:00-04:00,107.42,107.17,Sell - Away from SMA,DLTR13
2024-07-23 14:00:00-04:00,107.39,107.26,Buy,DLTR14
2024-07-23 14:02:00-04:00,107.26,107.26,Sell - Stop Loss,DLTR14
2024-07-29 12:36:00-04:00,103.63,103.52,Buy,DLTR15
2024-07-29 12:38:00-04:00,103.85,103.52,Sell - Away from SMA,DLTR15
2024-07-29 13:52:00-04:00,103.72,103.60,Buy,DLTR16
2024-07-29 14:00:00-04:00,103.60,103.60,Sell - Stop Loss,DLTR16
2024-07-30 15:02:00-04:00,104.21,104.14,Buy,DLTR17
2024-07-30 15:04:00-04:00,104.28,104.14,Sell - Away from SMA,DLTR17
2024-07-30 15:28:00-04:00,104.47,104.40,Buy,DLTR18
2024-07-30 15:30:00-04:00,104.61,104.40,Sell - Away from SMA,DLTR18
2024-07-31 13:36:00-04:00,104.82,104.74,Buy,DLTR19
2024-07-31 13:38:00-04:00,104.85,104.74,Sell - Away from SMA,DLTR19
2024-08-01 14:04:00-04:00,101.20,101.10,Buy,DLTR20
2024-08-01 14:06:00-04:00,101.33,101.10,Sell - Away from SMA,DLTR20
2024-08-02 13:12:00-04:00,99.43,99.32,Buy,DLTR21
2024-08-02 13:14:00-04:00,99.65,99.32,Sell - Away from SMA,DLTR21
2024-08-05 14:00:00-04:00,96.86,96.72,Buy,DLTR22
2024-08-05 14:02:00-04:00,97.01,96.72,Sell - Away from SMA,DLTR22
2024-08-05 14:40:00-04:00,97.02,96.92,Buy,DLTR23
2024-08-05 14:46:00-04:00,97.18,96.92,Sell - Away from SMA,DLTR23
2024-08-09 10:24:00-04:00,95.29,95.14,Buy,DLTR24
2024-08-09 10:26:00-04:00,95.47,95.14,Sell - Away from SMA,DLTR24
2024-08-09 11:12:00-04:00,95.36,95.26,Buy,DLTR25
2024-08-09 11:14:00-04:00,95.44,95.26,Sell - Away from SMA,DLTR25
2024-08-12 12:42:00-04:00,93.96,93.86,Buy,DLTR26
2024-08-12 12:50:00-04:00,93.86,93.86,Sell - Stop Loss,DLTR26
2024-08-13 15:48:00-04:00,92.59,92.49,Buy,DLTR27
2024-08-13 15:52:00-04:00,92.49,92.49,Sell - Stop Loss,DLTR27
2024-08-14 09:48:00-04:00,93.08,92.82,Buy,DLTR28
2024-08-14 09:50:00-04:00,93.19,92.82,Sell - Away from SMA,DLTR28
2024-08-14 14:46:00-04:00,92.48,92.41,Buy,DLTR29
