Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:26:00-04:00,189.89,189.78,Buy,DOV1
2024-07-16 11:28:00-04:00,189.99,189.78,Sell - Away from SMA,DOV1
2024-07-16 11:52:00-04:00,189.68,189.61,Buy,DOV2
2024-07-16 11:54:00-04:00,190.07,189.61,Sell - Away from SMA,DOV2
2024-07-16 14:04:00-04:00,190.34,190.24,Buy,DOV3
2024-07-16 14:06:00-04:00,190.50,190.24,Sell - Away from SMA,DOV3
2024-07-16 15:14:00-04:00,190.51,190.46,Buy,DOV4
2024-07-16 15:16:00-04:00,190.69,190.46,Sell - Away from SMA,DOV4
2024-07-17 11:12:00-04:00,191.32,191.22,Buy,DOV5
2024-07-17 11:14:00-04:00,191.22,191.22,Sell - Stop Loss,DOV5
2024-07-19 15:50:00-04:00,183.23,183.10,Buy,DOV6
2024-07-19 15:52:00-04:00,183.13,183.10,Sell - Away from SMA,DOV6
2024-07-22 15:20:00-04:00,180.78,180.71,Buy,DOV7
2024-07-22 15:22:00-04:00,180.93,180.71,Sell - Away from SMA,DOV7
2024-07-22 15:58:00-04:00,181.12,180.94,Buy,DOV8
2024-07-23 09:30:00-04:00,182.65,180.94,Sell - Away from SMA,DOV8
2024-07-25 10:10:00-04:00,183.73,183.07,Buy,DOV9
2024-07-25 10:12:00-04:00,183.35,183.07,Sell - Away from SMA,DOV9
2024-07-25 11:10:00-04:00,185.12,184.98,Buy,DOV10
2024-07-25 11:12:00-04:00,184.98,184.98,Sell - Stop Loss,DOV10
2024-07-25 15:12:00-04:00,187.67,187.52,Buy,DOV11
2024-07-25 15:14:00-04:00,188.04,187.52,Sell - Away from SMA,DOV11
2024-07-29 15:24:00-04:00,186.03,185.91,Buy,DOV12
2024-07-29 15:26:00-04:00,186.31,185.91,Sell - Away from SMA,DOV12
2024-08-02 15:30:00-04:00,175.20,175.10,Buy,DOV13
2024-08-02 15:32:00-04:00,175.40,175.10,Sell - Away from SMA,DOV13
2024-08-02 15:44:00-04:00,174.94,174.83,Buy,DOV14
2024-08-02 15:46:00-04:00,175.39,174.83,Sell - Away from SMA,DOV14
2024-08-06 11:50:00-04:00,175.05,174.96,Buy,DOV15
2024-08-06 11:52:00-04:00,175.50,174.96,Sell - Away from SMA,DOV15
2024-08-06 12:14:00-04:00,175.28,175.06,Buy,DOV16
2024-08-06 12:16:00-04:00,175.53,175.06,Sell - Away from SMA,DOV16
2024-08-06 13:20:00-04:00,175.64,175.54,Buy,DOV17
2024-08-06 13:22:00-04:00,175.54,175.54,Sell - Stop Loss,DOV17
2024-08-06 13:56:00-04:00,175.95,175.88,Buy,DOV18
2024-08-06 13:58:00-04:00,175.88,175.88,Sell - Stop Loss,DOV18
2024-08-06 14:32:00-04:00,176.04,175.91,Buy,DOV19
2024-08-06 14:34:00-04:00,176.23,175.91,Sell - Away from SMA,DOV19
2024-08-06 14:46:00-04:00,176.22,176.16,Buy,DOV20
2024-08-06 14:48:00-04:00,176.33,176.16,Sell - Away from SMA,DOV20
2024-08-07 10:50:00-04:00,177.10,176.91,Buy,DOV21
2024-08-07 10:52:00-04:00,177.37,176.91,Sell - Away from SMA,DOV21
2024-08-08 09:50:00-04:00,174.16,174.13,Buy,DOV22
2024-08-08 09:52:00-04:00,175.29,174.13,Sell - Away from SMA,DOV22
2024-08-08 10:34:00-04:00,175.17,175.08,Buy,DOV23
2024-08-08 10:36:00-04:00,175.08,175.08,Sell - Stop Loss,DOV23
2024-08-08 11:08:00-04:00,175.77,175.60,Buy,DOV24
2024-08-08 11:10:00-04:00,175.98,175.60,Sell - Away from SMA,DOV24
2024-08-08 11:24:00-04:00,176.17,176.05,Buy,DOV25
2024-08-08 11:26:00-04:00,176.35,176.05,Sell - Away from SMA,DOV25
2024-08-08 12:02:00-04:00,175.71,175.62,Buy,DOV26
2024-08-08 12:04:00-04:00,176.16,175.62,Sell - Away from SMA,DOV26
2024-08-09 14:50:00-04:00,175.94,175.86,Buy,DOV27
2024-08-09 14:52:00-04:00,175.86,175.86,Sell - Stop Loss,DOV27
2024-08-09 15:10:00-04:00,176.10,175.97,Buy,DOV28
2024-08-09 15:12:00-04:00,176.20,175.97,Sell - Away from SMA,DOV28
2024-08-13 12:10:00-04:00,174.74,174.66,Buy,DOV29
2024-08-13 12:12:00-04:00,174.92,174.66,Sell - Away from SMA,DOV29
2024-08-13 12:46:00-04:00,175.36,175.24,Buy,DOV30
2024-08-13 12:48:00-04:00,175.65,175.24,Sell - Away from SMA,DOV30
2024-08-13 14:00:00-04:00,176.01,175.93,Buy,DOV31
2024-08-13 14:02:00-04:00,176.23,175.93,Sell - Away from SMA,DOV31
2024-08-14 10:02:00-04:00,177.05,176.99,Buy,DOV32
2024-08-14 10:04:00-04:00,176.99,176.99,Sell - Stop Loss,DOV32
2024-08-16 12:38:00-04:00,180.11,180.06,Buy,DOV33
2024-08-16 12:40:00-04:00,180.21,180.06,Sell - Away from SMA,DOV33
2024-08-16 14:54:00-04:00,180.44,180.38,Buy,DOV34
2024-08-16 14:56:00-04:00,180.60,180.38,Sell - Away from SMA,DOV34
2024-08-19 11:18:00-04:00,181.66,181.62,Buy,DOV35
2024-08-19 11:20:00-04:00,181.62,181.62,Sell - Stop Loss,DOV35
2024-08-20 15:06:00-04:00,180.33,180.21,Buy,DOV36
2024-08-20 15:16:00-04:00,180.21,180.21,Sell - Stop Loss,DOV36
2024-08-21 11:22:00-04:00,181.95,181.90,Buy,DOV37
2024-08-21 11:24:00-04:00,181.95,181.90,Sell - Away from SMA,DOV37
2024-08-21 11:58:00-04:00,181.78,181.74,Buy,DOV38
2024-08-21 12:00:00-04:00,181.74,181.74,Sell - Stop Loss,DOV38
2024-08-23 11:18:00-04:00,184.65,184.39,Buy,DOV39
2024-08-23 11:20:00-04:00,184.90,184.39,Sell - Away from SMA,DOV39
2024-08-23 13:56:00-04:00,184.46,184.44,Buy,DOV40
2024-08-23 13:58:00-04:00,184.62,184.44,Sell - Away from SMA,DOV40
