Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,140.490,141.050,139.730,140.880,140.880,16867.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,141.950,141.950,140.975,141.890,141.890,2710.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,141.205,142.360,141.070,142.360,142.360,3172.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,141.745,141.745,140.560,140.995,140.995,13899.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,141.950,141.950,141.340,141.340,141.340,557.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,142.000,142.660,142.000,142.660,142.660,1188.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,141.840,141.840,141.840,141.840,141.840,297.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,142.055,142.500,141.650,141.750,141.750,7560.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,141.956,142.370,141.956,142.370,142.370,767.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:52:00-04:00,141.958,142.500,141.805,141.805,141.805,4824.000,141.789,nan,False,Noise Bar,nan,Empty
2024-07-15 09:54:00-04:00,141.810,141.815,141.810,141.815,141.815,284.000,141.882,nan,False,Noise Bar,0.093,Empty
2024-07-15 09:56:00-04:00,141.810,142.040,141.500,141.815,141.815,3112.000,141.875,nan,False,Noise Bar,-0.007,Empty
2024-07-15 09:58:00-04:00,141.815,141.820,141.770,141.770,141.770,1421.000,141.816,nan,False,Noise Bar,-0.059,Empty
2024-07-15 10:00:00-04:00,141.960,141.960,141.960,141.960,141.960,608.000,141.912,nan,False,Noise Bar,0.097,Empty
2024-07-15 10:02:00-04:00,141.765,141.900,141.601,141.670,141.670,1464.000,141.946,nan,False,Noise Bar,0.033,Empty
2024-07-15 10:04:00-04:00,141.870,142.170,141.795,142.170,142.170,7544.000,141.896,nan,False,Noise Bar,-0.049,Empty
2024-07-15 10:06:00-04:00,141.940,142.200,141.935,142.200,142.200,2485.000,141.932,nan,False,Noise Bar,0.036,Empty
2024-07-15 10:08:00-04:00,142.040,142.280,141.990,142.280,142.280,2765.000,141.985,nan,False,Noise Bar,0.053,Empty
2024-07-15 10:10:00-04:00,142.180,142.220,141.920,142.140,142.140,2567.000,141.962,nan,False,Noise Bar,-0.023,Empty
2024-07-15 10:12:00-04:00,141.930,142.225,141.800,142.000,142.000,4176.000,141.982,nan,False,Noise Bar,0.020,Empty
2024-07-15 10:14:00-04:00,141.920,142.005,141.920,142.000,142.000,708.000,142.001,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:16:00-04:00,142.105,142.290,141.955,142.060,142.060,5980.000,142.025,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:18:00-04:00,142.380,142.760,142.365,142.675,142.675,5975.000,142.115,nan,False,Noise Bar,0.090,Empty
2024-07-15 10:20:00-04:00,142.650,142.650,142.540,142.540,142.540,639.000,142.173,nan,False,Noise Bar,0.058,Empty
2024-07-15 10:22:00-04:00,142.500,142.790,142.430,142.790,142.790,4439.000,142.285,nan,False,Noise Bar,0.112,Empty
2024-07-15 10:24:00-04:00,142.730,142.764,142.400,142.400,142.400,2771.000,142.308,nan,False,Noise Bar,0.023,Empty
2024-07-15 10:26:00-04:00,142.110,142.170,142.110,142.170,142.170,739.000,142.305,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:28:00-04:00,142.180,142.250,142.000,142.000,142.000,3455.000,142.277,nan,False,Noise Bar,-0.028,Empty
2024-07-15 10:30:00-04:00,141.920,142.040,141.860,141.860,141.860,1370.000,142.249,nan,False,Noise Bar,-0.028,Empty
2024-07-15 10:32:00-04:00,141.915,141.915,141.915,141.915,141.915,146.000,142.241,nan,False,Noise Bar,-0.009,Empty
2024-07-15 10:34:00-04:00,141.740,141.940,141.740,141.940,141.940,485.000,142.235,nan,False,Noise Bar,-0.006,Empty
2024-07-15 10:36:00-04:00,141.950,142.090,141.950,142.090,142.090,1188.000,142.238,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:38:00-04:00,142.020,142.120,141.835,141.995,141.995,3676.000,142.170,nan,False,Noise Bar,-0.068,Empty
2024-07-15 10:40:00-04:00,142.000,142.000,142.000,142.000,142.000,977.000,142.116,nan,False,Noise Bar,-0.054,Empty
2024-07-15 10:42:00-04:00,142.000,142.000,142.000,142.000,142.000,1159.000,142.037,nan,False,Noise Bar,-0.079,Empty
2024-07-15 10:44:00-04:00,142.000,142.000,141.190,141.205,141.205,5642.000,141.917,nan,False,Noise Bar,-0.119,Empty
2024-07-15 10:46:00-04:00,141.490,141.500,141.300,141.300,141.300,2305.000,141.830,nan,False,Noise Bar,-0.087,Empty
2024-07-15 10:50:00-04:00,141.230,141.230,141.230,141.230,141.230,291.000,141.753,nan,False,Noise Bar,-0.077,Empty
2024-07-15 10:52:00-04:00,141.220,141.380,141.220,141.220,141.220,503.000,141.689,nan,False,Noise Bar,-0.064,Empty
2024-07-15 10:54:00-04:00,141.240,141.240,140.880,140.940,140.940,4359.000,141.592,nan,False,Noise Bar,-0.097,Empty
2024-07-15 10:56:00-04:00,140.965,141.150,140.960,141.060,141.060,1581.000,141.504,nan,False,Noise Bar,-0.088,Empty
2024-07-15 10:58:00-04:00,141.000,141.110,140.880,141.110,141.110,2885.000,141.406,nan,False,Noise Bar,-0.098,Empty
2024-07-15 11:00:00-04:00,141.030,141.130,141.030,141.100,141.100,2056.000,141.317,nan,False,Noise Bar,-0.089,Empty
2024-07-15 11:02:00-04:00,140.910,140.910,140.870,140.870,140.870,781.000,141.204,nan,False,Noise Bar,-0.113,Empty
2024-07-15 11:04:00-04:00,140.810,140.980,140.810,140.980,140.980,841.000,141.101,nan,False,Noise Bar,-0.102,Empty
2024-07-15 11:06:00-04:00,140.780,140.780,140.770,140.770,140.770,904.000,141.058,nan,False,Noise Bar,-0.043,Empty
2024-07-15 11:08:00-04:00,140.780,140.800,140.685,140.685,140.685,4837.000,140.996,nan,False,Noise Bar,-0.062,Empty
2024-07-15 11:10:00-04:00,140.680,140.680,140.665,140.670,140.670,608.000,140.940,nan,False,Noise Bar,-0.056,Empty
2024-07-15 11:12:00-04:00,140.745,140.750,140.745,140.750,140.750,601.000,140.893,nan,False,Noise Bar,-0.047,Empty
2024-07-15 11:14:00-04:00,140.780,140.780,140.780,140.780,140.780,8365.000,140.877,nan,False,Noise Bar,-0.016,Empty
2024-07-15 11:16:00-04:00,140.790,140.790,140.660,140.770,140.770,1074.000,140.849,nan,False,Noise Bar,-0.029,Empty
2024-07-15 11:18:00-04:00,140.820,140.820,140.785,140.785,140.785,577.000,140.816,nan,False,Noise Bar,-0.032,Empty
2024-07-15 11:20:00-04:00,140.785,140.925,140.680,140.770,140.770,1110.000,140.783,nan,False,Noise Bar,-0.033,Empty
2024-07-15 11:22:00-04:00,140.670,140.820,140.540,140.820,140.820,3460.000,140.778,nan,False,Noise Bar,-0.005,Empty
2024-07-15 11:24:00-04:00,140.630,140.630,140.630,140.630,140.630,327.000,140.743,nan,False,Noise Bar,-0.035,Empty
2024-07-15 11:26:00-04:00,140.630,140.630,140.160,140.170,140.170,2325.000,140.683,nan,False,Noise Bar,-0.060,Empty
2024-07-15 11:28:00-04:00,140.135,140.135,140.135,140.135,140.135,417.000,140.628,nan,False,Noise Bar,-0.055,Empty
2024-07-15 11:30:00-04:00,140.150,140.190,139.940,139.940,139.940,2139.000,140.555,nan,False,Noise Bar,-0.073,Empty
2024-07-15 11:32:00-04:00,140.050,140.200,140.000,140.200,140.200,7198.000,140.500,nan,False,Noise Bar,-0.055,Empty
2024-07-15 11:34:00-04:00,140.250,140.420,140.250,140.420,140.420,637.000,140.464,nan,False,Noise Bar,-0.036,Empty
2024-07-15 11:36:00-04:00,140.660,140.660,140.650,140.650,140.650,1163.000,140.452,nan,False,Noise Bar,-0.012,Empty
2024-07-15 11:38:00-04:00,140.605,140.605,140.580,140.580,140.580,682.000,140.432,nan,False,Noise Bar,-0.021,Empty
2024-07-15 11:40:00-04:00,140.510,140.610,140.490,140.525,140.525,1616.000,140.407,nan,False,Noise Bar,-0.025,Empty
2024-07-15 11:42:00-04:00,140.520,140.560,140.500,140.560,140.560,982.000,140.381,nan,False,Noise Bar,-0.026,Empty
2024-07-15 11:44:00-04:00,140.550,140.550,140.390,140.390,140.390,877.000,140.357,nan,False,Noise Bar,-0.024,Empty
2024-07-15 11:46:00-04:00,140.510,140.510,140.500,140.505,140.505,726.000,140.390,nan,False,Noise Bar,0.034,Empty
2024-07-15 11:48:00-04:00,140.515,140.515,140.515,140.515,140.515,298.000,140.428,nan,False,Noise Bar,0.038,Empty
2024-07-15 11:50:00-04:00,140.665,140.800,140.665,140.710,140.710,1436.000,140.505,nan,False,Noise Bar,0.077,Empty
2024-07-15 11:52:00-04:00,140.720,140.720,140.410,140.600,140.600,3280.000,140.546,nan,False,Noise Bar,0.040,Empty
2024-07-15 11:54:00-04:00,140.690,140.800,140.610,140.800,140.800,4106.000,140.584,nan,False,Noise Bar,0.038,Empty
