Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:58:00-04:00,113.10,112.98,Buy,DXCM1
2024-07-15 15:02:00-04:00,113.06,112.98,Sell - Away from SMA,DXCM1
2024-07-16 10:06:00-04:00,114.57,114.35,Buy,DXCM2
2024-07-16 10:08:00-04:00,114.64,114.35,Sell - Away from SMA,DXCM2
2024-07-16 12:10:00-04:00,115.09,114.99,Buy,DXCM3
2024-07-16 12:12:00-04:00,115.33,114.99,Sell - Away from SMA,DXCM3
2024-07-16 13:34:00-04:00,115.11,115.07,Buy,DXCM4
2024-07-16 13:40:00-04:00,115.07,115.07,Sell - Stop Loss,DXCM4
2024-07-17 09:50:00-04:00,116.28,116.09,Buy,DXCM5
2024-07-17 09:52:00-04:00,116.33,116.09,Sell - Away from SMA,DXCM5
2024-07-17 12:58:00-04:00,116.08,116.00,Buy,DXCM6
2024-07-17 13:00:00-04:00,116.25,116.00,Sell - Away from SMA,DXCM6
2024-07-17 13:58:00-04:00,115.49,115.38,Buy,DXCM7
2024-07-17 14:02:00-04:00,115.38,115.38,Sell - Stop Loss,DXCM7
2024-07-22 11:00:00-04:00,111.67,111.52,Buy,DXCM8
2024-07-22 11:02:00-04:00,111.98,111.52,Sell - Away from SMA,DXCM8
2024-07-23 10:56:00-04:00,111.48,111.38,Buy,DXCM9
2024-07-23 10:58:00-04:00,111.73,111.38,Sell - Away from SMA,DXCM9
2024-07-24 13:06:00-04:00,111.49,111.35,Buy,DXCM10
2024-07-24 13:08:00-04:00,111.64,111.35,Sell - Away from SMA,DXCM10
2024-07-24 13:52:00-04:00,112.37,112.27,Buy,DXCM11
2024-07-24 13:54:00-04:00,112.58,112.27,Sell - Away from SMA,DXCM11
2024-07-24 15:08:00-04:00,112.46,112.36,Buy,DXCM12
2024-07-24 15:10:00-04:00,112.36,112.36,Sell - Stop Loss,DXCM12
2024-07-26 14:38:00-04:00,63.60,63.49,Buy,DXCM13
2024-07-26 14:40:00-04:00,63.85,63.49,Sell - Away from SMA,DXCM13
2024-07-29 12:36:00-04:00,68.06,67.83,Buy,DXCM14
2024-07-29 12:38:00-04:00,68.29,67.83,Sell - Away from SMA,DXCM14
2024-07-31 12:04:00-04:00,70.03,69.96,Buy,DXCM15
2024-07-31 12:06:00-04:00,70.20,69.96,Sell - Away from SMA,DXCM15
2024-08-01 10:10:00-04:00,68.76,68.55,Buy,DXCM16
2024-08-01 10:12:00-04:00,68.83,68.55,Sell - Away from SMA,DXCM16
2024-08-01 14:02:00-04:00,70.95,70.76,Buy,DXCM17
2024-08-01 14:04:00-04:00,70.98,70.76,Sell - Away from SMA,DXCM17
2024-08-02 10:20:00-04:00,71.13,70.94,Buy,DXCM18
2024-08-02 10:22:00-04:00,71.36,70.94,Sell - Away from SMA,DXCM18
2024-08-02 11:10:00-04:00,71.38,71.28,Buy,DXCM19
2024-08-02 11:12:00-04:00,71.68,71.28,Sell - Away from SMA,DXCM19
2024-08-02 11:50:00-04:00,71.84,71.74,Buy,DXCM20
2024-08-02 11:52:00-04:00,72.00,71.74,Sell - Away from SMA,DXCM20
2024-08-02 13:16:00-04:00,72.36,72.24,Buy,DXCM21
2024-08-02 13:18:00-04:00,72.44,72.24,Sell - Away from SMA,DXCM21
2024-08-02 15:30:00-04:00,72.15,72.06,Buy,DXCM22
2024-08-02 15:32:00-04:00,72.37,72.06,Sell - Away from SMA,DXCM22
2024-08-05 10:42:00-04:00,72.35,72.14,Buy,DXCM23
