Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:28:00-04:00,199.06,198.98,Buy,EPAM1
2024-07-15 14:30:00-04:00,199.55,198.98,Sell - Away from SMA,EPAM1
2024-07-16 09:54:00-04:00,208.59,208.21,Buy,EPAM2
2024-07-16 09:56:00-04:00,209.68,208.21,Sell - Away from SMA,EPAM2
2024-07-16 10:40:00-04:00,210.36,210.19,Buy,EPAM3
2024-07-16 10:42:00-04:00,211.09,210.19,Sell - Away from SMA,EPAM3
2024-07-16 12:00:00-04:00,208.60,208.56,Buy,EPAM4
2024-07-16 12:02:00-04:00,208.61,208.56,Sell - Away from SMA,EPAM4
2024-07-16 12:12:00-04:00,209.32,209.29,Buy,EPAM5
2024-07-16 12:14:00-04:00,209.66,209.29,Sell - Away from SMA,EPAM5
2024-07-16 14:14:00-04:00,209.62,209.40,Buy,EPAM6
2024-07-16 14:18:00-04:00,209.40,209.40,Sell - Stop Loss,EPAM6
2024-07-16 14:52:00-04:00,209.78,209.66,Buy,EPAM7
2024-07-16 14:54:00-04:00,210.12,209.66,Sell - Away from SMA,EPAM7
2024-07-17 11:46:00-04:00,209.52,209.47,Buy,EPAM8
2024-07-17 11:48:00-04:00,209.47,209.47,Sell - Stop Loss,EPAM8
2024-07-17 12:14:00-04:00,210.10,209.72,Buy,EPAM9
2024-07-17 12:16:00-04:00,210.67,209.72,Sell - Away from SMA,EPAM9
2024-07-17 12:26:00-04:00,210.44,210.40,Buy,EPAM10
2024-07-17 12:28:00-04:00,210.79,210.40,Sell - Away from SMA,EPAM10
2024-07-17 15:50:00-04:00,211.33,210.94,Buy,EPAM11
2024-07-17 15:52:00-04:00,211.62,210.94,Sell - Away from SMA,EPAM11
2024-07-18 10:48:00-04:00,219.66,219.06,Buy,EPAM12
2024-07-18 10:50:00-04:00,219.52,219.06,Sell - Away from SMA,EPAM12
2024-07-18 12:26:00-04:00,217.98,217.92,Buy,EPAM13
2024-07-18 12:32:00-04:00,218.29,217.92,Sell - Away from SMA,EPAM13
2024-07-19 15:22:00-04:00,210.25,210.15,Buy,EPAM14
2024-07-19 15:24:00-04:00,210.35,210.15,Sell - Away from SMA,EPAM14
2024-07-22 15:54:00-04:00,211.67,211.48,Buy,EPAM15
2024-07-22 15:56:00-04:00,211.48,211.48,Sell - Stop Loss,EPAM15
2024-07-23 11:48:00-04:00,210.92,210.88,Buy,EPAM16
2024-07-23 11:50:00-04:00,211.38,210.88,Sell - Away from SMA,EPAM16
2024-07-25 10:12:00-04:00,205.95,205.68,Buy,EPAM17
2024-07-25 10:14:00-04:00,206.52,205.68,Sell - Away from SMA,EPAM17
2024-07-30 15:14:00-04:00,213.37,213.34,Buy,EPAM18
2024-07-30 15:16:00-04:00,213.36,213.34,Sell - Away from SMA,EPAM18
2024-07-31 14:48:00-04:00,217.54,217.18,Buy,EPAM19
2024-07-31 14:50:00-04:00,218.00,217.18,Sell - Away from SMA,EPAM19
2024-07-31 14:56:00-04:00,218.17,217.98,Buy,EPAM20
2024-07-31 14:58:00-04:00,218.62,217.98,Sell - Away from SMA,EPAM20
2024-07-31 15:34:00-04:00,216.53,215.94,Buy,EPAM21
2024-07-31 15:36:00-04:00,217.06,215.94,Sell - Away from SMA,EPAM21
2024-08-07 09:44:00-04:00,212.84,211.63,Buy,EPAM22
2024-08-07 09:46:00-04:00,212.79,211.63,Sell - Away from SMA,EPAM22
2024-08-08 13:48:00-04:00,189.74,189.35,Buy,EPAM23
2024-08-08 13:50:00-04:00,190.02,189.35,Sell - Away from SMA,EPAM23
2024-08-08 14:20:00-04:00,190.07,190.04,Buy,EPAM24
2024-08-08 14:22:00-04:00,190.58,190.04,Sell - Away from SMA,EPAM24
2024-08-09 13:56:00-04:00,195.55,195.47,Buy,EPAM25
2024-08-09 13:58:00-04:00,195.80,195.47,Sell - Away from SMA,EPAM25
2024-08-09 14:30:00-04:00,194.62,194.60,Buy,EPAM26
2024-08-09 14:32:00-04:00,194.66,194.60,Sell - Away from SMA,EPAM26
2024-08-09 14:36:00-04:00,194.58,194.42,Buy,EPAM27
2024-08-09 14:42:00-04:00,194.78,194.42,Sell - Away from SMA,EPAM27
2024-08-12 12:20:00-04:00,192.16,192.08,Buy,EPAM28
