Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,59.860,60.160,59.700,59.860,59.860,18849.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,59.840,60.090,59.820,59.980,59.980,9660.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,60.000,60.050,59.920,59.940,59.940,22559.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,59.810,59.970,59.810,59.880,59.880,4257.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,59.880,59.880,59.765,59.797,59.797,5012.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,59.765,59.800,59.710,59.710,59.710,3569.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,59.730,59.850,59.650,59.850,59.850,6333.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,59.880,59.935,59.850,59.850,59.850,10640.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,59.870,59.960,59.860,59.915,59.915,9698.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,59.915,59.985,59.890,59.960,59.960,11834.000,59.874,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,59.940,59.970,59.885,59.970,59.970,6988.000,59.885,nan,False,Noise Bar,0.011,Empty
2024-07-15 09:52:00-04:00,59.950,59.950,59.880,59.880,59.880,5505.000,59.875,nan,False,Noise Bar,-0.010,Empty
2024-07-15 09:54:00-04:00,59.920,59.925,59.825,59.840,59.840,2356.000,59.865,nan,False,Noise Bar,-0.010,Empty
2024-07-15 09:56:00-04:00,59.830,59.930,59.800,59.920,59.920,2694.000,59.869,nan,False,Noise Bar,0.004,Empty
2024-07-15 09:58:00-04:00,59.920,59.920,59.840,59.840,59.840,3582.000,59.873,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:00:00-04:00,59.830,59.830,59.730,59.770,59.770,3215.000,59.879,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:02:00-04:00,59.770,59.770,59.660,59.675,59.675,5818.000,59.862,nan,False,Noise Bar,-0.017,Empty
2024-07-15 10:04:00-04:00,59.690,59.710,59.500,59.500,59.500,10943.000,59.827,nan,False,Noise Bar,-0.035,Empty
2024-07-15 10:06:00-04:00,59.520,59.580,59.500,59.580,59.580,7027.000,59.794,nan,False,Noise Bar,-0.033,Empty
2024-07-15 10:08:00-04:00,59.600,59.630,59.510,59.520,59.520,3762.000,59.750,nan,False,Noise Bar,-0.044,Empty
2024-07-15 10:10:00-04:00,59.520,59.550,59.520,59.540,59.540,3299.000,59.707,nan,False,Noise Bar,-0.043,Empty
2024-07-15 10:12:00-04:00,59.540,59.540,59.485,59.505,59.505,4115.000,59.669,nan,False,Noise Bar,-0.038,Empty
2024-07-15 10:14:00-04:00,59.500,59.610,59.500,59.610,59.610,4673.000,59.646,nan,False,Noise Bar,-0.023,Empty
2024-07-15 10:16:00-04:00,59.610,59.709,59.605,59.709,59.709,4697.000,59.625,nan,False,Noise Bar,-0.021,Empty
2024-07-15 10:18:00-04:00,59.710,59.720,59.660,59.670,59.670,4888.000,59.608,nan,False,Noise Bar,-0.017,Empty
2024-07-15 10:20:00-04:00,59.700,59.700,59.590,59.600,59.600,3316.000,59.591,nan,False,Noise Bar,-0.017,Empty
2024-07-15 10:22:00-04:00,59.610,59.610,59.560,59.590,59.590,40076.000,59.582,nan,False,Noise Bar,-0.008,Empty
2024-07-15 10:24:00-04:00,59.580,59.620,59.550,59.580,59.580,16255.000,59.590,nan,False,Noise Bar,0.008,Empty
2024-07-15 10:26:00-04:00,59.595,59.595,59.500,59.510,59.510,5363.000,59.583,nan,False,Noise Bar,-0.007,Empty
2024-07-15 10:28:00-04:00,59.520,59.530,59.440,59.470,59.470,38441.000,59.578,nan,False,Noise Bar,-0.005,Empty
2024-07-15 10:30:00-04:00,59.490,59.515,59.430,59.460,59.460,6975.000,59.570,nan,False,Noise Bar,-0.008,Empty
2024-07-15 10:32:00-04:00,59.470,59.505,59.470,59.490,59.490,4929.000,59.569,nan,False,Noise Bar,-0.001,Empty
