Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:18:00-04:00,332.29,331.69,Buy,ETN1
2024-07-16 12:20:00-04:00,332.32,331.69,Sell - Away from SMA,ETN1
2024-07-18 09:52:00-04:00,316.24,315.71,Buy,ETN2
2024-07-18 09:54:00-04:00,315.71,315.71,Sell - Stop Loss,ETN2
2024-07-18 15:54:00-04:00,308.88,308.26,Buy,ETN3
2024-07-18 15:56:00-04:00,309.06,308.26,Sell - Away from SMA,ETN3
2024-07-19 10:52:00-04:00,314.53,314.27,Buy,ETN4
2024-07-19 10:54:00-04:00,314.59,314.27,Sell - Away from SMA,ETN4
2024-07-19 11:16:00-04:00,314.41,314.19,Buy,ETN5
2024-07-19 11:18:00-04:00,314.19,314.19,Sell - Stop Loss,ETN5
2024-07-19 11:56:00-04:00,315.02,314.79,Buy,ETN6
2024-07-19 11:58:00-04:00,315.92,314.79,Sell - Away from SMA,ETN6
2024-07-22 10:56:00-04:00,319.31,319.15,Buy,ETN7
2024-07-22 10:58:00-04:00,319.64,319.15,Sell - Away from SMA,ETN7
2024-07-22 14:18:00-04:00,319.67,319.45,Buy,ETN8
2024-07-22 14:20:00-04:00,319.45,319.45,Sell - Stop Loss,ETN8
2024-07-23 09:42:00-04:00,321.30,320.88,Buy,ETN9
2024-07-23 09:44:00-04:00,321.98,320.88,Sell - Away from SMA,ETN9
2024-07-25 12:36:00-04:00,299.66,299.28,Buy,ETN10
2024-07-25 12:38:00-04:00,300.28,299.28,Sell - Away from SMA,ETN10
2024-07-26 10:26:00-04:00,300.00,299.36,Buy,ETN11
2024-07-26 10:28:00-04:00,300.76,299.36,Sell - Away from SMA,ETN11
2024-07-26 11:30:00-04:00,298.70,298.45,Buy,ETN12
2024-07-26 11:32:00-04:00,299.12,298.45,Sell - Away from SMA,ETN12
2024-07-26 11:48:00-04:00,298.75,298.43,Buy,ETN13
2024-07-26 11:50:00-04:00,298.97,298.43,Sell - Away from SMA,ETN13
2024-07-26 13:06:00-04:00,301.39,301.11,Buy,ETN14
2024-07-26 13:08:00-04:00,301.72,301.11,Sell - Away from SMA,ETN14
2024-07-26 14:10:00-04:00,299.64,299.56,Buy,ETN15
2024-07-26 14:12:00-04:00,299.56,299.56,Sell - Stop Loss,ETN15
2024-07-29 14:54:00-04:00,297.35,297.24,Buy,ETN16
2024-07-29 14:56:00-04:00,297.50,297.24,Sell - Away from SMA,ETN16
2024-07-31 10:34:00-04:00,306.11,305.61,Buy,ETN17
2024-07-31 10:36:00-04:00,307.54,305.61,Sell - Away from SMA,ETN17
2024-07-31 12:00:00-04:00,305.44,304.90,Buy,ETN18
2024-07-31 12:02:00-04:00,305.56,304.90,Sell - Away from SMA,ETN18
2024-07-31 12:14:00-04:00,304.93,304.82,Buy,ETN19
2024-07-31 12:16:00-04:00,304.82,304.82,Sell - Stop Loss,ETN19
2024-08-01 13:56:00-04:00,295.36,294.99,Buy,ETN20
2024-08-01 13:58:00-04:00,296.14,294.99,Sell - Away from SMA,ETN20
2024-08-01 14:14:00-04:00,297.47,296.81,Buy,ETN21
2024-08-01 14:16:00-04:00,296.81,296.81,Sell - Stop Loss,ETN21
2024-08-01 14:56:00-04:00,296.14,295.32,Buy,ETN22
2024-08-01 14:58:00-04:00,296.87,295.32,Sell - Away from SMA,ETN22
2024-08-01 15:22:00-04:00,298.65,298.11,Buy,ETN23
2024-08-01 15:24:00-04:00,299.00,298.11,Sell - Away from SMA,ETN23
2024-08-05 13:40:00-04:00,273.36,273.02,Buy,ETN24
2024-08-05 13:42:00-04:00,274.18,273.02,Sell - Away from SMA,ETN24
2024-08-06 09:50:00-04:00,276.94,275.79,Buy,ETN25
2024-08-06 09:52:00-04:00,278.70,275.79,Sell - Away from SMA,ETN25
2024-08-06 11:44:00-04:00,278.96,278.53,Buy,ETN26
2024-08-06 11:46:00-04:00,278.53,278.53,Sell - Stop Loss,ETN26
2024-08-06 12:46:00-04:00,279.25,278.98,Buy,ETN27
2024-08-06 12:48:00-04:00,279.45,278.98,Sell - Away from SMA,ETN27
2024-08-06 12:56:00-04:00,280.28,279.92,Buy,ETN28
2024-08-06 12:58:00-04:00,280.58,279.92,Sell - Away from SMA,ETN28
2024-08-06 14:42:00-04:00,281.45,281.14,Buy,ETN29
2024-08-06 14:44:00-04:00,281.19,281.14,Sell - Away from SMA,ETN29
2024-08-07 10:50:00-04:00,284.47,284.03,Buy,ETN30
2024-08-07 10:52:00-04:00,285.23,284.03,Sell - Away from SMA,ETN30
2024-08-08 11:18:00-04:00,284.81,284.47,Buy,ETN31
2024-08-08 11:20:00-04:00,285.61,284.47,Sell - Away from SMA,ETN31
2024-08-08 14:10:00-04:00,286.60,286.58,Buy,ETN32
2024-08-08 14:12:00-04:00,286.99,286.58,Sell - Away from SMA,ETN32
2024-08-09 09:58:00-04:00,287.16,286.91,Buy,ETN33
2024-08-09 10:00:00-04:00,286.91,286.91,Sell - Stop Loss,ETN33
2024-08-09 11:44:00-04:00,288.87,288.65,Buy,ETN34
2024-08-09 11:46:00-04:00,289.36,288.65,Sell - Away from SMA,ETN34
2024-08-09 13:04:00-04:00,289.47,289.31,Buy,ETN35
2024-08-09 13:06:00-04:00,289.63,289.31,Sell - Away from SMA,ETN35
2024-08-09 13:12:00-04:00,289.87,289.64,Buy,ETN36
2024-08-09 13:14:00-04:00,290.47,289.64,Sell - Away from SMA,ETN36
2024-08-12 15:34:00-04:00,288.48,288.29,Buy,ETN37
2024-08-12 15:36:00-04:00,288.37,288.29,Sell - Away from SMA,ETN37
2024-08-13 12:50:00-04:00,293.14,292.73,Buy,ETN38
2024-08-13 12:52:00-04:00,293.24,292.73,Sell - Away from SMA,ETN38
2024-08-13 14:28:00-04:00,294.59,294.27,Buy,ETN39
2024-08-13 14:30:00-04:00,295.16,294.27,Sell - Away from SMA,ETN39
2024-08-14 09:30:00-04:00,295.60,295.12,Buy,ETN40
2024-08-14 09:32:00-04:00,298.50,295.12,Sell - Away from SMA,ETN40
2024-08-14 10:52:00-04:00,298.11,297.86,Buy,ETN41
2024-08-14 10:54:00-04:00,298.48,297.86,Sell - Away from SMA,ETN41
2024-08-14 11:24:00-04:00,298.37,297.89,Buy,ETN42
2024-08-14 11:26:00-04:00,298.41,297.89,Sell - Away from SMA,ETN42
2024-08-14 11:32:00-04:00,298.54,298.24,Buy,ETN43
2024-08-14 11:34:00-04:00,298.24,298.24,Sell - Stop Loss,ETN43
2024-08-15 11:48:00-04:00,301.90,301.65,Buy,ETN44
2024-08-15 11:50:00-04:00,302.16,301.65,Sell - Away from SMA,ETN44
2024-08-15 12:36:00-04:00,302.78,302.64,Buy,ETN45
2024-08-15 12:38:00-04:00,302.64,302.64,Sell - Stop Loss,ETN45
2024-08-15 13:26:00-04:00,301.83,301.74,Buy,ETN46
2024-08-15 13:30:00-04:00,301.79,301.74,Sell - Away from SMA,ETN46
2024-08-15 15:08:00-04:00,303.04,302.81,Buy,ETN47
2024-08-15 15:10:00-04:00,303.08,302.81,Sell - Away from SMA,ETN47
2024-08-16 14:52:00-04:00,297.56,297.33,Buy,ETN48
2024-08-16 14:54:00-04:00,297.97,297.33,Sell - Away from SMA,ETN48
2024-08-19 12:50:00-04:00,295.23,295.09,Buy,ETN49
2024-08-19 12:52:00-04:00,295.45,295.09,Sell - Away from SMA,ETN49
2024-08-19 13:16:00-04:00,295.49,295.35,Buy,ETN50
2024-08-19 13:18:00-04:00,296.13,295.35,Sell - Away from SMA,ETN50
2024-08-19 15:24:00-04:00,296.40,296.23,Buy,ETN51
2024-08-19 15:26:00-04:00,296.23,296.23,Sell - Stop Loss,ETN51
2024-08-20 09:44:00-04:00,298.55,298.06,Buy,ETN52
2024-08-20 09:46:00-04:00,299.08,298.06,Sell - Away from SMA,ETN52
2024-08-20 14:22:00-04:00,296.10,295.91,Buy,ETN53
2024-08-20 14:24:00-04:00,296.44,295.91,Sell - Away from SMA,ETN53
2024-08-20 14:54:00-04:00,295.99,295.75,Buy,ETN54
2024-08-20 14:56:00-04:00,296.40,295.75,Sell - Away from SMA,ETN54
2024-08-21 10:08:00-04:00,298.01,297.69,Buy,ETN55
2024-08-21 10:10:00-04:00,298.20,297.69,Sell - Away from SMA,ETN55
2024-08-21 10:30:00-04:00,298.81,298.48,Buy,ETN56
2024-08-21 10:32:00-04:00,298.48,298.48,Sell - Stop Loss,ETN56
2024-08-22 12:06:00-04:00,300.90,300.66,Buy,ETN57
2024-08-22 12:08:00-04:00,301.17,300.66,Sell - Away from SMA,ETN57
2024-08-22 12:38:00-04:00,302.49,302.29,Buy,ETN58
2024-08-22 12:40:00-04:00,302.68,302.29,Sell - Away from SMA,ETN58
2024-08-22 13:10:00-04:00,300.83,300.56,Buy,ETN59
2024-08-22 13:12:00-04:00,301.32,300.56,Sell - Away from SMA,ETN59
2024-08-23 10:28:00-04:00,299.65,299.33,Buy,ETN60
2024-08-23 10:30:00-04:00,300.75,299.33,Sell - Away from SMA,ETN60
2024-08-23 11:06:00-04:00,299.87,299.46,Buy,ETN61
2024-08-23 11:08:00-04:00,300.05,299.46,Sell - Away from SMA,ETN61
2024-08-23 13:38:00-04:00,299.52,299.45,Buy,ETN62
2024-08-23 13:40:00-04:00,299.64,299.45,Sell - Away from SMA,ETN62
2024-08-23 13:58:00-04:00,299.12,298.87,Buy,ETN63
2024-08-23 14:00:00-04:00,299.02,298.87,Sell - Away from SMA,ETN63
