Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 15:30:00-04:00,87.63,87.56,Buy,EW1
2024-07-16 15:32:00-04:00,87.70,87.56,Sell - Away from SMA,EW1
2024-07-16 15:54:00-04:00,87.64,87.56,Buy,EW2
2024-07-16 15:56:00-04:00,87.76,87.56,Sell - Away from SMA,EW2
2024-07-17 09:48:00-04:00,88.00,87.86,Buy,EW3
2024-07-17 09:50:00-04:00,88.12,87.86,Sell - Away from SMA,EW3
2024-07-17 09:56:00-04:00,88.32,88.15,Buy,EW4
2024-07-17 09:58:00-04:00,88.33,88.15,Sell - Away from SMA,EW4
2024-07-17 10:24:00-04:00,87.91,87.73,Buy,EW5
2024-07-17 10:26:00-04:00,88.08,87.73,Sell - Away from SMA,EW5
2024-07-17 14:38:00-04:00,87.41,87.36,Buy,EW6
2024-07-17 14:40:00-04:00,87.36,87.36,Sell - Stop Loss,EW6
2024-07-17 15:34:00-04:00,87.53,87.41,Buy,EW7
2024-07-17 15:36:00-04:00,87.58,87.41,Sell - Away from SMA,EW7
2024-07-18 09:52:00-04:00,88.03,87.88,Buy,EW8
2024-07-18 09:54:00-04:00,88.22,87.88,Sell - Away from SMA,EW8
2024-07-18 10:04:00-04:00,88.35,88.06,Buy,EW9
2024-07-18 10:06:00-04:00,88.51,88.06,Sell - Away from SMA,EW9
2024-07-19 09:46:00-04:00,87.38,87.16,Buy,EW10
2024-07-19 09:48:00-04:00,87.50,87.16,Sell - Away from SMA,EW10
2024-07-19 10:36:00-04:00,86.61,86.40,Buy,EW11
2024-07-19 10:40:00-04:00,86.53,86.40,Sell - Away from SMA,EW11
2024-07-19 11:10:00-04:00,86.86,86.73,Buy,EW12
2024-07-19 11:26:00-04:00,86.73,86.73,Sell - Stop Loss,EW12
2024-07-19 11:56:00-04:00,86.56,86.49,Buy,EW13
2024-07-19 11:58:00-04:00,86.66,86.49,Sell - Away from SMA,EW13
2024-07-19 12:08:00-04:00,86.70,86.64,Buy,EW14
2024-07-19 12:10:00-04:00,86.82,86.64,Sell - Away from SMA,EW14
2024-07-22 14:40:00-04:00,87.59,87.49,Buy,EW15
2024-07-22 14:42:00-04:00,87.70,87.49,Sell - Away from SMA,EW15
2024-07-23 10:14:00-04:00,88.07,87.93,Buy,EW16
2024-07-23 10:16:00-04:00,88.14,87.93,Sell - Away from SMA,EW16
2024-07-23 10:56:00-04:00,87.80,87.69,Buy,EW17
2024-07-23 11:00:00-04:00,88.01,87.69,Sell - Away from SMA,EW17
2024-07-24 14:02:00-04:00,87.56,87.45,Buy,EW18
2024-07-24 14:04:00-04:00,87.59,87.45,Sell - Away from SMA,EW18
2024-07-26 10:48:00-04:00,62.72,62.56,Buy,EW19
2024-07-26 10:50:00-04:00,62.96,62.56,Sell - Away from SMA,EW19
2024-07-26 10:56:00-04:00,62.98,62.89,Buy,EW20
2024-07-26 10:58:00-04:00,63.44,62.89,Sell - Away from SMA,EW20
2024-07-29 09:56:00-04:00,62.76,62.56,Buy,EW21
2024-07-29 09:58:00-04:00,63.07,62.56,Sell - Away from SMA,EW21
2024-07-29 15:38:00-04:00,64.13,63.98,Buy,EW22
2024-07-29 15:40:00-04:00,64.13,63.98,Sell - Away from SMA,EW22
2024-07-31 09:34:00-04:00,63.74,63.60,Buy,EW23
2024-07-31 09:36:00-04:00,64.18,63.60,Sell - Away from SMA,EW23
2024-08-01 09:44:00-04:00,63.24,63.11,Buy,EW24
2024-08-01 09:46:00-04:00,63.51,63.11,Sell - Away from SMA,EW24
2024-08-01 13:44:00-04:00,62.09,62.02,Buy,EW25
2024-08-01 13:46:00-04:00,62.21,62.02,Sell - Away from SMA,EW25
2024-08-02 14:06:00-04:00,60.76,60.66,Buy,EW26
2024-08-02 14:12:00-04:00,60.66,60.66,Sell - Stop Loss,EW26
2024-08-05 12:02:00-04:00,61.14,61.01,Buy,EW27
2024-08-05 12:04:00-04:00,61.30,61.01,Sell - Away from SMA,EW27
2024-08-05 12:14:00-04:00,61.36,61.20,Buy,EW28
2024-08-05 12:16:00-04:00,61.64,61.20,Sell - Away from SMA,EW28
2024-08-05 12:30:00-04:00,61.98,61.85,Buy,EW29
2024-08-05 12:32:00-04:00,62.02,61.85,Sell - Away from SMA,EW29
2024-08-05 13:52:00-04:00,61.47,61.39,Buy,EW30
2024-08-05 13:56:00-04:00,61.39,61.39,Sell - Stop Loss,EW30
2024-08-06 09:54:00-04:00,61.96,61.80,Buy,EW31
2024-08-06 09:56:00-04:00,62.35,61.80,Sell - Away from SMA,EW31
2024-08-06 11:40:00-04:00,62.52,62.42,Buy,EW32
2024-08-06 11:42:00-04:00,62.42,62.42,Sell - Stop Loss,EW32
2024-08-06 12:18:00-04:00,62.41,62.34,Buy,EW33
2024-08-06 12:20:00-04:00,62.52,62.34,Sell - Away from SMA,EW33
2024-08-06 14:42:00-04:00,63.04,62.97,Buy,EW34
2024-08-06 14:44:00-04:00,63.16,62.97,Sell - Away from SMA,EW34
2024-08-09 13:28:00-04:00,64.34,64.28,Buy,EW35
2024-08-09 13:30:00-04:00,64.41,64.28,Sell - Away from SMA,EW35
2024-08-12 10:06:00-04:00,64.56,64.47,Buy,EW36
2024-08-12 10:08:00-04:00,64.66,64.47,Sell - Away from SMA,EW36
2024-08-12 10:16:00-04:00,64.92,64.83,Buy,EW37
2024-08-12 10:18:00-04:00,65.09,64.83,Sell - Away from SMA,EW37
2024-08-12 11:54:00-04:00,64.96,64.90,Buy,EW38
2024-08-12 11:58:00-04:00,65.05,64.90,Sell - Away from SMA,EW38
2024-08-12 14:42:00-04:00,65.20,65.13,Buy,EW39
2024-08-12 14:50:00-04:00,65.29,65.13,Sell - Away from SMA,EW39
2024-08-12 15:16:00-04:00,65.43,65.35,Buy,EW40
2024-08-12 15:18:00-04:00,65.49,65.35,Sell - Away from SMA,EW40
2024-08-12 15:42:00-04:00,65.43,65.36,Buy,EW41
2024-08-12 15:48:00-04:00,65.55,65.36,Sell - Away from SMA,EW41
2024-08-13 10:06:00-04:00,66.51,66.38,Buy,EW42
2024-08-13 10:08:00-04:00,66.61,66.38,Sell - Away from SMA,EW42
2024-08-13 10:48:00-04:00,66.41,66.33,Buy,EW43
2024-08-13 10:50:00-04:00,66.51,66.33,Sell - Away from SMA,EW43
2024-08-13 12:16:00-04:00,66.86,66.77,Buy,EW44
2024-08-13 12:18:00-04:00,67.01,66.77,Sell - Away from SMA,EW44
2024-08-13 12:24:00-04:00,67.11,67.02,Buy,EW45
2024-08-13 12:26:00-04:00,67.16,67.02,Sell - Away from SMA,EW45
2024-08-13 12:50:00-04:00,66.80,66.70,Buy,EW46
2024-08-13 12:52:00-04:00,66.94,66.70,Sell - Away from SMA,EW46
2024-08-13 13:22:00-04:00,66.44,66.33,Buy,EW47
2024-08-13 13:32:00-04:00,66.61,66.33,Sell - Away from SMA,EW47
2024-08-14 12:36:00-04:00,66.03,65.98,Buy,EW48
2024-08-14 12:40:00-04:00,66.14,65.98,Sell - Away from SMA,EW48
2024-08-15 10:06:00-04:00,67.26,67.10,Buy,EW49
2024-08-15 10:08:00-04:00,67.39,67.10,Sell - Away from SMA,EW49
2024-08-15 10:12:00-04:00,67.44,67.31,Buy,EW50
2024-08-15 10:14:00-04:00,67.52,67.31,Sell - Away from SMA,EW50
2024-08-16 11:40:00-04:00,69.23,69.16,Buy,EW51
2024-08-16 11:48:00-04:00,69.16,69.16,Sell - Stop Loss,EW51
2024-08-16 13:28:00-04:00,69.07,69.00,Buy,EW52
2024-08-16 13:30:00-04:00,69.15,69.00,Sell - Away from SMA,EW52
2024-08-20 09:34:00-04:00,69.25,68.88,Buy,EW53
2024-08-20 09:36:00-04:00,69.30,68.88,Sell - Away from SMA,EW53
2024-08-20 10:18:00-04:00,69.79,69.69,Buy,EW54
2024-08-20 10:26:00-04:00,69.69,69.69,Sell - Stop Loss,EW54
2024-08-21 09:36:00-04:00,69.80,69.70,Buy,EW55
2024-08-21 09:38:00-04:00,70.02,69.70,Sell - Away from SMA,EW55
2024-08-21 15:52:00-04:00,70.21,70.14,Buy,EW56
