Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 13:48:00-04:00,49.81,49.76,Buy,FCX1
2024-07-16 14:00:00-04:00,49.76,49.76,Sell - Stop Loss,FCX1
2024-07-16 15:40:00-04:00,49.99,49.94,Buy,FCX2
2024-07-16 15:46:00-04:00,49.94,49.94,Sell - Stop Loss,FCX2
2024-07-19 12:08:00-04:00,46.01,45.95,Buy,FCX3
2024-07-19 12:20:00-04:00,45.95,45.95,Sell - Stop Loss,FCX3
2024-07-19 14:54:00-04:00,46.00,45.96,Buy,FCX4
2024-07-19 15:28:00-04:00,45.97,45.96,Sell - Away from SMA,FCX4
2024-07-23 15:12:00-04:00,45.31,45.24,Buy,FCX5
2024-07-23 15:16:00-04:00,45.24,45.24,Sell - Stop Loss,FCX5
2024-07-25 12:18:00-04:00,45.14,45.07,Buy,FCX6
2024-07-25 12:20:00-04:00,45.07,45.07,Sell - Stop Loss,FCX6
2024-07-25 13:38:00-04:00,45.04,44.97,Buy,FCX7
2024-07-25 13:42:00-04:00,45.15,44.97,Sell - Away from SMA,FCX7
2024-07-29 14:20:00-04:00,44.42,44.36,Buy,FCX8
2024-07-29 14:24:00-04:00,44.36,44.36,Sell - Stop Loss,FCX8
2024-07-29 15:30:00-04:00,44.56,44.52,Buy,FCX9
2024-07-29 15:42:00-04:00,44.52,44.52,Sell - Stop Loss,FCX9
2024-07-30 12:44:00-04:00,43.97,43.92,Buy,FCX10
2024-07-30 12:46:00-04:00,44.02,43.92,Sell - Away from SMA,FCX10
2024-07-30 14:16:00-04:00,43.93,43.88,Buy,FCX11
2024-07-30 14:26:00-04:00,43.88,43.88,Sell - Stop Loss,FCX11
2024-07-30 14:40:00-04:00,43.90,43.86,Buy,FCX12
2024-07-30 14:48:00-04:00,43.86,43.86,Sell - Stop Loss,FCX12
2024-07-31 09:54:00-04:00,45.24,45.11,Buy,FCX13
2024-07-31 09:56:00-04:00,45.21,45.11,Sell - Away from SMA,FCX13
2024-07-31 12:12:00-04:00,45.52,45.46,Buy,FCX14
2024-07-31 12:34:00-04:00,45.46,45.46,Sell - Stop Loss,FCX14
2024-08-05 12:16:00-04:00,40.78,40.69,Buy,FCX15
2024-08-05 12:26:00-04:00,40.86,40.80,Buy,FCX16
2024-08-05 12:26:00-04:00,40.93,40.69,Sell - Away from SMA,FCX15
2024-08-05 12:28:00-04:00,40.94,40.80,Sell - Away from SMA,FCX16
2024-08-05 13:14:00-04:00,40.57,40.48,Buy,FCX17
2024-08-05 13:16:00-04:00,40.66,40.48,Sell - Away from SMA,FCX17
2024-08-06 11:22:00-04:00,41.08,41.01,Buy,FCX18
2024-08-06 11:28:00-04:00,41.01,41.01,Sell - Stop Loss,FCX18
2024-08-08 09:58:00-04:00,40.42,40.30,Buy,FCX19
2024-08-08 10:02:00-04:00,40.65,40.30,Sell - Away from SMA,FCX19
2024-08-12 09:36:00-04:00,41.78,41.65,Buy,FCX20
2024-08-12 09:38:00-04:00,41.95,41.65,Sell - Away from SMA,FCX20
2024-08-12 10:08:00-04:00,41.51,41.41,Buy,FCX21
2024-08-12 10:10:00-04:00,41.41,41.41,Sell - Stop Loss,FCX21
2024-08-12 10:48:00-04:00,41.80,41.68,Buy,FCX22
2024-08-12 10:50:00-04:00,41.83,41.68,Sell - Away from SMA,FCX22
2024-08-13 13:52:00-04:00,41.87,41.82,Buy,FCX23
2024-08-13 14:28:00-04:00,41.99,41.95,Buy,FCX24
2024-08-13 14:30:00-04:00,41.95,41.95,Sell - Stop Loss,FCX24
2024-08-13 15:20:00-04:00,41.82,41.82,Sell - Stop Loss,FCX23
2024-08-15 10:30:00-04:00,43.58,43.49,Buy,FCX25
2024-08-15 10:32:00-04:00,43.70,43.49,Sell - Away from SMA,FCX25
2024-08-15 12:58:00-04:00,43.88,43.83,Buy,FCX26
2024-08-15 13:04:00-04:00,43.83,43.83,Sell - Stop Loss,FCX26
2024-08-15 14:06:00-04:00,43.93,43.87,Buy,FCX27
2024-08-15 14:10:00-04:00,43.87,43.87,Sell - Stop Loss,FCX27
2024-08-16 14:12:00-04:00,43.54,43.51,Buy,FCX28
2024-08-16 14:26:00-04:00,43.51,43.51,Sell - Stop Loss,FCX28
2024-08-19 10:56:00-04:00,44.28,44.21,Buy,FCX29
2024-08-19 10:58:00-04:00,44.39,44.21,Sell - Away from SMA,FCX29
2024-08-19 13:54:00-04:00,44.33,44.28,Buy,FCX30
2024-08-19 14:00:00-04:00,44.28,44.28,Sell - Stop Loss,FCX30
2024-08-20 10:06:00-04:00,44.23,44.14,Buy,FCX31
2024-08-20 10:12:00-04:00,44.14,44.14,Sell - Stop Loss,FCX31
2024-08-21 10:40:00-04:00,43.73,43.68,Buy,FCX32
2024-08-21 10:42:00-04:00,43.85,43.68,Sell - Away from SMA,FCX32
2024-08-21 14:14:00-04:00,43.88,43.83,Buy,FCX33
2024-08-21 14:28:00-04:00,43.93,43.89,Buy,FCX34
2024-08-21 14:38:00-04:00,43.89,43.89,Sell - Stop Loss,FCX34
2024-08-21 15:08:00-04:00,43.83,43.83,Sell - Stop Loss,FCX33
2024-08-22 12:20:00-04:00,43.46,43.42,Buy,FCX35
2024-08-22 12:26:00-04:00,43.58,43.42,Sell - Away from SMA,FCX35
2024-08-23 10:08:00-04:00,44.28,44.20,Buy,FCX36
2024-08-23 10:10:00-04:00,44.40,44.20,Sell - Away from SMA,FCX36
2024-08-23 12:06:00-04:00,44.17,44.10,Buy,FCX37
2024-08-23 12:26:00-04:00,44.31,44.10,Sell - Away from SMA,FCX37
2024-08-23 12:30:00-04:00,44.32,44.22,Buy,FCX38
2024-08-23 12:32:00-04:00,44.44,44.22,Sell - Away from SMA,FCX38
2024-08-23 13:08:00-04:00,44.42,44.39,Buy,FCX39
2024-08-23 13:14:00-04:00,44.39,44.39,Sell - Stop Loss,FCX39
2024-08-23 13:26:00-04:00,44.47,44.44,Buy,FCX40
2024-08-23 15:18:00-04:00,44.73,44.70,Buy,FCX41
2024-08-23 15:26:00-04:00,44.79,44.74,Buy,FCX42
2024-08-23 15:32:00-04:00,44.74,44.74,Sell - Stop Loss,FCX42
2024-08-23 15:42:00-04:00,44.66,44.44,Sell - Away from SMA,FCX40
2024-08-23 15:42:00-04:00,44.70,44.70,Sell - Stop Loss,FCX41
