Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 15:26:00-04:00,305.05,304.89,Buy,FDX1
2024-07-15 15:28:00-04:00,305.24,304.89,Sell - Away from SMA,FDX1
2024-07-15 15:54:00-04:00,304.56,304.16,Buy,FDX2
2024-07-15 15:56:00-04:00,304.92,304.16,Sell - Away from SMA,FDX2
2024-07-16 09:34:00-04:00,306.98,306.45,Buy,FDX3
2024-07-16 09:36:00-04:00,309.56,306.45,Sell - Away from SMA,FDX3
2024-07-16 09:44:00-04:00,309.57,308.91,Buy,FDX4
2024-07-16 09:46:00-04:00,310.59,308.91,Sell - Away from SMA,FDX4
2024-07-16 09:56:00-04:00,311.64,310.93,Buy,FDX5
2024-07-16 09:58:00-04:00,312.16,310.93,Sell - Away from SMA,FDX5
2024-07-17 09:44:00-04:00,312.18,311.99,Buy,FDX6
2024-07-17 09:46:00-04:00,312.68,311.99,Sell - Away from SMA,FDX6
2024-07-19 15:16:00-04:00,308.44,308.22,Buy,FDX7
2024-07-19 15:18:00-04:00,308.60,308.22,Sell - Away from SMA,FDX7
2024-07-23 15:18:00-04:00,301.16,300.97,Buy,FDX8
2024-07-23 15:20:00-04:00,301.44,300.97,Sell - Away from SMA,FDX8
2024-07-25 09:48:00-04:00,302.24,301.66,Buy,FDX9
2024-07-25 09:50:00-04:00,302.86,301.66,Sell - Away from SMA,FDX9
2024-07-25 10:52:00-04:00,299.75,299.52,Buy,FDX10
2024-07-25 10:54:00-04:00,299.92,299.52,Sell - Away from SMA,FDX10
2024-07-25 11:00:00-04:00,300.40,299.98,Buy,FDX11
2024-07-25 11:02:00-04:00,301.27,299.98,Sell - Away from SMA,FDX11
2024-07-25 11:26:00-04:00,302.29,301.88,Buy,FDX12
2024-07-25 11:28:00-04:00,301.88,301.88,Sell - Stop Loss,FDX12
2024-07-25 11:42:00-04:00,301.96,301.93,Buy,FDX13
2024-07-25 11:44:00-04:00,301.93,301.93,Sell - Stop Loss,FDX13
2024-07-26 14:00:00-04:00,300.62,300.49,Buy,FDX14
2024-07-26 14:02:00-04:00,301.13,300.49,Sell - Away from SMA,FDX14
2024-07-26 14:20:00-04:00,301.17,300.98,Buy,FDX15
2024-07-26 14:24:00-04:00,301.23,300.98,Sell - Away from SMA,FDX15
2024-07-30 10:28:00-04:00,302.07,301.87,Buy,FDX16
2024-07-30 10:30:00-04:00,302.54,301.87,Sell - Away from SMA,FDX16
2024-07-30 11:10:00-04:00,302.37,302.15,Buy,FDX17
2024-07-30 11:12:00-04:00,302.57,302.15,Sell - Away from SMA,FDX17
2024-07-31 11:28:00-04:00,303.19,303.01,Buy,FDX18
2024-07-31 11:30:00-04:00,303.60,303.01,Sell - Away from SMA,FDX18
2024-07-31 12:32:00-04:00,304.10,304.06,Buy,FDX19
2024-07-31 12:34:00-04:00,304.43,304.06,Sell - Away from SMA,FDX19
2024-08-02 13:12:00-04:00,292.94,292.68,Buy,FDX20
2024-08-02 13:14:00-04:00,293.22,292.68,Sell - Away from SMA,FDX20
2024-08-05 12:16:00-04:00,288.15,287.94,Buy,FDX21
2024-08-05 12:18:00-04:00,287.94,287.94,Sell - Stop Loss,FDX21
2024-08-05 12:26:00-04:00,288.19,288.09,Buy,FDX22
2024-08-05 12:28:00-04:00,289.18,288.09,Sell - Away from SMA,FDX22
2024-08-06 13:10:00-04:00,289.31,289.14,Buy,FDX23
2024-08-06 13:12:00-04:00,289.39,289.14,Sell - Away from SMA,FDX23
2024-08-06 14:36:00-04:00,289.29,288.99,Buy,FDX24
2024-08-06 14:38:00-04:00,289.49,288.99,Sell - Away from SMA,FDX24
2024-08-08 10:58:00-04:00,279.22,278.95,Buy,FDX25
2024-08-08 11:00:00-04:00,279.80,278.95,Sell - Away from SMA,FDX25
2024-08-09 14:12:00-04:00,276.71,276.54,Buy,FDX26
2024-08-09 14:14:00-04:00,276.54,276.54,Sell - Stop Loss,FDX26
2024-08-09 14:40:00-04:00,276.57,276.55,Buy,FDX27
2024-08-09 14:42:00-04:00,276.80,276.55,Sell - Away from SMA,FDX27
2024-08-09 15:14:00-04:00,276.99,276.76,Buy,FDX28
2024-08-09 15:16:00-04:00,277.18,276.76,Sell - Away from SMA,FDX28
2024-08-12 10:10:00-04:00,278.08,277.74,Buy,FDX29
2024-08-12 10:12:00-04:00,278.61,277.74,Sell - Away from SMA,FDX29
2024-08-12 10:20:00-04:00,279.28,279.02,Buy,FDX30
2024-08-12 10:22:00-04:00,279.02,279.02,Sell - Stop Loss,FDX30
2024-08-12 10:26:00-04:00,279.35,279.01,Buy,FDX31
2024-08-12 10:28:00-04:00,279.79,279.01,Sell - Away from SMA,FDX31
2024-08-12 11:34:00-04:00,279.06,278.85,Buy,FDX32
2024-08-12 11:36:00-04:00,279.36,278.85,Sell - Away from SMA,FDX32
2024-08-12 13:58:00-04:00,279.84,279.67,Buy,FDX33
2024-08-12 14:00:00-04:00,279.81,279.67,Sell - Away from SMA,FDX33
2024-08-13 11:54:00-04:00,280.61,280.44,Buy,FDX34
2024-08-13 11:56:00-04:00,280.68,280.44,Sell - Away from SMA,FDX34
2024-08-13 12:46:00-04:00,282.10,281.89,Buy,FDX35
2024-08-13 12:48:00-04:00,282.18,281.89,Sell - Away from SMA,FDX35
2024-08-13 12:56:00-04:00,282.44,282.41,Buy,FDX36
2024-08-13 12:58:00-04:00,282.41,282.41,Sell - Stop Loss,FDX36
2024-08-13 15:26:00-04:00,282.60,282.49,Buy,FDX37
2024-08-13 15:28:00-04:00,282.83,282.49,Sell - Away from SMA,FDX37
2024-08-14 09:52:00-04:00,284.96,284.61,Buy,FDX38
2024-08-14 09:54:00-04:00,284.86,284.61,Sell - Away from SMA,FDX38
2024-08-15 10:18:00-04:00,287.11,287.02,Buy,FDX39
2024-08-15 10:20:00-04:00,287.62,287.02,Sell - Away from SMA,FDX39
2024-08-16 13:16:00-04:00,283.90,283.81,Buy,FDX40
2024-08-16 13:18:00-04:00,284.15,283.81,Sell - Away from SMA,FDX40
2024-08-16 14:58:00-04:00,283.88,283.82,Buy,FDX41
2024-08-16 15:00:00-04:00,284.32,283.82,Sell - Away from SMA,FDX41
2024-08-16 15:16:00-04:00,284.27,284.10,Buy,FDX42
2024-08-16 15:18:00-04:00,284.37,284.10,Sell - Away from SMA,FDX42
2024-08-16 15:38:00-04:00,285.16,284.89,Buy,FDX43
2024-08-16 15:40:00-04:00,284.89,284.89,Sell - Stop Loss,FDX43
2024-08-19 10:26:00-04:00,286.77,286.64,Buy,FDX44
2024-08-19 10:30:00-04:00,287.36,286.64,Sell - Away from SMA,FDX44
2024-08-19 10:56:00-04:00,288.77,288.46,Buy,FDX45
2024-08-19 10:58:00-04:00,288.80,288.46,Sell - Away from SMA,FDX45
2024-08-19 12:56:00-04:00,287.97,287.94,Buy,FDX46
2024-08-19 12:58:00-04:00,288.31,287.94,Sell - Away from SMA,FDX46
2024-08-20 15:36:00-04:00,288.23,288.18,Buy,FDX47
2024-08-20 15:38:00-04:00,288.51,288.18,Sell - Away from SMA,FDX47
2024-08-21 10:34:00-04:00,291.22,290.97,Buy,FDX48
2024-08-21 10:36:00-04:00,291.62,290.97,Sell - Away from SMA,FDX48
2024-08-21 11:26:00-04:00,291.21,291.04,Buy,FDX49
2024-08-21 11:28:00-04:00,291.04,291.04,Sell - Stop Loss,FDX49
2024-08-21 13:28:00-04:00,290.88,290.82,Buy,FDX50
2024-08-21 13:30:00-04:00,291.18,290.82,Sell - Away from SMA,FDX50
2024-08-21 15:32:00-04:00,292.34,292.19,Buy,FDX51
2024-08-21 15:34:00-04:00,292.50,292.19,Sell - Away from SMA,FDX51
2024-08-22 09:58:00-04:00,291.33,291.22,Buy,FDX52
2024-08-22 10:00:00-04:00,291.50,291.22,Sell - Away from SMA,FDX52
2024-08-22 12:58:00-04:00,291.60,291.47,Buy,FDX53
2024-08-22 13:00:00-04:00,291.47,291.47,Sell - Stop Loss,FDX53
2024-08-22 15:58:00-04:00,294.05,293.68,Buy,FDX54
2024-08-23 09:30:00-04:00,296.85,293.68,Sell - Away from SMA,FDX54
2024-08-23 09:40:00-04:00,296.49,296.41,Buy,FDX55
