Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:32:00-04:00,181.29,181.26,Buy,FFIV1
2024-07-16 10:34:00-04:00,181.26,181.26,Sell - Stop Loss,FFIV1
2024-07-16 11:30:00-04:00,181.90,181.78,Buy,FFIV2
2024-07-16 11:32:00-04:00,181.87,181.78,Sell - Away from SMA,FFIV2
2024-07-16 12:18:00-04:00,181.64,181.56,Buy,FFIV3
2024-07-16 12:28:00-04:00,181.76,181.56,Sell - Away from SMA,FFIV3
2024-07-16 14:52:00-04:00,182.06,181.95,Buy,FFIV4
2024-07-16 14:56:00-04:00,182.11,181.95,Sell - Away from SMA,FFIV4
2024-07-16 15:54:00-04:00,182.86,182.66,Buy,FFIV5
2024-07-16 15:56:00-04:00,183.16,182.66,Sell - Away from SMA,FFIV5
2024-07-19 15:28:00-04:00,175.01,174.96,Buy,FFIV6
2024-07-19 15:30:00-04:00,175.16,174.96,Sell - Away from SMA,FFIV6
2024-07-22 14:20:00-04:00,175.52,175.46,Buy,FFIV7
2024-07-22 14:24:00-04:00,175.46,175.46,Sell - Stop Loss,FFIV7
2024-07-25 10:52:00-04:00,174.76,174.61,Buy,FFIV8
2024-07-25 10:54:00-04:00,174.99,174.61,Sell - Away from SMA,FFIV8
2024-07-25 13:10:00-04:00,176.60,176.40,Buy,FFIV9
2024-07-25 13:12:00-04:00,176.51,176.40,Sell - Away from SMA,FFIV9
2024-07-29 10:00:00-04:00,177.90,177.79,Buy,FFIV10
2024-07-29 10:02:00-04:00,178.76,177.79,Sell - Away from SMA,FFIV10
2024-07-29 11:44:00-04:00,177.87,177.73,Buy,FFIV11
2024-07-29 11:46:00-04:00,178.20,177.73,Sell - Away from SMA,FFIV11
2024-07-30 12:08:00-04:00,196.02,195.83,Buy,FFIV12
2024-07-30 12:10:00-04:00,196.72,195.83,Sell - Away from SMA,FFIV12
2024-07-30 13:28:00-04:00,198.70,198.42,Buy,FFIV13
2024-07-30 13:30:00-04:00,199.14,198.42,Sell - Away from SMA,FFIV13
2024-07-30 14:08:00-04:00,200.50,200.29,Buy,FFIV14
2024-07-30 14:10:00-04:00,201.00,200.29,Sell - Away from SMA,FFIV14
2024-07-30 15:18:00-04:00,201.92,201.50,Buy,FFIV15
2024-07-30 15:20:00-04:00,202.39,201.50,Sell - Away from SMA,FFIV15
2024-07-31 10:18:00-04:00,203.68,203.29,Buy,FFIV16
2024-07-31 10:20:00-04:00,203.74,203.29,Sell - Away from SMA,FFIV16
2024-07-31 15:06:00-04:00,205.16,204.68,Buy,FFIV17
2024-07-31 15:08:00-04:00,205.58,204.68,Sell - Away from SMA,FFIV17
2024-08-06 09:52:00-04:00,189.49,188.77,Buy,FFIV18
2024-08-06 09:54:00-04:00,189.97,188.77,Sell - Away from SMA,FFIV18
2024-08-08 15:40:00-04:00,189.51,189.48,Buy,FFIV19
2024-08-08 15:42:00-04:00,190.00,189.48,Sell - Away from SMA,FFIV19
2024-08-09 15:10:00-04:00,191.18,190.94,Buy,FFIV20
2024-08-09 15:12:00-04:00,191.34,190.94,Sell - Away from SMA,FFIV20
2024-08-09 15:26:00-04:00,191.40,191.34,Buy,FFIV21
2024-08-09 15:28:00-04:00,191.69,191.34,Sell - Away from SMA,FFIV21
2024-08-12 10:32:00-04:00,190.78,190.74,Buy,FFIV22
2024-08-12 10:40:00-04:00,191.05,190.74,Sell - Away from SMA,FFIV22
2024-08-13 11:04:00-04:00,191.11,191.04,Buy,FFIV23
2024-08-13 11:06:00-04:00,191.04,191.04,Sell - Stop Loss,FFIV23
2024-08-21 14:58:00-04:00,197.68,197.57,Buy,FFIV24
2024-08-21 15:06:00-04:00,197.57,197.57,Sell - Stop Loss,FFIV24
2024-08-23 15:08:00-04:00,198.62,198.58,Buy,FFIV25
2024-08-23 15:10:00-04:00,198.62,198.58,Sell - Away from SMA,FFIV25
