Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 14:04:00-04:00,40.06,40.02,Buy,FITB1
2024-07-16 14:12:00-04:00,40.15,40.02,Sell - Away from SMA,FITB1
2024-07-16 14:20:00-04:00,40.11,40.06,Buy,FITB2
2024-07-16 15:02:00-04:00,40.22,40.17,Buy,FITB3
2024-07-16 15:30:00-04:00,40.17,40.17,Sell - Stop Loss,FITB3
2024-07-16 15:56:00-04:00,40.25,40.15,Buy,FITB4
2024-07-17 09:30:00-04:00,40.06,40.06,Sell - Stop Loss,FITB2
2024-07-17 09:30:00-04:00,40.15,40.15,Sell - Stop Loss,FITB4
2024-07-17 09:48:00-04:00,40.65,40.58,Buy,FITB5
2024-07-17 09:50:00-04:00,40.81,40.58,Sell - Away from SMA,FITB5
2024-07-17 10:46:00-04:00,40.61,40.55,Buy,FITB6
2024-07-17 11:00:00-04:00,40.55,40.55,Sell - Stop Loss,FITB6
2024-07-17 12:36:00-04:00,40.74,40.71,Buy,FITB7
2024-07-17 12:38:00-04:00,40.80,40.71,Sell - Away from SMA,FITB7
2024-07-17 14:32:00-04:00,40.73,40.67,Buy,FITB8
2024-07-17 14:56:00-04:00,40.67,40.67,Sell - Stop Loss,FITB8
2024-07-19 09:56:00-04:00,40.52,40.42,Buy,FITB9
2024-07-19 09:58:00-04:00,40.62,40.42,Sell - Away from SMA,FITB9
2024-07-24 11:38:00-04:00,41.58,41.52,Buy,FITB10
2024-07-24 12:56:00-04:00,41.67,41.52,Sell - Away from SMA,FITB10
2024-07-25 10:42:00-04:00,41.68,41.61,Buy,FITB11
2024-07-25 11:00:00-04:00,41.83,41.61,Sell - Away from SMA,FITB11
2024-07-25 12:16:00-04:00,41.96,41.91,Buy,FITB12
2024-07-25 12:26:00-04:00,42.09,41.91,Sell - Away from SMA,FITB12
2024-07-26 10:52:00-04:00,42.17,42.11,Buy,FITB13
2024-07-26 10:56:00-04:00,42.11,42.11,Sell - Stop Loss,FITB13
2024-07-26 15:44:00-04:00,42.20,42.15,Buy,FITB14
2024-07-26 15:50:00-04:00,42.31,42.15,Sell - Away from SMA,FITB14
2024-07-30 10:28:00-04:00,42.42,42.32,Buy,FITB15
2024-07-30 11:04:00-04:00,42.36,42.32,Sell - Away from SMA,FITB15
2024-07-31 14:48:00-04:00,42.78,42.72,Buy,FITB16
2024-07-31 14:50:00-04:00,42.89,42.72,Sell - Away from SMA,FITB16
2024-08-02 15:24:00-04:00,39.38,39.33,Buy,FITB17
2024-08-02 15:28:00-04:00,39.48,39.33,Sell - Away from SMA,FITB17
2024-08-02 15:44:00-04:00,39.42,39.36,Buy,FITB18
2024-08-02 15:52:00-04:00,39.36,39.36,Sell - Stop Loss,FITB18
2024-08-05 13:28:00-04:00,39.26,39.22,Buy,FITB19
2024-08-05 13:34:00-04:00,39.34,39.22,Sell - Away from SMA,FITB19
2024-08-06 11:36:00-04:00,39.38,39.30,Buy,FITB20
2024-08-06 11:38:00-04:00,39.30,39.30,Sell - Stop Loss,FITB20
2024-08-07 10:36:00-04:00,39.98,39.91,Buy,FITB21
2024-08-07 10:50:00-04:00,39.91,39.91,Sell - Stop Loss,FITB21
2024-08-08 11:26:00-04:00,39.72,39.67,Buy,FITB22
2024-08-08 11:30:00-04:00,39.67,39.67,Sell - Stop Loss,FITB22
2024-08-09 15:30:00-04:00,39.60,39.56,Buy,FITB23
2024-08-09 15:38:00-04:00,39.56,39.56,Sell - Stop Loss,FITB23
2024-08-12 10:08:00-04:00,39.74,39.67,Buy,FITB24
2024-08-12 10:16:00-04:00,39.67,39.67,Sell - Stop Loss,FITB24
2024-08-14 09:52:00-04:00,39.51,39.45,Buy,FITB25
2024-08-14 09:54:00-04:00,39.56,39.45,Sell - Away from SMA,FITB25
2024-08-14 10:22:00-04:00,39.56,39.51,Buy,FITB26
2024-08-14 10:24:00-04:00,39.62,39.51,Sell - Away from SMA,FITB26
2024-08-14 10:40:00-04:00,39.56,39.52,Buy,FITB27
2024-08-14 10:42:00-04:00,39.52,39.52,Sell - Stop Loss,FITB27
2024-08-14 11:28:00-04:00,39.62,39.59,Buy,FITB28
2024-08-14 12:26:00-04:00,39.59,39.59,Sell - Stop Loss,FITB28
2024-08-14 12:54:00-04:00,39.72,39.67,Buy,FITB29
2024-08-14 13:00:00-04:00,39.67,39.67,Sell - Stop Loss,FITB29
2024-08-14 15:30:00-04:00,39.88,39.83,Buy,FITB30
2024-08-14 15:46:00-04:00,39.83,39.83,Sell - Stop Loss,FITB30
2024-08-15 09:48:00-04:00,40.60,40.51,Buy,FITB31
2024-08-15 09:56:00-04:00,40.51,40.51,Sell - Stop Loss,FITB31
2024-08-15 10:18:00-04:00,40.46,40.39,Buy,FITB32
2024-08-15 10:26:00-04:00,40.39,40.39,Sell - Stop Loss,FITB32
2024-08-16 10:00:00-04:00,40.48,40.41,Buy,FITB33
2024-08-16 10:02:00-04:00,40.56,40.41,Sell - Away from SMA,FITB33
2024-08-16 14:58:00-04:00,40.66,40.62,Buy,FITB34
2024-08-16 15:04:00-04:00,40.62,40.62,Sell - Stop Loss,FITB34
2024-08-19 09:34:00-04:00,40.82,40.76,Buy,FITB35
2024-08-19 09:36:00-04:00,40.97,40.76,Sell - Away from SMA,FITB35
2024-08-21 14:52:00-04:00,40.54,40.51,Buy,FITB36
2024-08-21 14:54:00-04:00,40.51,40.51,Sell - Stop Loss,FITB36
2024-08-22 09:30:00-04:00,40.71,40.64,Buy,FITB37
2024-08-22 09:32:00-04:00,40.87,40.64,Sell - Away from SMA,FITB37
2024-08-22 09:42:00-04:00,41.10,41.00,Buy,FITB38
2024-08-22 09:44:00-04:00,41.11,41.00,Sell - Away from SMA,FITB38
2024-08-22 10:34:00-04:00,40.68,40.63,Buy,FITB39
2024-08-22 10:46:00-04:00,40.81,40.63,Sell - Away from SMA,FITB39
2024-08-22 11:30:00-04:00,40.92,40.87,Buy,FITB40
2024-08-22 11:34:00-04:00,41.03,40.87,Sell - Away from SMA,FITB40
2024-08-22 11:50:00-04:00,41.04,41.00,Buy,FITB41
2024-08-22 11:52:00-04:00,41.00,41.00,Sell - Stop Loss,FITB41
2024-08-22 12:24:00-04:00,41.02,40.98,Buy,FITB42
2024-08-22 12:54:00-04:00,40.98,40.98,Sell - Stop Loss,FITB42
2024-08-22 13:10:00-04:00,41.04,41.01,Buy,FITB43
2024-08-22 13:28:00-04:00,41.01,41.01,Sell - Stop Loss,FITB43
2024-08-22 13:36:00-04:00,41.04,40.98,Buy,FITB44
2024-08-22 14:14:00-04:00,41.20,40.98,Sell - Away from SMA,FITB44
2024-08-23 10:22:00-04:00,41.82,41.73,Buy,FITB45
2024-08-23 10:24:00-04:00,41.96,41.73,Sell - Away from SMA,FITB45
2024-08-23 10:40:00-04:00,41.91,41.78,Buy,FITB46
2024-08-23 10:42:00-04:00,41.99,41.78,Sell - Away from SMA,FITB46
2024-08-23 11:18:00-04:00,42.29,42.24,Buy,FITB47
