Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:36:00-04:00,33.96,33.93,Buy,FOX1
2024-07-16 11:46:00-04:00,33.93,33.93,Sell - Stop Loss,FOX1
2024-07-17 10:06:00-04:00,34.57,34.50,Buy,FOX2
2024-07-17 10:08:00-04:00,34.60,34.50,Sell - Away from SMA,FOX2
2024-07-18 09:34:00-04:00,34.78,34.73,Buy,FOX3
2024-07-18 09:42:00-04:00,34.94,34.73,Sell - Away from SMA,FOX3
2024-07-18 09:52:00-04:00,34.94,34.90,Buy,FOX4
2024-07-18 09:54:00-04:00,35.03,34.90,Sell - Away from SMA,FOX4
2024-07-22 11:30:00-04:00,34.29,34.26,Buy,FOX5
2024-07-22 11:34:00-04:00,34.26,34.26,Sell - Stop Loss,FOX5
2024-07-23 15:44:00-04:00,34.48,34.46,Buy,FOX6
2024-07-23 15:54:00-04:00,34.46,34.46,Sell - Stop Loss,FOX6
2024-07-25 12:10:00-04:00,34.70,34.67,Buy,FOX7
2024-07-25 14:06:00-04:00,34.67,34.67,Sell - Stop Loss,FOX7
2024-07-29 09:42:00-04:00,35.11,35.08,Buy,FOX8
2024-07-29 09:44:00-04:00,35.08,35.08,Sell - Stop Loss,FOX8
2024-08-07 10:24:00-04:00,36.65,36.62,Buy,FOX9
2024-08-07 10:26:00-04:00,36.76,36.62,Sell - Away from SMA,FOX9
2024-08-08 11:54:00-04:00,36.70,36.67,Buy,FOX10
2024-08-08 11:56:00-04:00,36.74,36.67,Sell - Away from SMA,FOX10
2024-08-16 10:26:00-04:00,36.94,36.92,Buy,FOX11
2024-08-16 10:28:00-04:00,36.92,36.92,Sell - Stop Loss,FOX11
2024-08-20 14:46:00-04:00,37.07,37.04,Buy,FOX12
2024-08-21 10:14:00-04:00,37.04,37.04,Sell - Stop Loss,FOX12
2024-08-21 12:10:00-04:00,37.17,37.15,Buy,FOX13
2024-08-21 15:56:00-04:00,37.53,37.15,Sell - Away from SMA,FOX13
2024-08-23 10:10:00-04:00,38.10,38.05,Buy,FOX14
2024-08-23 10:12:00-04:00,38.12,38.05,Sell - Away from SMA,FOX14
