Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:58:00-04:00,107.22,107.18,Buy,FRT1
2024-07-16 12:00:00-04:00,107.18,107.18,Sell - Stop Loss,FRT1
2024-07-16 15:46:00-04:00,108.61,108.55,Buy,FRT2
2024-07-16 15:48:00-04:00,108.82,108.55,Sell - Away from SMA,FRT2
2024-07-25 10:22:00-04:00,108.76,108.62,Buy,FRT3
2024-07-25 10:24:00-04:00,108.78,108.62,Sell - Away from SMA,FRT3
2024-07-30 11:18:00-04:00,111.67,111.63,Buy,FRT4
2024-07-30 11:32:00-04:00,111.82,111.63,Sell - Away from SMA,FRT4
2024-07-30 11:46:00-04:00,111.72,111.69,Buy,FRT5
2024-07-30 11:48:00-04:00,111.96,111.69,Sell - Away from SMA,FRT5
2024-07-30 12:04:00-04:00,112.68,112.64,Buy,FRT6
2024-07-30 12:06:00-04:00,112.80,112.64,Sell - Away from SMA,FRT6
2024-07-30 15:36:00-04:00,113.95,113.88,Buy,FRT7
2024-07-30 15:38:00-04:00,114.00,113.88,Sell - Away from SMA,FRT7
2024-07-31 14:48:00-04:00,113.15,113.08,Buy,FRT8
2024-07-31 14:50:00-04:00,113.32,113.08,Sell - Away from SMA,FRT8
2024-08-01 12:18:00-04:00,113.20,113.16,Buy,FRT9
2024-08-01 12:20:00-04:00,113.16,113.16,Sell - Stop Loss,FRT9
2024-08-01 12:56:00-04:00,112.89,112.74,Buy,FRT10
2024-08-01 13:00:00-04:00,112.75,112.74,Sell - Away from SMA,FRT10
2024-08-01 13:10:00-04:00,112.81,112.73,Buy,FRT11
2024-08-01 13:14:00-04:00,112.73,112.73,Sell - Stop Loss,FRT11
2024-08-05 12:36:00-04:00,111.71,111.68,Buy,FRT12
2024-08-05 12:38:00-04:00,111.68,111.68,Sell - Stop Loss,FRT12
2024-08-06 12:18:00-04:00,112.77,112.68,Buy,FRT13
2024-08-06 12:20:00-04:00,113.08,112.68,Sell - Away from SMA,FRT13
2024-08-06 13:38:00-04:00,113.11,113.04,Buy,FRT14
2024-08-06 13:40:00-04:00,113.15,113.04,Sell - Away from SMA,FRT14
2024-08-15 15:32:00-04:00,114.15,114.05,Buy,FRT15
2024-08-15 15:38:00-04:00,114.05,114.05,Sell - Stop Loss,FRT15
2024-08-16 14:52:00-04:00,112.74,112.69,Buy,FRT16
2024-08-16 14:56:00-04:00,112.86,112.69,Sell - Away from SMA,FRT16
2024-08-21 11:26:00-04:00,113.33,113.22,Buy,FRT17
2024-08-21 11:28:00-04:00,113.44,113.22,Sell - Away from SMA,FRT17
2024-08-21 15:38:00-04:00,113.52,113.46,Buy,FRT18
2024-08-21 15:40:00-04:00,113.62,113.46,Sell - Away from SMA,FRT18
2024-08-22 15:44:00-04:00,113.88,113.82,Buy,FRT19
2024-08-22 15:48:00-04:00,113.82,113.82,Sell - Stop Loss,FRT19
2024-08-22 15:58:00-04:00,113.96,113.86,Buy,FRT20
2024-08-23 09:30:00-04:00,114.81,113.86,Sell - Away from SMA,FRT20
