Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-17 15:46:00-04:00,58.96,58.87,Buy,FTNT1
2024-07-17 15:50:00-04:00,59.16,58.87,Sell - Away from SMA,FTNT1
2024-07-19 11:46:00-04:00,58.17,58.12,Buy,FTNT2
2024-07-19 11:48:00-04:00,58.40,58.12,Sell - Away from SMA,FTNT2
2024-07-22 10:42:00-04:00,58.76,58.66,Buy,FTNT3
2024-07-22 10:46:00-04:00,58.82,58.66,Sell - Away from SMA,FTNT3
2024-07-25 11:14:00-04:00,57.59,57.53,Buy,FTNT4
2024-07-25 11:16:00-04:00,57.73,57.53,Sell - Away from SMA,FTNT4
2024-07-25 13:06:00-04:00,58.54,58.45,Buy,FTNT5
2024-07-25 13:10:00-04:00,58.62,58.45,Sell - Away from SMA,FTNT5
2024-07-26 12:50:00-04:00,57.67,57.61,Buy,FTNT6
2024-07-26 12:52:00-04:00,57.74,57.61,Sell - Away from SMA,FTNT6
2024-07-29 11:48:00-04:00,57.67,57.61,Buy,FTNT7
2024-07-29 11:50:00-04:00,57.88,57.61,Sell - Away from SMA,FTNT7
2024-07-30 09:50:00-04:00,58.17,58.01,Buy,FTNT8
2024-07-30 09:52:00-04:00,58.44,58.01,Sell - Away from SMA,FTNT8
2024-07-31 09:40:00-04:00,58.33,58.21,Buy,FTNT9
2024-07-31 09:42:00-04:00,58.50,58.21,Sell - Away from SMA,FTNT9
2024-08-02 15:12:00-04:00,56.27,56.20,Buy,FTNT10
2024-08-02 15:14:00-04:00,56.37,56.20,Sell - Away from SMA,FTNT10
2024-08-02 15:32:00-04:00,56.52,56.40,Buy,FTNT11
2024-08-02 15:34:00-04:00,56.61,56.40,Sell - Away from SMA,FTNT11
2024-08-05 11:58:00-04:00,55.89,55.78,Buy,FTNT12
2024-08-05 12:00:00-04:00,55.78,55.78,Sell - Stop Loss,FTNT12
2024-08-05 12:26:00-04:00,56.03,55.94,Buy,FTNT13
2024-08-05 12:28:00-04:00,56.19,55.94,Sell - Away from SMA,FTNT13
2024-08-05 13:40:00-04:00,55.74,55.68,Buy,FTNT14
2024-08-05 13:46:00-04:00,55.68,55.68,Sell - Stop Loss,FTNT14
2024-08-06 11:48:00-04:00,55.95,55.87,Buy,FTNT15
2024-08-06 11:50:00-04:00,56.13,55.87,Sell - Away from SMA,FTNT15
2024-08-06 12:00:00-04:00,56.19,56.12,Buy,FTNT16
2024-08-06 12:02:00-04:00,56.22,56.12,Sell - Away from SMA,FTNT16
2024-08-07 11:38:00-04:00,69.90,69.80,Buy,FTNT17
2024-08-07 11:40:00-04:00,70.07,69.80,Sell - Away from SMA,FTNT17
2024-08-07 13:18:00-04:00,70.61,70.47,Buy,FTNT18
2024-08-07 13:20:00-04:00,70.75,70.47,Sell - Away from SMA,FTNT18
2024-08-07 13:26:00-04:00,70.77,70.67,Buy,FTNT19
2024-08-07 13:28:00-04:00,70.99,70.67,Sell - Away from SMA,FTNT19
2024-08-07 15:00:00-04:00,71.40,71.13,Buy,FTNT20
2024-08-07 15:02:00-04:00,71.82,71.13,Sell - Away from SMA,FTNT20
2024-08-09 11:04:00-04:00,69.46,69.36,Buy,FTNT21
2024-08-09 11:06:00-04:00,69.69,69.36,Sell - Away from SMA,FTNT21
2024-08-09 12:30:00-04:00,69.26,69.17,Buy,FTNT22
2024-08-09 12:32:00-04:00,69.35,69.17,Sell - Away from SMA,FTNT22
2024-08-09 15:30:00-04:00,69.62,69.58,Buy,FTNT23
2024-08-09 15:32:00-04:00,69.70,69.58,Sell - Away from SMA,FTNT23
2024-08-13 10:02:00-04:00,70.79,70.63,Buy,FTNT24
2024-08-13 10:04:00-04:00,71.00,70.63,Sell - Away from SMA,FTNT24
2024-08-13 10:38:00-04:00,70.80,70.71,Buy,FTNT25
2024-08-13 10:40:00-04:00,70.86,70.71,Sell - Away from SMA,FTNT25
2024-08-13 13:24:00-04:00,71.13,71.06,Buy,FTNT26
2024-08-13 13:34:00-04:00,71.06,71.06,Sell - Stop Loss,FTNT26
2024-08-13 14:32:00-04:00,71.21,71.16,Buy,FTNT27
2024-08-13 14:34:00-04:00,71.29,71.16,Sell - Away from SMA,FTNT27
2024-08-14 09:32:00-04:00,71.76,71.44,Buy,FTNT28
2024-08-14 09:34:00-04:00,72.82,71.44,Sell - Away from SMA,FTNT28
2024-08-14 09:54:00-04:00,73.04,72.76,Buy,FTNT29
2024-08-14 09:56:00-04:00,73.24,72.76,Sell - Away from SMA,FTNT29
2024-08-14 11:18:00-04:00,73.22,73.09,Buy,FTNT30
2024-08-14 11:20:00-04:00,73.39,73.09,Sell - Away from SMA,FTNT30
2024-08-14 14:12:00-04:00,73.48,73.44,Buy,FTNT31
2024-08-14 14:14:00-04:00,73.65,73.44,Sell - Away from SMA,FTNT31
2024-08-15 10:18:00-04:00,73.52,73.43,Buy,FTNT32
2024-08-15 10:22:00-04:00,73.43,73.43,Sell - Stop Loss,FTNT32
2024-08-15 15:12:00-04:00,73.11,73.07,Buy,FTNT33
