Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,146.200,146.510,146.200,146.510,146.510,15739.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,146.560,146.560,146.560,146.560,146.560,669.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,146.510,146.670,146.450,146.450,146.450,1846.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,146.530,146.580,146.388,146.388,146.388,1397.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,146.670,146.780,146.475,146.585,146.585,2643.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,146.610,146.725,146.610,146.665,146.665,4250.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,146.540,146.540,146.372,146.372,146.372,823.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,146.460,146.495,146.350,146.480,146.480,4255.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,146.600,146.970,146.580,146.890,146.890,5003.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,146.905,147.190,146.905,147.010,147.010,12171.000,146.591,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,147.070,147.280,147.070,147.280,147.280,4877.000,146.668,nan,False,Noise Bar,0.077,Empty
2024-07-15 09:52:00-04:00,147.255,147.440,147.245,147.440,147.440,2048.000,146.756,nan,False,Noise Bar,0.088,Empty
2024-07-15 09:54:00-04:00,147.415,147.415,147.280,147.280,147.280,2919.000,146.839,nan,False,Noise Bar,0.083,Empty
2024-07-15 09:56:00-04:00,147.120,147.230,147.120,147.120,147.120,915.000,146.912,nan,False,Noise Bar,0.073,Empty
2024-07-15 09:58:00-04:00,147.090,147.210,147.050,147.070,147.070,3237.000,146.961,nan,False,Noise Bar,0.049,Empty
2024-07-15 10:00:00-04:00,147.070,147.240,147.070,147.070,147.070,5136.000,147.001,nan,False,Noise Bar,0.041,Empty
2024-07-15 10:02:00-04:00,147.170,147.400,147.170,147.400,147.400,3946.000,147.104,nan,False,Noise Bar,0.103,Empty
2024-07-15 10:04:00-04:00,147.520,147.640,147.485,147.500,147.500,6892.000,147.206,nan,False,Noise Bar,0.102,Empty
2024-07-15 10:06:00-04:00,147.490,147.500,147.445,147.500,147.500,3116.000,147.267,nan,False,Noise Bar,0.061,Empty
2024-07-15 10:08:00-04:00,147.400,147.400,147.300,147.300,147.300,3623.000,147.296,nan,False,Noise Bar,0.029,Empty
2024-07-15 10:10:00-04:00,147.330,147.460,147.220,147.340,147.340,5504.000,147.302,nan,False,Noise Bar,0.006,Empty
2024-07-15 10:12:00-04:00,147.340,147.340,147.125,147.162,147.162,2163.000,147.274,nan,False,Noise Bar,-0.028,Empty
