Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:26:00-04:00,25.64,25.62,Buy,GEN1
2024-07-16 11:30:00-04:00,25.62,25.62,Sell - Stop Loss,GEN1
2024-07-22 09:38:00-04:00,25.65,25.58,Buy,GEN2
2024-07-22 09:40:00-04:00,25.74,25.58,Sell - Away from SMA,GEN2
2024-07-26 10:26:00-04:00,25.70,25.64,Buy,GEN3
2024-07-26 10:30:00-04:00,25.64,25.64,Sell - Stop Loss,GEN3
2024-07-29 12:10:00-04:00,26.22,26.18,Buy,GEN4
2024-07-29 12:18:00-04:00,26.18,26.18,Sell - Stop Loss,GEN4
2024-08-02 12:26:00-04:00,25.26,25.18,Buy,GEN5
2024-08-02 12:28:00-04:00,25.32,25.18,Sell - Away from SMA,GEN5
2024-08-02 15:30:00-04:00,25.32,25.29,Buy,GEN6
2024-08-02 15:32:00-04:00,25.36,25.29,Sell - Away from SMA,GEN6
2024-08-05 12:20:00-04:00,25.00,24.95,Buy,GEN7
2024-08-05 12:30:00-04:00,24.95,24.95,Sell - Stop Loss,GEN7
2024-08-06 14:14:00-04:00,24.78,24.74,Buy,GEN8
2024-08-06 14:58:00-04:00,24.74,24.74,Sell - Stop Loss,GEN8
2024-08-08 11:46:00-04:00,24.51,24.48,Buy,GEN9
2024-08-08 12:36:00-04:00,24.48,24.48,Sell - Stop Loss,GEN9
2024-08-09 10:02:00-04:00,24.79,24.74,Buy,GEN10
2024-08-09 10:32:00-04:00,24.74,24.74,Sell - Stop Loss,GEN10
2024-08-13 11:46:00-04:00,24.70,24.67,Buy,GEN11
2024-08-13 12:12:00-04:00,24.67,24.67,Sell - Stop Loss,GEN11
2024-08-14 11:28:00-04:00,24.88,24.84,Buy,GEN12
2024-08-14 12:22:00-04:00,24.84,24.84,Sell - Stop Loss,GEN12
2024-08-14 13:52:00-04:00,24.88,24.85,Buy,GEN13
2024-08-15 09:30:00-04:00,25.26,24.85,Sell - Away from SMA,GEN13
2024-08-16 10:06:00-04:00,24.92,24.88,Buy,GEN14
2024-08-16 10:26:00-04:00,24.88,24.88,Sell - Stop Loss,GEN14
2024-08-16 12:28:00-04:00,25.06,25.02,Buy,GEN15
2024-08-16 15:58:00-04:00,25.29,25.02,Sell - Away from SMA,GEN15
2024-08-19 12:12:00-04:00,25.56,25.53,Buy,GEN16
2024-08-19 15:38:00-04:00,25.53,25.53,Sell - Stop Loss,GEN16
