Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 15:34:00-04:00,178.30,178.09,Buy,GEV1
2024-07-15 15:36:00-04:00,178.09,178.09,Sell - Stop Loss,GEV1
2024-07-16 10:16:00-04:00,179.48,178.98,Buy,GEV2
2024-07-16 10:18:00-04:00,179.70,178.98,Sell - Away from SMA,GEV2
2024-07-16 13:34:00-04:00,181.76,181.66,Buy,GEV3
2024-07-16 13:36:00-04:00,182.03,181.66,Sell - Away from SMA,GEV3
2024-07-16 15:16:00-04:00,182.54,182.36,Buy,GEV4
2024-07-16 15:18:00-04:00,182.36,182.36,Sell - Stop Loss,GEV4
2024-07-19 12:02:00-04:00,162.78,162.56,Buy,GEV5
2024-07-19 12:04:00-04:00,162.99,162.56,Sell - Away from SMA,GEV5
2024-07-19 12:40:00-04:00,161.17,160.88,Buy,GEV6
2024-07-19 12:44:00-04:00,161.10,160.88,Sell - Away from SMA,GEV6
2024-07-19 14:10:00-04:00,161.96,161.82,Buy,GEV7
2024-07-19 14:12:00-04:00,162.21,161.82,Sell - Away from SMA,GEV7
2024-07-19 15:54:00-04:00,162.61,162.41,Buy,GEV8
2024-07-19 15:56:00-04:00,162.84,162.41,Sell - Away from SMA,GEV8
2024-07-22 09:34:00-04:00,166.67,165.46,Buy,GEV9
2024-07-22 09:36:00-04:00,167.70,165.46,Sell - Away from SMA,GEV9
2024-07-22 11:04:00-04:00,167.61,167.28,Buy,GEV10
2024-07-22 11:06:00-04:00,167.28,167.28,Sell - Stop Loss,GEV10
2024-07-23 12:06:00-04:00,170.15,169.88,Buy,GEV11
2024-07-23 12:08:00-04:00,170.97,169.88,Sell - Away from SMA,GEV11
2024-07-23 12:30:00-04:00,169.92,169.60,Buy,GEV12
2024-07-23 12:32:00-04:00,169.65,169.60,Sell - Away from SMA,GEV12
2024-07-24 10:50:00-04:00,171.73,171.02,Buy,GEV13
