Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 12:52:00-04:00,46.01,45.96,Buy,GLW1
2024-07-15 12:54:00-04:00,46.08,45.96,Sell - Away from SMA,GLW1
2024-07-16 10:38:00-04:00,46.28,46.22,Buy,GLW2
2024-07-16 10:40:00-04:00,46.39,46.22,Sell - Away from SMA,GLW2
2024-07-16 11:36:00-04:00,46.03,45.98,Buy,GLW3
2024-07-16 11:44:00-04:00,46.18,45.98,Sell - Away from SMA,GLW3
2024-07-16 11:50:00-04:00,46.18,46.14,Buy,GLW4
2024-07-16 11:52:00-04:00,46.26,46.14,Sell - Away from SMA,GLW4
2024-07-16 12:04:00-04:00,46.28,46.24,Buy,GLW5
2024-07-16 12:06:00-04:00,46.37,46.24,Sell - Away from SMA,GLW5
2024-07-16 13:30:00-04:00,46.22,46.19,Buy,GLW6
2024-07-16 13:32:00-04:00,46.19,46.19,Sell - Stop Loss,GLW6
2024-07-17 14:32:00-04:00,45.92,45.87,Buy,GLW7
2024-07-17 14:38:00-04:00,45.87,45.87,Sell - Stop Loss,GLW7
2024-07-23 11:12:00-04:00,44.24,44.20,Buy,GLW8
2024-07-23 11:14:00-04:00,44.38,44.20,Sell - Away from SMA,GLW8
2024-08-06 10:52:00-04:00,38.58,38.51,Buy,GLW9
2024-08-06 10:54:00-04:00,38.60,38.51,Sell - Away from SMA,GLW9
2024-08-06 12:06:00-04:00,38.56,38.51,Buy,GLW10
2024-08-06 12:14:00-04:00,38.68,38.51,Sell - Away from SMA,GLW10
2024-08-06 14:28:00-04:00,38.58,38.53,Buy,GLW11
2024-08-06 14:44:00-04:00,38.53,38.53,Sell - Stop Loss,GLW11
2024-08-08 09:58:00-04:00,38.16,38.09,Buy,GLW12
2024-08-08 10:02:00-04:00,38.32,38.09,Sell - Away from SMA,GLW12
2024-08-08 11:26:00-04:00,38.34,38.29,Buy,GLW13
2024-08-08 11:34:00-04:00,38.29,38.29,Sell - Stop Loss,GLW13
2024-08-08 12:48:00-04:00,38.32,38.27,Buy,GLW14
2024-08-08 13:32:00-04:00,38.51,38.47,Buy,GLW15
2024-08-08 13:54:00-04:00,38.47,38.47,Sell - Stop Loss,GLW15
2024-08-08 15:58:00-04:00,38.61,38.27,Sell - Away from SMA,GLW14
2024-08-12 10:40:00-04:00,38.95,38.90,Buy,GLW16
2024-08-12 10:42:00-04:00,38.97,38.90,Sell - Away from SMA,GLW16
2024-08-12 15:34:00-04:00,39.28,39.25,Buy,GLW17
2024-08-12 15:52:00-04:00,39.25,39.25,Sell - Stop Loss,GLW17
2024-08-13 10:40:00-04:00,39.93,39.86,Buy,GLW18
2024-08-13 11:22:00-04:00,39.86,39.86,Sell - Stop Loss,GLW18
2024-08-15 11:14:00-04:00,40.40,40.35,Buy,GLW19
2024-08-15 11:16:00-04:00,40.44,40.35,Sell - Away from SMA,GLW19
2024-08-19 10:52:00-04:00,40.40,40.35,Buy,GLW20
2024-08-19 11:04:00-04:00,40.35,40.35,Sell - Stop Loss,GLW20
2024-08-20 09:40:00-04:00,40.66,40.59,Buy,GLW21
2024-08-20 09:42:00-04:00,40.75,40.59,Sell - Away from SMA,GLW21
2024-08-21 09:56:00-04:00,41.59,41.55,Buy,GLW22
2024-08-21 09:58:00-04:00,41.55,41.55,Sell - Stop Loss,GLW22
2024-08-21 10:12:00-04:00,41.61,41.54,Buy,GLW23
2024-08-21 10:14:00-04:00,41.54,41.54,Sell - Stop Loss,GLW23
2024-08-21 10:40:00-04:00,41.82,41.76,Buy,GLW24
2024-08-21 10:48:00-04:00,41.76,41.76,Sell - Stop Loss,GLW24
2024-08-23 15:50:00-04:00,41.85,41.80,Buy,GLW25
2024-08-23 15:56:00-04:00,41.98,41.80,Sell - Away from SMA,GLW25
