Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:44:00-04:00,100.45,100.30,Buy,GPN1
2024-07-16 09:46:00-04:00,101.00,100.30,Sell - Away from SMA,GPN1
2024-07-16 09:56:00-04:00,101.49,101.29,Buy,GPN2
2024-07-16 09:58:00-04:00,101.68,101.29,Sell - Away from SMA,GPN2
2024-07-16 10:56:00-04:00,102.23,102.14,Buy,GPN3
2024-07-16 10:58:00-04:00,102.45,102.14,Sell - Away from SMA,GPN3
2024-07-16 11:56:00-04:00,102.32,102.24,Buy,GPN4
2024-07-16 11:58:00-04:00,102.51,102.24,Sell - Away from SMA,GPN4
2024-07-16 12:10:00-04:00,102.69,102.52,Buy,GPN5
2024-07-16 12:12:00-04:00,102.75,102.52,Sell - Away from SMA,GPN5
2024-07-16 15:12:00-04:00,102.68,102.62,Buy,GPN6
2024-07-16 15:20:00-04:00,102.85,102.62,Sell - Away from SMA,GPN6
2024-07-17 10:24:00-04:00,105.12,104.98,Buy,GPN7
2024-07-17 10:26:00-04:00,105.17,104.98,Sell - Away from SMA,GPN7
2024-07-17 12:08:00-04:00,104.13,104.06,Buy,GPN8
2024-07-17 12:12:00-04:00,104.06,104.06,Sell - Stop Loss,GPN8
2024-07-17 14:46:00-04:00,103.99,103.93,Buy,GPN9
2024-07-17 14:48:00-04:00,104.03,103.93,Sell - Away from SMA,GPN9
2024-07-17 14:54:00-04:00,104.04,103.94,Buy,GPN10
2024-07-17 14:56:00-04:00,104.17,103.94,Sell - Away from SMA,GPN10
2024-07-18 10:20:00-04:00,104.20,104.15,Buy,GPN11
2024-07-18 10:22:00-04:00,104.35,104.15,Sell - Away from SMA,GPN11
2024-07-22 13:50:00-04:00,99.78,99.75,Buy,GPN12
2024-07-22 13:56:00-04:00,100.00,99.75,Sell - Away from SMA,GPN12
2024-07-23 13:46:00-04:00,99.83,99.78,Buy,GPN13
2024-07-23 13:48:00-04:00,100.10,99.78,Sell - Away from SMA,GPN13
2024-07-24 09:36:00-04:00,100.33,99.96,Buy,GPN14
2024-07-24 09:38:00-04:00,100.52,99.96,Sell - Away from SMA,GPN14
2024-07-25 10:46:00-04:00,99.91,99.82,Buy,GPN15
2024-07-25 10:50:00-04:00,99.82,99.82,Sell - Stop Loss,GPN15
2024-07-26 10:14:00-04:00,100.62,100.47,Buy,GPN16
2024-07-26 10:16:00-04:00,100.87,100.47,Sell - Away from SMA,GPN16
2024-07-29 11:24:00-04:00,101.24,101.11,Buy,GPN17
2024-07-29 11:26:00-04:00,101.36,101.11,Sell - Away from SMA,GPN17
2024-07-29 14:40:00-04:00,101.89,101.81,Buy,GPN18
2024-07-29 14:52:00-04:00,101.81,101.81,Sell - Stop Loss,GPN18
2024-07-30 15:50:00-04:00,101.90,101.82,Buy,GPN19
2024-07-30 15:52:00-04:00,101.98,101.82,Sell - Away from SMA,GPN19
2024-07-31 11:44:00-04:00,101.55,101.52,Buy,GPN20
2024-07-31 11:46:00-04:00,101.62,101.52,Sell - Away from SMA,GPN20
2024-07-31 12:44:00-04:00,101.75,101.72,Buy,GPN21
2024-07-31 12:46:00-04:00,101.87,101.72,Sell - Away from SMA,GPN21
2024-07-31 14:10:00-04:00,101.64,101.58,Buy,GPN22
2024-07-31 14:14:00-04:00,101.76,101.58,Sell - Away from SMA,GPN22
2024-07-31 14:46:00-04:00,101.96,101.85,Buy,GPN23
2024-07-31 14:48:00-04:00,102.30,101.85,Sell - Away from SMA,GPN23
2024-07-31 15:42:00-04:00,102.10,101.92,Buy,GPN24
2024-07-31 15:44:00-04:00,102.25,101.92,Sell - Away from SMA,GPN24
2024-08-05 12:58:00-04:00,93.84,93.72,Buy,GPN25
2024-08-05 13:02:00-04:00,93.72,93.72,Sell - Stop Loss,GPN25
2024-08-06 11:04:00-04:00,94.29,94.15,Buy,GPN26
2024-08-06 11:08:00-04:00,94.15,94.15,Sell - Stop Loss,GPN26
2024-08-06 11:56:00-04:00,94.12,94.02,Buy,GPN27
2024-08-06 11:58:00-04:00,94.02,94.02,Sell - Stop Loss,GPN27
2024-08-06 13:52:00-04:00,94.08,94.03,Buy,GPN28
2024-08-06 13:54:00-04:00,94.39,94.03,Sell - Away from SMA,GPN28
2024-08-06 14:14:00-04:00,94.17,94.08,Buy,GPN29
2024-08-06 14:18:00-04:00,94.35,94.08,Sell - Away from SMA,GPN29
2024-08-07 09:40:00-04:00,100.98,99.81,Buy,GPN30
2024-08-07 09:42:00-04:00,101.62,99.81,Sell - Away from SMA,GPN30
2024-08-07 11:58:00-04:00,100.51,100.37,Buy,GPN31
2024-08-07 12:00:00-04:00,100.60,100.37,Sell - Away from SMA,GPN31
2024-08-08 11:02:00-04:00,102.38,102.28,Buy,GPN32
2024-08-08 11:04:00-04:00,102.56,102.28,Sell - Away from SMA,GPN32
2024-08-08 11:54:00-04:00,102.23,102.15,Buy,GPN33
2024-08-08 11:56:00-04:00,102.58,102.15,Sell - Away from SMA,GPN33
2024-08-08 12:44:00-04:00,102.26,102.15,Buy,GPN34
2024-08-08 12:48:00-04:00,102.51,102.15,Sell - Away from SMA,GPN34
2024-08-08 13:12:00-04:00,103.42,103.28,Buy,GPN35
2024-08-08 13:14:00-04:00,103.86,103.28,Sell - Away from SMA,GPN35
2024-08-08 15:26:00-04:00,104.17,104.03,Buy,GPN36
2024-08-08 15:28:00-04:00,104.19,104.03,Sell - Away from SMA,GPN36
2024-08-13 11:26:00-04:00,101.74,101.66,Buy,GPN37
2024-08-13 11:28:00-04:00,101.86,101.66,Sell - Away from SMA,GPN37
2024-08-13 11:58:00-04:00,102.01,101.97,Buy,GPN38
2024-08-13 12:02:00-04:00,102.20,101.97,Sell - Away from SMA,GPN38
2024-08-13 12:10:00-04:00,102.57,102.46,Buy,GPN39
2024-08-13 12:12:00-04:00,102.60,102.46,Sell - Away from SMA,GPN39
2024-08-13 12:46:00-04:00,102.86,102.78,Buy,GPN40
2024-08-13 12:48:00-04:00,103.06,102.78,Sell - Away from SMA,GPN40
2024-08-13 13:54:00-04:00,103.14,103.08,Buy,GPN41
2024-08-13 13:56:00-04:00,103.35,103.08,Sell - Away from SMA,GPN41
2024-08-13 14:00:00-04:00,103.29,103.25,Buy,GPN42
2024-08-13 14:02:00-04:00,103.38,103.25,Sell - Away from SMA,GPN42
2024-08-13 14:38:00-04:00,103.49,103.43,Buy,GPN43
2024-08-13 14:40:00-04:00,103.56,103.43,Sell - Away from SMA,GPN43
2024-08-13 15:08:00-04:00,103.60,103.54,Buy,GPN44
2024-08-13 15:10:00-04:00,103.67,103.54,Sell - Away from SMA,GPN44
2024-08-14 09:38:00-04:00,104.66,104.51,Buy,GPN45
2024-08-14 09:40:00-04:00,104.70,104.51,Sell - Away from SMA,GPN45
2024-08-14 10:02:00-04:00,104.21,104.06,Buy,GPN46
2024-08-14 10:06:00-04:00,104.06,104.06,Sell - Stop Loss,GPN46
2024-08-14 11:18:00-04:00,104.74,104.56,Buy,GPN47
