Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 12:34:00-04:00,14.18,14.14,Buy,HBAN1
2024-07-16 12:52:00-04:00,14.14,14.14,Sell - Stop Loss,HBAN1
2024-07-16 13:58:00-04:00,14.26,14.22,Buy,HBAN2
2024-07-16 15:20:00-04:00,14.22,14.22,Sell - Stop Loss,HBAN2
2024-07-22 11:46:00-04:00,15.06,15.03,Buy,HBAN3
2024-07-22 11:54:00-04:00,15.03,15.03,Sell - Stop Loss,HBAN3
2024-07-23 09:46:00-04:00,15.02,14.96,Buy,HBAN4
2024-07-23 10:04:00-04:00,15.17,14.96,Sell - Away from SMA,HBAN4
2024-07-23 11:00:00-04:00,15.15,15.11,Buy,HBAN5
2024-07-23 12:10:00-04:00,15.11,15.11,Sell - Stop Loss,HBAN5
2024-07-25 11:42:00-04:00,15.14,15.12,Buy,HBAN6
2024-07-25 12:14:00-04:00,15.12,15.12,Sell - Stop Loss,HBAN6
2024-07-30 11:34:00-04:00,15.16,15.13,Buy,HBAN7
2024-07-30 12:08:00-04:00,15.13,15.13,Sell - Stop Loss,HBAN7
2024-08-08 11:26:00-04:00,13.47,13.44,Buy,HBAN8
2024-08-08 11:42:00-04:00,13.44,13.44,Sell - Stop Loss,HBAN8
2024-08-09 10:40:00-04:00,13.53,13.49,Buy,HBAN9
2024-08-12 09:30:00-04:00,13.86,13.49,Sell - Away from SMA,HBAN9
2024-08-15 09:48:00-04:00,13.87,13.82,Buy,HBAN10
2024-08-15 10:04:00-04:00,13.82,13.82,Sell - Stop Loss,HBAN10
2024-08-22 09:30:00-04:00,13.95,13.91,Buy,HBAN11
2024-08-22 09:38:00-04:00,14.08,13.91,Sell - Away from SMA,HBAN11
2024-08-22 09:42:00-04:00,14.10,14.04,Buy,HBAN12
2024-08-22 09:46:00-04:00,14.04,14.04,Sell - Stop Loss,HBAN12
