Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:26:00-04:00,103.08,103.04,Buy,HIG1
2024-07-15 14:28:00-04:00,103.16,103.04,Sell - Away from SMA,HIG1
2024-07-16 10:10:00-04:00,103.80,103.69,Buy,HIG2
2024-07-16 10:12:00-04:00,104.00,103.69,Sell - Away from SMA,HIG2
2024-07-16 12:34:00-04:00,103.74,103.70,Buy,HIG3
2024-07-16 12:40:00-04:00,103.70,103.70,Sell - Stop Loss,HIG3
2024-07-18 10:28:00-04:00,106.48,106.42,Buy,HIG4
2024-07-18 10:30:00-04:00,106.60,106.42,Sell - Away from SMA,HIG4
2024-07-18 11:16:00-04:00,106.76,106.71,Buy,HIG5
2024-07-18 11:18:00-04:00,106.71,106.71,Sell - Stop Loss,HIG5
2024-07-18 11:26:00-04:00,106.82,106.73,Buy,HIG6
2024-07-18 11:28:00-04:00,106.93,106.73,Sell - Away from SMA,HIG6
2024-07-18 12:02:00-04:00,106.69,106.58,Buy,HIG7
2024-07-18 12:04:00-04:00,106.81,106.58,Sell - Away from SMA,HIG7
2024-07-22 11:14:00-04:00,101.97,101.88,Buy,HIG8
2024-07-22 11:24:00-04:00,102.15,101.88,Sell - Away from SMA,HIG8
2024-07-22 13:00:00-04:00,102.40,102.28,Buy,HIG9
2024-07-22 13:02:00-04:00,102.45,102.28,Sell - Away from SMA,HIG9
2024-07-22 14:20:00-04:00,102.20,102.16,Buy,HIG10
2024-07-22 14:32:00-04:00,102.32,102.16,Sell - Away from SMA,HIG10
2024-07-22 15:10:00-04:00,102.33,102.29,Buy,HIG11
2024-07-22 15:12:00-04:00,102.29,102.29,Sell - Stop Loss,HIG11
2024-07-23 13:02:00-04:00,101.94,101.91,Buy,HIG12
2024-07-23 13:16:00-04:00,101.91,101.91,Sell - Stop Loss,HIG12
2024-07-24 11:50:00-04:00,102.10,102.03,Buy,HIG13
2024-07-24 11:52:00-04:00,102.15,102.03,Sell - Away from SMA,HIG13
2024-07-25 09:54:00-04:00,103.14,102.93,Buy,HIG14
2024-07-25 09:56:00-04:00,103.47,102.93,Sell - Away from SMA,HIG14
2024-07-26 10:36:00-04:00,108.94,108.84,Buy,HIG15
2024-07-26 10:38:00-04:00,109.02,108.84,Sell - Away from SMA,HIG15
2024-07-26 15:44:00-04:00,108.84,108.72,Buy,HIG16
2024-07-26 15:48:00-04:00,109.06,108.72,Sell - Away from SMA,HIG16
2024-07-29 09:34:00-04:00,109.69,109.42,Buy,HIG17
2024-07-29 09:36:00-04:00,109.89,109.42,Sell - Away from SMA,HIG17
