Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 13:40:00-04:00,77.85,77.79,Buy,HOLX1
2024-07-15 13:48:00-04:00,77.79,77.79,Sell - Stop Loss,HOLX1
2024-07-17 09:36:00-04:00,79.15,78.90,Buy,HOLX2
2024-07-17 09:38:00-04:00,79.31,78.90,Sell - Away from SMA,HOLX2
2024-07-18 10:12:00-04:00,79.10,79.02,Buy,HOLX3
2024-07-18 10:14:00-04:00,79.02,79.02,Sell - Stop Loss,HOLX3
2024-07-19 15:00:00-04:00,77.99,77.94,Buy,HOLX4
2024-07-19 15:08:00-04:00,78.12,77.94,Sell - Away from SMA,HOLX4
2024-07-22 11:30:00-04:00,78.20,78.16,Buy,HOLX5
2024-07-22 11:38:00-04:00,78.16,78.16,Sell - Stop Loss,HOLX5
2024-07-22 15:48:00-04:00,78.35,78.32,Buy,HOLX6
2024-07-22 15:54:00-04:00,78.32,78.32,Sell - Stop Loss,HOLX6
2024-07-24 10:50:00-04:00,78.78,78.71,Buy,HOLX7
2024-07-24 10:52:00-04:00,78.87,78.71,Sell - Away from SMA,HOLX7
2024-07-24 11:46:00-04:00,78.92,78.88,Buy,HOLX8
2024-07-24 11:48:00-04:00,78.88,78.88,Sell - Stop Loss,HOLX8
2024-07-25 10:02:00-04:00,79.04,78.95,Buy,HOLX9
2024-07-25 10:04:00-04:00,79.24,78.95,Sell - Away from SMA,HOLX9
2024-07-25 10:12:00-04:00,79.53,79.40,Buy,HOLX10
2024-07-25 10:14:00-04:00,79.60,79.40,Sell - Away from SMA,HOLX10
2024-07-26 11:50:00-04:00,79.14,79.10,Buy,HOLX11
2024-07-26 11:58:00-04:00,79.24,79.10,Sell - Away from SMA,HOLX11
2024-07-26 12:00:00-04:00,79.25,79.20,Buy,HOLX12
2024-07-26 12:02:00-04:00,79.39,79.20,Sell - Away from SMA,HOLX12
2024-07-26 13:24:00-04:00,79.14,79.10,Buy,HOLX13
2024-07-26 13:34:00-04:00,79.10,79.10,Sell - Stop Loss,HOLX13
2024-07-29 10:54:00-04:00,78.82,78.78,Buy,HOLX14
2024-07-29 10:56:00-04:00,78.89,78.78,Sell - Away from SMA,HOLX14
2024-07-29 11:34:00-04:00,79.03,78.96,Buy,HOLX15
2024-07-29 11:38:00-04:00,79.14,78.96,Sell - Away from SMA,HOLX15
2024-07-29 11:42:00-04:00,79.08,79.02,Buy,HOLX16
2024-07-29 11:44:00-04:00,79.21,79.02,Sell - Away from SMA,HOLX16
2024-07-29 13:20:00-04:00,79.43,79.36,Buy,HOLX17
2024-07-29 13:30:00-04:00,79.36,79.36,Sell - Stop Loss,HOLX17
2024-07-29 14:40:00-04:00,79.45,79.41,Buy,HOLX18
2024-07-29 14:42:00-04:00,79.55,79.41,Sell - Away from SMA,HOLX18
2024-07-30 10:44:00-04:00,81.58,81.42,Buy,HOLX19
2024-07-30 10:46:00-04:00,81.70,81.42,Sell - Away from SMA,HOLX19
2024-07-30 11:58:00-04:00,81.31,81.22,Buy,HOLX20
2024-07-30 12:00:00-04:00,81.55,81.22,Sell - Away from SMA,HOLX20
2024-07-30 12:50:00-04:00,81.79,81.73,Buy,HOLX21
2024-07-30 12:52:00-04:00,81.73,81.73,Sell - Stop Loss,HOLX21
2024-07-30 13:44:00-04:00,82.04,82.00,Buy,HOLX22
2024-07-30 13:50:00-04:00,82.20,82.00,Sell - Away from SMA,HOLX22
2024-07-30 14:22:00-04:00,82.36,82.30,Buy,HOLX23
2024-07-30 14:24:00-04:00,82.52,82.30,Sell - Away from SMA,HOLX23
2024-07-31 13:10:00-04:00,82.04,81.99,Buy,HOLX24
2024-07-31 13:12:00-04:00,81.99,81.99,Sell - Stop Loss,HOLX24
2024-08-05 12:34:00-04:00,83.27,83.20,Buy,HOLX25
2024-08-05 12:38:00-04:00,83.20,83.20,Sell - Stop Loss,HOLX25
2024-08-05 14:40:00-04:00,82.92,82.87,Buy,HOLX26
2024-08-05 14:48:00-04:00,83.07,82.87,Sell - Away from SMA,HOLX26
2024-08-07 11:08:00-04:00,83.73,83.69,Buy,HOLX27
2024-08-07 11:10:00-04:00,83.69,83.69,Sell - Stop Loss,HOLX27
2024-08-08 13:28:00-04:00,83.43,83.34,Buy,HOLX28
2024-08-08 13:30:00-04:00,83.53,83.34,Sell - Away from SMA,HOLX28
2024-08-08 14:08:00-04:00,83.51,83.47,Buy,HOLX29
2024-08-08 14:10:00-04:00,83.47,83.47,Sell - Stop Loss,HOLX29
2024-08-15 14:56:00-04:00,80.17,80.12,Buy,HOLX30
2024-08-15 15:06:00-04:00,80.28,80.12,Sell - Away from SMA,HOLX30
2024-08-15 15:32:00-04:00,80.51,80.47,Buy,HOLX31
2024-08-15 15:34:00-04:00,80.61,80.47,Sell - Away from SMA,HOLX31
2024-08-16 11:28:00-04:00,80.92,80.87,Buy,HOLX32
2024-08-16 11:40:00-04:00,80.87,80.87,Sell - Stop Loss,HOLX32
2024-08-16 11:54:00-04:00,80.98,80.92,Buy,HOLX33
2024-08-16 11:56:00-04:00,81.06,80.92,Sell - Away from SMA,HOLX33
2024-08-19 12:08:00-04:00,81.57,81.54,Buy,HOLX34
2024-08-19 12:22:00-04:00,81.70,81.54,Sell - Away from SMA,HOLX34
2024-08-20 10:54:00-04:00,81.69,81.65,Buy,HOLX35
2024-08-20 11:02:00-04:00,81.65,81.65,Sell - Stop Loss,HOLX35
2024-08-20 11:18:00-04:00,81.65,81.61,Buy,HOLX36
2024-08-20 11:20:00-04:00,81.82,81.61,Sell - Away from SMA,HOLX36
2024-08-23 15:54:00-04:00,80.22,80.14,Buy,HOLX37
2024-08-23 15:56:00-04:00,80.26,80.14,Sell - Away from SMA,HOLX37
