Datetime,Open,High,Low,Close,Adj Close,Volume,20min_SMA,200min_SMA,Setup,Label,SMA_20_slope,Trade_Status
2024-07-15 09:30:00-04:00,36.430,36.690,36.410,36.620,36.620,202791.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:32:00-04:00,36.590,36.605,36.500,36.550,36.550,13486.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:34:00-04:00,36.560,36.610,36.560,36.580,36.580,19442.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:36:00-04:00,36.595,36.595,36.510,36.540,36.540,13154.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:38:00-04:00,36.540,36.620,36.515,36.620,36.620,26636.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:40:00-04:00,36.620,36.620,36.530,36.565,36.565,20914.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:42:00-04:00,36.560,36.565,36.490,36.520,36.520,14892.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:44:00-04:00,36.500,36.570,36.485,36.550,36.550,23503.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:46:00-04:00,36.550,36.550,36.474,36.520,36.520,13454.000,nan,nan,False,Noise Bar,nan,Empty
2024-07-15 09:48:00-04:00,36.532,36.630,36.532,36.610,36.610,31672.000,36.568,nan,False,Noise Bar,nan,Empty
2024-07-15 09:50:00-04:00,36.600,36.640,36.590,36.640,36.640,36550.000,36.570,nan,False,Noise Bar,0.002,Empty
2024-07-15 09:52:00-04:00,36.641,36.740,36.640,36.740,36.740,33477.000,36.589,nan,False,Noise Bar,0.019,Empty
2024-07-15 09:54:00-04:00,36.735,36.750,36.710,36.720,36.720,20489.000,36.603,nan,False,Noise Bar,0.014,Empty
2024-07-15 09:56:00-04:00,36.715,36.720,36.690,36.715,36.715,20440.000,36.620,nan,False,Noise Bar,0.017,Empty
2024-07-15 09:58:00-04:00,36.714,36.740,36.645,36.660,36.660,27963.000,36.624,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:00:00-04:00,36.670,36.715,36.660,36.715,36.715,30173.000,36.639,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:02:00-04:00,36.715,36.780,36.710,36.770,36.770,32774.000,36.664,nan,False,Noise Bar,0.025,Empty
2024-07-15 10:04:00-04:00,36.780,36.840,36.780,36.839,36.839,25744.000,36.693,nan,False,Noise Bar,0.029,Empty
2024-07-15 10:06:00-04:00,36.835,36.960,36.835,36.908,36.908,56010.000,36.732,nan,False,Noise Bar,0.039,Empty
2024-07-15 10:08:00-04:00,36.920,36.955,36.920,36.950,36.950,20119.000,36.766,nan,False,Noise Bar,0.034,Empty
2024-07-15 10:10:00-04:00,36.950,37.000,36.950,36.975,36.975,20821.000,36.799,nan,False,Noise Bar,0.033,Empty
2024-07-15 10:12:00-04:00,36.975,36.975,36.925,36.925,36.925,15316.000,36.818,nan,False,Noise Bar,0.018,Empty
2024-07-15 10:14:00-04:00,36.925,36.925,36.890,36.910,36.910,21379.000,36.837,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:16:00-04:00,36.920,36.955,36.920,36.955,36.955,19137.000,36.861,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:18:00-04:00,36.950,36.980,36.950,36.955,36.955,18768.000,36.890,nan,False,Noise Bar,0.030,Empty
2024-07-15 10:20:00-04:00,36.955,36.970,36.945,36.950,36.950,20544.000,36.914,nan,False,Noise Bar,0.024,Empty
2024-07-15 10:22:00-04:00,36.960,36.965,36.945,36.955,36.955,13862.000,36.932,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:24:00-04:00,36.950,36.950,36.915,36.925,36.925,17822.000,36.941,nan,False,Noise Bar,0.009,Empty
2024-07-15 10:26:00-04:00,36.930,36.930,36.905,36.905,36.905,10625.000,36.941,nan,False,Noise Bar,-0.000,Empty
2024-07-15 10:28:00-04:00,36.905,36.920,36.895,36.915,36.915,32840.000,36.937,nan,False,Noise Bar,-0.003,Empty
2024-07-15 10:30:00-04:00,36.910,36.925,36.850,36.850,36.850,35601.000,36.925,nan,False,Noise Bar,-0.013,Empty
2024-07-15 10:32:00-04:00,36.870,36.885,36.860,36.865,36.865,20253.000,36.919,nan,False,Noise Bar,-0.006,Empty
2024-07-15 10:34:00-04:00,36.870,36.880,36.850,36.860,36.860,20950.000,36.914,nan,False,Noise Bar,-0.005,Empty
2024-07-15 10:36:00-04:00,36.850,36.850,36.810,36.810,36.810,11998.000,36.899,nan,False,Noise Bar,-0.015,Empty
2024-07-15 10:38:00-04:00,36.820,36.830,36.820,36.830,36.830,5990.000,36.887,nan,False,Noise Bar,-0.012,Empty
2024-07-15 10:40:00-04:00,36.825,36.850,36.820,36.845,36.845,21561.000,36.876,nan,False,Noise Bar,-0.010,Empty
2024-07-15 10:42:00-04:00,36.841,36.855,36.840,36.845,36.845,8444.000,36.865,nan,False,Noise Bar,-0.011,Empty
2024-07-15 10:44:00-04:00,36.840,36.855,36.840,36.846,36.846,22297.000,36.857,nan,False,Noise Bar,-0.008,Empty
2024-07-15 10:46:00-04:00,36.850,36.940,36.850,36.935,36.935,15333.000,36.860,nan,False,Noise Bar,0.003,Empty
2024-07-15 10:48:00-04:00,36.940,36.955,36.940,36.955,36.955,6196.000,36.864,nan,False,Noise Bar,0.004,Empty
2024-07-15 10:50:00-04:00,36.960,37.000,36.960,36.995,36.995,23769.000,36.879,nan,False,Noise Bar,0.015,Empty
2024-07-15 10:52:00-04:00,36.990,37.035,36.980,37.035,37.035,34438.000,36.896,nan,False,Noise Bar,0.017,Empty
2024-07-15 10:54:00-04:00,37.040,37.055,37.020,37.030,37.030,20678.000,36.913,nan,False,Noise Bar,0.017,Empty
2024-07-15 10:56:00-04:00,37.025,37.025,36.970,37.000,37.000,17821.000,36.932,nan,False,Noise Bar,0.019,Empty
2024-07-15 10:58:00-04:00,36.995,36.995,36.955,36.955,36.955,10230.000,36.944,nan,False,Noise Bar,0.013,Empty
2024-07-15 11:00:00-04:00,36.955,36.960,36.945,36.945,36.945,15738.000,36.954,nan,False,Noise Bar,0.010,Empty
2024-07-15 11:02:00-04:00,36.945,36.955,36.925,36.925,36.925,12668.000,36.962,nan,False,Noise Bar,0.008,Empty
2024-07-15 11:04:00-04:00,36.925,36.925,36.910,36.915,36.915,16473.000,36.969,nan,False,Noise Bar,0.007,Empty
2024-07-15 11:06:00-04:00,36.915,36.915,36.890,36.898,36.898,8356.000,36.965,nan,False,Noise Bar,-0.004,Empty
2024-07-15 11:08:00-04:00,36.895,36.897,36.875,36.885,36.885,12642.000,36.958,nan,False,Noise Bar,-0.007,Empty
2024-07-15 11:10:00-04:00,36.885,36.885,36.835,36.840,36.840,25230.000,36.943,nan,False,Noise Bar,-0.015,Empty
2024-07-15 11:12:00-04:00,36.845,36.859,36.835,36.835,36.835,9132.000,36.923,nan,False,Noise Bar,-0.020,Empty
2024-07-15 11:14:00-04:00,36.835,36.835,36.835,36.835,36.835,12829.000,36.903,nan,False,Noise Bar,-0.019,Empty
2024-07-15 11:16:00-04:00,36.830,36.875,36.830,36.875,36.875,53886.000,36.891,nan,False,Noise Bar,-0.012,Empty
2024-07-15 11:18:00-04:00,36.880,36.888,36.880,36.885,36.885,12750.000,36.884,nan,False,Noise Bar,-0.007,Empty
2024-07-15 11:20:00-04:00,36.885,36.920,36.880,36.915,36.915,20931.000,36.881,nan,False,Noise Bar,-0.003,Empty
2024-07-15 11:22:00-04:00,36.915,36.980,36.910,36.975,36.975,93207.000,36.886,nan,False,Noise Bar,0.005,Empty
2024-07-15 11:24:00-04:00,36.980,36.985,36.910,36.925,36.925,41240.000,36.887,nan,False,Noise Bar,0.001,Empty
