Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:52:00-04:00,37.72,37.68,Buy,HPQ1
2024-07-16 13:18:00-04:00,37.74,37.68,Sell - Away from SMA,HPQ1
2024-07-16 13:42:00-04:00,37.88,37.84,Buy,HPQ2
2024-07-16 13:52:00-04:00,37.84,37.84,Sell - Stop Loss,HPQ2
2024-07-16 15:54:00-04:00,38.11,38.05,Buy,HPQ3
2024-07-16 15:58:00-04:00,38.05,38.05,Sell - Stop Loss,HPQ3
2024-07-17 11:58:00-04:00,38.16,38.10,Buy,HPQ4
2024-07-17 12:00:00-04:00,38.32,38.10,Sell - Away from SMA,HPQ4
2024-07-19 15:10:00-04:00,37.24,37.21,Buy,HPQ5
2024-07-19 15:14:00-04:00,37.21,37.21,Sell - Stop Loss,HPQ5
2024-07-22 12:18:00-04:00,37.79,37.74,Buy,HPQ6
2024-07-22 12:32:00-04:00,37.74,37.74,Sell - Stop Loss,HPQ6
2024-07-31 15:58:00-04:00,36.03,35.97,Buy,HPQ7
2024-08-01 09:30:00-04:00,35.97,35.97,Sell - Stop Loss,HPQ7
2024-08-05 12:06:00-04:00,32.92,32.86,Buy,HPQ8
2024-08-05 12:12:00-04:00,32.86,32.86,Sell - Stop Loss,HPQ8
2024-08-05 13:14:00-04:00,32.82,32.78,Buy,HPQ9
2024-08-05 13:56:00-04:00,32.78,32.78,Sell - Stop Loss,HPQ9
2024-08-06 10:40:00-04:00,32.84,32.79,Buy,HPQ10
2024-08-06 10:42:00-04:00,32.94,32.79,Sell - Away from SMA,HPQ10
2024-08-08 11:02:00-04:00,32.66,32.61,Buy,HPQ11
2024-08-08 11:06:00-04:00,32.74,32.61,Sell - Away from SMA,HPQ11
2024-08-08 13:50:00-04:00,32.86,32.83,Buy,HPQ12
2024-08-08 13:54:00-04:00,32.83,32.83,Sell - Stop Loss,HPQ12
2024-08-09 10:02:00-04:00,33.25,33.16,Buy,HPQ13
2024-08-09 10:04:00-04:00,33.38,33.16,Sell - Away from SMA,HPQ13
2024-08-09 10:40:00-04:00,33.34,33.28,Buy,HPQ14
2024-08-09 10:46:00-04:00,33.45,33.28,Sell - Away from SMA,HPQ14
2024-08-09 10:56:00-04:00,33.54,33.50,Buy,HPQ15
2024-08-09 10:58:00-04:00,33.57,33.50,Sell - Away from SMA,HPQ15
2024-08-09 12:30:00-04:00,33.54,33.52,Buy,HPQ16
2024-08-09 13:14:00-04:00,33.76,33.52,Sell - Away from SMA,HPQ16
2024-08-12 10:40:00-04:00,34.06,33.98,Buy,HPQ17
2024-08-12 11:22:00-04:00,33.98,33.98,Sell - Stop Loss,HPQ17
2024-08-13 10:40:00-04:00,34.38,34.34,Buy,HPQ18
2024-08-13 10:44:00-04:00,34.51,34.34,Sell - Away from SMA,HPQ18
2024-08-14 11:32:00-04:00,34.90,34.84,Buy,HPQ19
2024-08-14 11:38:00-04:00,34.98,34.84,Sell - Away from SMA,HPQ19
2024-08-15 09:42:00-04:00,35.33,35.24,Buy,HPQ20
2024-08-15 09:44:00-04:00,35.39,35.24,Sell - Away from SMA,HPQ20
2024-08-15 10:26:00-04:00,35.36,35.31,Buy,HPQ21
2024-08-15 10:44:00-04:00,35.38,35.33,Buy,HPQ22
2024-08-15 10:58:00-04:00,35.33,35.33,Sell - Stop Loss,HPQ22
2024-08-15 11:00:00-04:00,35.31,35.31,Sell - Stop Loss,HPQ21
2024-08-15 11:30:00-04:00,35.36,35.32,Buy,HPQ23
2024-08-15 12:20:00-04:00,35.56,35.32,Sell - Away from SMA,HPQ23
2024-08-16 10:00:00-04:00,35.54,35.50,Buy,HPQ24
2024-08-16 10:02:00-04:00,35.62,35.50,Sell - Away from SMA,HPQ24
2024-08-16 15:40:00-04:00,36.02,35.99,Buy,HPQ25
2024-08-16 15:42:00-04:00,35.99,35.99,Sell - Stop Loss,HPQ25
2024-08-19 13:50:00-04:00,34.73,34.68,Buy,HPQ26
2024-08-19 14:08:00-04:00,34.68,34.68,Sell - Stop Loss,HPQ26
2024-08-19 14:26:00-04:00,34.74,34.69,Buy,HPQ27
2024-08-19 14:36:00-04:00,34.69,34.69,Sell - Stop Loss,HPQ27
2024-08-19 15:24:00-04:00,34.70,34.67,Buy,HPQ28
2024-08-19 15:28:00-04:00,34.67,34.67,Sell - Stop Loss,HPQ28
2024-08-21 12:10:00-04:00,35.10,35.07,Buy,HPQ29
2024-08-22 09:30:00-04:00,35.39,35.07,Sell - Away from SMA,HPQ29
2024-08-22 10:16:00-04:00,35.46,35.40,Buy,HPQ30
2024-08-22 10:34:00-04:00,35.49,35.43,Buy,HPQ31
2024-08-22 11:02:00-04:00,35.43,35.40,Sell - Away from SMA,HPQ30
2024-08-22 11:02:00-04:00,35.43,35.43,Sell - Stop Loss,HPQ31
