Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 15:00:00-04:00,189.23,189.14,Buy,HSY1
2024-07-16 15:02:00-04:00,189.37,189.14,Sell - Away from SMA,HSY1
2024-07-16 15:54:00-04:00,189.68,189.56,Buy,HSY2
2024-07-16 15:56:00-04:00,189.94,189.56,Sell - Away from SMA,HSY2
2024-07-17 09:34:00-04:00,190.01,189.26,Buy,HSY3
2024-07-17 09:36:00-04:00,190.26,189.26,Sell - Away from SMA,HSY3
2024-07-17 10:10:00-04:00,192.41,192.08,Buy,HSY4
2024-07-17 10:12:00-04:00,192.97,192.08,Sell - Away from SMA,HSY4
2024-07-17 11:48:00-04:00,193.09,192.95,Buy,HSY5
2024-07-17 11:50:00-04:00,192.95,192.95,Sell - Stop Loss,HSY5
2024-07-17 12:22:00-04:00,193.16,193.09,Buy,HSY6
2024-07-17 12:24:00-04:00,193.09,193.09,Sell - Stop Loss,HSY6
2024-07-17 14:44:00-04:00,193.96,193.80,Buy,HSY7
2024-07-17 14:46:00-04:00,194.28,193.80,Sell - Away from SMA,HSY7
2024-07-17 15:44:00-04:00,193.90,193.71,Buy,HSY8
2024-07-17 15:46:00-04:00,193.78,193.71,Sell - Away from SMA,HSY8
2024-07-18 09:36:00-04:00,193.08,192.43,Buy,HSY9
2024-07-18 09:38:00-04:00,192.90,192.43,Sell - Away from SMA,HSY9
2024-07-18 11:22:00-04:00,197.13,196.93,Buy,HSY10
2024-07-18 11:24:00-04:00,197.44,196.93,Sell - Away from SMA,HSY10
2024-07-19 14:16:00-04:00,191.24,191.13,Buy,HSY11
2024-07-19 14:18:00-04:00,191.35,191.13,Sell - Away from SMA,HSY11
2024-07-19 15:08:00-04:00,191.02,190.87,Buy,HSY12
2024-07-19 15:10:00-04:00,191.12,190.87,Sell - Away from SMA,HSY12
2024-07-23 13:42:00-04:00,190.02,189.95,Buy,HSY13
2024-07-23 13:44:00-04:00,190.08,189.95,Sell - Away from SMA,HSY13
2024-07-23 14:22:00-04:00,190.02,189.93,Buy,HSY14
2024-07-23 14:26:00-04:00,190.13,189.93,Sell - Away from SMA,HSY14
2024-07-24 09:38:00-04:00,192.12,191.76,Buy,HSY15
2024-07-24 09:40:00-04:00,192.74,191.76,Sell - Away from SMA,HSY15
2024-07-24 12:58:00-04:00,192.12,192.04,Buy,HSY16
2024-07-24 13:00:00-04:00,192.30,192.04,Sell - Away from SMA,HSY16
2024-07-24 14:32:00-04:00,192.05,191.95,Buy,HSY17
2024-07-24 14:36:00-04:00,191.95,191.95,Sell - Stop Loss,HSY17
2024-07-25 10:10:00-04:00,194.49,194.27,Buy,HSY18
2024-07-25 10:12:00-04:00,195.92,194.27,Sell - Away from SMA,HSY18
2024-07-25 11:38:00-04:00,194.78,194.64,Buy,HSY19
2024-07-25 11:40:00-04:00,194.89,194.64,Sell - Away from SMA,HSY19
2024-07-26 10:04:00-04:00,193.57,193.06,Buy,HSY20
2024-07-26 10:06:00-04:00,193.85,193.06,Sell - Away from SMA,HSY20
2024-07-26 10:32:00-04:00,193.60,193.28,Buy,HSY21
2024-07-26 10:34:00-04:00,193.57,193.28,Sell - Away from SMA,HSY21
2024-07-26 15:50:00-04:00,193.64,193.46,Buy,HSY22
2024-07-26 15:52:00-04:00,193.82,193.46,Sell - Away from SMA,HSY22
2024-07-29 10:02:00-04:00,193.17,193.07,Buy,HSY23
2024-07-29 10:04:00-04:00,193.98,193.07,Sell - Away from SMA,HSY23
2024-07-30 15:30:00-04:00,193.56,193.48,Buy,HSY24
2024-07-30 15:32:00-04:00,193.93,193.48,Sell - Away from SMA,HSY24
2024-07-31 09:46:00-04:00,195.92,195.73,Buy,HSY25
2024-07-31 09:48:00-04:00,195.73,195.73,Sell - Stop Loss,HSY25
2024-07-31 12:40:00-04:00,197.21,197.09,Buy,HSY26
2024-07-31 12:42:00-04:00,197.31,197.09,Sell - Away from SMA,HSY26
2024-08-01 11:54:00-04:00,198.12,197.73,Buy,HSY27
2024-08-01 11:56:00-04:00,197.73,197.73,Sell - Stop Loss,HSY27
2024-08-01 14:44:00-04:00,198.37,198.22,Buy,HSY28
2024-08-01 14:46:00-04:00,198.78,198.22,Sell - Away from SMA,HSY28
2024-08-01 14:54:00-04:00,199.33,199.20,Buy,HSY29
2024-08-01 14:56:00-04:00,199.64,199.20,Sell - Away from SMA,HSY29
2024-08-02 09:34:00-04:00,199.29,198.57,Buy,HSY30
2024-08-02 09:36:00-04:00,200.45,198.57,Sell - Away from SMA,HSY30
2024-08-02 14:54:00-04:00,198.71,198.59,Buy,HSY31
2024-08-02 14:56:00-04:00,198.92,198.59,Sell - Away from SMA,HSY31
2024-08-06 10:30:00-04:00,199.85,199.63,Buy,HSY32
2024-08-06 10:32:00-04:00,200.23,199.63,Sell - Away from SMA,HSY32
2024-08-06 11:52:00-04:00,198.45,198.30,Buy,HSY33
2024-08-06 11:54:00-04:00,198.72,198.30,Sell - Away from SMA,HSY33
2024-08-06 12:16:00-04:00,199.22,199.09,Buy,HSY34
2024-08-06 12:18:00-04:00,199.39,199.09,Sell - Away from SMA,HSY34
2024-08-06 13:10:00-04:00,199.20,199.11,Buy,HSY35
2024-08-06 13:12:00-04:00,199.56,199.11,Sell - Away from SMA,HSY35
2024-08-06 14:38:00-04:00,200.20,200.06,Buy,HSY36
2024-08-06 14:40:00-04:00,200.33,200.06,Sell - Away from SMA,HSY36
2024-08-07 09:58:00-04:00,200.80,200.55,Buy,HSY37
2024-08-07 10:00:00-04:00,200.55,200.55,Sell - Stop Loss,HSY37
2024-08-07 12:28:00-04:00,201.30,201.15,Buy,HSY38
2024-08-07 12:30:00-04:00,201.15,201.15,Sell - Stop Loss,HSY38
2024-08-08 15:46:00-04:00,202.19,202.13,Buy,HSY39
2024-08-08 15:48:00-04:00,202.13,202.13,Sell - Stop Loss,HSY39
2024-08-09 14:16:00-04:00,200.41,200.38,Buy,HSY40
2024-08-09 14:18:00-04:00,200.38,200.38,Sell - Stop Loss,HSY40
2024-08-12 12:44:00-04:00,198.93,198.77,Buy,HSY41
2024-08-12 12:46:00-04:00,199.15,198.77,Sell - Away from SMA,HSY41
2024-08-13 12:04:00-04:00,200.15,200.13,Buy,HSY42
2024-08-13 12:06:00-04:00,200.13,200.13,Sell - Stop Loss,HSY42
2024-08-19 10:54:00-04:00,195.95,195.86,Buy,HSY43
2024-08-19 10:56:00-04:00,196.14,195.86,Sell - Away from SMA,HSY43
2024-08-19 12:22:00-04:00,196.10,196.06,Buy,HSY44
2024-08-19 12:24:00-04:00,196.06,196.06,Sell - Stop Loss,HSY44
2024-08-19 12:40:00-04:00,196.28,196.15,Buy,HSY45
2024-08-19 12:42:00-04:00,196.24,196.15,Sell - Away from SMA,HSY45
2024-08-20 15:30:00-04:00,198.14,198.03,Buy,HSY46
2024-08-20 15:32:00-04:00,198.28,198.03,Sell - Away from SMA,HSY46
2024-08-23 15:20:00-04:00,196.18,196.15,Buy,HSY47
2024-08-23 15:24:00-04:00,196.15,196.15,Sell - Stop Loss,HSY47
2024-08-23 15:54:00-04:00,196.29,196.16,Buy,HSY48
2024-08-23 15:56:00-04:00,196.44,196.16,Sell - Away from SMA,HSY48
