Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 11:16:00-04:00,81.26,81.20,Buy,HWM1
2024-07-16 11:18:00-04:00,81.30,81.20,Sell - Away from SMA,HWM1
2024-07-16 12:52:00-04:00,81.30,81.24,Buy,HWM2
2024-07-16 12:54:00-04:00,81.45,81.24,Sell - Away from SMA,HWM2
2024-07-18 10:14:00-04:00,78.61,78.51,Buy,HWM3
2024-07-18 10:16:00-04:00,78.76,78.51,Sell - Away from SMA,HWM3
2024-07-18 15:20:00-04:00,78.31,78.17,Buy,HWM4
2024-07-18 15:22:00-04:00,78.36,78.17,Sell - Away from SMA,HWM4
2024-07-19 15:10:00-04:00,77.94,77.86,Buy,HWM5
2024-07-19 15:12:00-04:00,78.01,77.86,Sell - Away from SMA,HWM5
2024-07-22 09:34:00-04:00,78.80,78.55,Buy,HWM6
2024-07-22 09:36:00-04:00,79.27,78.55,Sell - Away from SMA,HWM6
2024-07-22 09:44:00-04:00,79.24,79.07,Buy,HWM7
2024-07-22 09:46:00-04:00,79.47,79.07,Sell - Away from SMA,HWM7
2024-07-22 13:04:00-04:00,79.45,79.39,Buy,HWM8
2024-07-22 13:06:00-04:00,79.65,79.39,Sell - Away from SMA,HWM8
2024-07-22 13:26:00-04:00,79.84,79.79,Buy,HWM9
2024-07-22 13:28:00-04:00,79.87,79.79,Sell - Away from SMA,HWM9
2024-07-22 13:40:00-04:00,79.92,79.86,Buy,HWM10
2024-07-22 13:48:00-04:00,79.86,79.86,Sell - Stop Loss,HWM10
2024-07-23 09:54:00-04:00,81.56,81.29,Buy,HWM11
2024-07-23 09:56:00-04:00,81.92,81.29,Sell - Away from SMA,HWM11
2024-07-23 10:20:00-04:00,82.01,81.83,Buy,HWM12
2024-07-23 10:22:00-04:00,82.14,81.83,Sell - Away from SMA,HWM12
2024-07-25 12:22:00-04:00,82.87,82.76,Buy,HWM13
2024-07-25 12:24:00-04:00,82.98,82.76,Sell - Away from SMA,HWM13
2024-07-26 12:42:00-04:00,83.08,82.99,Buy,HWM14
2024-07-26 12:52:00-04:00,83.21,82.99,Sell - Away from SMA,HWM14
2024-07-29 12:38:00-04:00,83.06,83.00,Buy,HWM15
2024-07-29 12:40:00-04:00,83.00,83.00,Sell - Stop Loss,HWM15
2024-07-29 15:34:00-04:00,83.07,83.00,Buy,HWM16
2024-07-29 15:36:00-04:00,83.19,83.00,Sell - Away from SMA,HWM16
2024-07-30 10:06:00-04:00,93.77,93.44,Buy,HWM17
2024-07-30 10:08:00-04:00,94.18,93.44,Sell - Away from SMA,HWM17
2024-07-30 11:34:00-04:00,93.77,93.48,Buy,HWM18
2024-07-30 11:36:00-04:00,93.90,93.48,Sell - Away from SMA,HWM18
2024-07-31 14:14:00-04:00,96.14,96.07,Buy,HWM19
2024-07-31 14:16:00-04:00,96.19,96.07,Sell - Away from SMA,HWM19
2024-08-01 15:30:00-04:00,94.68,94.56,Buy,HWM20
2024-08-01 15:32:00-04:00,94.73,94.56,Sell - Away from SMA,HWM20
2024-08-01 15:50:00-04:00,94.88,94.77,Buy,HWM21
2024-08-01 15:52:00-04:00,94.77,94.77,Sell - Stop Loss,HWM21
2024-08-05 12:40:00-04:00,86.99,86.83,Buy,HWM22
2024-08-05 12:44:00-04:00,86.95,86.83,Sell - Away from SMA,HWM22
2024-08-06 10:46:00-04:00,90.30,90.20,Buy,HWM23
2024-08-06 10:48:00-04:00,90.50,90.20,Sell - Away from SMA,HWM23
2024-08-06 11:48:00-04:00,90.02,89.88,Buy,HWM24
2024-08-06 11:50:00-04:00,90.23,89.88,Sell - Away from SMA,HWM24
2024-08-06 12:32:00-04:00,90.30,90.23,Buy,HWM25
2024-08-06 12:36:00-04:00,90.23,90.23,Sell - Stop Loss,HWM25
2024-08-06 14:28:00-04:00,90.73,90.66,Buy,HWM26
2024-08-06 14:30:00-04:00,90.66,90.66,Sell - Stop Loss,HWM26
2024-08-08 11:50:00-04:00,90.93,90.70,Buy,HWM27
2024-08-08 11:52:00-04:00,91.00,90.70,Sell - Away from SMA,HWM27
2024-08-08 12:42:00-04:00,91.00,90.93,Buy,HWM28
2024-08-08 12:46:00-04:00,91.21,90.93,Sell - Away from SMA,HWM28
2024-08-08 14:06:00-04:00,92.34,92.20,Buy,HWM29
2024-08-08 14:08:00-04:00,92.32,92.20,Sell - Away from SMA,HWM29
2024-08-09 13:14:00-04:00,92.56,92.51,Buy,HWM30
2024-08-09 13:16:00-04:00,92.67,92.51,Sell - Away from SMA,HWM30
2024-08-09 13:28:00-04:00,92.77,92.69,Buy,HWM31
2024-08-09 13:30:00-04:00,92.93,92.69,Sell - Away from SMA,HWM31
2024-08-12 10:40:00-04:00,93.18,93.06,Buy,HWM32
2024-08-12 10:42:00-04:00,93.28,93.06,Sell - Away from SMA,HWM32
2024-08-12 11:32:00-04:00,92.79,92.67,Buy,HWM33
2024-08-12 11:36:00-04:00,92.93,92.67,Sell - Away from SMA,HWM33
2024-08-13 12:46:00-04:00,93.44,93.35,Buy,HWM34
2024-08-13 12:48:00-04:00,93.53,93.35,Sell - Away from SMA,HWM34
2024-08-13 13:40:00-04:00,93.44,93.38,Buy,HWM35
2024-08-13 13:46:00-04:00,93.38,93.38,Sell - Stop Loss,HWM35
2024-08-13 13:54:00-04:00,93.52,93.45,Buy,HWM36
2024-08-13 13:56:00-04:00,93.63,93.45,Sell - Away from SMA,HWM36
2024-08-13 14:02:00-04:00,93.66,93.59,Buy,HWM37
2024-08-13 14:04:00-04:00,93.70,93.59,Sell - Away from SMA,HWM37
2024-08-13 15:22:00-04:00,93.55,93.48,Buy,HWM38
2024-08-13 15:30:00-04:00,93.48,93.48,Sell - Stop Loss,HWM38
2024-08-15 11:08:00-04:00,94.75,94.72,Buy,HWM39
2024-08-15 11:10:00-04:00,94.88,94.72,Sell - Away from SMA,HWM39
2024-08-15 14:38:00-04:00,95.75,95.68,Buy,HWM40
2024-08-15 14:40:00-04:00,95.77,95.68,Sell - Away from SMA,HWM40
2024-08-15 15:16:00-04:00,95.71,95.66,Buy,HWM41
2024-08-15 15:18:00-04:00,95.78,95.66,Sell - Away from SMA,HWM41
2024-08-16 09:50:00-04:00,96.00,95.91,Buy,HWM42
2024-08-16 09:52:00-04:00,96.08,95.91,Sell - Away from SMA,HWM42
2024-08-16 14:28:00-04:00,95.89,95.82,Buy,HWM43
2024-08-16 14:34:00-04:00,95.98,95.82,Sell - Away from SMA,HWM43
2024-08-16 14:44:00-04:00,96.00,95.95,Buy,HWM44
2024-08-16 14:46:00-04:00,95.95,95.95,Sell - Stop Loss,HWM44
2024-08-19 11:02:00-04:00,96.29,96.21,Buy,HWM45
2024-08-19 11:04:00-04:00,96.21,96.21,Sell - Stop Loss,HWM45
2024-08-19 12:56:00-04:00,96.20,96.13,Buy,HWM46
2024-08-19 13:00:00-04:00,96.13,96.13,Sell - Stop Loss,HWM46
2024-08-20 09:42:00-04:00,96.33,96.22,Buy,HWM47
2024-08-20 09:44:00-04:00,96.32,96.22,Sell - Away from SMA,HWM47
2024-08-20 10:06:00-04:00,96.27,96.18,Buy,HWM48
2024-08-20 10:08:00-04:00,96.39,96.18,Sell - Away from SMA,HWM48
2024-08-20 14:12:00-04:00,95.38,95.35,Buy,HWM49
2024-08-20 14:14:00-04:00,95.49,95.35,Sell - Away from SMA,HWM49
2024-08-21 10:40:00-04:00,96.47,96.37,Buy,HWM50
2024-08-21 10:42:00-04:00,96.61,96.37,Sell - Away from SMA,HWM50
2024-08-22 09:30:00-04:00,96.33,96.20,Buy,HWM51
2024-08-22 09:34:00-04:00,96.39,96.20,Sell - Away from SMA,HWM51
2024-08-22 09:40:00-04:00,96.38,96.35,Buy,HWM52
2024-08-22 09:42:00-04:00,96.79,96.35,Sell - Away from SMA,HWM52
2024-08-22 10:12:00-04:00,96.35,96.24,Buy,HWM53
2024-08-22 10:24:00-04:00,96.50,96.24,Sell - Away from SMA,HWM53
2024-08-22 10:48:00-04:00,96.60,96.58,Buy,HWM54
2024-08-22 10:50:00-04:00,96.81,96.58,Sell - Away from SMA,HWM54
2024-08-22 11:00:00-04:00,96.82,96.78,Buy,HWM55
2024-08-22 11:02:00-04:00,96.90,96.78,Sell - Away from SMA,HWM55
2024-08-22 11:26:00-04:00,96.70,96.64,Buy,HWM56
2024-08-22 11:30:00-04:00,96.86,96.64,Sell - Away from SMA,HWM56
2024-08-22 12:26:00-04:00,96.94,96.89,Buy,HWM57
2024-08-22 12:48:00-04:00,96.89,96.89,Sell - Stop Loss,HWM57
