Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 09:42:00-04:00,186.19,185.83,Buy,IBM1
2024-07-16 09:44:00-04:00,186.33,185.83,Sell - Away from SMA,IBM1
2024-07-16 10:24:00-04:00,185.85,185.62,Buy,IBM2
2024-07-16 10:26:00-04:00,186.00,185.62,Sell - Away from SMA,IBM2
2024-07-17 10:16:00-04:00,186.71,186.36,Buy,IBM3
2024-07-17 10:18:00-04:00,186.89,186.36,Sell - Away from SMA,IBM3
2024-07-17 13:24:00-04:00,186.80,186.68,Buy,IBM4
2024-07-17 13:26:00-04:00,186.98,186.68,Sell - Away from SMA,IBM4
2024-07-17 15:26:00-04:00,187.31,187.16,Buy,IBM5
2024-07-17 15:28:00-04:00,187.34,187.16,Sell - Away from SMA,IBM5
2024-07-18 09:40:00-04:00,187.55,187.17,Buy,IBM6
2024-07-18 09:42:00-04:00,188.84,187.17,Sell - Away from SMA,IBM6
2024-07-23 09:50:00-04:00,184.19,183.98,Buy,IBM7
2024-07-23 09:52:00-04:00,184.39,183.98,Sell - Away from SMA,IBM7
2024-07-23 13:46:00-04:00,184.40,184.34,Buy,IBM8
2024-07-23 13:48:00-04:00,184.45,184.34,Sell - Away from SMA,IBM8
2024-07-23 14:18:00-04:00,184.86,184.74,Buy,IBM9
2024-07-23 14:20:00-04:00,184.94,184.74,Sell - Away from SMA,IBM9
2024-07-25 10:08:00-04:00,192.52,192.06,Buy,IBM10
2024-07-25 10:10:00-04:00,192.72,192.06,Sell - Away from SMA,IBM10
2024-07-25 11:10:00-04:00,190.78,190.42,Buy,IBM11
2024-07-25 11:12:00-04:00,191.24,190.42,Sell - Away from SMA,IBM11
2024-07-25 12:34:00-04:00,195.72,195.44,Buy,IBM12
2024-07-25 12:36:00-04:00,196.02,195.44,Sell - Away from SMA,IBM12
2024-07-26 12:54:00-04:00,192.47,192.31,Buy,IBM13
2024-07-26 12:56:00-04:00,192.56,192.31,Sell - Away from SMA,IBM13
2024-07-29 14:02:00-04:00,190.82,190.70,Buy,IBM14
2024-07-29 14:04:00-04:00,191.09,190.70,Sell - Away from SMA,IBM14
2024-07-29 14:10:00-04:00,191.13,191.00,Buy,IBM15
2024-07-29 14:12:00-04:00,191.19,191.00,Sell - Away from SMA,IBM15
2024-07-30 15:44:00-04:00,190.77,190.64,Buy,IBM16
2024-07-30 15:46:00-04:00,191.03,190.64,Sell - Away from SMA,IBM16
2024-07-31 10:04:00-04:00,191.69,191.42,Buy,IBM17
2024-07-31 10:06:00-04:00,191.42,191.42,Sell - Stop Loss,IBM17
2024-07-31 10:38:00-04:00,192.87,192.66,Buy,IBM18
2024-07-31 10:40:00-04:00,192.87,192.66,Sell - Away from SMA,IBM18
2024-07-31 11:12:00-04:00,193.08,192.99,Buy,IBM19
2024-07-31 11:14:00-04:00,193.27,192.99,Sell - Away from SMA,IBM19
2024-07-31 11:28:00-04:00,193.51,193.38,Buy,IBM20
2024-07-31 11:30:00-04:00,193.69,193.38,Sell - Away from SMA,IBM20
2024-08-05 13:26:00-04:00,184.45,184.24,Buy,IBM21
2024-08-05 13:28:00-04:00,184.24,184.24,Sell - Stop Loss,IBM21
2024-08-06 10:04:00-04:00,185.79,185.55,Buy,IBM22
2024-08-06 10:06:00-04:00,186.04,185.55,Sell - Away from SMA,IBM22
2024-08-06 10:12:00-04:00,186.24,186.03,Buy,IBM23
2024-08-06 10:14:00-04:00,186.03,186.03,Sell - Stop Loss,IBM23
2024-08-06 11:52:00-04:00,186.51,186.32,Buy,IBM24
2024-08-06 11:54:00-04:00,186.64,186.32,Sell - Away from SMA,IBM24
2024-08-06 13:24:00-04:00,187.72,187.44,Buy,IBM25
2024-08-06 13:26:00-04:00,187.86,187.44,Sell - Away from SMA,IBM25
2024-08-06 13:36:00-04:00,188.09,187.94,Buy,IBM26
2024-08-06 13:38:00-04:00,188.15,187.94,Sell - Away from SMA,IBM26
2024-08-07 10:40:00-04:00,188.61,188.34,Buy,IBM27
2024-08-07 10:42:00-04:00,188.90,188.34,Sell - Away from SMA,IBM27
2024-08-07 12:12:00-04:00,188.82,188.63,Buy,IBM28
2024-08-07 12:14:00-04:00,189.06,188.63,Sell - Away from SMA,IBM28
2024-08-08 10:00:00-04:00,190.36,190.01,Buy,IBM29
2024-08-08 10:02:00-04:00,191.09,190.01,Sell - Away from SMA,IBM29
2024-08-08 11:02:00-04:00,191.54,191.32,Buy,IBM30
2024-08-08 11:04:00-04:00,191.64,191.32,Sell - Away from SMA,IBM30
2024-08-08 12:02:00-04:00,191.01,190.89,Buy,IBM31
2024-08-08 12:04:00-04:00,191.36,190.89,Sell - Away from SMA,IBM31
2024-08-08 12:24:00-04:00,191.42,191.30,Buy,IBM32
2024-08-08 12:26:00-04:00,191.65,191.30,Sell - Away from SMA,IBM32
2024-08-08 12:46:00-04:00,191.27,191.15,Buy,IBM33
2024-08-08 12:48:00-04:00,191.15,191.15,Sell - Stop Loss,IBM33
2024-08-08 13:12:00-04:00,191.16,191.08,Buy,IBM34
2024-08-08 13:14:00-04:00,191.30,191.08,Sell - Away from SMA,IBM34
2024-08-08 13:50:00-04:00,192.05,191.96,Buy,IBM35
2024-08-08 13:52:00-04:00,191.96,191.96,Sell - Stop Loss,IBM35
2024-08-08 14:54:00-04:00,191.99,191.88,Buy,IBM36
2024-08-08 14:56:00-04:00,192.16,191.88,Sell - Away from SMA,IBM36
2024-08-09 13:46:00-04:00,192.09,191.98,Buy,IBM37
2024-08-09 13:48:00-04:00,192.02,191.98,Sell - Away from SMA,IBM37
2024-08-14 10:22:00-04:00,191.70,191.50,Buy,IBM38
2024-08-14 10:24:00-04:00,191.80,191.50,Sell - Away from SMA,IBM38
2024-08-14 11:50:00-04:00,192.46,192.34,Buy,IBM39
2024-08-14 11:52:00-04:00,192.52,192.34,Sell - Away from SMA,IBM39
2024-08-15 10:10:00-04:00,193.82,193.62,Buy,IBM40
2024-08-15 10:14:00-04:00,193.90,193.62,Sell - Away from SMA,IBM40
2024-08-15 12:10:00-04:00,193.96,193.89,Buy,IBM41
2024-08-15 12:12:00-04:00,194.05,193.89,Sell - Away from SMA,IBM41
2024-08-15 15:22:00-04:00,193.91,193.83,Buy,IBM42
2024-08-15 15:24:00-04:00,194.04,193.83,Sell - Away from SMA,IBM42
2024-08-19 12:24:00-04:00,194.93,194.86,Buy,IBM43
2024-08-19 12:26:00-04:00,195.03,194.86,Sell - Away from SMA,IBM43
2024-08-20 13:18:00-04:00,195.56,195.46,Buy,IBM44
2024-08-20 13:20:00-04:00,195.63,195.46,Sell - Away from SMA,IBM44
2024-08-20 14:50:00-04:00,195.72,195.62,Buy,IBM45
2024-08-20 14:54:00-04:00,195.80,195.62,Sell - Away from SMA,IBM45
2024-08-21 12:20:00-04:00,195.32,195.20,Buy,IBM46
2024-08-21 12:22:00-04:00,195.50,195.20,Sell - Away from SMA,IBM46
2024-08-21 13:44:00-04:00,196.29,196.21,Buy,IBM47
2024-08-21 13:46:00-04:00,196.46,196.21,Sell - Away from SMA,IBM47
2024-08-21 14:58:00-04:00,196.66,196.50,Buy,IBM48
2024-08-21 15:00:00-04:00,196.71,196.50,Sell - Away from SMA,IBM48
2024-08-21 15:52:00-04:00,197.10,196.91,Buy,IBM49
2024-08-21 15:54:00-04:00,197.21,196.91,Sell - Away from SMA,IBM49
2024-08-22 09:58:00-04:00,197.60,197.44,Buy,IBM50
2024-08-22 10:00:00-04:00,197.72,197.44,Sell - Away from SMA,IBM50
