Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-15 14:50:00-04:00,147.93,147.88,Buy,ICE1
2024-07-15 14:52:00-04:00,147.98,147.88,Sell - Away from SMA,ICE1
2024-07-16 10:48:00-04:00,149.10,149.00,Buy,ICE2
2024-07-16 10:50:00-04:00,149.35,149.00,Sell - Away from SMA,ICE2
2024-07-17 15:24:00-04:00,149.34,149.28,Buy,ICE3
2024-07-17 15:26:00-04:00,149.42,149.28,Sell - Away from SMA,ICE3
2024-07-19 12:14:00-04:00,148.18,148.07,Buy,ICE4
2024-07-19 12:16:00-04:00,148.22,148.07,Sell - Away from SMA,ICE4
2024-07-22 10:34:00-04:00,148.66,148.56,Buy,ICE5
2024-07-22 10:36:00-04:00,148.83,148.56,Sell - Away from SMA,ICE5
2024-07-22 10:58:00-04:00,149.13,149.11,Buy,ICE6
2024-07-22 11:00:00-04:00,149.26,149.11,Sell - Away from SMA,ICE6
2024-07-22 12:16:00-04:00,149.04,148.98,Buy,ICE7
2024-07-22 12:26:00-04:00,148.98,148.98,Sell - Stop Loss,ICE7
2024-07-22 13:18:00-04:00,149.32,149.24,Buy,ICE8
2024-07-22 13:20:00-04:00,149.24,149.24,Sell - Stop Loss,ICE8
2024-07-22 14:36:00-04:00,149.22,149.17,Buy,ICE9
2024-07-22 14:38:00-04:00,149.33,149.17,Sell - Away from SMA,ICE9
2024-07-23 10:08:00-04:00,149.59,149.43,Buy,ICE10
2024-07-23 10:10:00-04:00,149.65,149.43,Sell - Away from SMA,ICE10
2024-07-25 09:54:00-04:00,149.53,149.34,Buy,ICE11
2024-07-25 09:56:00-04:00,149.68,149.34,Sell - Away from SMA,ICE11
2024-07-25 10:20:00-04:00,149.55,149.47,Buy,ICE12
2024-07-25 10:22:00-04:00,149.47,149.47,Sell - Stop Loss,ICE12
2024-07-25 12:04:00-04:00,149.68,149.63,Buy,ICE13
2024-07-25 12:08:00-04:00,149.79,149.63,Sell - Away from SMA,ICE13
2024-07-25 13:06:00-04:00,150.12,149.91,Buy,ICE14
2024-07-25 13:10:00-04:00,150.36,149.91,Sell - Away from SMA,ICE14
2024-07-26 10:10:00-04:00,150.40,150.29,Buy,ICE15
2024-07-26 10:12:00-04:00,150.29,150.29,Sell - Stop Loss,ICE15
2024-07-26 11:28:00-04:00,150.55,150.46,Buy,ICE16
2024-07-26 11:32:00-04:00,150.46,150.46,Sell - Stop Loss,ICE16
2024-07-26 11:44:00-04:00,150.55,150.51,Buy,ICE17
2024-07-26 11:46:00-04:00,150.64,150.51,Sell - Away from SMA,ICE17
2024-07-26 12:28:00-04:00,151.01,150.93,Buy,ICE18
2024-07-26 12:30:00-04:00,151.14,150.93,Sell - Away from SMA,ICE18
2024-07-26 12:42:00-04:00,151.22,151.17,Buy,ICE19
2024-07-26 12:44:00-04:00,151.40,151.17,Sell - Away from SMA,ICE19
2024-07-26 13:26:00-04:00,151.57,151.55,Buy,ICE20
2024-07-26 13:30:00-04:00,151.55,151.55,Sell - Stop Loss,ICE20
2024-07-29 12:44:00-04:00,151.07,150.99,Buy,ICE21
2024-07-29 12:50:00-04:00,150.99,150.99,Sell - Stop Loss,ICE21
2024-07-29 15:26:00-04:00,151.14,151.09,Buy,ICE22
2024-07-29 15:30:00-04:00,151.09,151.09,Sell - Stop Loss,ICE22
2024-08-02 15:44:00-04:00,149.39,149.28,Buy,ICE23
2024-08-02 15:46:00-04:00,149.60,149.28,Sell - Away from SMA,ICE23
