Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:12:00-04:00,491.53,490.04,Buy,IDXX1
2024-07-16 10:14:00-04:00,492.30,490.04,Sell - Away from SMA,IDXX1
2024-07-16 12:38:00-04:00,489.36,488.74,Buy,IDXX2
2024-07-16 12:40:00-04:00,490.07,488.74,Sell - Away from SMA,IDXX2
2024-07-16 15:26:00-04:00,499.22,499.14,Buy,IDXX3
2024-07-16 15:28:00-04:00,500.84,499.14,Sell - Away from SMA,IDXX3
2024-07-19 15:16:00-04:00,466.41,466.39,Buy,IDXX4
2024-07-19 15:18:00-04:00,467.84,466.39,Sell - Away from SMA,IDXX4
2024-07-19 15:38:00-04:00,468.24,467.84,Buy,IDXX5
2024-07-19 15:40:00-04:00,468.85,467.84,Sell - Away from SMA,IDXX5
2024-07-22 10:16:00-04:00,471.10,470.38,Buy,IDXX6
2024-07-22 10:20:00-04:00,474.03,470.38,Sell - Away from SMA,IDXX6
2024-07-22 10:38:00-04:00,471.84,471.53,Buy,IDXX7
2024-07-22 10:42:00-04:00,473.14,471.53,Sell - Away from SMA,IDXX7
2024-07-22 15:50:00-04:00,475.12,475.04,Buy,IDXX8
2024-07-22 15:52:00-04:00,475.66,475.04,Sell - Away from SMA,IDXX8
2024-07-25 09:46:00-04:00,479.34,479.09,Buy,IDXX9
2024-07-25 09:48:00-04:00,482.15,479.09,Sell - Away from SMA,IDXX9
2024-07-29 15:30:00-04:00,471.93,471.79,Buy,IDXX10
2024-07-29 15:32:00-04:00,471.79,471.79,Sell - Stop Loss,IDXX10
2024-08-02 15:44:00-04:00,467.96,467.32,Buy,IDXX11
2024-08-02 15:46:00-04:00,468.34,467.32,Sell - Away from SMA,IDXX11
2024-08-02 15:56:00-04:00,468.52,466.96,Buy,IDXX12
2024-08-02 15:58:00-04:00,469.00,466.96,Sell - Away from SMA,IDXX12
2024-08-06 11:06:00-04:00,478.15,476.21,Buy,IDXX13
2024-08-06 11:08:00-04:00,478.64,476.21,Sell - Away from SMA,IDXX13
2024-08-06 14:36:00-04:00,478.09,477.69,Buy,IDXX14
2024-08-06 14:38:00-04:00,479.30,477.69,Sell - Away from SMA,IDXX14
2024-08-07 12:26:00-04:00,477.63,477.17,Buy,IDXX15
2024-08-07 12:28:00-04:00,477.56,477.17,Sell - Away from SMA,IDXX15
2024-08-08 11:56:00-04:00,479.62,479.04,Buy,IDXX16
2024-08-08 11:58:00-04:00,480.08,479.04,Sell - Away from SMA,IDXX16
2024-08-08 15:22:00-04:00,482.17,482.00,Buy,IDXX17
2024-08-08 15:24:00-04:00,482.67,482.00,Sell - Away from SMA,IDXX17
2024-08-13 09:44:00-04:00,485.28,484.52,Buy,IDXX18
2024-08-13 09:46:00-04:00,487.74,484.52,Sell - Away from SMA,IDXX18
2024-08-13 11:52:00-04:00,489.68,489.31,Buy,IDXX19
2024-08-13 11:54:00-04:00,490.00,489.31,Sell - Away from SMA,IDXX19
2024-08-15 11:22:00-04:00,482.88,481.70,Buy,IDXX20
2024-08-15 11:24:00-04:00,485.86,481.70,Sell - Away from SMA,IDXX20
2024-08-15 12:14:00-04:00,483.02,482.79,Buy,IDXX21
2024-08-15 12:20:00-04:00,483.98,482.79,Sell - Away from SMA,IDXX21
2024-08-16 10:44:00-04:00,488.92,487.70,Buy,IDXX22
2024-08-16 10:48:00-04:00,489.01,487.70,Sell - Away from SMA,IDXX22
2024-08-16 11:48:00-04:00,491.74,491.46,Buy,IDXX23
2024-08-16 11:50:00-04:00,491.67,491.46,Sell - Away from SMA,IDXX23
2024-08-16 15:36:00-04:00,492.69,492.58,Buy,IDXX24
2024-08-16 15:38:00-04:00,493.21,492.58,Sell - Away from SMA,IDXX24
2024-08-19 13:46:00-04:00,492.99,492.87,Buy,IDXX25
2024-08-19 13:50:00-04:00,493.22,492.87,Sell - Away from SMA,IDXX25
2024-08-19 15:58:00-04:00,496.45,495.99,Buy,IDXX26
2024-08-20 09:30:00-04:00,495.99,495.99,Sell - Stop Loss,IDXX26
2024-08-20 10:36:00-04:00,499.06,498.54,Buy,IDXX27
2024-08-20 10:38:00-04:00,498.64,498.54,Sell - Away from SMA,IDXX27
