Entry_Time,Action_Price,Stop_Loss,Trade_Type,Trade_ID
2024-07-16 10:46:00-04:00,97.82,97.75,Buy,IFF1
2024-07-16 10:48:00-04:00,97.75,97.75,Sell - Stop Loss,IFF1
2024-07-18 09:56:00-04:00,97.92,97.80,Buy,IFF2
2024-07-18 09:58:00-04:00,98.45,97.80,Sell - Away from SMA,IFF2
2024-07-22 09:40:00-04:00,97.61,97.17,Buy,IFF3
2024-07-22 09:42:00-04:00,98.04,97.17,Sell - Away from SMA,IFF3
2024-07-22 12:28:00-04:00,98.02,97.99,Buy,IFF4
2024-07-22 12:30:00-04:00,97.99,97.99,Sell - Stop Loss,IFF4
2024-07-23 12:34:00-04:00,98.46,98.40,Buy,IFF5
2024-07-23 12:44:00-04:00,98.59,98.40,Sell - Away from SMA,IFF5
2024-07-23 13:02:00-04:00,98.75,98.70,Buy,IFF6
2024-07-23 13:04:00-04:00,98.80,98.70,Sell - Away from SMA,IFF6
2024-07-23 15:04:00-04:00,99.52,99.45,Buy,IFF7
2024-07-23 15:12:00-04:00,99.45,99.45,Sell - Stop Loss,IFF7
2024-07-24 12:04:00-04:00,99.42,99.28,Buy,IFF8
2024-07-24 12:08:00-04:00,99.28,99.28,Sell - Stop Loss,IFF8
2024-07-24 12:14:00-04:00,99.36,99.30,Buy,IFF9
2024-07-24 12:22:00-04:00,99.30,99.30,Sell - Stop Loss,IFF9
2024-07-25 13:00:00-04:00,98.06,98.02,Buy,IFF10
2024-07-25 13:02:00-04:00,98.18,98.02,Sell - Away from SMA,IFF10
2024-07-26 11:26:00-04:00,98.20,98.13,Buy,IFF11
2024-07-26 11:32:00-04:00,98.37,98.13,Sell - Away from SMA,IFF11
2024-07-26 12:34:00-04:00,98.21,98.12,Buy,IFF12
2024-07-26 12:36:00-04:00,98.23,98.12,Sell - Away from SMA,IFF12
2024-07-26 13:08:00-04:00,98.50,98.40,Buy,IFF13
2024-07-26 13:10:00-04:00,98.56,98.40,Sell - Away from SMA,IFF13
2024-07-29 09:58:00-04:00,98.90,98.85,Buy,IFF14
2024-07-29 10:00:00-04:00,98.85,98.85,Sell - Stop Loss,IFF14
2024-07-29 11:24:00-04:00,99.02,98.95,Buy,IFF15
2024-07-29 11:26:00-04:00,99.15,98.95,Sell - Away from SMA,IFF15
2024-07-30 10:18:00-04:00,100.60,100.47,Buy,IFF16
2024-07-30 10:20:00-04:00,100.66,100.47,Sell - Away from SMA,IFF16
2024-07-30 11:38:00-04:00,100.53,100.46,Buy,IFF17
2024-07-30 11:54:00-04:00,100.46,100.46,Sell - Stop Loss,IFF17
2024-08-05 11:46:00-04:00,95.09,94.93,Buy,IFF18
2024-08-05 11:48:00-04:00,95.27,94.93,Sell - Away from SMA,IFF18
2024-08-06 12:40:00-04:00,97.53,97.46,Buy,IFF19
2024-08-06 12:44:00-04:00,97.46,97.46,Sell - Stop Loss,IFF19
2024-08-07 15:58:00-04:00,93.99,93.85,Buy,IFF20
2024-08-08 09:30:00-04:00,95.50,93.85,Sell - Away from SMA,IFF20
2024-08-08 11:56:00-04:00,94.60,94.50,Buy,IFF21
2024-08-08 11:58:00-04:00,94.70,94.50,Sell - Away from SMA,IFF21
2024-08-08 14:48:00-04:00,94.66,94.59,Buy,IFF22
2024-08-08 14:52:00-04:00,94.72,94.59,Sell - Away from SMA,IFF22
2024-08-09 09:30:00-04:00,95.67,95.41,Buy,IFF23
2024-08-09 09:32:00-04:00,96.06,95.41,Sell - Away from SMA,IFF23
2024-08-09 11:12:00-04:00,96.87,96.78,Buy,IFF24
2024-08-09 11:14:00-04:00,96.78,96.78,Sell - Stop Loss,IFF24
2024-08-09 12:08:00-04:00,96.69,96.61,Buy,IFF25
2024-08-09 12:12:00-04:00,96.83,96.61,Sell - Away from SMA,IFF25
2024-08-13 10:44:00-04:00,96.44,96.35,Buy,IFF26
2024-08-13 10:46:00-04:00,96.54,96.35,Sell - Away from SMA,IFF26
2024-08-14 11:04:00-04:00,96.52,96.43,Buy,IFF27
2024-08-14 11:06:00-04:00,96.43,96.43,Sell - Stop Loss,IFF27
2024-08-14 14:50:00-04:00,96.54,96.50,Buy,IFF28
2024-08-14 14:54:00-04:00,96.63,96.50,Sell - Away from SMA,IFF28
2024-08-19 12:14:00-04:00,98.83,98.80,Buy,IFF29
2024-08-19 12:20:00-04:00,98.80,98.80,Sell - Stop Loss,IFF29
2024-08-19 14:02:00-04:00,98.88,98.83,Buy,IFF30
2024-08-19 14:12:00-04:00,98.83,98.83,Sell - Stop Loss,IFF30
2024-08-19 14:18:00-04:00,98.90,98.84,Buy,IFF31
2024-08-19 14:40:00-04:00,98.95,98.90,Buy,IFF32
2024-08-19 14:42:00-04:00,99.05,98.84,Sell - Away from SMA,IFF31
2024-08-19 14:42:00-04:00,99.05,98.90,Sell - Away from SMA,IFF32
2024-08-20 15:06:00-04:00,98.18,98.15,Buy,IFF33
2024-08-20 15:10:00-04:00,98.15,98.15,Sell - Stop Loss,IFF33
2024-08-21 10:36:00-04:00,99.29,99.24,Buy,IFF34
2024-08-21 10:38:00-04:00,99.57,99.24,Sell - Away from SMA,IFF34
2024-08-22 12:24:00-04:00,100.38,100.34,Buy,IFF35
2024-08-22 12:26:00-04:00,100.50,100.34,Sell - Away from SMA,IFF35
